Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
ITSM-House B.V.;;;;;;2;;2
IT-Staffing Nederland B.V.;;;;;;;4;4
IXOLUTION B.V.;;;;;;2;;2
J.J.M. Berkers;;;;4;;;;4
J.R.L. Management Consultancy B.V.;;;;;;;3;3
Jenot Automatisering;;;;2;;;;2
Jungheinrich Nederland B.V.;;2;;;;;;2
Kahuna Network Solutions BV;;;;2;;;;2
Kamera Express;1;;;;;;;1
Kannegieter Electronica B.V.;1;;;;;;;1
Kirkman Company B.V.;;;;;;;4;4
KnowledgePlaza Professional Serv.;;;;;;;4;4
Komfort Exploitatie Maatschappij B.;;;;;;;1;1
KPMG Advisory N.V.;;;;;;;3;3
KPN B.V.;;;;;;7;;7
KPN Business Service Desk (172);;;;;1;2;;3
KPN BV;9;7;5;7;8;7;7;10
KPN BV inz. Getronics-ADM CBI;;;;4;;;;4
KPN Corporate Market;;;;;;1;;1
KPN TELECOM;;;;;;4;;4
KPN, Royal Dutch Telecom;;;;;;7;;7
KPN-Mobiel Groningen;;;;;;2;;2
Kreisler Import B.V.;;;;;;1;;1
Kruizinga BV;1;;;;;;;1
Kubus architectural solutions;;;;2;;;;2
Kuijpers Installaties;;;;;;1;;1
LENS business software B.V.;;;1;;;;;1
LMP Beheer B.V.;;;;;;;1;1
Louis Meulstee Photography;2;;;;;;;2
Mainpress B.V.;;;;;;1;;1
Manpower B.V.;;;;;;1;;1
Manutan B.V.;1;;;;;1;;1
Martijn Beekman Fotografie;1;;;;;;;1
Media Academie BV;1;;;;;;1;1
Micro Focus NV;;;;;;;1;1
Misco Nederland B.V.;1;;;;;3;;3
Misco Solutions B.V.;8;2;1;;5;1;;8
MK2 Audiovisueel B.V.;;;;;;1;;1
Moduli Print B.V.;;;;;;2;;2
Motiv ICT security;;;;4;;;;4
Myler;;;;;;;1;1
National Instruments Netherlands BV;3;;;;;;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;5;;5
Nederland ICT;2;;;;;;;2
Net Ground;;;;1;;;;1
Netsupport;1;;;;;;;1
Netwerkwinkel.com;1;;;;;;;1
Network Innovations;;;;;;2;;2
NFGD Zoetermeer B.V.;;;;;;1;;1
NHG Uitgeverij B.V.;;;;1;;;;1
NMS National Multiple Services B.V.;;;;;;1;;1
Northwave B.V.;;;;4;;;;4
Noyz Boyz Advanced Audio Services B.V.;1;;;;;;;1
OCLC B.V.;;;;;;4;;4
Onder de Watertoren;1;;;;;;;1
Onsight Solutions B.V.;;;6;7;;2;2;7
Oracle Nederland;;;;7;;;;7
Otoparts BV;1;;;;;;;1
P2000 Alarmeringsystemen B.V.;;;;;;1;;1
Pactechno;;1;;;;;;1
Papergraphics;1;;;;;;;1
Paul Tolenaar Fotografie;2;;;;;;;2
Phil Nijhuis Fotografie;2;;;;;;;2
Pine ICT;1;;;;;3;;3
PIPNL;;;;;;1;;1
Planon B.V.;2;;;5;;1;3;5
Pol Heteren bv;1;;;;;;;1
Primaned B.V.;;;;2;;;1;2
Pro Systems International B.V.;;;;;;2;;2
Prodicom B.V.;;;;;;;3;3
PWJ Digital Repair Services;1;;;;;;;1
QS Solutions;;;;2;;;1;2
QSM Europe B.V.;;;;3;;;;3
RAM Mobile Data;;;;2;;;;2
Ravebo B.V.;;;;;;1;;1
Respond;;;;2;;;;2
Respond B.V.;;;;;;1;;1
Restaurant Lounge van der Dussen;1;;;;;;;1
Rexel Nederland B.V.;1;;;;;;;1
RGL Consultancy & Training;;;;;;;4;4
Rittal B.V.;2;;;;2;1;;2
Rob Gieling Fotografie;2;;;;;;;2
Rocket Software B.V.;;;;4;;;;4
Romex B.V.;1;;;;1;;;1
Rotterdam The Hague Airport;;;;;;;2;2
Routz Network Executives;;;;;;;6;6
RS Components B.V.;;;;;;1;;1
RS Components bv;1;;;1;1;;;1
Sakko Commercial B.V.;1;;;;;;;1
SAP Nederland B.V.;;;;7;;;3;7
Schiphol Telematics;;;;;;6;;6
Schneider Electric IT Benelux B.V.;1;;;;;;;1
Scholten Awater & Partners B.V.;7;7;1;1;3;2;;8
Scholten Awater B.V.;;2;;;;3;;4
Scos Software B.V.;;;;;;1;;1
Sdu Uitgevers B.V.;;;;;;1;;1
Sectra Communications B.V.;;;;;;5;;5
SES NEW SKIES Marketing B.V.;;;;;;2;;2
Silicon Graphics B.V.;;;;;;2;;2
Simac Electronics B.V.;4;1;;;1;2;;4
SKF B.V.;;;;;;2;;2
SLTN Inter Access B.V.;;;;;;;4;4
SMS implementation engineers b.v.;;;;3;;;;3
Socia B.V.;;1;;;;3;;3
Socia ICT Solutions BV;1;1;;;;;;1
Softline Solutions Netherlands B.V.;;;;;;;1;1
Software AG Nederland B.V.;;;7;6;;;2;7
Software Connection B.V.;;;1;;;;;1
Solipsis b.v.;;;;2;;;;2
Soundfocus B.V.;1;;;;;;;1
Sparelamp.com;;;;;;1;;1
Start People;;;;;;;4;4
Stentec Software B.V.;;;;;;1;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;;1;;1
Stichting Bureau Krediet Registratie (BKR);;;;;;3;;3
Stichting De Ooievaart;1;;;;;;;1
Stichting Reprorecht;;;;;;4;;4
Stichting Spaarnestad Photo;1;;;;;;;1
Strobesupply;1;;;;;;;1
Studio 38C;2;;;;;;;2
SURFmarket;;;;;;3;;3
Synergy Health;;;;;;1;;1
Syntro B.V.;;;;;;;2;2
Tapes Amsterdam B.V.;1;;;;;;;1
Tedas BV;2;;;1;;;;2
Tele2 Nederland B.V.;;;;;;2;;2
Telegrootgebruik B.V.;;;;1;;8;;8
Tempo-Team Professionals B.V.;;;;;;1;;1
Tempo-Team Uitzendbureau;;;;;;;3;3
The Future Store;4;;;;;;;4
The Glasshouse B.V.;;;;;;1;;1
The MathWorks B.V.;;;;;;2;;2
TIOOS;1;;;;;;;1
T-Mobile Netherlands B.V.;;;;;;1;;1
TNO Innovation for life;;;;;;;2;2
Topa Verpakking B.V.;1;;;;;;;1
TopDesk;;;;1;;;;1
Trescal B.V.;3;1;;;;;;3
Ultimo Software Solutions B.V.;;;;;;3;;3
UNIT4 IT Solutions B.V.;;;;;;1;;1
United4all;3;;;;;;;3
UP Learning B.V.;;;;3;;;1;3
Usernet Benelux;;;;1;;;;1
V.O.F. Delta Star;;;;;;1;;1
Valerie Kuypers Fotografie;2;;;;;;;2
Van Dijk Zakelijk B.V.;;;;;;1;;1
Van Doorne N.V.;;;;;;;1;1
Van Hal Totaal;1;;;;;6;;6
VCD IT GROEP;;;;;;;1;1
Veiligheidstechniek Nederland B.V.;;;1;;;;;1
Vereniging Facility Management Nederland;;;;;;1;;1
Vertimart Consultants B.V.;;;;3;;;;3
Vicrea Solutions B.V.;;;;2;;;;2
Vink Lisse   B.V.;1;;;;;;;1
Virtual Vision;1;;;;;;;1
Vision Waves;;;;2;;;2;3
Vocas Sales & Services B.V.;1;;;;;;;1
Vosko Networking B.V.;6;;;2;;;;6
We Got it;3;;;;;;;3
We-Got-IT B.V.;;;;;;2;;2
X-Press Images;2;;;;;;;2
XS4ALL Internet B.V.;;;;;;1;;1
YourIT B.V.;;;;;;1;;1
Zalsman Print B.V.;;;;;;4;;4
Zeeman Reclame Groep B.V.;;;;;;1;;1
Eindtotaal;10;8;7;10;9;9;9;12
