AOW-uitkeringen naar regio;;;;
;Onderwerpen;"AOW-uitkeringen; totaal";"AOW-uitkeringen; volledig";"AOW-uitkeringen; gekort"
;Regio's;Utrecht (gemeente);Utrecht (gemeente);Utrecht (gemeente)
;Leeftijden;Totaal leeftijd (inclusief onbekend);Totaal leeftijd (inclusief onbekend);Totaal leeftijd (inclusief onbekend)
Perioden;Geslacht;aantal;aantal;aantal
2014 1e kwartaal;Mannen;14160;11070;3100
2014 1e kwartaal;Vrouwen;18650;15790;2870
2014 2e kwartaal;Mannen;14290;11160;3130
2014 2e kwartaal;Vrouwen;18720;15820;2910
2014 3e kwartaal;Mannen;14440;11270;3170
2014 3e kwartaal;Vrouwen;18870;15910;2970
2014 4e kwartaal;Mannen;14550;11360;3190
2014 4e kwartaal;Vrouwen;18920;15920;3000
2015 1e kwartaal;Mannen;14500;11380;3130
2015 1e kwartaal;Vrouwen;18820;15830;2990
2015 2e kwartaal;Mannen;14620;11470;3160
2015 2e kwartaal;Vrouwen;18890;15840;3050
2015 3e kwartaal;Mannen;14750;11570;3180
2015 3e kwartaal;Vrouwen;18930;15840;3090
2015 4e kwartaal;Mannen;14870;11630;3240
2015 4e kwartaal;Vrouwen;19020;15870;3160
2016 1e kwartaal;Mannen;14690;11480;3210
2016 1e kwartaal;Vrouwen;18750;15620;3130
2016 2e kwartaal;Mannen;14790;11580;3210
2016 2e kwartaal;Vrouwen;18800;15660;3150
2016 3e kwartaal*;Mannen;14880;11640;3240
2016 3e kwartaal*;Vrouwen;18830;15660;3170
© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 16-1-2017;;;;
