GEMEENTE|GEBIED|GEBDNAAM|minX|minY|maxX|maxY|landscape_minX|landscape_maxX|landscape_minY|landscape_maxY|portrait_minX|portrait_maxX|portrait_minY|portrait_maxY
599|12|IJsselmonde|94320|431482|99197|435567|93870|99647|431482|435567|94320|99197|430076|436973
599|19|Nieuw Mathenesse|87699|435142|89876|436611|87699|89876|435106|436647|87699|89876|434337|437416
599|24|Rotterdam-Noord-West|86673|439211|88184|440439|86560|88297|439211|440439|86673|88184|438756|440894
599|10|Feijenoord|91721|432478|95696|436999|90512|96905|432478|436999|91721|95696|431928|437549
599|4|Overschie|85730|437943|91391|443570|84582|92539|437943|443570|85730|91391|436754|444759
599|25|Rivium|96387|436644|96748|437256|96134|97001|436644|437256|96351|96784|436644|437256
599|21|Waalhaven-Eemhaven|85138|431298|91414|435315|85138|91414|431086|435527|85138|91414|428870|437743
599|3|Delfshaven|88007|434926|91721|437613|87964|91764|434926|437613|88007|91721|433644|438895
599|17|Hoek van Holland|60427|439015|74723|447000|60427|74723|437951|448064|60427|74723|432901|453114
599|27|Rozenburg|72474|434828|77858|439932|71558|78774|434828|439932|72474|77858|433574|441186
599|16|Hoogvliet|82236|428647|86185|432569|81438|86983|428647|432569|82236|86185|427816|433400
599|6|Hillegersberg-Schiebroek|91063|439410|95997|443971|90305|96755|439410|443971|91063|95997|438202|445179
599|5|Noord|89321|437487|93296|439773|89321|93296|437224|440036|89321|93296|435820|441440
599|23|Botlek-Europoort-Maasvlakte|55500|431162|82564|446572|55500|82564|429295|448439|55500|82564|419735|457999
599|1|Rotterdam Centrum|90862|435049|93984|437927|90388|94458|435049|437927|90862|93984|434281|438695
599|18|Spaanse Polder|87665|437327|89655|439256|87296|90024|437327|439256|87665|89655|436884|439699
599|26|Bedrijventerrein Schieveen|88174|440896|89988|442410|88010|90152|440896|442410|88174|89988|440370|442936
599|13|Pernis|85534|432650|86955|434532|84914|87575|432650|434532|85534|86955|432586|434596
599|8|Kralingen-Crooswijk|92910|434957|96867|440402|91039|98738|434957|440402|92910|96867|434882|440477
599|14|Prins Alexander|95651|435367|101033|445397|91251|105433|435367|445397|94794|101890|435367|445397
599|22|Vondelingenplaat|81514|431999|86073|435064|81514|86073|431919|435144|81514|86073|430308|436755
599|15|Charlois|88111|430742|94947|435049|88111|94947|430477|435314|88111|94947|428063|437728
