OBJECTID;EENHEID;LEGENDA;FORMATIE;LEGEND_KRT;EENHEID_TXT;SHAPE_LENGTH;SHAPE_AREA;COUNTER
16;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;742.8068742077;26704.9925152438;17
17;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;1212.4313046147;85118.0585424959;18
759;7.2;Kaarteenheid 7.2: Lp. van Walcheren, waar de Gantel Laag zich matig diep ingesneden heeft in de onderliggende afz.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;7.2: Walcheren met Gantel (matig diep ingesneden);7,2;242841.595502282;14572931.1960661;1
1;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;238.2204040407;3159.8011178093;2
2;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;715.0387977541;28538.2147268144;3
3;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;2362.3420400459;163618.526843338;4
4;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;510.5037406578;6161.2487752558;5
5;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;809.5221294927;37435.3630207685;6
6;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;968.3585923911;14384.6723471906;7
7;1;Kaarteenheid 1: Lp. van Walcheren op Hollandveen Lp. op Lp. van Wormer, waar de top van de zandafzettingen van het Lp. van Wormer ligt onder 5 m -NAP.;Formatie van Naaldwijk, Laagpakket van Walcheren aan maaiveld of onder stadsophogingsdek (hoofdzakelijk zand).;1: Walcheren op Hollandveen op Wormer, top zand onder 5m - NAP;1;2403.0507534749;124090.289376393;8
