Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
3minds;;;;;1;;;;1
Acuity CRM B.V.;;;;;;;;1;1
Adlib Holding B.V.;;;;;;;;1;1
AEVES B.V.;;;;;;;;1;1
AllSolutions B.V.;;;;;;;;2;2
Amsio B.V.;;;;;2;;;2;2
Andersteboven;;;;;;;;2;2
Andrews Sykes B.V.;;;;;;1;;1;1
Anoigo Services Limited;;;2;;;4;;3;4
Apro Consulting Services B.V.;;;;;;;;1;1
ARCADIS Nederland;;;;;;1;;1;1
Argeweb;;;;;;1;;;1
Ariëns Catering;;;;2;;;;;2
ASB Security B.V.;;;;;;;1;;1
Atos Nederland B.V.;;7;5;7;7;;;7;9
Auditconnect B.V.;;;;;;;;2;2
Axians;;;;;;2;;1;2
Azerty;;1;;;;;;;1
B. de Graaf Beheer B.V.;;;;;;;;1;1
B3partners B.V.;;;;;;1;;1;1
Barnsten Business Solutions B.V.;;1;;;;;;;1
BAS Consultancy B.V.;;;;;;;;2;2
Basefarm B.V.;;;;;;;;1;1
Bechtle direct B.V.;;2;;;;;;;2
Berenschot Groep;;;;;;;;2;2
Between B.V.;;;;;3;;;;3
Bio-Rad Laboratories B.V.;;1;;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;;2;;;2
Bitall B.V.;1;;;;;;;;1
bol.com B.V.;;1;;;;;;;1
BPI Services B.V.;;;;;2;;;;2
Brandenburg Kantoormeubelverhuur;;;1;;;;;;1
Bredenoord B.V.;;1;;;;;;1;1
Breijer Contractonderhoud B.V.;;1;2;;;;;2;3
BRW B.V.;;;;;;;;1;1
BT Nederland N.V.;;5;;;;3;2;;5
BT Professional Services Nederland B.V.;;;;;;;;6;6
Buyitdirect.Com N.V.;;;;;;;1;;1
Cam IT Solutions B.V.;;;;;3;4;;;5
Candiensten B.V.;;;;;2;;;;2
Cannock Chase B.V.;;;;;;;1;;1
Capgemini Nederland B.V.;1;6;7;;5;;4;9;9
Capgemini Nederland BV;;2;;;;;1;1;2
cards ICT Solutions B.V.;;1;;;;;;;1
CBS Solutions;;;;;;;;1;1
Cendris Dataconsulting B.V.;1;;;;;;;;1
Central Point Nederland B.V.;;;;;1;;;;1
Central Point Software;;1;;;;;;;1
Centric;;;;;;;;2;2
Centric Software Engineering B.V.;;;;;4;;;1;4
Centrum voor Publieke Innovatie CPI B.V.;;;;;;1;;2;2
CGI Nederland B.V.;;;;;7;;;5;7
Cimsolutions;;;;4;;;;;4
Clockwork;1;;;;;;;;1
CM Telecom B.V.;;;;;;;2;;2
Communicatiebureau De Lynx;1;;;;;;;;1
Complex E-Techniek B.V.;;;;;;;;1;1
Componence Services B.V.;;;;;;;;2;2
Computer Plan B.V.;;;;;;;;1;1
comScore B.V.;;;;;;;;1;1
Conclusion ICT Projects B.V.;;;;;2;;;;2
Conquaestor B.V.;;;;;;;;1;1
Conrad Electronic Benelux B.V.;;1;;;;;;;1
Coolblue B.V.;;1;;;;;2;;2
Cosinus Computing B.V.;1;;;;2;;;;2
Creaim B.V.;;;;1;;;;1;1
Croon Elektrotechniek B.V.;;1;;;;;;2;2
CTM Solution B.V.;;;;;;;;1;1
CycloMedia Technology B.V.;;;;;1;;;;1
D Hosting;1;;;;;;;;1
D.D.S. Electronics Europe B.V.;;;;;;;1;;1
DataExpert B.V.;;1;;;2;;;;2
Dataplus Netherlands B.V.;;;;;2;;;;2
DataWeb B.V.;;2;;;;;;;2
dBIT;;;;;1;;;;1
De Vos Groep B.V.;;;;;;1;;;1
DEKRA Certification B.V.;;;;;1;;;1;2
Delmation Products B.V.;;1;;;;;;;1
Deloitte Risk Advisory B.V.;;;;2;;;;;2
DenWorks;;;;;;;;1;1
Detron Computerverhuur;;2;;;;;1;1;2
Detron ICT Infrastructure Solutions;;2;;;;;;;2
Detron Telecom Enterprise;;3;;;4;1;3;4;5
DGMR Software B.V.;;;;;;;;4;4
Diggelen Internet Consultancy Services DICS;;;;;;;;1;1
Digidentity B.V.;;;;;;;;1;1
Digivotion B.V.;;;;;;;;2;2
Dittrich & Partner Consulting GmbH;2;;;;;;;;2
Door to Door Couriers B.V.;;;;;;;;1;1
Dovilo B.V.;;;;;;;;2;2
DTG B.V.;1;;;;;;;;1
E.B.S. Eager Beaver Systems;;;;;;2;;;2
Easynet Nederland B.V.;;;;;;1;1;;2
E-bench.nl B.V.;;;;;;;;1;1
Echo Trade B.V.;;;;;;;;1;1
Eden Hotel Exploitatie Linnaeusstraat B.V.;;;;;;;;1;1
Ekwadraat Advies B.V.;;;;;;;;2;2
ENGIE Services Noord B.V.;;;1;;;;;;1
Enne Solutions B.V.;;;;;;2;;1;3
E-Office B.V.;;;;;;;2;;2
Equinix (Netherlands) B.V.;;6;;;;3;;2;6
Ergobrain B.V.;1;;;;;;;;1
Esecor B.V.;;;;;1;;;;1
Esri Nederland;;;;;;;;1;1
Eurofiber Nederland;;;;;;1;;;1
Exact Software Nederland B.V.;;;;;1;;;2;2
Extravar B.V.;;;;;;;;2;2
Exxellence Solutions B.V.;;;;;;;;1;1
F2D WKD B.V.;;;;1;;;;;1
Federatie voor de Nederlandse Export;;;;;;;;1;1
FEL Concepts B.V.;;;;;;;;2;2
Finalist IT Group B.V.;;;;;;;;2;2
Fox-IT;;4;;;4;;;1;5
Freedom Scientific Benelux B.V.;;;1;;;;;;1
Fujitsu Technology Solutions B.V.;2;2;;;1;;;;2
Gartner Nederland B.V.;;;;;;;;3;3
Gemnet B.V.;;;;;;;1;;1
Geodan B.V.;;;;;;;;2;2
Geodan Holding B.V.;;;;;1;;;;1
Ggn Incasso B.V.;;;;;;;1;;1
Giarte Services B.V.;;;;;;;;4;4
Gispen Groningen;;1;;;;;;;1
Green Valley Solutions N.V.;;;;;5;;;2;5
Grenkefinance N.V.;;;;;;;1;1;1
Gridline B.V.;;;;;;;;2;2
Gullimex B.V.;;;;;;;1;;1
H. Schippers It;;;;;2;;;;2
HeadFirst B.V.;;;;3;2;;;5;6
HEC B.V.;;;;;;;;2;2
Hesselink Consultancy B.V.;;;;;;;;2;2
Hewlett-Packard Nederland B.V.;;;;;;;;1;1
Hokra B.V.;;1;;1;;;;;1
Holland Consulting Group;;;;;;;;1;1
Hotel Contact B.V.;;;;2;;;;;2
Huygens XC B.V.;;;;;;;;5;5
IBM Nederland B.V.;;;;1;2;;;7;7
ICATT Interactive Media B.V.;;;;;1;;;;1
ICreative;;;;;;;;1;1
Ideactive B.V.;;;;;;;;1;1
IJsfontein Gamewise B.V.;;;;;;;;4;4
ilionx Information Management Noord B.V.;;;;;;;;1;1
Impactive;;;;;;;;3;3
Imtech Building Services B.V.;;;;;;2;;;2
In2Content B.V.;;;;;;;;1;1
Infoprojects;;;;1;;;;;1
Informatique Computers & Componenten;1;;;;;;;;1
Infrastructure Services & Projects B.V.;;;1;;;;3;;3
Ingenico e-Commerce Solutions B.V.;;;;;1;1;;;1
Inmarsat Solutions B.V.;;;;;;;5;;5
Innovero Software Solutions B.V.;;;;;2;;;;2
Inter Access B.V.;;;;;4;;;5;6
Intermax Hosting B.V.;;1;;;2;2;;2;3
Interned Services;;2;;;2;3;;1;3
Invorderingsbedrijf B.V.;;;;;;1;;;1
IT-Staffing Nederland B.V.;;;;4;;;;2;4
iWelcome B.V.;;;;;;;;2;2
KG Nederland B.V.;;;;;;1;;2;2
