FID,length,stroken_id,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2007.1,28250.188,1,04-05-2007,,,"LINESTRING (77666.35200000182 378121, 51648.300999999046 389127.0940000005)"
vlieglijnen_wschelde_2007.2,28353.016,2,04-05-2007,,,"LINESTRING (80622.2109999992 376353.188000001, 54563.25 387525.6559999995)"
vlieglijnen_wschelde_2007.3,27138.676,3,04-05-2007,,,"LINESTRING (77418.61699999869 377324.375, 52447.129000000656 387951.3440000005)"
vlieglijnen_wschelde_2007.4,30375.291,4,03-05-2007,,,"LINESTRING (77062.85200000182 377039.375, 49108.21900000051 388922)"
vlieglijnen_wschelde_2007.5,28614.006,5,03-05-2007,,,"LINESTRING (78891.5309999995 375793.75, 52566.960999999195 387008.8440000005)"
vlieglijnen_wschelde_2007.6,29746.777,6,03-05-2007,,,"LINESTRING (79723.85200000182 374994.6559999995, 52350.1799999997 386637.375)"
vlieglijnen_wschelde_2007.7,31441.637,7,03-05-2007,,,"LINESTRING (76999.64799999818 375701.063000001, 48066.82800000161 388008.313000001)"
vlieglijnen_wschelde_2007.8,31444.035,8,03-05-2007,,,"LINESTRING (80045.5 373974.938000001, 51109.289000000805 386280.3440000005)"
vlieglijnen_wschelde_2007.9,32572.143,9,03-05-2007,,,"LINESTRING (77893.95300000161 374426.5, 47935.23000000045 387210.063000001)"
vlieglijnen_wschelde_2007.10,30865.854,10,16-04-2007,,,"LINESTRING (77193.0940000005 374313.4059999995, 48788.3200000003 386391.063000001)"
vlieglijnen_wschelde_2007.11,29877.955,11,16-04-2007,,,"LINESTRING (78861.04699999839 373167.9690000005, 51348.6799999997 384819.6559999995)"
vlieglijnen_wschelde_2007.12,28299.893,12,16-04-2007,,,"LINESTRING (74687.3440000005 374469.875, 48652.76199999824 385564.2190000005)"
vlieglijnen_wschelde_2007.13,30624.766,13,16-04-2007,,,"LINESTRING (78761.1090000011 372270, 50609.75 384327.25)"
vlieglijnen_wschelde_2007.14,30953.543,14,05-04-2007,,,"LINESTRING (79214.5700000003 371636.2809999995, 50722.460999999195 383732.625)"
vlieglijnen_wschelde_2007.15,32236.537,15,05-04-2007,,,"LINESTRING (77141.49199999869 372085.688000001, 47488.620999999344 384730.9059999995)"
vlieglijnen_wschelde_2007.16,30684.004,16,05-04-2007,,,"LINESTRING (79099.29699999839 370837.8440000005, 50859.58999999985 382838.9690000005)"
vlieglijnen_wschelde_2007.17,29420.076,17,05-04-2007,,,"LINESTRING (74044.6090000011 372556.5, 46972.69099999964 384073.9690000005)"
vlieglijnen_wschelde_2007.18,27935.605,18,05-04-2007,,,"LINESTRING (76110.81300000101 371191.9059999995, 50408.28099999949 382136.2190000005)"
vlieglijnen_wschelde_2007.19,42066.461,19,05-04-2007,,,"LINESTRING (73647.49199999869 371817, 34938.289000000805 388284.688000001)"
vlieglijnen_wschelde_2007.20,46131.02,20,05-04-2007,,,"LINESTRING (76960.35200000182 369952.8440000005, 34513.85200000182 388018.438000001)"
vlieglijnen_wschelde_2007.21,45444.438,21,05-04-2007,,,"LINESTRING (73353.10200000182 371078.625, 31527.25 388849.25)"
vlieglijnen_wschelde_2007.22,47638.406,22,16-04-2007,,,"LINESTRING (73524.57800000161 370564.625, 29676.631000000983 389186.5309999995)"
vlieglijnen_wschelde_2007.23,48329.707,23,16-04-2007,,,"LINESTRING (76401.82800000161 368845.9690000005, 31932.929999999702 387774.188000001)"
vlieglijnen_wschelde_2007.24,47888.84,24,16-04-2007,,,"LINESTRING (73977.39799999818 369464.4059999995, 29914.949000000954 388221.8440000005)"
vlieglijnen_wschelde_2007.25,31860.783,25,03-05-2007,,,"LINESTRING (58877.6799999997 375429.313000001, 29563.971000000834 387911.938000001)"
vlieglijnen_wschelde_2007.26,33500.137,26,03-05-2007,,,"LINESTRING (63476.949000000954 373011.3440000005, 32666.14999999851 386162.5309999995)"
vlieglijnen_wschelde_2007.27,30804.541,27,03-05-2007,,,"LINESTRING (60652.870999999344 373781.7809999995, 32308 385843.625)"
vlieglijnen_wschelde_2007.28,33810.328,28,04-05-2007,,,"LINESTRING (57901.26199999824 374543.063000001, 26796.938999999315 387796.7190000005)"
vlieglijnen_wschelde_2007.29,32400.262,29,04-05-2007,,,"LINESTRING (57987.76999999955 374053.4059999995, 28186.118999999017 386767.125)"
vlieglijnen_wschelde_2007.30,33748.215,30,04-05-2007,,,"LINESTRING (56479.33999999985 374231.186999999, 25453.5 387510.4690000005)"
vlieglijnen_wschelde_2007.31,36027.941,31,04-05-2007,,,"LINESTRING (59173.66000000015 372645.1559999995, 26054.230000000447 386826.688000001)"
vlieglijnen_wschelde_2007.32,34124.77,32,16-04-2007,,,"LINESTRING (58715.289000000805 372355.6559999995, 27369.420000001788 385844.0309999995)"
vlieglijnen_wschelde_2007.33,4253.527,33,16-04-2007,,,"LINESTRING (55233.73800000176 373464.5, 51303.6799999997 375091.5)"
vlieglijnen_wschelde_2007.34,12180.255,34,03-05-2007,,,"LINESTRING (57076.41000000015 372248.2190000005, 45808.300999999046 376872.9690000005)"
vlieglijnen_wschelde_2007.35,15964.142,35,03-05-2007,,,"LINESTRING (53945.92199999839 373124.25, 39209.89799999818 379264.563000001)"
vlieglijnen_wschelde_2007.36,23571.451,36,16-04-2007,,,"LINESTRING (56031.51199999824 371785.875, 34282.98800000176 380875.1559999995)"
vlieglijnen_wschelde_2007.37,24438.266,37,16-04-2007,,,"LINESTRING (53933.14799999818 372259.8440000005, 31410.98999999836 381745.688000001)"
vlieglijnen_wschelde_2007.38,26851.883,38,03-05-2007,,,"LINESTRING (55472.539000000805 371132, 30759.449000000954 381633.75)"
vlieglijnen_wschelde_2007.39,23645.68,39,05-04-2007,,,"LINESTRING (52232.710999999195 372081.9059999995, 30464.210999999195 381315.0309999995)"
vlieglijnen_wschelde_2007.40,22639.994,40,05-04-2007,,,"LINESTRING (51006.35200000182 372132.7190000005, 30181.5 381015)"
vlieglijnen_wschelde_2007.41,25944.293,41,05-04-2007,,,"LINESTRING (53872.039000000805 370431.9059999995, 30015.311000000685 380628.125)"
vlieglijnen_wschelde_2007.42,25293.947,42,05-04-2007,,,"LINESTRING (49777.3590000011 371754.2190000005, 26500.08999999985 381651.313000001)"
vlieglijnen_wschelde_2007.43,30196.709,43,05-04-2007,,,"LINESTRING (52821.96900000051 370044.0309999995, 25023.64999999851 381837.875)"
vlieglijnen_wschelde_2007.44,28110.453,44,05-04-2007,,,"LINESTRING (49998.3200000003 370769.2190000005, 24108.25 381719.188000001)"
vlieglijnen_wschelde_2007.45,24487.541,45,05-04-2007,,,"LINESTRING (49500.25 370563.313000001, 26964.640999998897 380143.813000001)"
vlieglijnen_wschelde_2007.46,19103.68,46,05-04-2007,,,"LINESTRING (48689.210999999195 370435.563000001, 31118.320000000298 377933.188000001)"
vlieglijnen_wschelde_2007.47,0,47,05-04-2007,,,"LINESTRING (29858.881000000983 388831.3440000005, 26380.311000000685 376130.625)"
vlieglijnen_wschelde_2007.48,0,48,16-04-2007,,,"LINESTRING (30240.73999999836 371167.1559999995, 43034.6409999989 386962.438000001)"
vlieglijnen_wschelde_2007.49,0,49,16-04-2007,,,"LINESTRING (46789.66000000015 369255.938000001, 54679.3200000003 390509.1559999995)"
vlieglijnen_wschelde_2007.50,0,50,03-05-2007,,,"LINESTRING (61914.800999999046 388618.75, 58983.58999999985 373794.9059999995)"
vlieglijnen_wschelde_2007.51,0,51,03-05-2007,,,"LINESTRING (81903.39799999818 386240.0309999995, 69063.67199999839 365969.875)"
vlieglijnen_wschelde_2007.52,0,52,03-05-2007,,,"LINESTRING (41187.699000000954 369320.313000001, 72786.81300000101 381856.375)"
vlieglijnen_wschelde_2007.53,0,53,05-04-2007,,,"LINESTRING (34881.19099999964 373961.75, 36607.1090000011 394693.75)"
