Handelsnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Bureau voor Interculturele Evaluatie B.V.;;;;;2;;2;2
Buro Vermeer;;;;;;;1;1
Burotronic B.V.;;;;;;1;;1
BusinessHosting.nl;;;;;;;2;2
BuzzMaster B.V.;1;;;;1;;1;2
Bvba BENEDEN;;;;;;;1;1
Bwise B.V.;;;;1;;;;1
Cadac Group ISV B.V.;;;;1;;;;1
Caiway;;;;;;1;2;2
Cambrium IT Services B.V.;;;;;;;2;2
Cannock Chase B.V.;;;;1;;;;1
Canon Nederland N.V.;;3;;;1;;;3
Capgemini Nederland B.V.;;;;5;;;9;9
Capra advocaten;;;;;;;1;1
Carat Nederland B.V.;;;;;;;1;1
Card Vision B.V.;;;1;;1;;;1
Carolijn Winnubst;;;;;;;1;1
Carthago ICT;;;;1;;;;1
CBizz B.V.;;;;;;1;2;2
CCV Group B.V.;;;1;;1;1;;1
Celexon Netherlands B.V.;;;;1;;;;1
Cendris Dataconsulting B.V.;;;;1;2;;;2
CensCenter B.V.;;1;1;;;;;1
Central Point Nederland B.V.;;1;1;;1;;;1
Centric Netherlands B.V.;;6;;2;;1;;6
Centric Software Engineering B.V.;;2;;;;1;;2
CGI;;3;;;;;2;3
CIIO B.V.;;;;;;;1;1
Claranet Benelux B.V.;;;;;;;2;2
Classbase Software;;;;2;;;;2
CLB Integrated Solutions B.V.;;;;3;;;;3
Clockwork B.V.;2;;;;;;;2
Cloud Telecom;;;;;;;2;2
CloudVPS;;;;;;;1;1
CLUBMOBIEL B.V.;;;;;;;2;2
CM Telecom B.V.;;;1;;3;3;1;4
Co & Co Solutions B.V.;;;;;;;1;1
Colombo B.V.;;;;;;;1;1
Colt Technology Services B.V.;;;;;;;2;2
Com-Connect B.V.;;;;1;;;;1
Comic House Amsterdam B.V.;;;;;;;1;1
Communications Security Net B.V.;;;;;;;2;2
Companies House;;;;;;1;;1
COMPAREX Nederland B.V.;2;4;7;9;5;;2;9
Compumatica Secure Networks B.V.;;;;;1;;3;3
Computel Stand-By B.V.;;;;;;;2;2
Computest Services B.V.;;;;;3;;;3
Conecto Networks B.V.;;;;;1;;;1
Connected Information Systems B.V.;;;1;;2;;;2
Conrad Electronic Benelux B.V.;;1;;;1;;;1
Considerati B.V.;;;;;;;4;4
Continental Automotive Trading Nederland B.V.;;;1;;;;;1
Continu Beter Coaching & Consultancy;;;;;;;2;2
Control Risks Benelux B.V.;;;2;;;;;2
Coolblue B.V.;;1;;;;;;1
Coolwave Communications B.V.;;;;;;;2;2
Coöp. Adv.centr. Besch. Vit. Infrastruct. UA;;;;;;;1;1
Coosto B.V.;;1;;;;;;1
Coosto Holding B.V.;;;3;2;3;1;1;4
Corps 3 op twee B.V.;;;;;1;;;1
Corpus Consultancy;;;;;;;2;2
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;;5;5
Creaim B.V.;;;1;;1;1;;1
Creapolis Media;;;;1;;;;1
Crisisplan B.V.;;;;;;;2;2
Critical Task Manager B.V.;;;1;1;;;;2
Croon Elektrotechniek B.V.;;1;;;1;;;1
CSU Airport Services;;;;;;1;;1
CTM Solution B.V.;;;;2;;;;2
Dacajami B.V.;;;;;;;1;1
Dagvoorzitter.nl;;;;;;;1;1
Dapper Advies;;;;;;;1;1
Dari Financial Services B.V.;;;;;;;3;3
DATA-collectief Groep B.V.;;;;;2;;;2
DataExpert B.V.;1;1;;2;;;;2
DataWeb B.V.;;;;;;;2;2
DAVILEX BUSINESS;;;;1;;;;1
Daxisweb B.V.;;;;;;;2;2
DDS City B.V.;;;;;;;2;2
De Galan Groep B.V.;;;;;;;2;2
De Groot B.V.;;;1;;;;;1
De Klantcontact Monitor B.V.;;;1;;;;;1
de Persgroep Nederland B.V.;;;1;;;;;1
De Perslijst;;;;;;1;;1
De Reactor;;;;;;;2;2
De Wilt-Cyrox Groep B.V.;;;1;;;;;1
Dean Connect B.V.;;;;;;;2;2
Defacto Software B.V.;;;;2;;;;2
Dekatel Telecom B.V.;;;;;;;2;2
deLex B.V.;;;1;;;;;1
Deloitte Consulting B.V.;;;;;1;;4;4
Den Haag Centrum v. Strategische Studies B.V.;;;;;;;2;2
Detailresult Logistiek B.V.;;;;;;;2;2
Detron Telecom Enterprise;3;3;1;1;3;5;;6
Deutsche Post International B.V.;;1;;;;;;1
Devani Creative;;;;;;;2;2
Deziweb B.V.;;;;1;;;;1
Dialoc ID Products B.V.;;2;;;;;;2
Digidentity B.V.;;2;1;1;;1;;3
Digital Action;;;;;;;2;2
Digital Revolution B.V.;;;1;;;;;1
DigiWorks;;1;;;1;;;1
Directions on Microsoft;;;;2;;;;2
Docspro B.V.;2;1;;2;;;;2
Document House Beuningen;;;;;1;;;1
Dolmans Opleiding en Onderzoek;;;;;;;1;1
Doxis;;;3;;;;;3
Drentea Kantoormeubelen;;;2;;;;;2
DSD Automatisering B.V.;;;;;;;2;2
DTG B.V.;;;;;;1;;1
Duijnborgh Audit B.V.;;;;1;;;;1
Dun & Bradstreet B.V.;;;;1;;;;1
Dutch Courage Film;;;;;;;2;2
E.A.L. Electronic Application Laboratory B.V.;;;;2;;;;2
Easy Office Online B.V.;;;;;;;2;2
Easynet Nederland B.V.;;;;;;;2;2
Easys Horeca B.V.;;;;;;1;;1
Eaton Industries (Netherlands) B.V.;;1;;;;;;1
ECDL Nederland;;;;1;;;;1
E-Democracy B.V.;;;;1;;;;1
Edpnet B.V.;;;;;;1;2;2
Effectory B.V.;;;;;;;1;1
eFormity;1;;;;;;;1
EGM Architecten B.V.;;;;;;;2;2
Eijlander Electronics B.V.;;1;;;;;;1
Eilie Telecom B.V.;;;;;;;2;2
ElanWave Nederland B.V.;;2;;;;;;2
Elephant Talk Mobile Services B.V.;;;;;;;2;2
Ellie Roetgerink Consultancy;;;;;;;2;2
Elseco B.V.;;;1;;;;;1
Emango Internet Services B.V.;;;;;;;2;2
E-Mergo;;;1;1;;;;2
Emhaes Visuele Communicatie B.V.;;1;1;;;;;1
EMMA Communicatie B.V.;;;;;3;;2;4
EnablE-U B.V.;;;;1;;;;1
ENGIE Services West B.V.;;;1;;;;;1
E-ngine B.V.;;;;;;1;;1
Enigmatry B.V.;;;;2;;;;2
Enliven Media;;;;;;;3;3
Entopic B.V.;;;;1;;;;1
E-Quest Automatisering B.V.;;;;;;;2;2
Equinix (Netherlands) B.V.;;7;;;;;;7
E-quipment B.V.;;;1;;;;;1
Equipment Services B.V.;;1;;;;;;1
Erasmus Universit. Medisch Centrum Rotterdam;;;;;;;3;3
Ergo2go;1;;;;;;;1
Ergo2Work;1;;1;;;;;1
Ergobrain B.V.;;1;1;;;;;1
Eringa Audiovisueel;1;;;;;;;1
Ernst & Young Accountants LLP;;;;;;;3;3
ESG de Electronische Signatuur B.V.;;;1;;;;;1
Esprit XB;;;;;;;2;2
E-TEC Power Management B.V.;;;;;1;;;1
Etikettenkoning B.V.;;;1;;;;;1
Euromate B.V.;;1;;;;;;1
Euronet Communications B.V.;;;;;;;2;2
Eveline Bets Tekst & Publiciteit;;;;;;;1;1
Evers Kassasystemen B.V.;;2;1;2;;;;2
Exact Netherlands B.V.;;;;1;;;;1
Exact Software;;;;3;;;;3
exceet Card Nederland B.V.;;;;;1;;;1
E-Zorg;;;;1;1;;;1
F&L Publishing Group;;;1;;;;;1
Facilicom Facility Solutions B.V.;;;;;;;3;3
Facilion B.V.;;;;1;;;;1
Factiva Limited;;;;3;;;;3
Faculteit der Rechtsgeleerdh. vd Universiteit;;;;;;;4;4
Faillissementsfraude.nl B.V.;;;;;;;2;2
Falck AVD;;;;2;2;;;2
Fanplay;;;1;;;;;1
Farnell (Netherlands) B.V.;;1;;;;;;1
Fase Twenty-Three;;;;;;;2;2
FDL;1;;;;;;;1
Ferro Explore B.V.;;;;;;;2;2
FiberXS Holding B.V.;;;;;;;2;2
Finalist IT Group B.V.;;;;1;;;1;1
Flamingo Television Bonaire B.V.;;;;;;1;;1
Flash Rental Services B.V.;;1;1;;2;;;2
Flex-I.D. B.V.;;;;;2;;;2
Flexposure B.V.;;1;;;;;;1
flux.partners B.V.;;;;;;;4;4
FMMU Advies B.V.;;;;;;;7;7
For Conference B.V.;;;;;;1;;1
Forensic Technology;;;;4;;;;4
Forest & Young Investments B.V.;;;;2;;;;2
Fortress Staffing Services B.V.;;;;;;;2;2
Fotografie : Paul Voorham;;;;;;;1;1
Fotografie Nienke Elenbaas;;;;;;;1;1
Fox Crypto B.V.;3;2;3;2;;;;4
Fox-IT;;3;;2;1;;;3
Frama Nederland;;1;;;;;;1
Freetel.NL B.V.;;;;;;;2;2
Friederike de Raat Journalist. & Communicatie;;;;;;1;;1
Fujitsu Technology Solutions B.V.;1;2;2;8;2;;;8
Funea Broadband Services B.V.;;1;;;;;;1
Fürst B.V.;;1;;;;;;1
Futures Studies & Manag. Consultancy B.V. FSM;;;;;;;1;1
G2 Speech B.V.;;1;;2;;;;2
G4S Cash Solutions B.V.;;;;;7;;;7
Gaastra Management;;;;;;;1;1
Galaxy Business Networks;;;;;;;2;2
Gannexion B.V.;;;1;;1;;;1
Gartner Nederland B.V.;;;4;2;;;;4
Gebr. van der Donk B.V.;;1;;;;;;1
Gelders Archief;;;;;;;2;2
Gemnet B.V.;;2;2;;2;2;;4
Geostick B.V.;;;;;;;1;1
Gezondheidscentrum voor Asielzoekers B.V.;;;;;;;3;3
GGz Centraal locatie Zon & Schild;;;;;2;;;2
Giraffe Consultancy & Coaching;;;;;;;2;2
GIRDS;;;;;;;1;1
Giskit B.V.;;;;;1;;;1
Gispen Kantoorinrichting;;;1;;;;;1
GITP B.V.;;;;;;;2;2
GITP Training & Opleiding B.V.;;;;;;;1;1
Global-e ICT solutions B.V.;;;;;;;2;2
GMI Groep B.V.;;;;;;;3;3
GnTel B.V.;;;;;;;2;2
Goud Advies;;;;;;;1;1
Gradus Groep;;;;;;;4;4
Green Valley Solutions N.V.;;;;2;;;;2
Grip Multimedia B.V.;;;;;;1;;1
GripNet B.V.;;;;1;;1;;1
Groenenboom Psychologisch Advies;;;;;;;1;1
GroupStrat B.V.;;;;;;2;;2
GSM Goodies B.V.;;1;;;;1;;1
Guapamano Ltd.;;;;;;;2;2
H. Schippers It;1;;2;;;;;2
H.R. Guest Fotografie;;;;;;;1;1
Haarsma Advocaten;;;;;;;1;1
Handelsonderneming van Dongen;;;;;;;2;2
Hanna Instruments;;1;;;;;;1
Hans van Santen Advies;;;;;;;2;2
Hawebo;;;;;;;2;2
Hbsoftware B.V.;;;;1;;;;1
HeadFirst B.V.;;;;3;;;6;6
Health2Work B.V.;1;2;1;;1;;;2
HEC B.V.;;;;;;;2;2
HeldenVan.nu;;;;;;1;;1
Hellemans Consultancy B.V.;;;;;;;2;2
Hennequin Consultancy B.V.;;;;;;;2;2
Hestec;;;;;;;2;2
Het Notuleercentrum B.V.;;;;;;;1;1
Het Pleidooi;1;;;;;;;1
Heuvelman Sound & Vision B.V.;;;;;1;;;1
Hewlett-Packard Nederland B.V.;;1;;;;;;1
Hilf Telecom B.V.;;;;;;;2;2
Hill+Knowlton Strategies B.V.;;;;;;;2;2
HL Audit B.V.;;;;;;;2;2
Hoeksma, Homans & Menting Org.adv. B.V.;;;;;;;1;1
Hoffmann Bedrijfsrecherche B.V.;;;;;;;2;2
Hollandse Hoogte B.V.;;;;;;1;;1
Homij Technische Installaties B.V.;;1;;;;;;1
Honeywell Building Solutions;;1;;;;;;1
Hostnet B.V.;;;1;;;1;;1
Houben Mediatechniek B.V.;;;;;;;1;1
HowAboutYou B.V.;;;2;;;;;2
HR-ICT;;;;;1;;;1
HVR PA/PR;;;;;;1;;1
I&K;;;1;;;;;1
i3 groep;1;7;1;4;5;;;7
i4IP;;;;;;;2;2
IBM Nederland B.V.;;;;1;1;;;2
ICATT Interactive Media B.V.;;;;1;;;;1
iCOLOGiQ;;;;2;;;;2
ICT Concept B.V.;;;;;;;2;2
ICTRecht B.V.;;;;;;;1;1
ICTroom Group B.V.;;1;;;;;1;1
iCumulus;;;;1;1;;;1
ID Ware International B.V.;;1;;1;;;;2
IDesign4you - IT Solutions;;;;1;;;;1
IDgis B.V.;;1;;;;;;1
IEPT;;;1;;;;;1
IHS Global Ltd.;;;;;;3;;3
IlionX Business Solutions B.V.;;;;;1;;2;2
Impact R&D;;;;;;;1;1
Impromex Technics B.V.;;1;1;;;;;1
Improvement-IT B.V.;;;;2;;;;2
Impulse Info Systems;;;;5;4;;;6
In2Content B.V.;;;;;;;1;1
Inbraakpreventie 'M.I.B.' B.V.;;;;;;1;;1
Incontrol Management Consultants B.V.;;;;2;;2;;3
Indocs B.V.;;;;2;;;;2
Inflecto B.V.;;;;;;;2;2
Infopact Netwerkdiensten B.V.;;;;;;;2;2
Infoprojects;;;;1;;;3;3
Information Dynamics B.V.;;;;5;;;;5
Informaxion B.V.;;;;;;;2;2
Informed Consulting B.V.;;;;;1;;;1
Infracom Internet B.V.;;;;;;;2;2
Infrastructure Services & Projects B.V.;;1;;;;1;;1
Ingenico e-Commerce Solutions B.V.;;1;;1;;;;1
Ingenieursbureau B-Ware B.V.;;;1;1;;;2;2
Ingressus B.V.;1;;3;;;;;3
Inkis B.V.;2;;;;;;3;3
Innovative Cable Management bvba;;;;;2;;;2
Innovative Design Delft (I.D.D.);;;;1;;;;1
Inotec Barcode Security B.V.;;;;;1;;;1
Inperon B.V.;;;;;;;2;2
Inprove IT B.V.;;;;2;;;;2
Insight Enterprises Netherlands B.V.;;1;5;7;1;;;7
InsightsWorld B.V.;;;;;;;1;1
Instituut Fysieke Veiligheid (IFV);;;;;4;;;4
Instituut voor Psychotrauma Nederland B.V.;;;;;;;1;1
Integron B.V.;;;;;;;2;2
Interactive Affairs B.V.;;;;1;2;;;2
Intercity Zakelijk;;;;;;;2;2
InterConnect Services B.V.;;;;;;;2;2
Intermax outsourcing;;;;;;;2;2
International Safety Research (Europe) Beheer;;;;;;;4;4
Interned Services;;;;1;;;2;2
Internet Access Facilities B.V.;;;;;;;2;2
Internet Overal B.V.;;;;;;;2;2
Internet Unie Services B.V.;;;;;1;;2;2
Interoute Managed Services Netherlands B.V.;;;;;;;2;2
Intersafe Groeneveld B.V.;;1;;;;;;1
Interstroom Informatietechnologie B.V.;;;;;;;2;2
Intimus International Netherlands B.V.;1;2;1;;;1;;2
InTouch N.V.;;;;;;;2;2
Intrum Justitia Nederland B.V.;;;;1;;;;1
Iolan B.V.;;1;;1;2;;;2
IP Begeleiding;;;;;;;2;2
IP Specials B.V.;;;;;;;2;2
IP Visie;;;;;;;2;2
IQIP B.V.;;;1;;;;;1
Iron Mountain Nederland B.V.;;;;;;;1;1
IS Group B.V.;;;1;;;;;1
ISI International Social Issues B.V.;;;;;;;2;2
iSOFT Nederland B.V.;;;;5;3;;;6
ISS Global Ltd.;;;;3;;;;3
ISS Integrated Facility Services B.V.;;;;1;;;;1
ITHandsPlus;;;;;1;;;1
Ithos Automatisering;;;;;2;;;2
IT-Recycling;;;;;1;;;1
ITSMF;;;;;1;;;1
IT-Staffing Nederland B.V.;;;;;;;6;6
ivizi maastricht;1;;;;;;;1
Ivory Studio B.V.;;;;2;;;;2
jannydierx.nl;;;;;;;2;2
Jill Thomas Associates;;;1;;;;;1
Joh. Enschedé Amsterdam B.V.;;;;;;;2;2
Johnson Health Tech. Netherlands B.V.;;1;;;;;;1
Jong & Je Wil Wat;;;;;;;2;2
Jongbloed Juridische Boekhandel;;;1;;1;;;2
JOUW® bureau B.V.;;;;1;;;;1
Juris B.V.;;;;1;;;;1
Kabel Noord B.V.;;;;;;;2;2
Kabeltex B.V.;;;;;;;2;2
Kadaster;;;1;;;1;;1
Kahuna Network Solutions B.V.;;;;;;;2;2
Kardex Systemen B.V.;;1;;;;;;1
Keesing Group B.V.;;;1;;;;;1
Keiretsu Europe B.V.;;;1;;;;;1
Kembit B.V.;;;;3;;;;3
Khonraad Software Engineering B.V.;;;;2;;;;2
Kick Smeets Fotografie;;;;;;;1;1
Knipmeijer & Blok Elektrotechniek B.V.;;;;;;;2;2
Kno-Tech Productbeveiliging;;;1;;;;;1
Knowledge Exchange B.V.;;;;;;2;;2
Kodision B.V.;;;;1;1;;;1
Koning & Hartman B.V.;;1;;;;2;;2
Koninklijke Fabrieken Posthumus B.V.;;1;;;;;;1
Koninklijke Nederl. Akademie van Wetenschapp.;;;;;;;3;3
Kop Beveiliging B.V.;;;;;1;;;1
KPMG Audit;;;;2;;;4;4
KPN B.V.;1;4;5;4;4;7;6;7
KPN B.V. Catering;;;;;;1;;1
KPN B.V. Telecom Facturering Vaste Telefonie;;;;;;1;;1
KPN B.V. Zakelijk Internet / ADSL;;;;;;1;;1
KPN Consulting B.V.;;3;1;2;1;3;4;5
KPN Contact lokatie Eindhoven;;;;;;2;;2
KPN Corporate Market;;;;1;;1;;1
KPN Mobile The Netherlands BV;;;;;;1;;1
Krauth Verhuizingen B.V.;;;;;;;1;1
Kropman Installatietechniek;;;1;;;;;1
KuiterGroningen;;;1;;;;;1
Kwink Groep B.V.;;;;;;;2;2
Laanbroek Schoeman Adviseurs B.V.;;;;;;;3;3
Laevens Margareta;;;;;;;1;1
LDC Uitgeverij B.V.;;;;1;;;;1
Lead;;;;2;;;;2
Lebara Limited;;;;;;;2;2
Leesberg Adviseurs B.V.;;;;;;;1;1
Leidsch Dagblad;;;1;;;;;1
Lentenaer B.V.;;;;;;;2;2
Letsnet;;;1;;;;;1
Level 3 Communications B.V.;;;1;;;1;;1
LexisNexis Univentio B.V.;;;;;;2;2;3
License Consulting B.V.;;;;2;;;;2
Linguistic Data Consortium;;;;1;;;;1
Ljs Automatisering B.V.;;1;;;;;;1
Lloyd's Register Nederland B.V.;;;;;;;2;2
Logeion;;;;1;;;;1
Luden's Lab;;;;;;;2;2
Lumidee B.V.;1;;;;;1;;1
Lycamobile Netherlands Ltd.;;;;;;;2;2
M&R Micro-Imaging B.V.;;;;;;;4;4
M.S.O.-Multi Micro Service-Organisatie B.V.;;1;;;;;;1
Madison Gurkha B.V.;;;;;;;2;2
Maes Consultancy;;;;;;;2;2
Mainpress B.V.;;;1;;;;;1
Manpower Personeelplanning;;;;;;;6;6
Manthei Mess Systeme;;;;1;;;;1
Manutan B.V.;;1;;;1;;;1
Mare Holland B.V.;;;;;;;3;3
Marije Ruijgh Mediation;;;;;;;1;1
Marketresponse Nederland B.V.;;;;;;;2;2
Massage Point Nederland;;;;;;;1;1
Matrix IT B.V.;;1;;;;;1;1
Maurice van Lieshout Publicaties en Projecten;;;;;;;2;2
Mavention Holding B.V.;;;;2;;;;2
Max ICT B.V.;;;1;;;;;1
MB Communicatie;;;;;;;1;1
Mediation en Advies Bureau Kaminski;;;;;;;1;1
Mediation Praktijk Uden;;;;;;;1;1
MediFirst B.V.;;;;;;;4;4
Melchior & Doceo;;;;;;;2;2
Meltwater The Netherlands B.V.;;;2;;;;;2
MerkPC;;;;;;;2;2
MessageBird B.V.;;;1;;;;;1
Metis IT B.V.;;;;;;;4;4
MichielB.com;;;;;;;1;1
Microsoft B.V.;;;;7;;;;7
Mijksenaar B.V.;;;;;;;2;2
mijndomein.nl B.V.;;;;;1;1;;1
Milvum B.V.;;;;2;;;;2
Mindful Marketing;;;;;;;1;1
Misco Nederland B.V.;1;1;1;;;;;1
Misco Solutions B.V.;7;7;3;4;5;;4;8
miTE Management Systems;;;;1;;;;1
Mitel Gebruikersgroep Nederland;;;1;;1;;;1
MKBnu;;1;;;;;;1
Mobicross;;;;;;;2;2
Mobiel Centre Marktonderzoek B.V.;;;;;;;1;1
Momice B.V.;;;;;1;;;1
Mondial Movers B.V.;;;;1;;;;1
Moonen HRM Consulting;;;;;;;1;1
More Balls Than Most B.V.;;;;;;;2;2
Morgens B.V.;;;;;;;2;2
Motiv It Masters B.V.;;;;;;;1;1
Motivaction International B.V.;;;;;;;3;3
Motto Voip B.V.;;;;;;;2;2
Movilog;;1;;;;;;1
Mproov Management en Organisatieontwikkeling;;;;;;;1;1
Mtel B.V.;;;;;;;2;2
Muiswerk Educatief B.V.;;;;;1;;;1
MultiMediations;;;;;;;1;1
Multi-Post Mail Systems B.V.;;1;;;;;;1
Multi-Post Services B.V.;;1;;;;;;1
Multivision B.V.;;;;;;;1;1
Mutsaersstichting locatie Venlo;;;;;;;1;1
MWM2 B.V.;;;;1;;;;1
MXM Creatives;;1;;;1;;;1
My Facilities B.V.;1;;;;;;;1
MyMicro Group B.V.;;1;;;;;;1
NatuurNetwerk B.V.;;;;1;;;;1
Nbd-biblion B.V.;;;;1;;;;1
NCC Group Escrow Europe B.V.;;;;1;;;;1
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;;;;;;;2;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;5;5
Nederlands Centrum voor Informatie Management;;;;;2;;;2
Nederlands Debat Instituut Holding B.V.;;;;;;;1;1
Nederlands Kleuren Centrum;;;;1;;;;1
Nedzone Internet B.V.;;;;;;;2;2
Neopost;;2;;;;;;2
Neopost Finance B.V.;;2;;;;;;2
Nesh Media;;;;1;1;;;1
Netaffairs Internetdiensten B.V.;;;;;;;2;2
Netco Technology;;;;;1;;;1
NetDialog International B.V.;;;;;4;;;4
Netexpo Internet B.V.;;;;;;;2;2
Networking4all B.V.;;;1;;;1;;1
Nextpertise B.V.;;;;;;;2;2
Nicholas Witchell NW Services;;;;;;;2;2
Nijboer Interieur en Design B.V.;;;;1;;;;1
Nijssen People Support;;;;;;;2;2
Nimsys B.V.;;;;;;;2;2
Nine Thirty B.V.;;;;2;;;;2
