Nummer;Totaal van;Jaar;Maand;Type;Land bij nationaliteit;Aantal instroom
3;Jaar, Maand, Type;2021;1;Nareiziger;;370
3;Jaar, Maand, Type;2021;2;Nareiziger;;480
3;Jaar, Maand, Type;2021;3;Nareiziger;;670
3;Jaar, Maand, Type;2021;4;Nareiziger;;890
3;Jaar, Maand, Type;2021;5;Nareiziger;;830
3;Jaar, Maand, Type;2021;6;Nareiziger;;880
3;Jaar, Maand, Type;2021;7;Nareiziger;;1.070
3;Jaar, Maand, Type;2021;8;Nareiziger;;770
3;Jaar, Maand, Type;2021;9;Nareiziger;;940
3;Jaar, Maand, Type;2021;10;Nareiziger;;1.210
3;Jaar, Maand, Type;2021;11;Nareiziger;;830
3;Jaar, Maand, Type;2021;12;Nareiziger;;1.190
4;Jaar, Type;2021;;Nareiziger;;10.120
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Afghanistan;120
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Algeria;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Cameroon;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Chad;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;China (including Hong Kong);40
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Colombia;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Congo, the Democratic Republic of the;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Egypt;40
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;El Salvador;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Eritrea;730
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Ethiopia;20
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Gambia;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Guinea;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Iran (Islamic Republic of);120
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Iraq;270
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Jordan;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Kazakhstan;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Lebanon;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Libyan Arab Jamahiriya;20
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Morocco;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Myanmar;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Pakistan;170
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Russian Federation;20
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Sierra Leone;10
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Somalia;90
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Stateless;340
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Sudan;30
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Syrian Arab Republic;6.440
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Turkey;740
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Uganda;20
7;Jaar, Type, Land bij nationaliteit;2021;;Nareiziger;Unknown;100
