FID,hoogte,soort,jaar,se_anno_cad_data,gdb_geomattr_data,shape
tophoogte.1,5.1,nat,1977,,,POINT (106747.79699999839 397509.563000001)
tophoogte.2,7.4,kunst,1978,,,POINT (104042.31199999899 397508.2190000005)
tophoogte.3,8.7,kunst,1978,,,POINT (103408.97700000182 397506.25)
tophoogte.4,5.4,nat,1977,,,POINT (106597.45300000161 397505.9059999995)
tophoogte.5,4.9,nat,1977,,,POINT (105767.6559999995 399691.811999999)
tophoogte.6,4.6,nat,1977,,,POINT (105479.68800000101 399691.2809999995)
tophoogte.7,4.6,nat,1965,,,POINT (107372.29699999839 399690.938000001)
tophoogte.8,4.6,nat,1977,,,POINT (104952.5 399689.9059999995)
tophoogte.9,3.5,nat,1977,,,POINT (101861.5390000008 399689.4059999995)
tophoogte.10,2.7,nat,1977,,,POINT (109553.11699999869 399689.375)
tophoogte.11,3.5,nat,1977,,,POINT (108745.60200000182 399689.2190000005)
tophoogte.12,2.2,kunst,1978,,,POINT (104214.54699999839 399689.063000001)
tophoogte.13,3.9,nat,1977,,,POINT (109110.75800000131 399688.75)
tophoogte.14,2.7,nat,1977,,,POINT (101506.27299999818 399688.5)
tophoogte.15,5.6,nat,1977,,,POINT (102678.4609999992 399688.5)
tophoogte.16,3.2,nat,1977,,,POINT (109976.70300000161 399688.311999999)
tophoogte.17,4.7,kunst,1977,,,POINT (109050.5700000003 399686.8440000005)
tophoogte.18,3.3,nat,1977,,,POINT (101679.45300000161 399685.938000001)
tophoogte.19,4.5,nat,1965,,,POINT (107027.1559999995 399685.436999999)
tophoogte.20,4.3,nat,1977,,,POINT (108560.70300000161 399684.5)
tophoogte.21,3.5,nat,1977,,,POINT (103170.82800000161 399683.9690000005)
tophoogte.22,5.3,nat,1977,,,POINT (102196.20300000161 399683.061999999)
tophoogte.23,4,kunst,1978,,,POINT (103441.25800000131 399681.563000001)
tophoogte.24,3.9,nat,1977,,,POINT (102076.32800000161 399681.5)
tophoogte.25,6,nat,1977,,,POINT (102525.54699999839 399681.061999999)
tophoogte.26,4.5,nat,1965,,,POINT (108155.64799999818 399680.5940000005)
tophoogte.27,5.6,nat,1977,,,POINT (102389.1799999997 399680.0940000005)
tophoogte.28,2.3,nat,1977,,,POINT (101365.2809999995 399678.436999999)
tophoogte.29,3.2,nat,1977,,,POINT (100558.38300000131 399678.1559999995)
tophoogte.30,4.1,nat,1977,,,POINT (108690.6799999997 399677.5940000005)
tophoogte.31,1.1,nat,1977,,,POINT (100466.1409999989 399676.5940000005)
tophoogte.32,4,nat,1977,,,POINT (109612.22700000182 399676.061999999)
tophoogte.33,2.4,kunst,1978,,,POINT (104378 399674.0940000005)
tophoogte.34,5,nat,1965,,,POINT (106720.85200000182 399673.8440000005)
tophoogte.35,2.8,nat,1977,,,POINT (101780.6799999997 399670.3440000005)
tophoogte.36,5,nat,1977,,,POINT (105260.42199999839 399670.2809999995)
tophoogte.37,5.1,nat,1977,,,POINT (105867.5940000005 399670.125)
tophoogte.38,4,nat,1977,,,POINT (102774.0940000005 399669.125)
