FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2012_100.1,505289,5,5289,77,128.3,51.3,1.402,-,- - - - - -,1,,,"POLYGON ((135032.6499999985 592106.7060000002, 135059.40100000054 592244.3299999982, 135255.72700000182 592206.1680000015, 135228.9750000015 592068.5439999998, 135032.6499999985 592106.7060000002))"
trend_2012_100.2,505329,5,5329,81,119.8,38.8,0.901,-,- - - - - -,1,,,"POLYGON ((135441.09200000018 592026.9160000011, 135459.82400000095 592115.0480000004, 135655.4539999999 592073.4649999999, 135636.72100000083 591985.3339999989, 135441.09200000018 592026.9160000011))"
trend_2012_100.3,505345,5,5345,85,110.2,25.2,0.441,-,- - - - - -,1,,,"POLYGON ((135590.6499999985 591995.7060000002, 135599.06500000134 592038.9959999993, 135795.3900000006 592000.8339999989, 135786.9750000015 591957.5450000018, 135590.6499999985 591995.7060000002))"
trend_2012_100.4,505353,5,5353,95,114.2,19.2,0.37,-,- - - - - -,1,,,"POLYGON ((135897.99399999902 591918.5749999993, 135913.63100000098 591952.1079999991, 136094.89299999923 591867.5839999989, 136079.25600000098 591834.050999999, 135897.99399999902 591918.5749999993))"
trend_2012_100.5,505360,5,5360,116,119.2,3.2,-0.562,2017,- - - - - -,3,,,"POLYGON ((136248.5080000013 591729.2230000012, 136217.8990000002 591682.0899999999, 136050.1649999991 591791.0179999992, 136080.7740000002 591838.1510000005, 136248.5080000013 591729.2230000012))"
trend_2012_100.6,505374,5,5374,160,164.6,4.6,-0.375,>2022,- - - - - -,3,,,"POLYGON ((136634.67599999905 591267.3460000008, 136602.53200000152 591248.0320000015, 136499.5249999985 591419.4649999999, 136531.66800000146 591438.7789999992, 136634.67599999905 591267.3460000008))"
trend_2012_100.7,505379,5,5379,132,168.9,36.9,-2.266,>2022,- - - - - -,3,,,"POLYGON ((136717.4149999991 591044.0170000009, 136505.86499999836 590962.8110000007, 136434.19200000167 591149.5269999988, 136645.7410000004 591230.7329999991, 136717.4149999991 591044.0170000009))"
trend_2012_100.8,505384,5,5384,84,163.4,79.4,-1.793,>2022,- - - - - -,3,,,"POLYGON ((136764.87000000104 590865.5009999983, 136590.1649999991 590825.1669999994, 136545.17500000075 591020.0410000011, 136719.87999999896 591060.375, 136764.87000000104 590865.5009999983))"
trend_2012_100.9,300600,3,600,575,968.4,393.4,-12.826,>2022,- - - - - -,3,,,"POLYGON ((173758.53200000152 609194.620000001, 173780.91600000113 607912.2159999982, 173580.9459999986 607908.7250000015, 173558.561999999 609191.129999999, 173758.53200000152 609194.620000001))"
trend_2012_100.10,300620,3,620,540,890.6,350.6,-18.945,>2022,- - - - - -,3,,,"POLYGON ((173943.03299999982 609201.8649999984, 174009.1499999985 607308.5190000013, 173809.27199999988 607301.5390000008, 173743.15399999917 609194.8850000016, 173943.03299999982 609201.8649999984))"
