FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2011_100.1,504322,5,4322,84,131.7,47.7,3.297,-,- - - - - -,1,,,"POLYGON ((125747.32400000095 587927.443, 125548.9059999995 588190.7540000007, 125708.63300000131 588311.1169999987, 125907.05099999905 588047.807, 125747.32400000095 587927.443))"
trend_2011_100.2,504340,5,4340,89,137.9,48.9,3.704,-,- - - - - -,1,,,"POLYGON ((125896.32400000095 588040.443, 125673.41099999845 588336.2580000013, 125833.13899999857 588456.6209999993, 126056.05099999905 588160.807, 125896.32400000095 588040.443))"
trend_2011_100.3,504358,5,4358,100,135.3,35.3,2.762,-,- - - - - -,1,,,"POLYGON ((126040.32400000095 588148.4439999983, 125874.10300000012 588369.0269999988, 126033.82999999821 588489.3900000006, 126200.05099999905 588268.807, 126040.32400000095 588148.4439999983))"
trend_2011_100.4,504377,5,4377,109,137.4,28.4,2.066,-,- - - - - -,1,,,"POLYGON ((126174.53500000015 588247.4340000004, 126047.33900000155 588410.2369999997, 126204.94099999964 588533.368999999, 126332.13699999824 588370.5659999996, 126174.53500000015 588247.4340000004))"
trend_2011_100.5,504395,5,4395,111,138.2,27.2,1.81,-,- - - - - -,1,,,"POLYGON ((126335.32400000095 588370.443, 126226.39499999955 588514.9959999993, 126386.12299999967 588635.3590000011, 126495.05099999905 588490.8060000017, 126335.32400000095 588370.443))"
trend_2011_100.6,504414,5,4414,108,137,29,1.787,-,- - - - - -,1,,,"POLYGON ((126482.32400000095 588481.443, 126374.78000000119 588624.1600000001, 126534.50699999928 588744.5229999982, 126642.05099999905 588601.8060000017, 126482.32400000095 588481.443))"
trend_2011_100.7,504432,5,4432,109,133.2,24.2,1.325,-,- - - - - -,1,,,"POLYGON ((126629.32400000095 588592.443, 126549.58399999887 588698.2630000003, 126709.31100000069 588818.6259999983, 126789.05099999905 588712.807, 126629.32400000095 588592.443))"
trend_2011_100.8,504451,5,4451,108,131.3,23.3,0.885,-,- - - - - -,1,,,"POLYGON ((126781.32400000095 588706.443, 126728.06300000101 588777.1229999997, 126887.7899999991 588897.4860000014, 126941.05099999905 588826.8060000017, 126781.32400000095 588706.443))"
trend_2011_100.9,910025,9,10025,107,216.02785753,109.02785753,-7.106,>2021,- 2 - - - -,3,,,"POLYGON ((78111.60200000182 459300.8040000014, 78614.07200000063 458798.33399999887, 78472.64999999851 458656.9129999988, 77970.1799999997 459159.3830000013, 78111.60200000182 459300.8040000014))"
trend_2011_100.10,910075,9,10075,100,234.82044384,134.82044384,-6.304,>2021,- 2 - - - -,3,,,"POLYGON ((77750.12999999896 458931.58999999985, 78203.60200000182 458493.6770000011, 78064.67000000179 458349.80999999866, 77611.19799999893 458787.72199999914, 77750.12999999896 458931.58999999985))"
