Nummer;Totaal van;Jaar;Maand;Toezichtsmaatregel;Aantal uitstroom
1;Jaar;2017;;;4120
2;Jaar, Toezichtsmaatregel;2017;;Bevel terugkeer EU lidstaat;590
2;Jaar, Toezichtsmaatregel;2017;;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);2410
2;Jaar, Toezichtsmaatregel;2017;;Overdrachtsdossier aan DT&V zonder meldplicht;30
2;Jaar, Toezichtsmaatregel;2017;;Periodieke meldplicht met een overdrachtsdossier aan DT&V;350
2;Jaar, Toezichtsmaatregel;2017;;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;730
3;Jaar, Maand;2017;1;;380
3;Jaar, Maand;2017;2;;370
3;Jaar, Maand;2017;3;;380
3;Jaar, Maand;2017;4;;280
3;Jaar, Maand;2017;5;;330
3;Jaar, Maand;2017;6;;270
3;Jaar, Maand;2017;7;;370
3;Jaar, Maand;2017;8;;370
3;Jaar, Maand;2017;9;;340
3;Jaar, Maand;2017;10;;360
3;Jaar, Maand;2017;11;;340
3;Jaar, Maand;2017;12;;330
4;Jaar, Maand, Toezichtsmaatregel;2017;1;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2017;1;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);240
4;Jaar, Maand, Toezichtsmaatregel;2017;1;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2017;1;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2017;2;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;2;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);200
4;Jaar, Maand, Toezichtsmaatregel;2017;2;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2017;2;Periodieke meldplicht met een overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2017;2;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2017;3;Bevel terugkeer EU lidstaat;60
4;Jaar, Maand, Toezichtsmaatregel;2017;3;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;3;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2017;3;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2017;3;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2017;4;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;4;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);150
4;Jaar, Maand, Toezichtsmaatregel;2017;4;Periodieke meldplicht met een overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2017;4;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2017;5;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;5;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);180
4;Jaar, Maand, Toezichtsmaatregel;2017;5;Periodieke meldplicht met een overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2017;5;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2017;6;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2017;6;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);160
4;Jaar, Maand, Toezichtsmaatregel;2017;6;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2017;6;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2017;7;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;7;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;7;Periodieke meldplicht met een overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2017;7;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2017;8;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;8;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;8;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2017;8;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2017;9;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2017;9;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);220
4;Jaar, Maand, Toezichtsmaatregel;2017;9;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2017;9;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2017;10;Bevel terugkeer EU lidstaat;60
4;Jaar, Maand, Toezichtsmaatregel;2017;10;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;10;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2017;10;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2017;11;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;11;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;11;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2017;11;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2017;12;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2017;12;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);210
4;Jaar, Maand, Toezichtsmaatregel;2017;12;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2017;12;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
