Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
C-Mark B.V.;;;5;;;;;5
CNVP (Connecting Natural Values & People) Foundation;;;2;;;;;2
Co2-Net B.V.;;;2;;;;;2
CoÃƒÂ¶peratie Royal FloraHolland UA;;;1;;;;;1
Coanta Consult;;;1;;;;;1
Code Yellow B.V.;;;1;;;;;1
Coen Teulings Consult;;;1;;;;;1
Collegamento Advies B.V.;;;1;;;;;1
Coloma;;;1;;;;;1
Columbiss;;;2;;;;;2
CommPartners;;;1;;;;;1
Communicating Sustainability;;;2;;;;;2
Communication Concert B.V.;;;2;;;;;2
Compabox B.V.;;;1;;;;;1
Compass;;;2;;;;;2
Competence Management Consulting;;;2;;;;;2
Coniche IN consultancy & projects B.V.;;;2;;;;;2
Connect to Participate B.V.;;;1;;;;;1
Connectholland B.V.;;;1;;;;;1
Consensus Services B.V.;;;1;;;;;1
Considerati B.V.;;;3;;;;;3
Constructief Marketing en Managementexpertise;;;3;;;;;3
Consulaat-Generaal in Dubai;;;1;;;;;1
Consultancy Services International Ltd.;;;2;;;;;2
Consumer Technology Association (CTA);;;2;;;;;2
ContentKalender B.V.;;;1;;;;;1
Cooler Media B.V.;;;2;;;;;2
Coöperatie Bosgroep Midden Nederland U.A.;;;2;;;;;2
Coöperatie De Betekenaar U.A.;1;;;;;;;1
Coöperatie Doon U.A.;;;2;;;;;2
Coöperatie Leren voor Morgen U.A.;;;5;;;;;5
Coöperatie Netwerk & Co. U.A.;;;2;;;;;2
Coöperatie Social Enterprise Lab U.A.;;;3;;;;;3
Coöperatieve Vereniging KWH U.A.;;;2;;;;;2
Coos Online Media B.V.;;;1;;;;;1
Copper en Co;;;1;;;;;1
Copper8 B.V.;;;2;;;;;2
Coriolis EPC B.V.;;;2;;;;;2
Corner Aid;;;2;;;;;2
Corporate Facility Partners B.V.;;;2;;;;;2
Corps 3 op twee B.V.;;;1;;;;;1
Covetrus B.V.;;;5;;;;1;5
CR Management Consultancy;;;2;;;;;2
Cre-Aid B.V.;;;1;;;;;1
Crebos Nederland B.V.;2;;;;;;;2
Creditreform Rating AG;;;2;;;;;2
CREM;;;2;;;;;2
Crisislab;;;2;;;;;2
Crisp Consultancy;;;1;;;;;1
CRS Consultancy B.V.;;;2;;;;;2
CSR Ukraine;;;2;;;;;2
D.A.G.;;;1;;;;;1
D.A.P. Flevoland;;;1;;;;;1
D.O.G. ingenieurs B.V.;;;9;;;;;9
DAC Brielle;;;1;;;;;1
DAC ZuidOost Herkauwers & Paarden B.V.;;;1;;;;;1
DaeD Ingenieurs;;;1;;;;;1
Dairy Training Centre B.V.;;;3;;;;;3
Dajebo Consulting B.V.;;;1;;;;;1
Daklapack Europe B.V.;;;1;;;;;1
Damaris Matthijsen;;;1;;;;;1
Damen Shipyards;;;7;;;;;7
DAP de Hagmolen;;;1;;;;;1
DAP DE VAREN;;;1;;;;;1
DAP Krommerijnstreek;;;1;;;;;1
DARE!! Services B.V.;;;1;;;;;1
Darel Consultancy B.V.;;;2;;;;;2
Daria Design;;;2;;;;;2
DataLand B.V.;;;2;;;;;2
Datenna B.V.;;;4;;;;;4
D-Cision B.V.;;;2;;;;;2
DDAI;;;1;;;;;1
De Baaij, Verbeeten & Partners B.V.;;;2;;;;;2
De Bezorgbakker;;;1;;;;;1
De Boer Onderzoek & Projectmanagement;;;3;;;;;3
De Bruyn Oploo B.V.;;;2;;;;;2
De Coöperatieve Samenleving B.A.;;;1;;;;;1
Dé Duurzame Uitgeverij B.V.;;;1;;;;;1
De Galan Groep B.V.;;;3;;;;;3
De Gebouwengids;;;1;;;;;1
De Gemeynt Coöperatie UA;;;1;;;;;1
De Graafschap Dierenartsen B.V.;;;1;;;;;1
De Groot & Rooijakkers B.V.;;;2;;;;;2
De Haas Horstenbleek B.V.;;;1;;;;;1
De Investeringsmaatschappij B.V.;;;2;;;;;2
De Jong V.O.F.;;;2;;;;;2
De Kolk B.V.;;;2;;;;;2
De Laar B.V.;;;2;;;;;2
De Moor Tekst & Uitleg;;;2;;;;;2
De Natris Consult;;;2;;;;;2
De Nieuwe Pelgrim;;;1;;;;;1
De Oude Bibliotheek B.V.;;;2;;;;;2
De Peelrand;;;2;;;;;2
De schaal van Kampen;;;1;;;;;1
De Sierkamp V.O.F.;;;5;;;;;5
De Staffing Groep Nederland B.V.;7;;;;;;;7
De Sterke;;;2;;;;;2
De Textexpert;;;1;;;;;1
De Toezichtsfluisteraar;;;3;;;;;3
De Verenigingsmakelaar;;;2;;;;;2
De Zakencoach;;;2;;;;;2
De Zevensprong Coöperatie U.A.;;;2;;;;;2
Debbee Dale Development Limited;;;1;;;;;1
Decisio B.V.;;;2;;;;;2
Decoded;;;1;;;;;1
Deen Denkt & Doet;;;3;;;;;3
Deerns Nederland B.V.;;;2;;;;;2
defKon Solutions;;;2;;;;;2
DEKRA Certification B.V.;2;;3;;;;;3
Deloitte Consulting B.V.;;;5;;;;;5
Deloitte Financial Advisory B.V.;;;1;;;;;1
Delphy B.V.;;;5;;;;;5
Delta Context B.V.;;;2;;;;;2
Demetris Diergezondheid B.V.;;;1;;;;;1
Demis B.V.;;;2;;;;;2
Democratie in uitvoering;;;1;;;;;1
denkpeter;;;2;;;;;2
Deschutter Consultancy;;;2;;;;;2
Deskbookers B.V.;;;1;;;;;1
Det Norske Veritas B.V.;;;4;;;;;4
Detron Communication Solutions;;;;;;2;;2
Deutsche Gesellschaft F?r Internationale Zusammenarbeit GmbH;;;;;;;;
Deutsche Windguard;;;1;;;;;1
DEVAID LIMITED;;;1;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;;4;;;;;4
Dhi;;;4;;;;;4
Diabel NDAW;;;1;;;;;1
Dialogic Innovatie & Interactie;;;6;;;;;6
Diana de Graaf Advies;;;3;;;;;3
Dick & Doof Contractors BV;;;6;;;;;6
Die Dame;;;1;;;;;1
Dier Gezondheids Centrum Boven-Veluwe;;;1;;;;;1
Dieren Opvang Centrum De Horizon;;;3;;;;;3
Dierenarts Annemieke Calis;;;1;;;;;1
Dierenartsen AnimalCare;;;1;;;;;1
Dierenartsen Midden Brabant;;;1;;;;;1
Dierenartsencentrum Hoogvliet-Spijkenisse;;;1;;;;;1
Dierenartsenpraktijk A.J. Diender;;;1;;;;;1
Dierenartsenpraktijk Andreas Stad B.V.;;;1;;;;;1
Dierenartsenpraktijk Beilen;;;1;;;;;1
Dierenartsenpraktijk Bolwerk;;;1;;;;;1
Dierenartsenpraktijk de Eenhoorn B.V.;;;1;;;;;1
Dierenartsenpraktijk de Zuidwesthoek;;;1;;;;;1
Dierenartsenpraktijk Deil G.H. Mensen;;;1;;;;;1
Dierenartsenpraktijk Ell;;;1;;;;;1
Dierenartsenpraktijk Elst B.V.;;;1;;;;;1
Dierenartsenpraktijk Kollum-Buitenpost;;;1;;;;;1
Dierenartsenpraktijk Nijkerk-Wellensiek;;;1;;;;;1
Dierenartsenpraktijk Noord-Oost Twente;;;1;;;;;1
Dierenartspraktijk Europawijk Haarlem;;;1;;;;;1
Dierenartspraktijk Hillegersberg;;;1;;;;;1
Dierenartspraktijk Proosdijlanden;;;1;;;;;1
Dierenartspraktijk Van Werven B.V.;;;1;;;;;1
Dierenhotel De Mère;;;2;;;;;2
Dierenkliniek Brusselsepoort;;;1;;;;;1
Dierenkliniek de Kempen;;;1;;;;;1
Dierenkliniek Den Ham B.V.;;;1;;;;;1
Dierenkliniek Eisenhower;;;1;;;;;1
Dierenkliniek Erasmusplein;;;1;;;;;1
Dierenkliniek Ermelo;;;1;;;;;1
Dierenkliniek Hoorn;;;1;;;;;1
Dierenkliniek IJzendijke B.V.;;;1;;;;;1
Dierenkliniek Kapellerlaan;;;1;;;;;1
Dierenkliniek Meerwijk;;;1;;;;;1
Dierenkliniek Meursing;;;1;;;;;1
Dierenkliniek Nesselande;;;1;;;;;1
Dierenkliniek Noordwijk;;;1;;;;;1
Dierenkliniek Papendrecht;;;1;;;;;1
Dierenkliniek Pasteurstraat;;;1;;;;;1
Dierenkliniek Roerdalen;;;1;;;;;1
Dierenkliniek Sas van Gent;;;1;;;;;1
Dierenkliniek Schiedam-Noord;;;1;;;;;1
Dierenkliniek Sijbrandij;;;1;;;;;1
Dierenkliniek Terneuzen;;;1;;;;;1
Dierenkliniek Vlagtwedde;;;1;;;;;1
Dierenkliniek Zwarte Zee;;;1;;;;;1
Dierenpension 't Hoogeland;;;5;;;;;5
Dierenziekenhuis Rotterdam B.V.;;;1;;;;;1
DIG - Design Innovation Group B.V.;;;1;;;;;1
Digitale Zaken;;;;;;1;;1
Ditty Blom Plan+Project;;;2;;;;;2
DLV Intensief Advies B.V.;;;4;;;;;4
DNV GL Netherlands;;;2;;;;;2
DNV GL Netherlands B.V.;;;6;;;;;6
Docfactory B.V.;;;2;;;;;2
Dogs Beautysalon Melissa;;;1;;;;;1
Dolmans Calamiteiten Diensten;;;1;;;;;1
Don Offermans;;;3;;;;;3
Donkergroen creators B.V.;;;3;;;;;3
Dorpsraad Wijk aan Zee;;;;;1;;;1
Douma Consultancy;;;2;;;;;2
DPI;;;2;;;;;2
Dr. van Haeringen Laboratorium B.V.;;;1;;;;;1
Dr2 Events & Campaigns;;;4;;;;;4
Driessen United Blenders B.V.;;;1;;;;;1
Driessen Vlierden Transport B.V.;;;1;;;;;1
Drs. Irma van Leeuwen MRE;;;1;;;;;1
DRWorks;;;1;;;;;1
DS Ontwerp en Onderzoek B.V.;;;2;;;;;2
DTU;;;1;;;;;1
Dudok Den Haag B.V.;;;1;;;;;1
Duff & Phelps;;;2;;;;;2
Duke Faunabeheer;;;1;;;;;1
DuneWorks B.V.;;;1;;;;;1
DuretTrip Notarissen N.V.;;;2;;;;;2
Dusseldorp Infra,Sloop en Milieutechniek B.V.;;;2;;;;;2
Dutch - Colombian Chamber of Commerce (Holland House);;;2;;;;;2
Dutch Boosting Group;;;1;;;;;1
Dutch Cuisine;;;2;;;;;2
Dutch Research Institute for Transitions B.V.;;;4;;;;;4
Duurzaam Gebouwd B.V.;;;2;;;;;2
Duwtje B.V.;;;3;;;;;3
DWA B.V.;;;4;;;;;4
Dwarsverband;;;2;;;;;2
E&E advies;;;2;;;;;2
E4 Consulting;;;2;;;;;2
Earforce B.V.;;;1;;;;;1
Ebbinge B.V.;;;2;;;;;2
ECHT regie in transitie B.V.;;;2;;;;;2
Echt Syl Coaching;;;1;;;;;1
ECN part of TNO;;;4;;;;;4
ecoengineers;;;2;;;;;2
Eco-movement B.V.;;;2;;;;;2
Economic Insights Pty Ltd;;;3;;;;;3
Economic Sense Pty Ltd;;;1;;;;;1
e-Conomics;;;1;;;;;1
Ecoreview;;;1;;;;;1
Ecorys B.V.;;;4;;;;;4
ECORYS Nederland B.V.;;;6;;;;;6
Ecovia Intelligence;;;4;;;;;4
ECS Consultores;;;2;;;;;2
EDC Environmental & Dredging Consultancy;;;2;;;;;2
EdDDD;;;2;;;;;2
Edelmetaal Waarborg Nederland B.V.;;;1;;;;;1
EDGE Workspaces 1 B.V.;;;1;;;;;1
Ednoco LLC;;;3;;;;;3
Efectis Nederland B.V.;;;1;;;;;1
Effectory Holding B.V.;;;3;;;;;3
EGEN B.V.;;;2;;;;;2
EHM Hotel Lelystad B.V.;;;1;;;;;1
EIB;;;3;;;;;3
Eiffel B.V.;;;7;;;;;7
Eigeman-ID;;;2;;;;;2
Ekinetix B.V.;;;2;;;;;2
Elanor B.V.;;;2;;;;;2
Elektrotechnische Studievereniging Scintilla;;;1;;;;;1
Elycio Talen B.V.;;;1;;;;;1
EM2;1;;;;;;;1
Embaixada do Reino dos Países;;;1;;;;;1
Embee Projects;;;2;;;;;2
Emergentie;;;1;;;;;1
EMMA Communicatie B.V.;;;3;2;;;;3
EMMA Communicatie Holding B.V.;;;4;;;;;4
Emobility Consulting B.V.;;;2;;;;;2
Empact;;;2;;;;;2
Employee Performance Group B.V.;;;1;;;;;1
Empow'Her Niger/ L’Oasis des Entrepreneurs;;;2;;;;;2
EMVI-Research;;;1;;;;;1
Enact Sustainable Strategies B.V.;;;4;;;;;4
ENCONET Consulting Ges.m.b.h.;;;3;;;;;3
ENDULE B.V.;;;2;;;;;2
Ener-D;;;1;;;;;1
Energie ambassadeur;;;2;;;;;2
Energie Media B.V.;;;3;;;;;3
Energieonderzoek Centrum Nederland;;;3;;;;;3
Energiepartners B.V.;;;3;;;;;3
Energy Delta Institute B.V.;;;2;;;;;2
Energy Storage TCP;;;1;;;;;1
Energypedia;;;2;;;;;2
ENVIR Advocaten B.V.;;;3;;;;;3
EP Center Netherlands B.V.;;;1;;;;;1
Epro B.V.;;;2;;;;;2
Epro Consult B.V.;;;2;;;;;2
Equine Dentistry Holland;;;1;;;;;1
Equipoise B.V.;;;2;;;;;2
EquiRooz;;;1;;;;;1
Erasmus Centre for Urban;;;3;;;;;3
Erasmus University Centre for Contract Research and Business;;;2;;;;;2
Ergo B.V.;;;2;;;;;2
ERIS LEGAL Rechtsanwälte PartG mbB Korch Scharm;;;;;1;;;1
Erivon B.V.;;;2;;;;;2
Ernst & Young Accountants LLP;;;5;;;;;5
Ernst & Young Belastingadviseurs LLP;;;2;;;;;2
Esther van Rijswijk;;;1;;;;;1
Ethics at Work;;;1;;;;;1
eTransitie;;;2;;;;;2
Eur. Regional Affairs Consultants (Erac) B.V.;;;3;;;;;3
Euregio Rijn-Waal;;;2;;;;;2
Eurobras Trading;;;3;;;;;3
European Gateway Services B.V.;;;1;;;;;1
European Policy Solutions;;;1;;;;;1
European Policy Solutions Ltd;;;1;;;;;1
