Handelsnaam;5210 - Wagenpark;Eindtotaal
(NIET GEBRUIKEN) Car Cool Center;1;1
A. de Jong T.H. Beheer;2;2
A. v. Tilburg Handelsond. en Techniek B.V.;1;1
A.P.K. Centrum Osdorp B.V.;1;1
Aanhangwagen Centrum Eindhoven B.V.;1;1
Aboma;1;1
Accu Centrale Hippo (ACH) B.V.;1;1
AD-S&Co B.V.;1;1
Aebi Schmidt Nederland B.V.;2;2
Aero Marche B.V.;1;1
Air Liquide B.V.;1;1
Aircontrol Automotive B.V.;1;1
Airlet Continental B.V.;2;2
Albers Zeilmakerij B.V.;1;1
Al-Ko Kober B.V.;1;1
Alphatron Marine B.V.;1;1
Altop Kunststoftechniek B.V.;1;1
ANWB B.V.;4;4
Ardea Auto Den Haag;7;7
Ardea Auto Rotterdam-West;1;1
Arend Auto B.V.;1;1
Ass. Autofauteuils B.V.;1;1
ASV Automobielbedrijven B.V.;4;4
Athlon Car Lease Nederland B.V.;8;8
Ausma Motorenrevisie B.V.;2;2
Autec Hefbruggen B.V.;1;1
Auto Muntstad Zeist;1;1
Auto Rega B.V.;1;1
Auto ReGa Noord;1;1
Autobedrijf Hans Versteden B.V.;1;1
Autobedrijf Hölscher;1;1
Autobedrijf Preuninger Haagland B.V.;7;7
Autobedrijf van den Udenhout B.V.;2;2
Autobedrijf Wagenmaker B.V.;1;1
Autobedrijven Noorderpoort;1;1
Autocentrum Castricum B.V.;1;1
Automobielbedrijf Stoomberg B.V.;1;1
Automotions MB Roosendaal;1;1
Autoplex Zevenaar B.V.;3;3
Autopoetsbedrijf Kleiboer V.O.F.;1;1
Autoschade J. Niesing B.V.;2;2
Autoschade Rijnders Amersfoort B.V.;3;3
Autoverhuur Bultman B.V.;1;1
B.V. Motor-Parts Etten-Leur;1;1
B.V. Rotterdamse Gar.- & Autom.Mij. 'Rogam';1;1
B.V. Utrechts Auto Bedrijf U.A.B.;1;1
B.V.D.A. International B.V.;1;1
Bakker Bedrijfswagens Scherpenzeel;1;1
Bandorama B.V.;2;2
Bart Strijbosch B.V.;1;1
BAS Groep B.V.;1;1
BCD Travel Nederland B.V.;1;1
Bedrijfswagen Service Friesland B.V.;2;2
BekkerLaGram Waalwijk B.V.;1;1
Benzine Super Markt Rijckholt V.O.F.;1;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;2;2
Besbo Automaterialen B.V.;2;2
Besseling Onderhoud B.V.;1;1
Best Environmental & Safety Technology B.V.;1;1
Betam Truck & Carwash;1;1
Betam Truck & Carwash Schiphol;1;1
Betanco;1;1
Biemond & Van Wijk;4;4
Biesheuvel Groep B.V.;1;1
Bloks Auto en Autoschade;1;1
Bluekens Truck en Bus B.V.;1;1
Bochane Auto I Zeist;1;1
Boels Verhuur;1;1
Bondewel Oliën en Gassen (Terneuzen) B.V.;1;1
Bourguignon Leeuwarden B.V.;1;1
Brammer Eindhoven B.V.;1;1
Breeland B.V.;1;1
Brezan Automaterialen Goes;2;2
Broekhuis Deventer;1;1
Broekhuis Enschede B.V.;1;1
Bron Gascare B.V.;1;1
Broos Revisie B.V.;1;1
Broshuis B.V.;1;1
Brotec Benelux B.V.;1;1
Brouwer Motors B.V.;1;1
Buijtendijk B.V.;1;1
Bulthuis Truck- en Traileronderdelen B.V.;2;2
Bureau Veritas Marine Nederland B.V.;2;2
Burg Trailer Service B.V.;1;1
Burger Ferry Agencies B.V.;1;1
Burtec B.V.;1;1
Cannock Chase Public;1;1
Car Cleaning Correct B.V.;3;3
Car Cool Center;1;1
Carglass B.V.;1;1
Cargotec Netherlands B.V.;1;1
Carrier Transicold, Vego Trans;1;1
Carrosserie Akkermans B.V.;3;3
Carrosseriefabriek Veth Arnhem B.V.;2;2
Cartal Schagen;1;1
Carwash Coevorden;1;1
Carwash Leeuwarden B.V.;1;1
Centrum Garage;1;1
Chaser International;1;1
Claushuis Groep;1;1
Clean = Clean B.V.;1;1
Complete Store Van Dijk B.V.;2;2
Connexxion Tours B.V.;4;4
Conrad Electronic Benelux B.V.;1;1
Constructor Dexion Holland B.V.;1;1
Continental Banden Groep B.V.;1;1
Coolen B.V.;1;1
Cornelis Bedrijfsauto's B.V.;1;1
Creemers Compressors B.V.;1;1
D. van Dam B.V.;1;1
D.F. Krijgsman Automaterialen B.V.;1;1
DAF Trucks N.V.;3;3
ddcom (van Dulmen - Docpoint Combinatie);1;1
De Boer Dier & Ruiter B.V.;1;1
De Burgh Acht B.V.;1;1
De Burgh Son B.V.;1;1
De Molen Banden;1;1
De Molen Banden B.V.;2;2
De Pooter Olie B.V.;1;1
'De Tijd' Bedrijfskleding;1;1
De Vier Gewesten B.V.;2;2
De Vlas Transport B.V.;1;1
Den Hartogh Cleaning B.V.;1;1
Destil B.V.;1;1
DHL International B.V.;1;1
Diaber Benelux B.V.;1;1
Dijssel B.V.;6;6
Dog Sport Holland;1;1
doosopmaat.nl;1;1
Drõger Nederland B.V.;1;1
Drotech B.V.;1;1
E.B. Bredow Hydraulick Heerhugowaard B.V.;2;2
E.B.O. van Weel Beheer B.V.;2;2
E.T. Euro Trade Nederland B.V.;1;1
Eberca B.V.;1;1
Eenzet Handelsonderneming B.V.;1;1
Eilers Handel Nederland B.V.;1;1
El.-Techn. Bur. De Jong & Zn. Leiden B.V.;1;1
Electrostart B.V.;1;1
Elzinga;1;1
Ematra Richttechniek B.V.;2;2
Engbers Motors B.V.;1;1
Erica Recreatie B.V.;1;1
Eriks B.V.;1;1
Esso Vissers Odiliapeel;1;1
Esve B.V.;2;2
Eurocross Assistance Netherlands B.V.;2;2
Euromaster Bandenservice;2;2
Euro-Roller Technics B.V.;1;1
Evobus Nederland B.V.;1;1
Exide Technologies B.V.;1;1
Fa. D.J. van Dijk Doe het zelf artikelen;1;1
Fabory Nederland;1;1
Falkom Kranen Import B.V.;1;1
Federal Express Nederland;1;1
Fisher Emergo B.V.;1;1
Forte Midden Nederland;1;1
G.P.M. van Sleeuwen Motoren;2;2
Garage Rinsma Berlikum B.V.;1;1
Garagebedrijf Gebrs Van Dongen B.V.;4;4
Gaston Hydrauliek en Laadtechniek B.V.;1;1
Gebben Motoren B.V.;1;1
Gebr. Ligthart Carrosserie- en Tankbouw B.V.;1;1
Geertsma Tankstations B.V.;1;1
Gehlmax Nederland B.V.;1;1
Gencom Products B.V.;1;1
Gentec Energy B.V.;1;1
Gomes Schiphol;1;1
Gomes Warmenhuizen;2;2
Groeneveld Transp. Efficiency Nederland B.V.;1;1
Gröninger Cleaning Systems B.V.;1;1
H. de Vries Reinigingsapparatuur B.V.;1;1
Haar Nederland C.V.;1;1
Hamer B.V.;1;1
Handelsonderneming A.C. Rijpstra;1;1
Handelsonderneming Dirks B.V.;1;1
Harbers Trucks Apeldoorn B.V.;1;1
Harbers Trucks Barneveld B.V.;4;4
Harbers Trucks Veenendaal B.V.;1;1
Harry Meijer B.V.;1;1
Hartgers Radiateuren Zutphen;1;1
Hatz-Nederland B.V.;1;1
Heffiq Heftruck Verhuur B.V.;1;1
Heinen & Hopman Engineering B.V.;2;2
Hendriks Lottum;1;1
Hertz Automobielen Nederland B.V.;1;1
Het Motorhuis;8;8
Hippisch Centrum Muiderberg;1;1
Hobur Twente B.V.;1;1
Holland Inbouw;1;1
Hollandse Telecommunicatie Maatschappij;2;2
Holmatro Rescue Equipment;1;1
Hoogeboom Zeilmakerij B.V.;2;2
Hoppecke Batterijen Nederland B.V.;1;1
Hugen Brandbeveiliging en Adviesbureau B.V.;1;1
Huijsmans Service Center B.V.;1;1
IHC Hytech B.V.;3;3
Industrial Solutions Zuid-Oost B.V.;1;1
Int. Handelsonderneming 'Explora' B.V.;1;1
Intercédé B.V.;2;2
Intimus International Netherlands B.V.;1;1
ITS Hendrion B.V.;2;2
Iveco Nederland B.V.;1;1
Jager & Wiering H.O. Pirtek Utrecht;1;1
Jaguar Land Rover Nederland B.V.;2;2
Jan de Wit Autocars N.V.;4;4
