;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal;
Pactechno;;;;;;;;1;1;
Papyrus Groep Nederland B.V.;;;;;;;;2;2;
Patswerk;;;;;1;;;;1;
PerkinElmer Nederland B.V.;;;;;;;;2;2;
PHC Europe B.V.;;;;;;;;1;1;
POL Heteren B.V.;;;;;;;;1;1;
Poly Temp Scientific;;;;;;;;1;1;
Profix Benelux B.V.;;;;;1;;;;1;
Protinus IT B.V.;;;;;2;;2;3;4;
Punt Zes;;1;;;;;;;1;
Questionmarkgroup B.V.;1;;;;;;;;1;
R.B.A. Frijlink thodn de Gelderse IJzerhandel;;;1;;;;;2;2;
Rae Benelux B.V.;;;;;;;;1;1;
Rajapack Benelux;;;;;;;;1;1;
Rational Nederland Grootkeukentechniek B.V.;1;;1;;;;;;1;
Record Industrie B.V.;;;;;;;;1;1;
Reisswolf Nederland B.V.;;;;;;2;;;2;
Rendac Son B.V.;;;;;;2;;;2;
Renewi Nederland B.V.;;;;;;6;;;6;
Rentokil hygiene;;;2;;;;;;2;
Ritom Beveiligingstechniek B.V.;;1;;;;;;;1;
Robor Electronics B.V.;;;;;;;;1;1;
Rubix-Group;;;;;;;;1;1;
Ruys Handelsvereniging B.V.;;;;;;;;1;1;
Safescan;;;;;;;;1;1;
Schippers Bladel B.V.;;;;;;;;2;2;
Schoondergang Van Zwanenburg Serv.&Ond. B.V.;;;;;;;1;;1;
Schoonmaakbedrijf Jansma & Dik B.V.;;;1;;;;;;1;
Schoonmaakbedrijf Libelle Amsterdam B.V.;;;1;;;;;;1;
Securitas Beveiliging B.V.;;4;;;;;;;4;
Security Monitoring Centre;;2;;;;;;;2;
Selecta Netherlands B.V.;3;;;;;;;;3;
Senlas;;;;;;;1;;1;
Shimadzu Benelux;;;;;;;;2;2;
Shurgard Self-Storage Capelle;;;;;2;;;;2;
Siemens Nederland N.V.;;1;;;;;;;1;
Sismatec B.V.;;;;;;;;1;1;
Smeding B.V.;;2;;;;;1;;2;
Snijders Hammerlit;;;;;;;;1;1;
Spectrometry Vision B.V.;;;;;;;;4;4;
Staples Nederland B.V.;;;;;;;;2;2;
Sysmex Nederland B.V.;;;;;;;;1;1;
t Paradijs B.V.;1;;;;;;;;1;
Technics Trading & Calibration B.V.;;;;;;;;1;1;
Technische Unie;;;;;;;;1;1;
The Baker Company Benelux B.V.;;;;;;;;1;1;
Thermo Fisher Scientific B.V.;;;;;;;;2;2;
Transposafe Systems;;;;;;;;1;1;
Trescal NV;;;;;;;;1;1;
Turner;;;;;1;;;;1;
Uitgeverij de 12 Provinciën B.V.;;;;;;;;1;1;
UTS Bernardt Archief- en Databeheer B.V.;;;;;1;;;;1;
V.O.F. Schoonmaakbedrijf De Vries Flevoland;;;1;;;;;;1;
Van Dorp installaties Amsterdam;;;;;;;;1;1;
VAN GAAL B.V.;;;;;;;;1;1;
Van Swinden Laboratorium;;;;;;;;1;1;
Van Tol Laboratoriumtechniek B.V.;;;;;;;;1;1;
Vee-Service Drunen B.V.;;;;;;;;1;1;
Verder Scientific Benelux;;;;;;;;1;1;
Verkoopcoöperatie van 'Den Helder' BA;;;;;;;;1;1;
Viking Life-Saving Equipment B.V.;;;;;;;;2;2;
Vinitex Laboratoriuminrichtingen B.V.;;;;;;;;1;1;
Virbac Nederland B.V.;;;;;;;;2;2;
Vitagro;;;;;;;;1;1;
Vitesse Textielreinigers B.V.;;;;;;;;1;1;
VWR International B.V.;;;1;;;;1;2;2;
Waters Chromatography B.V.;;;;;;;;2;2;
Westfalen Gassen Nederland B.V.;;;;;;;;1;1;
Wildlife Monitoring Solutions B.V.;;;;;;;;1;1;
Wiltec B.V.;;;;;;;;1;1;
Worktrainer B.V.;;;;;;;1;;1;
Xerox (Nederland) B.V.;;;;;3;;;;3;
Zwick GmbH & Co. KG;;;;;;;;2;2;
Eindtotaal;6;4;4;1;4;6;4;7;7;
