FID,id,gebied,omschrijving,geldig_van,geldig_tot,aanmaak_dd,mutatie_dd,bron,entiteit,systeem,status,lengte_km,se_anno_cad_data,gdb_geomattr_data,shape
verkeersscheidingsstelsel.13,13,Brown Ridge,Begrenzing Brown Rigde zuid 1,2008-07-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,2.73517905,,,"LINESTRING (485448.8439999996 5912859.6666, 488019.5197999999 5911925.4124)"
verkeersscheidingsstelsel.14,14,Brown Ridge,Begrenzing Brown Rigde zuid 2,2008-07-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,2.79337885,,,"LINESTRING (491267.34360000025 5910638.9758, 493873.5525000002 5909633.669299999)"
verkeersscheidingsstelsel.56,56,Vlieland,Begrenzing separatiezone OFF Vlieland westzijde 1,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,33.31993578,,,"LINESTRING (559847.4112999998 5866474.2826000005, 585125.7079999996 5888182.0197)"
verkeersscheidingsstelsel.57,57,Vlieland,Begrenzing separatiezone OFF Vlieland westzijde 2,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,25.24527126,,,"LINESTRING (599694.9331 5915172.4997000005, 603518.4323000005 5927478.251499999, 607177.4080999997 5939283.4145)"
verkeersscheidingsstelsel.58,59,Vlieland,Begrenzing separatiezone OFF Vlieland oostzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,43.48262354,,,"LINESTRING (586449.5407999996 5855197.877599999, 592144.1467000004 5870563.119200001, 598056.4347000001 5880361.465, 606149.9352000002 5893758.695499999)"
verkeersscheidingsstelsel.60,61,Terschelling-Duitse Bocht,Begrenzing separatie Terschelling-Duitse Bocht,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,162.55622737,,,"LINESTRING (645063.3103999998 5929239.1185, 720958.9375999998 5957443.740800001)"
verkeersscheidingsstelsel.63,64,Brown Ridge,Begrenzing separatiezone OFF Brown Ridge westzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,15.70209125,,,"LINESTRING (515872.9983000001 5864329.8697999995, 520805.17760000005 5879237.2261)"
verkeersscheidingsstelsel.64,65,Brown Ridge,Begrenzing separatiezone OFF Brown Ridge oostzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,15.71020099,,,"LINESTRING (524570.8811999997 5861436.998400001, 529501.6531999996 5876353.362)"
verkeersscheidingsstelsel.65,66,Texel,Begrenzing separatiezone OFF Texel oostzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,106.03007068,,,"LINESTRING (544017.3481999999 5909266.607999999, 552278.7729000002 5928098.298900001, 591447.0487000002 5958186.218800001, 615710.9335000003 5984882.4669)"
verkeersscheidingsstelsel.66,67,Texel,Begrenzing separatiezone OFF Texel westzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,VSS,Actief,82.37527473,,,"LINESTRING (531393.0223000003 5914821.801000001, 542589.5104999999 5952831.266899999, 576490.9836999997 5978876.239)"
