OBJECTID,BUURTCODE,BUURT,OPPERVLAKTE,WOONPLAATS,GEMEENTE,WIJK,WIJKCODE,GEMEENTECODE,WOONPLAATSCODE,Shape__Area,Shape__Length
117,0601,Kievitsloop,867397.482,Breda,Breda,Breda noord-west,06,0758,3622,867397.482116699,4537.34992515212
118,0503,Princenhage,2635850.732,Breda,Breda,Breda west,05,0758,3622,2635850.73182297,9091.95357170765
119,0203,Heusdenhout,1522862.5,Breda,Breda,Breda oost,02,0758,3622,1522862.50024796,6566.78477567773
120,0709,Buitengebied Bavel,8558344.137,Bavel,Breda,Bavel,07,0758,3624,8558344.13682938,20311.3465516243
121,0002,Chassé,408905.366,Breda,Breda,Breda centrum,00,0758,3622,408905.366016388,3180.45801746529
122,0309,Mastbos,13407405.279,Breda,Breda,Breda zuid-oost,03,0758,3622,13407405.2790604,18318.2242545074
123,0302,Overakker,1341354.637,Breda,Breda,Breda zuid-oost,03,0758,3622,1341354.63708115,6715.77771764643
124,0001,Valkenberg,414679.988,Breda,Breda,Breda centrum,00,0758,3622,414679.988445282,2967.73035938731
125,0201,Sportpark,1216742.449,Breda,Breda,Breda oost,02,0758,3622,1216742.44928741,4648.06138099834
126,0004,Schorsmolen,276371.119,Breda,Breda,Breda centrum,00,0758,3622,276371.119289398,2549.95085747284
127,0005,Station,291597.271,Breda,Breda,Breda centrum,00,0758,3622,291597.27148056,3149.29952463035
128,1008,Vuchtpolder,5729227.889,Teteringen,Breda,Teteringen,10,0758,3623,5729227.88939667,10032.8603505456
129,0508,Effen-Rith,8976762.716,Breda,Breda,Breda west,05,0758,3622,8976762.71591568,16274.0378853762
130,0506,Hazeldonk,3118591.398,Breda,Breda,Breda west,05,0758,3622,3118591.39792633,13469.7219285079
131,0609,Hagebeemd,9165334.1,Breda,Breda,Breda noord-west,06,0758,3622,9165334.10034561,22899.4098389991
132,0505,Heilaar,1593609.216,Breda,Breda,Breda west,05,0758,3622,1593609.21552658,5124.27791127614
133,0500,Haagpoort,250591.753,Breda,Breda,Breda west,05,0758,3622,250591.753391266,2520.13978633872
134,0701,Nieuw Wolfslaar,1027877.167,Bavel,Breda,Bavel,07,0758,3624,1027877.16704178,4650.10195784459
135,0205,Hoogeind,2193352.001,Breda,Breda,Breda oost,02,0758,3622,2193352.00127792,6469.40210869909
136,0502,Tuinzigt,1158917.386,Breda,Breda,Breda west,05,0758,3622,1158917.38632584,5871.18244749838
137,0300,Blauwe Kei,704187.75,Breda,Breda,Breda zuid-oost,03,0758,3622,704187.749801636,4747.73815928419
138,0105,Krogten,4004193.103,Breda,Breda,Breda noord,01,0758,3622,4004193.10272217,12817.3618771033
139,0303,Ginneken,1358841.675,Breda,Breda,Breda zuid-oost,03,0758,3622,1358841.67477417,7691.18667410669
140,0509,Liesbos,6021606.375,Breda,Breda,Breda west,05,0758,3622,6021606.37464523,11261.5783628452
141,0501,Heuvel,1036516.269,Breda,Breda,Breda west,05,0758,3622,1036516.2688179,5406.5912956179
142,0900,Prinsenbeek,3600302.355,Prinsenbeek,Breda,Prinsenbeek,09,0758,1705,3600302.35466766,10375.8127856769
143,0202,Zandberg,735929.259,Breda,Breda,Breda oost,02,0758,3622,735929.259353638,3802.93098208183
144,0301,Ypelaar,1174025.796,Breda,Breda,Breda zuid-oost,03,0758,3622,1174025.79624939,5595.69184209323
145,0607,Emer,2424702.973,Breda,Breda,Breda noord-west,06,0758,3622,2424702.97331619,12084.4077141219
146,0507,Steenakker,1092332.152,Breda,Breda,Breda west,05,0758,3622,1092332.15235138,5653.33688734463
147,0107,Waterdonken,205411.705,Breda,Breda,Breda noord,01,0758,3622,205411.70483017,1902.71348385708
148,0602,Kesteren,766959.559,Breda,Breda,Breda noord-west,06,0758,3622,766959.558681488,4126.16341367686
149,0104,Wisselaar,780032.978,Breda,Breda,Breda noord,01,0758,3622,780032.978404999,3721.33999226818
150,0700,Bavel,1750188.673,Bavel,Breda,Bavel,07,0758,3624,1750188.67324448,5870.76840763779
151,0106,Geeren-noord,488302.665,Breda,Breda,Breda noord,01,0758,3622,488302.664825439,2916.19329475149
152,0605,Overkroeten,463714.733,Breda,Breda,Breda noord-west,06,0758,3622,463714.732975006,3248.55779486922
153,0603,Muizenberg,904405.712,Breda,Breda,Breda noord-west,06,0758,3622,904405.712051392,5366.9950954407
154,0401,Ruitersbos,1757883.142,Breda,Breda,Breda zuid,04,0758,3622,1757883.14232636,7519.18545168618
155,0800,Ulvenhout,1736853.94,Ulvenhout,Breda,Ulvenhout,08,0758,1704,1736853.93968201,6910.45266534378
156,0504,Westerpark,660640.938,Breda,Breda,Breda west,05,0758,3622,660640.938274384,3575.11503382123
157,0200,Brabantpark,2264241.303,Breda,Breda,Breda oost,02,0758,3622,2264241.30332184,7418.93500399192
158,0204,Moleneind-oost,435366.397,Breda,Breda,Breda oost,02,0758,3622,435366.397010803,2966.47290051912
159,0606,Kroeten,440297.614,Breda,Breda,Breda noord-west,06,0758,3622,440297.613769531,3683.12213843922
160,0809,Buitengebied Ulvenhout,3483636.435,Ulvenhout,Breda,Ulvenhout,08,0758,1704,3483636.43542862,16781.7710324015
161,0006,City,435019.532,Breda,Breda,Breda centrum,00,0758,3622,435019.531723022,3957.64789525558
162,0604,Heksenwiel,934878.22,Breda,Breda,Breda noord-west,06,0758,3622,934878.219532013,6323.21536680405
163,0101,Doornbos-Linie,1283424.076,Breda,Breda,Breda noord,01,0758,3622,1283424.07591629,5669.92798738546
164,0003,Fellenoord,277794.739,Breda,Breda,Breda centrum,00,0758,3622,277794.738571167,2758.05893118899
165,0909,Buitengebied Prinsenbeek,13510796.111,Prinsenbeek,Breda,Prinsenbeek,09,0758,1705,13510796.1110573,18228.1505385817
166,1000,Teteringen,3351520.149,Teteringen,Breda,Teteringen,10,0758,3623,3351520.14892197,11635.590490325
167,0102,Biesdonk,789614.098,Breda,Breda,Breda noord,01,0758,3622,789614.097660065,4489.95459861263
168,0100,Belcrum,532064.061,Breda,Breda,Breda noord,01,0758,3622,532064.061317444,3260.58006225502
169,1009,Buitengebied Teteringen,2358464.87,Teteringen,Breda,Teteringen,10,0758,3623,2358464.86968994,13832.2489832258
170,0400,Boeimeer,1215865.249,Breda,Breda,Breda zuid,04,0758,3622,1215865.24916077,5387.28412324293
171,0103,Geeren-zuid,748875.645,Breda,Breda,Breda noord,01,0758,3622,748875.645492554,4138.64231432352
172,0600,Gageldonk,795776.667,Breda,Breda,Breda noord-west,06,0758,3622,795776.667217255,4478.98077290993
