OBJECTID,MATERIAAL,DIEPTE,KWKSTATU,KWKOPME,KWKPLAAN,OSMOMSCH,IWS_MEMO,KWKNAAM,KSMIDENT,VERANKERING,KERIDENT,IWS_EIGENAAR,KSM_TYPE,Shape__Length,GlobalID
49162,3,0,300,waterdichte opsluiting,"gemetselde muur, in 2001 zijn er reparaties verri*","gemetselde muur, in 2001 zijn er reparaties verricht aan de*","gemetselde muur, in 2001 zijn er reparaties verricht aan de stenendijk Grondmij","gemetselde muur, in 2001 zijn er reparaties verricht aan de stenendijk Grondmij",12,,,,6,113.569445774603,2d5515ce-d299-4545-89d3-b91eaaa72d08
49163,,0,300,waterdichte opsluiting, , , , ,264,,,,1,61.0107201105767,784d3e88-49aa-408c-b6d7-a069fc2813f1
49164,,0,300,waterdichte opsluiting, , , , ,291,,,,1,1473.91380977721,21d2bd8b-afb1-4cae-a47c-ca8eb3f75827
49165,,,300,lengte buis gemeten 50m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062G,,4,48.4669793062816,d4194754-4ffd-42dd-bc22-03e38ec3eedd
49166,,0,300,waterdichte opsluiting, , , , ,366,,,,1,71.5270999234449,1efd4446-02fa-40af-ac53-8c25d978a0d7
49167,,0,300,damwand, , , , ,101,,,,2,522.983863630451,57c20146-8494-4676-b8bd-6f9dd0026532
49168,,,300,lengte buis gemeten 50m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062H,,4,46.0881316579556,64f8925b-cb48-4710-b1fa-f5d19a077ab9
49169,,,300,lengte buis gemeten 54m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062I,,4,48.0963618823268,c58d7a7b-f9d3-4268-87c6-f7ac24827857
49170,,0,300,waterdichte opsluiting, , , , ,299,,,,1,45.0419233300648,7c335cbe-bbfa-4630-9c3c-60a21b7315b2
49171,,0,300,damwand, , , , ,65,,,,2,157.120127898692,723109e5-3a7e-4134-9d9f-12ec892d8a1d
49172,,0,300,damwand, , , , ,102,,,,2,148.304041753504,398aaef7-15dc-464b-8d13-3f26a1397587
49173,,0,300,waterdichte opsluiting, , , , ,331,,,,1,568.876623413909,3eca7603-d1a8-46ce-aecb-dc853b7d2de7
49174,,0,300,waterdichte opsluiting, , , , ,237,,,,1,4.18182093568753,340c7539-5400-4037-837d-00a243e31b7f
49175,,,300,DAR6,,Filterconstructie,schuinliggende drainagekoffer afgedekt met 25cm grind(2-6mm) bedekt door 20cm teelaarde,,7212,,IWK,,4,167.878149470992,24b7d0d5-ecf0-49a7-ae5b-439e6fb52e47
49176,8,,300,,,in-/uittredepunt gestuurde boring,join z/19/028902,,15563,3,iwk,,4,4.01617798779337,3e9fdba3-7435-4c86-b261-02a0f8db7a73
49177,,,300,aangepaste slootbodem,,Filterconstructie,Y:\Geodata\Legger_bh_keringen\Beheerregister\Constructies en Damwanden\Dijkring10\filterconstructie_DR10_zwolle-wilsum\,,BC961,,,,4,1025.8495084742,c4e09f24-ca07-47c8-a8c4-ca67ec574327
49178,,0,300,waterdichte opsluiting, , , , ,323,,,,1,198.595072431322,bba3f0b8-d0e0-43f4-9637-ed04121cbb7a
49179,,0,300,waterdichte opsluiting, , , , ,1098,,,,1,173.302160048037,923fbdb4-7ab9-4cf4-aa7d-3537da99a576
49180,,0,300,waterdichte opsluiting, , , , ,216,,,,1,140.200296085528,1e4d54bf-6411-47f4-bdae-8e97ec0fd398
49181,98,0,300,onbekend,stadsmuur Kampen,stadsmuur Kampen,stadsmuur Kampen,stadsmuur Kampen,9,,,,6,127.797190341506,71e5a607-7ee2-4d27-849c-620d14057392
49182,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.0187708004631,9c38aafc-0805-4899-890c-a44d2b7710cc
49183,,0,300,damwand, , , , ,87,,,,2,71.6902564002627,a25e67b0-269b-4433-bae8-bfd1f527367a
49184,,0,300,waterdichte opsluiting, , , , ,250,,,,1,51.2161106015797,b8febd78-dea2-4b0b-a7c6-38f57cc97477
49185,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,3.94586588030365,4a0245bf-bb4d-48ac-8941-04131b6ae512
49186,,,300,,,Puinkoffer,"diepte 4-6m tov maaiveld, aanleg 2014?",, ,,IWK,,4,4.07360730037692,b5d46f7a-72a8-4458-841d-63616a6e83ab
49187,8,,300,Gestuurde boring De broekhuizen 3 te Dalfsen,,intrede gestuurde boring,NWO ,, ,,,,4,3.90934458343757,4da49b40-b078-4453-bd8a-817263baacb2
49188,,0,300,waterdichte opsluiting, , , , ,306,,,,1,2.7959622664546,8d55e8ae-5090-4dba-9885-3858992503b3
49189,,0,300,waterdichte opsluiting, , , , ,262,,,,1,141.112709550276,29fd80cc-0576-4724-b973-66bd62ac47b1
49190,,3,300,,Damwand bij Fuite Genemuiden,,"onduidelijke tekeningen ontvangen met definitief ontwerp, werkelijke lengte onduidelijk",, ,,IWK,,2,35.9414552545268,edce236f-930e-4508-af8f-989ae436e0f8
49191,,3,300,,Damwand bij Fuite Genemuiden,,"onduidelijke tekeningen ontvangen met definitief ontwerp, werkelijke lengte onduidelijk",, ,,IWK,,2,26.9650789243826,74c1f3b9-2e96-484a-a3ea-f73213e350c3
49192,,0,300,waterdichte opsluiting, , , , ,410,,,,1,104.47696459506,93019e7b-f64a-42ab-80c0-758311430ca1
49193,4,-7.25,300,AZ24-700,,,,,13321,3,,,2,76.6914965511639,2c2446a4-60a9-43d1-8483-ff193c9bc72d
49194,,0,300,waterdichte opsluiting, , , , ,380,,,,1,40.5947348801438,47d5a1b5-926f-4a8e-ac01-b8f6b80bd1b2
49195,,0,300,waterdichte opsluiting, , , , ,283,,,,1,47.0754676046109,eede01e2-37c8-4b9f-a004-fde864f8e125
49196,3,2.4,300,waterdichte opsluiting,keermuur Arnichem,keermuur Arnichem,keermuur Arnichem,keermuur Arnichem,3,,,,6,38.6435955056439,7516b0cb-b516-48d1-be14-486ca713a8cc
49197,4,-7.25,300,AZ24-700,,,,,13319,3,,,2,25.5831687819114,7ecb5ae6-f464-44e0-9c91-a7eb0aa87b5c
49198,,,300,,,Filterconstructie,drainagekoffer,,8188,,IWK,,4,60.6311058974791,b3744679-b55c-44f3-ae8b-6c651cb209c3
49199,,0,300,waterdichte opsluiting, , , , ,281,,,,1,1.49261147011034,2929ab5c-7ff9-42e6-abd5-9cfd076afed2
49200,,0,300,waterdichte opsluiting, , , , ,214,,,,1,19.3528360975917,b0f612e7-1874-4406-aac3-c678d299bdd2
49201,,0,300,waterdichte opsluiting, , , , ,307,,,,1,2.81610671020214,8abfa1b0-1fcb-43a2-a4a0-cd74245f4510
49202,4,-9.2,300,ZN31/830,,,10_40_div_008,,6573,3,IWK,,2,109.518041242372,6b1bac7d-9e97-4bac-a7d5-b817ce5f9ab8
49203,4,-6.16,300,HOESCH 2607,,,,,13317,3,,,2,18.9193767776896,1e735ce8-c0c5-4234-8a5d-704d3210796c
49204,23,-0.2,300,waterdichte opsluiting,,,in 1998 opgehoogd,,266,,,,1,105.749255435056,d2007fdf-5f16-48aa-90b4-9df60925786c
49205,10,0,300,damwand, , , , ,454,,,,2,13.1596056151243,6f86e054-5dcf-4006-8efa-9c198bf42476
49206,,0,300,waterdichte opsluiting, , , , ,347,,,,1,20.2816005893666,4a79022e-c662-4672-8f99-e747fb288cd2
49207,,,300,lengte buis gemeten 54m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062J,,4,48.8735938192328,295fe4a3-f0b5-463c-9727-f1f1a3323107
49208,,0,300,waterdichte opsluiting, , , , ,231,,,,1,176.231111731546,3ae66e93-7e16-40e0-b8fc-03ff148e3369
49209,,,300,lengte buis gemeten 54m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062K,,4,48.6087191203589,5fcd4ed0-161b-4fd9-b463-8eeb76c323f9
49210,,0,300,waterdichte opsluiting, , , , ,379,,,,1,3.64784429658673,fd1c21f5-8efb-4f5c-b5be-f3291c99c78f
49211,,0,300,damwand, , , , ,67,,,,2,143.818563956838,6d3090de-caf2-48bf-abf8-4c187b8affd2
49212,,,300,lengte buis gemeten 56m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062L,,4,48.8368849203205,0f1d7df2-0070-4f22-9a51-4236627c0971
49213,,,300,lengte buis gemeten 56m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0062M,,4,54.6614137679714,fea8558f-276c-4d29-bb06-f448b253a923
49214,11,0,300,damwand,met betonnen deksloof bij voormalige gasfabriek,met betonnen deksloof bij voormalige gasfabriek,met betonnen deksloof bij voormalige gasfabriek,met betonnen deksloof bij voormalige gasfabriek,22,,,,2,127.466925667906,c479f049-0703-4678-bdbc-f15726b5cc03
49215,,0,300,waterdichte opsluiting, , , , ,373,,,,1,3.59380662457422,2f27f194-f34e-4379-a571-2665bc9f4f03
49216,,0,300,waterdichte opsluiting, , , , ,242,,,,1,8.35715774131178,9dca7aac-6ce5-4553-a930-6fde07373fed
49217,,,300,lengte buis gemeten 80m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0064A,,4,74.6806789148288,5c25ff04-6ada-434f-a41f-5d93c29c13de
49218,,0,300,waterdichte opsluiting, , , , ,218,,,,1,136.782747971819,412e0f5b-cac3-47f1-bf83-cfc8f4d70a1c
49219,,,300,lengte buis gemeten 88m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0064B,,4,84.3592961537561,1294c339-e911-4e7c-ad47-27b86a852069
49220,11,0,300,damwand, , , , ,455,,,,2,2002.7234806146,5a824c04-d077-4e37-aec1-965746ed6b85
49221,,0,300,waterdichte opsluiting, , , , ,261,,,,1,18.0547307118961,f0e0acc4-5c9b-45a0-9b12-6e56d01ff9b6
49222,,,300,gemeeten lengte onbekend,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0066A,,4,50.5092655019901,1cd3700c-b92d-4d38-8756-8367e1637d98
49223,,,300,lengte buis gemeten 54m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068A,,4,44.1796505289672,96036a13-8b1c-4ddb-a8e9-c1acb683084d
49224,,0,300,waterdichte opsluiting, , , , ,330,,,,1,45.8438752991005,78a56167-18d5-4e44-94f9-70f3ff1a0fc0
49225,,,300,lengte buis gemeten 29m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068B,,4,33.4628466088652,cd37ee70-bc94-44ac-b10a-18ad97854c37
49226,,0,300,waterdichte opsluiting, , , , ,352,,,,1,30.0796711401822,665576c5-41b0-4491-82aa-2fb180b46b13
49227,,0,300,waterdichte opsluiting, , , , ,378,,,,1,6.00627497231167,c88e2891-5419-4358-8421-e2f992d3186b
49228,,0,300,waterdichte opsluiting, , , , ,257,,,,1,62.3452548712061,1e6ec955-0e01-4ede-bdda-c175bf4ef2b4
49229,,0,300,damwand, , , , ,90,,,,2,74.5681070823971,0cc3234f-0cb2-4ff9-bb31-d5ab03c23883
49230,,0,300,waterdichte opsluiting, , , , ,325,,,,1,64.4391688654922,b06d6019-da22-49a5-9713-0bb0c3fd7051
49231,3,0,300,waterdichte opsluiting,"gemetselde muur, in 2001 zijn er reparaties verri*","gemetselde muur, in 2001 zijn er reparaties verricht aan de*","gemetselde muur, in 2001 zijn er reparaties verricht aan de stenendijk Grondmij","gemetselde muur, in 2001 zijn er reparaties verricht aan de stenendijk Grondmij",13,,,,6,121.788432771153,4201e6ce-d197-4e0a-bde9-934dc712d677
49232,,0,300,waterdichte opsluiting, , , , ,314,,,,1,17.1343616230084,a80106d0-71aa-45dd-8aa5-75f0ebb59cb9
49233,,0,300,damwand, , , , ,192,,,,2,1501.47246749587,e941826e-70a8-444a-a2a4-beb533e9df9e
49234,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068D,,4,49.012928182286,155ecc3d-42a0-41ea-9893-59a9e017af9b
49235,,,300,lengte buis gemeten 54m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068C,,4,43.7155614625513,c2cec808-389c-4bb7-ac4c-51499fba2065
49236,,0,300,waterdichte opsluiting, , , , ,316,,,,1,92.8371552452591,7e497f17-a21d-42da-8b14-99aa35467f45
49237,,0,300,damwand, , , , ,189,,,,2,128.699171023021,bf5d2491-1eff-4294-bb55-a15fc2c50008
49238,,0,300,waterdichte opsluiting, , , , ,287,,,,1,4.65248302511241,86b7f285-6099-4c3f-8412-aa0eeb58c23e
49239,,0,300,waterdichte opsluiting, , , , ,212,,,,1,4.18981941610306,6fffa46e-80e4-4e64-b445-0efbbde58148
49240,,0,300,waterdichte opsluiting, , , , ,386,,,,1,1.41816536394922,cb707ed7-5357-4b5c-b8b3-237d58aa67ae
49241,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068E,,4,47.813686035192,61caa480-59ec-41e5-8288-5e454c34acbc
49242,,0,300,waterdichte opsluiting, , , , ,372,,,,1,2.04992316941984,d9028735-b3a6-46d8-b5ef-97f8184c97b7
49243,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068F,,4,50.2864737767072,b543fd17-4af3-4bc7-87fe-658b0a16f3fc
49244,,0,300,waterdichte opsluiting, , , , ,336,,,,1,32.7751762588826,18ebe046-18dc-45e5-b8f6-0e888dcf0b5e
49245,,0,300,damwand, , , , ,98,,,,2,165.537410522908,38b7521a-06e3-4e8c-89e6-13bc3bed47f7
49246,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068G,,4,49.2963825919399,dd0e33cb-5af0-4fd4-b26c-d9990049286b
49247,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068H,,4,46.0984280068941,25cf2675-e4c3-4f88-9dc4-cdea1fb8b93b
49248,,0,300,waterdichte opsluiting, , , , ,256,,,,1,130.304385563669,5037c131-1231-4dc2-9a86-ff2694ea44d5
49249,,0,300,waterdichte opsluiting, , , , ,402,,,,1,18.6105169781869,2572a296-ce1a-4c1f-b3ef-794de48aa3b8
49250,,0,300,waterdichte opsluiting, , , , ,312,,,,1,96.0315264622755,da2b6b3d-3baa-4784-bb00-aba48fc93718
49251,,0,300,waterdichte opsluiting, , , , ,227,,,,1,14.744241311356,9a38b035-b955-4423-ab42-72dceaf0fd39
49252,,0,300,waterdichte opsluiting, , , , ,375,,,,1,1.60375341068886,2729f06a-ffa2-4a60-aa51-d7f7b97ebf9c
49253,,,300,Vergunning Waterschap Salland 27-04--1993 nr 930176/943D,Tankwal Esso terrein,keerwand L175,Keerwand met als functie bij eventuele lekkage van de tanks de brandstof op te vangen op het eigen terrein van Esso.,Tankwal Esso terrein,BC1601,,,,6,278.002812892655,dd8305d5-fec0-4f3a-82d7-c8a5652b3609
49254,,0,300,waterdichte opsluiting, , , , ,388,,,,1,92.7413366794373,fa70506a-59dd-48b0-84a5-b1b2cae453b2
49255,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068I,,4,47.1817355569024,d9b49c99-6d8c-476e-a369-b498e57e7d52
49256,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068J,,4,47.1517761154844,41041766-7aaa-4e1f-8ffd-124f2aa0f939
49257,,0,300,waterdichte opsluiting, , , , ,374,,,,1,11.2222338314904,1f116fee-7065-40f8-aefa-ac852707f974
49258,3,2.8,300,waterdichte opsluiting,keermuur Arnichem,keermuur Arnichem,keermuur Arnichem,keermuur Arnichem,4,,,,6,13.6786614819491,c2f1548d-b88f-4f7d-8674-248af76edd75
49259,,0,300,waterdichte opsluiting, ,betonwand, , ,51,,,,6,30.5092928291351,cd3e4e62-ec49-4349-a7ca-f93e924f0ec1
49260,,0,300,waterdichte opsluiting, , , , ,384,,,,1,2.77482407525045,1eadfb02-a13a-4d9d-8b93-9543c9d1de52
49261,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068K,,4,49.0486528969587,cb53c9ae-128c-4ed7-905c-326523049370
49262,,0,300,waterdichte opsluiting, , , , ,254,,,,1,12.8778901648848,b76933e4-21ad-4c3e-877f-2d8a1cdb7c6c
49263,,0,300,waterdichte opsluiting, , , , ,270,,,,1,79.4741472594417,5ba0fe01-2b94-46ee-aa07-6aea3dfa8363
49264,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068M,,4,47.1470864333297,f50caf31-decf-4ba9-990e-a883bfdef579
49265,,0,300,waterdichte opsluiting, , , , ,356,,,,1,18.3985869032765,a32aff93-bf90-47e3-983d-26d433ec2807
49266,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068N,,4,49.3860790311012,6c47cdbd-c3d4-4b3a-94c7-e96f31d2f846
49267,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068O,,4,42.2988293852926,80187672-e411-4b9b-a061-ae81000b6650
49268,98,0,300,onbekend,stadsmuur Kampen,stadsmuur Kampen,stadsmuur Kampen,stadsmuur Kampen,7,,,,6,31.5456713045666,4df022ce-1fb5-4394-beb1-868a11af6587
49269,,,300,lengte buis gemeten 55m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068P,,4,45.1470933082188,0b5d837e-ebe7-4760-9dd3-5754d1381418
49270,,0,300,waterdichte opsluiting, , , , ,221,,,,1,16.2525467687995,e1527ffa-d4df-46df-ae1e-523211db4e87
49271,,,300,lengte buis gemeten 57m,,drainage tbv kwel,tijdens onderhoud in kaart gebracht in 2018,,IWK,,IWK-11-0068Q,,4,54.0582701185363,f43eb132-f620-47d8-a9b8-ff83a913b8f1
