FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
infragebonden_gebouw.6468,13000,305000,9465,Gebouwen,85K-100-17,85K-100-1717,Gebouwen,v. 2010-11,Infragebonden gebouw,Droog,HWN,,,13,305,,85K-100-17,883,Nog niet bekend/Nog niet bekend,883,,,POINT (13000 305000)
infragebonden_gebouw.7575,13000,305000,10798,Gebouwen,86K-100-16,86K-100-1616,Gebouwen,v.1.3,Infragebonden gebouw,Droog,HWN,,,13,305,,86K-100-16,883,Nog niet bekend/Nog niet bekend,883,,,POINT (13000 305000)
infragebonden_gebouw.7755,49330,396098,10980,Zandkreeksluis,48E-001,48E-001-04,Bedieningsgebouw Zandkreeksluis,Infragebonden gebouw nabij de Zandkreeksluis,Infragebonden gebouw,Nat,HVWN,,,49.33,396.098,,48E-350-00,1672,RWS ZD / ZD District Noord,1672,,,POINT (49330 396098)
infragebonden_gebouw.7758,59294,386090,10983,Hansweert,48H-353,48H-353-04,Bedieningsgebouw Hansweert,Infragebonden gebouw nabij de Zandkreeksluis,Infragebonden gebouw,Nat,HVWN,,,59.294,386.09,,48H-353-00,1672,RWS ZD / ZD District Noord,1672,,,POINT (59294 386090)
infragebonden_gebouw.7826,212953,463881,11051,Sluiscomplex Eefde,33F-001,33F-00113,Gebouwen sluiscomplex Eefde ,Infragebonden Gebouwen nabij de sluis Eefde,Infragebonden gebouw,Nat,HVWN,,,212.953,463.881,1933,33F-350-00,1678,RWS ON / ON District Oost,1678,,,POINT (212953 463881)
infragebonden_gebouw.7829,243161,473941,11054,Sluiscomplex Delden,34E-001,34E-001-07,Gebouwen Sluiscomplex Delden,Infragebonden Gebouwen nabij de sluis Delden,Infragebonden gebouw,Nat,HVWN,,,243.161,473.941,1933,34E-350-00,1678,RWS ON / ON District Oost,1678,,,POINT (243161 473941)
infragebonden_gebouw.7832,251821,474024,11057,Sluiscomplex Hengelo,34F-001,34F-001-06,Gebouwen Sluiscomplex Hengelo,Infragebonden Gebouwen nabij de sluis Hengelo,Infragebonden gebouw,Nat,HVWN,,,251.821,474.024,1935,34F-350-00,1678,RWS ON / ON District Oost,1678,,,POINT (251821 474024)
infragebonden_gebouw.7835,200305,502644,11060,Spooldersluis,21G-350,21G-350-04,Gebouwen Spooldersluis ,Infragebonden Gebouwen nabij de Spooldersluis ,Infragebonden gebouw,Nat,HVWN,,,200.305,502.644,1961,21G-350-00,1679,RWS ON / ON District Noord,1679,,,POINT (200305 502644)
infragebonden_gebouw.7977,158900,406647,11210,Sluis Schijndel,45G-352,45G-352-05,Sluis Schijndel,Infra-gebonden gebouw nabij sluis Schijndel,Infragebonden gebouw,Nat,HVWN,,,158.9,406.647,1990,45G-352-00,1683,RWS ZN / ZN District Midden,1683,,,POINT (158900 406647)
infragebonden_gebouw.7989,176281,386462,11222,Sluis Helmond (DE),51H-357,51H-357-06,Sluis Helmond (DE) ,Infra-gebonden gebouw nabij sluis Helmond,Infragebonden gebouw,Nat,HVWN,,,176.281,386.462,1989,51H-357-00,1683,RWS ZN / ZN District Midden,1683,,,POINT (176281 386462)
infragebonden_gebouw.8001,162505,390681,11234,Brug Son,51E-101,51E-101-02,Opslag Son,Gebouw (opslag) nabij brug Son,Infragebonden gebouw,Nat,HVWN,,,162.505,390.681,,51E-101-00,1683,RWS ZN / ZN District Midden,1683,,,POINT (162505 390681)
infragebonden_gebouw.8006,185074,429628,11239,Sluiscomplex Weurt,40C-004,40C-004-07,Sluiscomplex Weurt ,Infra-gebonden gebouw nabij sluis Weurt,Infragebonden gebouw,Nat,HVWN,,,185.074,429.628,,40C-350-00,1680,RWS ON / ON District Zuid,1680,,,POINT (185074 429628)
infragebonden_gebouw.8009,187003,420228,11242,Sluiscomplex Heumen,46A-001,46A-001-08,sluis Heumen,Infra-gebonden gebouw nabij sluis Heumen,Infragebonden gebouw,Nat,HVWN,,,187.003,420.228,1992,46A-350-00,1680,RWS ON / ON District Zuid,1680,,,POINT (187003 420228)
