FID,id,name,type,parentid,userid,id_from,id_to,length_map,z_from,z_to,width,height,color,voornaam,achternaam,gdb_geomattr_data,shape
dmlinks.1,1001,"Twentekanaal, Eefde",RR - Link,3B_LINK,0,142,1100,0,0,0,0,0,0,0,0,,"LINESTRING (210881.34710000083 461560.2281999998, 241406.79690000042 472996.40630000085)"
dmlinks.2,1002,"Twenthekanaal,sluis Delden",RR - Link,3B_LINK,0,1100,1101,4881.3609,0,0,0,0,0,0,0,,"LINESTRING (241406.79690000042 472996.40630000085, 245848.92190000042 474574.53130000085)"
dmlinks.3,1003,"Twenthekanaal,sluis Hengelo",RR - Link,3B_LINK,0,1101,1102,10216.529,0,0,0,0,0,0,0,,"LINESTRING (245848.92190000042 474574.53130000085, 255317.64059999958 471418.28130000085)"
dmlinks.4,1004,"Twenthekanaal,sluis Aadorp/Almel",RR - Link,3B_LINK,0,1100,1103,24650.2473,0,0,0,0,0,0,0,,"LINESTRING (241406.79690000042 472996.40630000085, 234981.6875 496593.15630000085)"
dmlinks.5,1006,doorlaat Vroomshoop,RR - Link,3B_LINK,0,1103,1107,7449.4221,0,0,0,0,0,0,0,,"LINESTRING (234981.6875 496593.15630000085, 227952.3125 494364.34380000085)"
dmlinks.6,1007,"Overijssels kanaal, stuw Sluis4",RR - Link,3B_LINK,0,1107,1108,18875.3201,0,0,0,0,0,0,0,,"LINESTRING (227952.3125 494364.34380000085, 209435.90630000085 497793.28130000085)"
dmlinks.7,1008,Overijsselsch kanaal,RR - Link,3B_LINK,0,1108,1109,10399.9651,0,0,0,0,0,0,0,,"LINESTRING (209435.90630000085 497793.28130000085, 201418.45309999958 504543.8125)"
dmlinks.8,1009,Monding Overijsselsch kanaal in_,RR - Link,3B_LINK,0,1109,1106,4540.7977,0,0,0,0,0,0,0,,"LINESTRING (201418.45309999958 504543.8125, 203356.5625 508591.78130000085)"
dmlinks.9,1010, ,RR - Link,3B_LINK,0,1106,165,0,0,0,0,0,0,0,0,,"LINESTRING (203356.5625 508591.78130000085, 188733.2276000008 523969.17170000076)"
dmlinks.10,1011,"Overijsselsch kanaal,sluis Haand",RR - Link,3B_LINK,0,1103,1104,21230.6486,0,0,0,0,0,0,0,,"LINESTRING (234981.6875 496593.15630000085, 244153.90630000085 515605.65630000085)"
