straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Gladiolusstraat 005;95887;2 Stratum;22 Kortonjo;222 Gerardusplein;Gladiolusstraat;;005;;Gemeente Eindhoven;162210.127;381217.91;1;SON PIA PLUS 70W I;2017-10-25;2023-03-24;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 70 W;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD;1990-01-01;2030-01-01;;ST ENKEL 1 M VAST;1968-01-01;2008-01-01;"{""coordinates"": [5.490855228848039, 51.420038249425275], ""type"": ""Point""}";51.420038249425275, 5.490855228848039;51.42003855830891, 5.490856348285644
Gladiolusstraat 006;95888;2 Stratum;22 Kortonjo;222 Gerardusplein;Gladiolusstraat;;006;;Gemeente Eindhoven;162190.528;381220.634;1;SON PIA PLUS 70W I;2021-01-27;2026-09-13;son;geel;70;5900;25;E27;in30lux 100% - uit30;A;SGS203 SON 70 W;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD;1990-01-01;2030-01-01;;ST ENKEL 1 M VAST;1968-01-01;2008-01-01;"{""coordinates"": [5.4905735213884315, 51.42006298507431], ""type"": ""Point""}";51.42006298507431, 5.4905735213884315;51.42006329394237, 5.4905746418939625
Jan van Eyckgracht 077;95893;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;077;;Gemeente Eindhoven;163420.64;382268.54;1;SON PIA PLUS 50W I;2017-10-23;2021-10-29;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;2013-03-08;2043-03-08;700;1;;AL 7 NEDAL;1998-01-01;2028-01-01;;AL OPZETSTUK 0,20 M;1998-01-01;2028-01-01;"{""coordinates"": [5.508283112888916, 51.42946521225432], ""type"": ""Point""}";51.42946521225432, 5.508283112888916;51.42946553264228, 5.5082842097004105
Jan van Eyckgracht 064;95896;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;064;;Gemeente Eindhoven;163115.687;382342.837;1;SON PIA PLUS 50W I;2017-10-23;2021-10-29;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;1999-01-01;2029-01-01;;AL OPZETSTUK 0,20 M;1999-01-01;2029-01-01;"{""coordinates"": [5.503899793340417, 51.43013752013921], ""type"": ""Point""}";51.43013752013921, 5.503899793340417;51.430137839317105, 5.503900907215939
Jan van Eyckgracht 063;95897;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;063;;Gemeente Eindhoven;163096.576;382356.126;1;SON PIA PLUS 50W I;2017-10-23;2021-10-29;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;1999-01-01;2029-01-01;;AL OPZETSTUK 0,20 M;1999-01-01;2029-01-01;"{""coordinates"": [5.503625290366133, 51.4302572455471], ""type"": ""Point""}";51.4302572455471, 5.503625290366133;51.43025756470931, 5.503626405649001
Jan van Eyckgracht 066;95899;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;066;;Gemeente Eindhoven;163163.17;382340.27;1;SON-T PIA PLUS 70W;2017-10-26;2021-10-31;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS203 SON/T 70 W;1983-01-01;2013-01-01;700;1;;ST 7 V-200.L.134 VZ;1970-01-01;2023-07-26;;ST OPZETSTUK 0,40 M;1970-01-01;2010-01-01;"{""coordinates"": [5.504582519203276, 51.430113759914704], ""type"": ""Point""}";51.430113759914704, 5.504582519203276;51.43011407933899, 5.5045836307187965
Jan van Eyckgracht 067;95900;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;067;;Gemeente Eindhoven;163190.889;382324.168;1;SON PIA PLUS 50W I;2020-07-20;2024-07-30;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;1999-01-01;2029-01-01;;AL OPZETSTUK 0,20 M;1999-01-01;2029-01-01;"{""coordinates"": [5.504980732440316, 51.429968622015004], ""type"": ""Point""}";51.429968622015004, 5.504980732440316;51.429968941481604, 5.504981842039418
Jan van Eyckgracht 068;95901;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;068;;Gemeente Eindhoven;163221.278;382326.474;1;SON PIA PLUS 50W I;2020-11-12;2024-11-16;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;AL 7 NEDAL;1999-01-01;2029-01-01;;AL OPZETSTUK 0,20 M;1999-01-01;2029-01-01;"{""coordinates"": [5.505417765409699, 51.429988907021695], ""type"": ""Point""}";51.429988907021695, 5.505417765409699;51.42998922667309, 5.505418873646423
Jan van Eyckgracht 072;95904;2 Stratum;23 Putten;232 Burghplan;Jan van Eyckgracht;;072;;Gemeente Eindhoven;163292.865;382308.962;1;SON PIA PLUS 50W I;2022-01-11;2026-01-16;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1983-01-01;2013-01-01;700;1;;ST 7 STANDAARD;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1957-01-01;1997-01-01;"{""coordinates"": [5.506446740748266, 51.42983044796007], ""type"": ""Point""}";51.42983044796007, 5.506446740748266;51.429830767885186, 5.506447844935771
Geert Grootestraat 003;95906;2 Stratum;23 Putten;232 Burghplan;Geert Grootestraat;;003;;Gemeente Eindhoven;162995.12;382089.22;1;SON-T PIA PLUS 50W;2019-04-10;2022-11-18;sont;geel;50;4400;25;E27;in30lux 100% - uit30;A;SGS252 SON-T 50W Iri;2015-03-09;2045-03-09;700;1;;AL 7 NIEUW;2000-03-20;2030-03-20;;AL OPZETSTUK 0,20 M;2000-03-20;2030-03-20;"{""coordinates"": [5.502160342740708, 51.427859567679775], ""type"": ""Point""}";51.427859567679775, 5.502160342740708;51.42785988450449, 5.502161452800201
