ID;GEO_SLEUTEL;BOOMHOOGTE;STAMDIAMETER;CATEGORIE;BOOMSOORT;BOOMSOORT_NL;ADM_BOOMEIGENAAR;CONDITIE;INSPECTIEDATUM;STANDPLAATS;STRAAT;WIJK;ADM_PLANTJAAR;BIJZONDERE_BOOM;LAT;LON
51096FF5-89ED-48C9-93C5-66A844F47BB2;G0995.8f0c147b9e2a4fc087d9d7827d749d46;< 6;< 20;;Zelkova serrata;;Gemeente Lelystad;Voldoende;20190918000000.000000;Ruw gras;;Landstrekenwijk;;;52.49550867750174;5.446206769692322
1016AD1E-7A57-4349-87AA-281857AB87F3;G0995.1fd20a5306284583ab685f106df59432;6 - 12;20 - 30;bomen in beplanting tot 0,20 m;Catalpa speciosa;Prachttrompetboom;Gemeente Lelystad;Goed;20200506000000.000000;Heesterbeplanting;;Schepenwijk Midden;;;52.510658860675846;5.453367583041459
8A528614-AF0E-4AEF-92FF-2FEBD773DB3C;G0995.8fa86ee7d2ce410894d3cc07ee07e17f;< 6;< 20;;Zelkova serrata;;Gemeente Lelystad;Voldoende;20190918000000.000000;Ruw gras;;Landstrekenwijk;;;52.495444965431226;5.446100355209181
7B32E583-F858-442E-9D59-B63C3131FE5E;G0995.b4d23ee37ce7453a82c7db3b171759ba;12 - 18;30 - 50;bomen in gras > 0,20 m;Alnus incana;;Gemeente Lelystad;Goed;20180614000000.000000;Gazon;;Boswijk Zuid;;;52.500335499069365;5.483542928794781
5C2AC380-1410-4088-83EC-E170C34739DB;G0995.91954bbff4d64209bae385219b6c5e6f;12 - 18;30 - 50;bomen in verharding > 0,20 m;Platanus x hispanica;;Gemeente Lelystad;Voldoende;20190805000000.000000;Elementenverharding;;Schepenwijk Zuid;;;52.504646689821776;5.4685466019637525
D194986E-E39D-4AD2-AEC3-4EB46926B2D5;G0995.affd2bae5d5840bab8497a906c9254db;< 6;20 - 30;bomen in beplanting > 0,20 m;Fraxinus ornus;;Gemeente Lelystad;Onvoldoende;20190805000000.000000;Heesterbeplanting;;Schepenwijk Zuid;;;52.50597837445919;5.468063328041314
6AE73C67-AE1A-4B99-B101-67A7DA3BEFDD;;12 - 18;50 - 100;;Ulmus x hollandica;;Gemeente Lelystad;Slecht;20190603000000.000000;Bosplantsoen;;Atolwijk Oost;;;52.51534185335484;5.523862051935426
ADCF5CD0-5C7D-4A7E-A44E-19DAAF99F9F5;G0995.f8de9d4f8f2848e79c579b74ea59f138;12 - 18;30 - 50;bomen in gras > 0,20 m;Quercus robur;Zomereik;Gemeente Lelystad;Voldoende;20200528000000.000000;Gazon;;Schepenwijk Oost;;;52.51719244758471;5.458693130414426
36547E81-7C32-4205-8CDF-B8896419BD83;G0995.3c6801a1f35c4d7b9ebb2b7ee089b044;6 - 12;< 20;bomen in beplanting tot 0,20 m;Tilia x europaea 'Pallida';;Gemeente Lelystad;Goed;20180614000000.000000;Heesterbeplanting;;Waterwijk;;;52.49404342604838;5.493747686093845
476F097F-0328-45DE-9AF3-E6C2D471F1F5;G0995.060ec871e7ac4b328d6f377cd2cec0d8;6 - 12;< 20;bomen in beplanting tot 0,20 m;Tilia x europaea 'Pallida';;Gemeente Lelystad;Goed;20180614000000.000000;Heesterbeplanting;;Waterwijk;;;52.494039590699444;5.493874970397817
55A8251B-1977-4702-940D-140084D9F740;G0995.4cba9176ffe546b991bd6596f15f4cbf;< 6;< 20;bomen in beplanting tot 0,20 m;Sorbus x thuringiaca 'Fastigiata';;Gemeente Lelystad;Voldoende;20190802000000.000000;Heesterbeplanting;;Stadscentrum Zuid;;;52.50367978748237;5.47495499290995
C5C63700-89E3-4523-9FFD-F73EC838CCF3;G0995.c59505b20c6c4c1f9b0557d0756837ff;< 6;< 20;;Zelkova serrata;;Gemeente Lelystad;Voldoende;20190918000000.000000;Ruw gras;;Warande West;;;52.49545040679821;5.4456756347872055
9E7E098D-10D5-4972-9A42-2CCEB71E3B36;;6 - 12;30 - 50;;Fraxinus excelsior 'Westhof's Glorie';;Gemeente Lelystad;Voldoende;20191028000000.000000;Ruw gras;;'t Bovenwater;;;52.486273592107985;5.416999821386678
0DFA1667-B001-4CEB-AE91-4F2E30222DD7;G0995.1d1a695f5d104721bff8af2ec2a06b2d;12 - 18;20 - 30;bomen in gras tot 0,20m;Tilia x europaea 'Pallida';;Gemeente Lelystad;Goed;20180614000000.000000;Gazon;;Schepenwijk Noord;;;52.524938320516945;5.461586819347122
61007EC7-5E1B-4862-8225-C7AF6B8B6D76;G0995.fee655d197074f27b8e4984b660aefe5;12 - 18;20 - 30;bomen in beplanting tot 0,20 m;Tilia x europaea 'Pallida';;Gemeente Lelystad;Goed;20180614000000.000000;Gazon;;Schepenwijk Noord;;;52.52499087361972;5.461536691735479
