Kenteken,Subcategorie voertuig volgnummer,Subcategorie voertuig europees,Subcategorie voertuig europees omschrijving
0003ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0004ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0005WF,1,SE,Caravan
0005ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0007ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0009WH,1,SE,Caravan
0014VL,1,SA,Kampeerwagen
0014ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0015ZZ,1,SF,Mobiele kraan
0018ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0022ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0023PZ,1,SA,Kampeerwagen
0024WE,1,SE,Caravan
0024WF,1,SE,Caravan
0025WJ,1,SE,Caravan
0025ZZ,1,SF,Mobiele kraan
0026WS,1,SE,Caravan
0026ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0027ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0028WF,1,SE,Caravan
0028ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0030ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0032ZZ,1,SF,Mobiele kraan
0034GB,1,SA,Kampeerwagen
0034TR,1,SA,Kampeerwagen
0034WJ,1,SE,Caravan
0034WU,1,SE,Caravan
0034ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0035ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0036ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0037WH,1,SE,Caravan
0037ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0038ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0039ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0041WE,1,SE,Caravan
0041ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0042ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0043ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0045ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0046RB,1,SA,Kampeerwagen
0046WD,1,SE,Caravan
0046ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0047ZZ,1,SF,Mobiele kraan
0049WT,1,SE,Caravan
0049ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0050US,1,SA,Kampeerwagen
0052WS,1,SE,Caravan
0052ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0053WF,1,SE,Caravan
0053ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0054ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0056WV,1,SE,Caravan
0056ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0057WK,1,SE,Caravan
0058ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0059ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0061WF,1,SE,Caravan
0061ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0064ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0065BB,1,SA,Kampeerwagen
0066SB,1,SA,Kampeerwagen
0067WF,1,SE,Caravan
0067ZZ,1,SF,Mobiele kraan
0073WS,1,SE,Caravan
0073ZZ,1,SG,Overig voertuig voor speciale doeleinden
0074WN,1,SE,Caravan
0076WE,1,SE,Caravan
0078WK,1,SE,Caravan
