Handelsnaam anonimiseerd;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AAB Beveiligingen B.V.;2;;;;;2
ABC Nova Republiq B.V.;;;;;2;2
Achterberg Schilders B.V.;;1;;;;1
AGVE;3;;;;;3
AKB.nl;1;;;;;1
Albyco Nederland B.V.;1;;;;;1
Al-Ko Kober B.V.;;;1;;;1
AllweCare medical B.V.;1;;;;;1
Amarant Groep;4;;;;;4
Anoniem 1037;1;;;;;1
Anoniem 1096;1;;;;;1
Anoniem 1106;;;1;;;1
Anoniem 1188;1;;;;;1
Anoniem 119;;;1;;;1
Anoniem 1193;1;;;;;1
Anoniem 121;1;;;;;1
Anoniem 1233;1;;;;;1
Anoniem 1239;1;;;;;1
Anoniem 1277;1;;;;;1
Anoniem 1299;1;;;;;1
Anoniem 132;1;;;;;1
Anoniem 1365;1;;;;;1
Anoniem 1442;;1;;;;1
Anoniem 1463;;1;;;;1
Anoniem 191;1;;;;;1
Anoniem 204;1;;;;;1
Anoniem 210;1;;;;;1
Anoniem 290;1;;;;;1
Anoniem 320;1;;;;;1
Anoniem 330;1;;;;;1
Anoniem 59;1;;;;;1
Anoniem 593;1;;;;;1
Anoniem 607;1;;;;;1
Anoniem 710;;1;;;;1
Anoniem 744;1;;;;;1
Anoniem 855;;3;;;;3
Anoniem 889;;;1;;;1
Anoniem 980;1;;;;;1
Appendagefabriek Kolk B.V.;;1;;;;1
ArjoHuntleigh Nederland B.V.;1;;;;;1
ATS Systems B.V.;2;;;;;2
Autobedrijf J.C. van Roekel;1;;;;;1
Autoplex Zevenaar B.V.;;2;;;;2
Aventics B.V.;;1;;;;1
B.V. Aannemers Inkoop Centrale A.I.C.;;1;;;;1
B.V. Sport;;;;;1;1
Barth Slijkhuis B.V.;1;;;;;1
Berner Produkten B.V.;1;;;;;1
Besselink Electro Import B.V.;1;;;;;1
BKS Service B.V.;1;;;;;1
Bob's Bloemen en Zo;1;;;;;1
Boels Verhuur;1;;;;;1
Boels Verhuur B.V.;;2;;;;2
Bokamak B.V.;1;;;;;1
Bos Elektro B.V.;;;2;;;2
Bos Vlaggen B.V.;1;;;;;1
Bouwbedrijf Huurman-Leiden B.V.;;1;;;;1
Bouwcenter Filippo B.V.;;1;;;;1
Bouwmaat Nederland B.V.;1;;;;;1
Brabant Water N.V.;;;5;;;5
Brack Capital Germany (Netherlands) XXXI B.V.;;1;;;;1
Brezan Automaterialen Goes;1;;;;;1
Bron Gascare B.V.;1;;;;;1
Buitenkado;1;;;;;1
Buko Verhuur B.V.;;;;;3;3
Bunzl Verpakkingen B.V.;1;;;;;1
Business Fashion;1;;;;;1
Carrosseriefabriek Veth Arnhem B.V.;1;;;;;1
Central Point Nederland B.V.;1;;;;;1
CertiQ B.V.;;;3;;;3
Champion Biljarts B.V.;1;;;;;1
Comic House Amsterdam B.V.;1;;;;;1
COMPAREX Nederland B.V.;1;;;;;1
Constructor Dexion Holland B.V.;1;;;;;1
'Contact Oud-Mariniers';1;;;;;1
Continental Banden Groep B.V.;;;1;;;1
Coolblue B.V.;1;;;;;1
CoolEnergy B.V.;;2;;;;2
Copoint Electronics B.V.;;;1;;;1
Cordstrap B.V.;1;;;;;1
Creaim B.V.;;;1;;;1
DAF Trucks N.V.;4;;;;;4
Damen Holding;;2;;;;2
DBR Generatorsets;;3;7;;;7
De Haan Beheer B.V.;;;;;1;1
De Nationale Taptoe;1;;;;;1
de Persgroep Nederland B.V.;1;;;;;1
De Vries Projekt Design B.V.;1;;;;;1
