FID,vrt_code,vrtnaam,haven_vaar,meetpunt_b,meetpunt_e,trajectlen,ref_vlak,diepte_van,diepte_tot,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
diepte_vaarweg.1,040a,"Gudsekop, Statenbocht en Hoitesloot",,0.445,6.268,,KP,-1.8,-1.2,,4378,,,"LINESTRING (53.00690000100002 5.749299999000016, 53.00690000100002 5.748699999999985, 53.00649999799998 5.746300001000009, 53.00569999999999 5.7430999989999805, 53.005600001999994 5.742800000999978, 53.004500001999986 5.739399999, 53.004099999000005 5.737700000000018, 53.003800001 5.736499998999989, 53.003600000999995 5.7357000000000085, 53.00340000199998 5.735300000999985, 53.00310000000002 5.735199998999974, 53.00259999899998 5.735199998999974, 53.001300000000015 5.733600002000003, 53.00120000200002 5.733399997999982, 53.00120000200002 5.733199999000021, 53.00120000200002 5.732999999000015, 53.001300000000015 5.7321999999999775, 53.001300000000015 5.732000001000017, 53.00140000099998 5.731600001000004, 53.00140000099998 5.731199998000022, 53.00140000099998 5.730900001000009, 53.00120000200002 5.730399999999975, 53.000999998 5.729800001000001, 52.99920000100002 5.723799999999983, 52.99889999999999 5.722600001999979, 52.99879999799998 5.722399998000014, 52.998699999999985 5.722399998000014, 52.998500001000025 5.722399998000014, 52.99810000100001 5.722300000000018, 52.997900001999994 5.722199998999997, 52.997799999999984 5.722199998999997, 52.99759999999998 5.721999998999991, 52.997299999000006 5.7208999989999825, 52.997099999 5.720400002000019, 52.99689999999998 5.719599999000025, 52.996399999000005 5.71840000200001, 52.995799999999974 5.717199999999991, 52.995299999 5.716400001000011, 52.99489999899998 5.715799998000023, 52.994399998000006 5.715500001000009, 52.99399999899998 5.715199999999982, 52.99370000099998 5.714899998000021, 52.99340000000001 5.714400001000001, 52.99309999899998 5.713700000000017, 52.99280000099998 5.713199998999983, 52.992699999000024 5.713199998999983, 52.99240000200001 5.713000000000022, 52.991900000999976 5.713000000000022, 52.991300002 5.713100000999987, 52.990699999000014 5.713199998999983, 52.99029999999999 5.713100000999987, 52.98999999799997 5.712900002000026, 52.98979999900001 5.712600000000009, 52.989599999000006 5.712299998999981, 52.989300001000004 5.711800002000018, 52.987599999 5.708700001000011, 52.987199998999984 5.708000001000016, 52.98690000200003 5.70780000100001, 52.986699998000006 5.707699998999999, 52.98629999899998 5.70780000100001, 52.986200000999986 5.70780000100001, 52.98580000200002 5.708199999999977, 52.985599998 5.708299997999973, 52.98539999899998 5.708299997999973, 52.984999999000024 5.707899999000006, 52.98279999900001 5.704000000000008, 52.98180000100001 5.702500000999976, 52.98119999800002 5.701299999000014, 52.980700001 5.70010000100001, 52.980399999999975 5.699299999000004, 52.98000000000002 5.698800000999995, 52.97969999899999 5.6983999980000135, 52.97940000099999 5.698100001, 52.97920000200003 5.698100001, 52.97879999899999 5.698199998999996, 52.978500000999986 5.698500000000024, 52.97830000099998 5.698600001999978, 52.97800000000001 5.698500000000024, 52.97769999899998 5.69799999899999, 52.977499998999974 5.697200000000009, 52.977299999000024 5.696199997999997, 52.977299999000024 5.6957999989999735, 52.97659999899997 5.691100000999995, 52.97659999899997 5.690800000000024, 52.97650000099998 5.6904999989999965, 52.97630000100003 5.690200000999994, 52.976199999000016 5.689599998000006)"
diepte_vaarweg.2,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,0,23.584,,KP,-1.7,-1.7,,4387,,,"LINESTRING (53.043499999000005 5.809799999000006, 53.04450000100002 5.812199998999972, 53.046100002 5.816100000999995, 53.046899999999994 5.818500001000018, 53.047499999000024 5.820099997999989, 53.048400000000015 5.822099998999988, 53.04910000000001 5.823800000999995, 53.050099999 5.8267999999999915, 53.050400000000025 5.827199999000015, 53.050700000999996 5.827399999000022, 53.05110000100001 5.827399999000022, 53.051300000000026 5.827699999999993, 53.051499999999976 5.828600000999984, 53.051800001000004 5.829399998999975, 53.05200000100001 5.830100000000016, 53.05229999900001 5.831200000000024, 53.052700001999995 5.831900001000008, 53.05339999900002 5.833299997999973, 53.05359999799998 5.833999999000014, 53.05369999999999 5.834499999999991, 53.05369999999999 5.835099999000022, 53.05359999799998 5.83570000200001, 53.05339999900002 5.83639999899998, 53.05299999900001 5.836900000000014, 53.051899999 5.838000000000022, 53.051199999000005 5.838700000000017, 53.050599999999974 5.839499998999997, 53.050299998000014 5.839999999999975, 53.050299998000014 5.840399998999999, 53.050400000000025 5.840700001000016, 53.05050000199998 5.841099999999983, 53.050700000999996 5.84129999999999, 53.050999999 5.841699999000014, 53.051300000000026 5.841899997999974, 53.051499999999976 5.842099997999981, 53.05620000099998 5.839699998000015, 53.05649999899998 5.839899998000021, 53.05669999899999 5.840500001000009, 53.05720000000002 5.842799999000022, 53.05730000099999 5.843299999999999, 53.05730000099999 5.843800000999977, 53.05720000000002 5.846999998999991, 53.05849999899999 5.85110000100002, 53.05559999899998 5.853000000000009, 53.05530000099998 5.853100002000019, 53.05500000000001 5.852899997999998, 53.05359999799998 5.851300001000027, 53.053300001000025 5.850900002000003, 53.053199999000014 5.850299999000015, 53.05239999999998 5.85110000100002, 53.051899999 5.8519000000000005, 53.05160000199999 5.852899997999998, 53.05139999800002 5.85390000000001, 53.05139999800002 5.855099998000014, 53.05160000199999 5.856699999, 53.05169999999998 5.857900001000019, 53.051499999999976 5.858699999999999, 53.051199999000005 5.85949999799999, 53.050700000999996 5.860800002000019, 53.050000001 5.861499998999989, 53.04950000000002 5.8621000009999875, 53.04930000000002 5.862599998999997, 53.04930000000002 5.863200000999996, 53.04930000000002 5.863899998000022, 53.04940000200003 5.864899999999977, 53.04960000099999 5.865600001000018, 53.050000001 5.866599999000016, 53.050599999999974 5.868200000000002, 53.05079999899999 5.868900000999986, 53.050900001 5.869500000000016, 53.05079999899999 5.870700001999978, 53.05050000199998 5.873100001000012, 53.050400000000025 5.873899999999992, 53.050400000000025 5.875200000000007, 53.050400000000025 5.876300000000015, 53.050299998000014 5.877200000000016, 53.05020000000002 5.877700000999994, 53.050000001 5.878300000000024, 53.04940000200003 5.878899998999998, 53.04899999899999 5.879599999999982, 53.04850000099998 5.880100001000017, 53.04720000200001 5.881000001000018, 53.04679999899997 5.881299999000021, 53.04659999900002 5.881799999999998, 53.046399999000016 5.883000001000028, 53.04630000100002 5.884199998999975, 53.0462 5.884799998000005, 53.04630000100002 5.885299998999983, 53.046399999000016 5.8858999980000135, 53.04650000100003 5.886399998999991, 53.04670000099998 5.886900000000026, 53.04740000100003 5.888599999000007, 53.047800000999985 5.889600001000019, 53.04789999899998 5.889899999000022, 53.04789999899998 5.890299997999989, 53.04789999899998 5.890700001000027, 53.04789999899998 5.891100000999984, 53.047699998999974 5.891899998999975, 53.047699998999974 5.892099998999981, 53.047699998999974 5.892600000000016, 53.047800000999985 5.893500000000017, 53.048 5.894099998999991, 53.048099998 5.894699998000021, 53.048599998999975 5.895599999000012, 53.04879999899998 5.896000001999994, 53.04890000099999 5.896499999000014, 53.04890000099999 5.896999999999991, 53.048599998999975 5.897500001000026, 53.048400000000015 5.897899999999993, 53.048099998 5.898400001000027, 53.047800000999985 5.898699998999973, 53.047499999000024 5.899099997999997, 53.04720000200001 5.899400000000014, 53.04699999799999 5.899999998999988, 53.04699999799999 5.900400002000026, 53.04699999799999 5.900899998999989, 53.0471 5.901400000000024, 53.04730000000001 5.901799998999991, 53.04789999899998 5.903000001000009, 53.04850000099998 5.905799999999999, 53.048700000999986 5.9065000009999835, 53.04910000000001 5.907499998999981, 53.04960000099999 5.90870000000001, 53.04989999899999 5.909699998999997, 53.050299998000014 5.911299999999983, 53.05110000100001 5.913400002000003, 53.05279999999999 5.917899999999975, 53.05420000100003 5.9217000009999765, 53.05459999999999 5.922800000999985, 53.05469999799999 5.923300002000019, 53.05459999999999 5.923799998999982, 53.05449999899997 5.92410000000001, 53.05420000100003 5.9243000000000166, 53.05369999999999 5.924699998999984, 53.053499999999985 5.925099998999997, 53.05359999799998 5.925500001999978, 53.053800002 5.926499999999976, 53.053800002 5.92700000100001, 53.05359999799998 5.927099999000006, 53.053300001000025 5.927499997999973, 53.053199999000014 5.927799999999991, 53.05310000100002 5.927999999000008, 53.05299999900001 5.928699999999992, 53.05310000100002 5.934000000000026, 53.05310000100002 5.9345000010000035, 53.053300001000025 5.934900001000017, 53.053499999999985 5.935400001999994, 53.05359999799998 5.935800001000018, 53.05359999799998 5.93670000100002, 53.05359999799998 5.940400001, 53.05359999799998 5.942099999999982, 53.053499999999985 5.942799999999977, 53.05339999900002 5.943599999000014, 53.05339999900002 5.945700000999977, 53.05359999799998 5.955600000999993, 53.05359999799998 5.958099999000012, 53.05400000100002 5.95919999900002, 53.05559999899998 5.964999999999975, 53.05669999899999 5.96909999799999, 53.05720000000002 5.970699998999976, 53.05720000000002 5.971099998999989, 53.05710000200003 5.9715000020000275, 53.05669999899999 5.973200001000009, 53.056100000000015 5.975099999000008, 53.05490000200001 5.979200002000027, 53.0539 5.982700001000012, 53.05229999900001 5.988099999999974, 53.04910000000001 5.9990999999999985, 53.04879999899998 6.000399999000024, 53.04830000200002 6.002400000000023, 53.04789999899998 6.003899998999998, 53.04219999899999 6.025699998999983, 53.04060000200002 6.0315000009999835, 53.03929999799999 6.036499999, 53.03909999899997 6.036800001000017, 53.03900000099998 6.036999999999978, 53.033100002000026 6.041700002000027, 53.03049999799998 6.043600000000026, 53.022100002 6.050400000000025, 53.021799999999985 6.050400000000025, 53.02129999900001 6.050500001999978, 53.01969999800002 6.050700000999996, 53.018899999999974 6.050900001000002, 53.01319999999998 6.0516999999999825, 53.011799999000004 6.05200000100001, 53.0077 6.052599999999984, 53.00759999799999 6.052599999999984, 53.00749999999999 6.052700001999995, 53.00519999900001 6.058299999999974, 53.00400000100001 6.061199999999985, 53.003300000000024 6.062800001000028, 53.002999999 6.0634000000000015, 53.00279999899999 6.063900000999979)"
diepte_vaarweg.3,225e,Lekkanaal,,2.738,4.157,,NAP,-4.5,-4.5,,4414,,,"LINESTRING (52.03909999899997 5.11160000000001, 52.036499999 5.111699998000006, 52.03420000199998 5.112700000000018, 52.03049999799998 5.1141999999999825, 52.027800001 5.114799999000013, 52.02679999899999 5.114999997999973, 52.02569999899998 5.114899999999977, 52.02349999900002 5.114399999, 52.02140000100002 5.113699999000005, 52.019000000999995 5.112900000000025, 52.01660000200002 5.112000000000023, 52.011900000000026 5.109800000000007, 52.010600001 5.109099999000023, 52.00820000099998 5.107599999999991, 52.00649999799998 5.106299999999976, 52.00490000100001 5.10469999899999, 52.00310000000002 5.103100002000019)"
diepte_vaarweg.4,1136,8e Petroleumhaven (Beerkanaal),,0.367,1.561,,NAP,-23.9,-22.9,,4490,,,"LINESTRING (51.96260000000001 4.081099998000013, 51.96400000199998 4.074799999999982, 51.969799998999974 4.069699999000022)"
diepte_vaarweg.5,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,11.586,24.027,,NAP,2.8,4.7,,4547,,,"LINESTRING (51.94830000000002 5.956099998000013, 51.949299999000004 5.954500000999985, 51.94979999999998 5.95369999899998, 51.950199999000006 5.952799997999989, 51.95109999900001 5.95089999999999, 51.952300001000026 5.94799999899999, 51.953100000000006 5.94599999899998, 51.953600000999984 5.944800000999976, 51.95430000099998 5.9433999990000075, 51.95490000000001 5.942200001000003, 51.95549999899998 5.941300001000002, 51.955899998999996 5.9404999989999965, 51.95630000199998 5.939900000000023, 51.95690000100001 5.939100000999986, 51.957600001 5.938200000999984, 51.95819999999998 5.937399997999989, 51.95870000100001 5.936999999000022, 51.95939999799998 5.936299997999981, 51.959899999000015 5.935899999000014, 51.96039999999999 5.935600001000012, 51.96110000099998 5.935199997999973, 51.96330000099999 5.934199999999976, 51.964699998000015 5.933600001000002, 51.96489999800002 5.9334999989999915, 51.965300001 5.933200001999978, 51.96599999799997 5.932700001000001, 51.966899997999974 5.931699998999989, 51.96739999900001 5.931200000999979, 51.96809999999999 5.930100001000028, 51.96849999900002 5.929400000999976, 51.96880000099998 5.928699999999992, 51.96930000200001 5.927599999999984, 51.96970000099998 5.926399998000022, 51.969900000999985 5.925599999999974, 51.97010000099999 5.924400002000027, 51.97089999899998 5.920099999999991, 51.97150000200003 5.918000000999996, 51.972199999 5.916499998000006, 51.97289999899999 5.915100000999985, 51.973999999 5.913400002000003, 51.97430000100002 5.912799999000015, 51.974800001999995 5.911800001000017, 51.97569999799998 5.9094000009999945, 51.97610000100002 5.9080000000000155, 51.97659999899997 5.9065000009999835, 51.97720000100003 5.905000001000019, 51.9778 5.903599999999983, 51.97879999899999 5.9015000019999775, 51.980799999 5.897899999999993, 51.981299999999976 5.896999999999991, 51.98200000100002 5.895399999000006, 51.982399999999984 5.894299998999998, 51.98259999999999 5.893399998999996, 51.98290000100002 5.892200000999992, 51.982999999000015 5.890999998999973, 51.983100001000025 5.889899999000022, 51.98319999900002 5.8889000010000245, 51.983100001000025 5.887699999000006, 51.982999999000015 5.886199999999974, 51.98270000100001 5.884599998999988, 51.982299997999974 5.883000001000028, 51.98189999900001 5.881700002000002, 51.98149999999998 5.880499999999984, 51.980999999000005 5.8790000010000085, 51.980399999999975 5.87779999899999, 51.979800001 5.876600000999986, 51.97879999899999 5.875100002000011, 51.977499998999974 5.873399999000014, 51.976699999999994 5.872400001000017, 51.97610000100002 5.871800001999986, 51.97520000100002 5.870700001999978, 51.97410000100001 5.869600002000027, 51.973000001 5.868500002000019, 51.972500000000025 5.868000000999984, 51.97170000199998 5.866799999000023, 51.97100000099999 5.865499999000008, 51.970500000000015 5.864399999, 51.97010000099999 5.863099999999974, 51.969799998999974 5.861499998999989, 51.96950000200002 5.8596, 51.96950000200002 5.857900001000019, 51.969599999000025 5.856400001999987, 51.969799998999974 5.854600000999994, 51.970199998 5.853100002000019, 51.97120000000001 5.849499999999978, 51.971799998999984 5.847300000000018, 51.97230000000002 5.845300000000009, 51.972800001999985 5.843199997999989, 51.973099999 5.84129999999999, 51.973299999000005 5.840100001999986, 51.97340000000003 5.8390000019999775, 51.97349999800002 5.838000000000022, 51.973599999999976 5.836800002000018, 51.973599999999976 5.83570000200001, 51.973599999999976 5.834499999999991, 51.973599999999976 5.833199999999977, 51.97349999800002 5.832100000000025, 51.97340000000003 5.830899998999996, 51.97320000100001 5.829700000999992, 51.973000001 5.828499998999973, 51.972699999999975 5.826900002000002, 51.973099999 5.826599999999985, 51.97320000100001 5.826000001000011, 51.973299999000005 5.825599997999973, 51.97320000100001 5.824000001000002, 51.972800001999985 5.822299998000005, 51.972100001 5.8194000010000195, 51.971299998000006 5.816799998000022, 51.96889999899997 5.809999999000013, 51.967599999000015 5.80680000000001, 51.96609999999998 5.802900001000012, 51.96330000099999 5.7946999999999775, 51.962699998000005 5.792899999999975, 51.961900000000014 5.791299998999989, 51.96090000100003 5.790100000999985)"
diepte_vaarweg.6,114,Scheepvaartkanaal en Voedingskanaal en Brielse Meer,,0.292,0.537,,NAP,-4.7,-2.4,,4594,,,"LINESTRING (51.863800000000026 4.331500000999995, 51.86360000100001 4.327300001000026)"
diepte_vaarweg.19,228,Eem en havens van Amersfoort,,0,0.962,,MP,-2.3,-2.3,,4933,,,"LINESTRING (52.15900000200003 5.385100000000023, 52.16010000199998 5.383400000999984, 52.16090000000003 5.382100001000026, 52.161400001000004 5.3808999990000075, 52.162099997999974 5.378800001000002, 52.16250000100001 5.377700000999994, 52.16270000100002 5.377300002000027, 52.162900001000025 5.377200000000016, 52.16319999799998 5.377099998000006, 52.16360000100002 5.376899998999988, 52.16450000200001 5.376800000999992, 52.16470000100003 5.376699998999982, 52.164799999000024 5.376699998999982, 52.165100000999985 5.376400000999979, 52.16550000000001 5.375599998999974, 52.165899998999976 5.374499999000022, 52.16620000099999 5.373699999999985, 52.166999998999984 5.372299999000006, 52.16750000000002 5.371500000000026, 52.167899999999975 5.3706000000000245, 52.16869999800002 5.368900000999986, 52.17009999999999 5.365200001999995, 52.17040000100002 5.364599999000006)"
diepte_vaarweg.7,224a,"Heinoomsvaart, Ringvaart van het Waterschap Groot-Mijdrecht en Geuzensloot",,0,10.832,,KP,-1.3,-1.3,,4597,,,"LINESTRING (52.1644 4.886500001000002, 52.16470000100003 4.886999998000022, 52.164999998999974 4.887499998999999, 52.168499999000005 4.891800000999979, 52.1712 4.895100001000003, 52.172800000999985 4.896899997999981, 52.173599998999975 4.897599999000022, 52.17440000200003 4.89820000200001, 52.175299998000014 4.898699998999973, 52.17610000100001 4.899000000000001, 52.176199999000005 4.8992000000000075, 52.176199999000005 4.8995000009999785, 52.176199999000005 4.899900000999992, 52.176199999000005 4.900300000000016, 52.17669999999998 4.900600000999987, 52.176899999 4.900899998999989, 52.176899999 4.904599997999981, 52.17739999999998 4.904899999000008, 52.17790000100001 4.905099999000015, 52.18160000099999 4.905000001000019, 52.191700000000026 4.904599997999981, 52.193899999999985 4.9044999999999845, 52.19409999999999 4.9044999999999845, 52.194200002 4.904199999000014, 52.1943 4.90379999999999, 52.19440000100002 4.9034999979999725, 52.19440000100002 4.903000001000009, 52.19440000100002 4.902600001999986, 52.1943 4.902199998000015, 52.1943 4.9015999999999735, 52.19499999999999 4.9015999999999735, 52.19550000100003 4.901700000999995, 52.19700000099999 4.901900001000001, 52.19709999899999 4.902699999999982, 52.19709999899999 4.903200001000016, 52.19709999899999 4.904300001000024, 52.19689999899998 4.905400000999975, 52.196800000999986 4.906199999000023, 52.196500000000015 4.907400000999985, 52.19630000000001 4.908300000999986, 52.196199998 4.909699998999997, 52.19640000200002 4.910799999000005, 52.196699998999975 4.911800001000017, 52.19750000200003 4.915100000999985, 52.19750000200003 4.915300000000002, 52.197400000000016 4.915500000000009, 52.19630000000001 4.916900000999988, 52.196500000000015 4.917300001000001, 52.19720000000001 4.918999999999983, 52.199299999000004 4.92410000000001, 52.19949999800002 4.9246000009999875, 52.199599999999975 4.925099998999997, 52.20010000100001 4.925599999999974, 52.200300001000016 4.925700000999996, 52.20049999999998 4.925400000000025, 52.200800001999994 4.92410000000001, 52.200800001999994 4.923900000999993, 52.20089999999999 4.923900000999993, 52.20329999900002 4.924800000999994, 52.204999998000005 4.925500001999978, 52.20569999899999 4.925900001000002, 52.20600000000002 4.926199999000005, 52.20659999899999 4.927399999999977, 52.207100000000025 4.928399999000021, 52.207299999999975 4.9284999999999854, 52.20829999799997 4.9285999979999815, 52.209299999999985 4.92900000100002, 52.210800000000006 4.929400000999976, 52.21090000100003 4.930000000000007, 52.212099998999975 4.936399999999992, 52.21249999899999 4.936999999000022, 52.21310000099999 4.937800001000028, 52.21339999899999 4.9384000000000015, 52.21370000000002 4.938999998999975, 52.215399999 4.947700000999987, 52.21889999899997 4.965199999999982, 52.22030000000001 4.971999998999991, 52.220600002000026 4.971999998999991)"
diepte_vaarweg.8,138,Oosterschelde,,8.3,25.157,,NAP,-48.8,-7,,4675,,,"LINESTRING (51.640000000999976 3.8389000000000237, 51.64050000200001 3.8317999989999976, 51.63989999900002 3.827799997999989, 51.63089999900001 3.8007000009999956, 51.61160000000001 3.743600000000015, 51.61039999899998 3.7344999979999898, 51.610300000999985 3.7243999990000134, 51.610599998 3.711199998999973, 51.611699998000006 3.706999999000004, 51.612500001 3.7034000009999772, 51.613200000999996 3.7017999999999915, 51.61540000100001 3.6983999980000135, 51.61670000100003 3.6968999989999816, 51.618000000999984 3.6933999990000075, 51.61840000000001 3.6884000000000015, 51.618600000000015 3.686000001000025, 51.618600000000015 3.6832999999999743, 51.61919999899999 3.6785999979999815, 51.62009999899999 3.6773999999999774, 51.62099999899999 3.6768000010000037, 51.621500000000026 3.6759000010000022, 51.621500000000026 3.6746999989999836, 51.621500000000026 3.6739999989999887, 51.62130000100001 3.6728000009999846, 51.620799999999974 3.671199999999999, 51.6182 3.6668000000000234, 51.616900000999976 3.663400002000003, 51.61589999900002 3.6587999980000063, 51.61609999799998 3.653900001000011, 51.616900000999976 3.6506000009999866, 51.61910000099999 3.644799999999975, 51.641100000999984 3.603799998999989, 51.64440000100001 3.5984999980000225, 51.64920000000001 3.580400000999987, 51.65399999900001 3.5619000010000264, 51.654199999000014 3.561399999999992)"
diepte_vaarweg.9,150o,Mookerplas,,0,1,,SP,-3.5,-2,,4694,,,"LINESTRING (51.74969999899997 5.879099999000005, 51.749299999000016 5.880199999000013, 51.7491 5.88069999999999, 51.746199999 5.885299998999983, 51.74370000099998 5.889499999999998, 51.74350000200002 5.889899999000022)"
