Ministerie;handelsnaam na kvk;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ Specifiek;9520 - BZK Specifiek;9530 - DEF specifiek;9540 - EZ Specifiek;9550 - FIN specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9600 - VWS Specifiek;Eindtotaal
AZ;MWM2 B.V.;;;;;;;1;;;;;;;;;;1
AZ;Van Vlier Media B.V.;;;;;;;1;;;;;;;;;;1
BZ;American Community School Amman;;;;;;;;1;;;;;;;;;1
BZ;American International School Bamak;;;;;;;;1;;;;;;;;;1
BZ;Country Day School San Jose;;;;;;;;1;;;;;;;;;1
BZ;Eaton House School London;;;;;;;;1;;;;;;;;;1
BZ;IBID Education B.V.;;;;;;;;1;;;;;;;;;1
BZ;St Nicholas Preparatory School Lond;;;;;;;;1;;;;;;;;;1
BZ;STICHTING MOLLIE PAYMENTS;;;;;;;;1;;;;;;;;;1
BZ;Transportadora Santa Rosa Ltda;;;;;;;;1;;;;;;;;;1
BZ;Verdala Intern. School Pembroke, Ma;;;;;;;;1;;;;;;;;;1
BZK;&Maes B.V.;;;;;;;;;1;;;;;;;;1
BZK;ABC Bouwmanagement;;;;;;;;;1;;;;;;;;1
BZK;Actus Notarissen N.V.;;;;;;;;;1;;;;;;;;1
BZK;Adviesbureau 'Het betere cont(r)act';;;;;;;;;1;;;;;;;;1
BZK;Adviesburo R.I.E.T.;;;;;;;;;1;;;;;;;;1
BZK;AELMANS  RENTMEESTER-;;;;;;;;;1;;;;;;;;1
BZK;AGRI  DIRECT;;;;;;;;;1;;;;;;;;1
BZK;Agridirect B.V.;;;;;;;;;1;;;;;;;;1
BZK;Airco Service Noord;;;;;;;;;1;;;;;;;;1
BZK;Allfence;;;;;;;;;1;;;;;;;;1
BZK;Almelose Woningstichting;;;;;;;;;1;;;;;;;;1
BZK;Alpha Catering;;;;;;;;;1;;;;;;;;1
BZK;Alsta B.V.;;;;;;;;;1;;;;;;;;1
BZK;Alsta Nassau B.V.;;;;;;;;;1;;;;;;;;1
BZK;ALSTEDE  VAN  MIERLO  MAKELAARDIJ;;;;;;;;;1;;;;;;;;1
BZK;Amaze Escape Events;;;;;;;;;1;;;;;;;;1
BZK;Anna Vastgoed Beheer B.V.;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 111;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 114;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 12;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 128;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 14;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 171;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 181;;;;;;;;;1;;;;;;;;1
BZK;Anoniem 183;;;;;;;;;1;;;;;;;;1
