FID,omschr,portaalnr,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
portalen_wegvak.1,staal (losstaande stalen constructie),0,600151072,2021-11-01T00:00:00,208,060015107220211101,KPK0001152275,I,,POINT (243972.21009999886 481210.2980999984)
portalen_wegvak.2,staal (losstaande stalen constructie),0,487362011,2021-11-01T00:00:00,570,048736201120211101,KPK0001152294,I,,POINT (244394.3247999996 481101.81529999897)
portalen_wegvak.3,staal (losstaande stalen constructie),0,487362011,2021-11-01T00:00:00,1106,048736201120211101,KPK0001218534,I,,POINT (244827.97690000013 480786.79100000113)
portalen_wegvak.4,staal (losstaande stalen constructie),0,600150445,2021-11-01T00:00:00,22,060015044520211101,KPK0001140966,I,,POINT (244982.6875 480695.0447999984)
portalen_wegvak.5,staal (losstaande stalen constructie),0,600150445,2021-11-01T00:00:00,229,060015044520211101,KPK0001140948,I,,POINT (244815.63190000132 480817.1603000015)
portalen_wegvak.6,staal (losstaande stalen constructie),0,248355010,2022-01-01T00:00:00,379,024835501020220101,KPK0001130008,I,,POINT (124831.85049999878 477636.1710000001)
portalen_wegvak.7,staal (losstaande stalen constructie),0,600127444,2022-01-01T00:00:00,3,060012744420220101,KPK0001133702,I,,POINT (133302.81980000064 453084.31529999897)
portalen_wegvak.8,staal (losstaande stalen constructie),0,600127885,2022-01-01T00:00:00,107,060012788520220101,KPK0001113193,I,,POINT (138173.87999999896 451925.91899999976)
portalen_wegvak.9,staal (losstaande stalen constructie),0,600104824,2022-01-01T00:00:00,123,060010482420220101,KPK0001179829,I,,POINT (86982.22540000081 452356.49450000003)
portalen_wegvak.10,staal (losstaande stalen constructie),0,600104824,2022-01-01T00:00:00,639,060010482420220101,KPK0001179824,I,,POINT (86520.14299999923 452584.49329999834)
portalen_wegvak.11,staal (losstaande stalen constructie),0,600106510,2022-01-01T00:00:00,393,060010651020220101,KPK0001180139,I,,POINT (86039.67760000005 452936.37209999934)
portalen_wegvak.12,staal (losstaande stalen constructie),0,600106571,2022-01-01T00:00:00,87,060010657120220101,KPK0001180122,I,,POINT (84743.28420000151 451980.5885999985)
portalen_wegvak.13,staal (losstaande stalen constructie),0,600104814,2022-01-01T00:00:00,635,060010481420220101,KPK0001180128,I,,POINT (85428.21559999883 452971.0604999997)
portalen_wegvak.14,staal (losstaande stalen constructie),0,600104809,2022-01-01T00:00:00,147,060010480920220101,KPK0001180127,I,,POINT (85292.8123999983 452772.34490000084)
portalen_wegvak.15,staal (losstaande stalen constructie),0,600104809,2022-01-01T00:00:00,444,060010480920220101,KPK0001180126,I,,POINT (85086.54300000146 452559.5073999986)
portalen_wegvak.16,staal (losstaande stalen constructie),0,600128404,2021-12-01T00:00:00,895,060012840420211201,KPK0001471934,I,,POINT (142989.59820000082 431800.0210000016)
portalen_wegvak.17,staal (losstaande stalen constructie),0,600128404,2021-12-01T00:00:00,230,060012840420211201,KPK0001156831,I,,POINT (143343.8999999985 431238.0203000009)
portalen_wegvak.18,staal (losstaande stalen constructie),0,600128295,2021-12-01T00:00:00,195,060012829520211201,KPK0001471925,I,,POINT (142827.4354000017 432048.27380000055)
portalen_wegvak.19,staal (losstaande stalen constructie),0,600115097,2022-01-01T00:00:00,191,060011509720220101,KPK0001140381,I,,POINT (94143.9422999993 431192.91039999947)
portalen_wegvak.20,staal (losstaande stalen constructie),0,258223021,2022-01-01T00:00:00,36,025822302120220101,KPK0001143387,I,,POINT (129321.8739 411761.9398000017)
portalen_wegvak.21,staal (losstaande stalen constructie),0,318178093,2022-01-01T00:00:00,158,031817809320220101,KPK0001162819,I,,POINT (159301.50239999965 389508.85009999946)
portalen_wegvak.22,staal (losstaande stalen constructie),0,318178093,2022-01-01T00:00:00,640,031817809320220101,KPK0001141334,I,,POINT (159772.87640000135 389609.10869999975)
portalen_wegvak.23,viaduct (aan de zijkant van een viaduct),0,319179014,2022-01-01T00:00:00,417,031917901420220101,KPK0001141335,I,,POINT (160283.69079999998 389673.6680999994)
portalen_wegvak.24,staal (losstaande stalen constructie),0,600104816,2022-01-01T00:00:00,1418,060010481620220101,KPK0001420691,I,,POINT (85192.12330000103 453309.3599999994)
portalen_wegvak.25,staal (losstaande stalen constructie),0,600104816,2022-01-01T00:00:00,416,060010481620220101,KPK0001179819,I,,POINT (86078.63159999996 452853.694600001)
portalen_wegvak.26,viaduct (aan de zijkant van een viaduct),0,600104816,2022-01-01T00:00:00,916,060010481620220101,KPK0001179818,I,,POINT (85657.1528000012 453122.54679999873)
portalen_wegvak.27,staal (losstaande stalen constructie),0,192300006,2022-01-01T00:00:00,1490,019230000620220101,KPK0001179849,I,,POINT (97679.98710000142 449776.32649999857)
portalen_wegvak.28,staal (losstaande stalen constructie),0,192300006,2022-01-01T00:00:00,898,019230000620220101,KPK0001132138,I,,POINT (97144.79930000007 450029.20419999957)
portalen_wegvak.29,staal (losstaande stalen constructie),0,192300006,2022-01-01T00:00:00,408,019230000620220101,KPK0001132134,I,,POINT (96688.81419999897 450207.7490000017)
portalen_wegvak.30,staal (losstaande stalen constructie),0,600128741,2022-01-01T00:00:00,1942,060012874120220101,KPK0001132714,I,,POINT (143482.79850000143 452382.8471000008)
portalen_wegvak.31,staal (losstaande stalen constructie),0,600128741,2022-01-01T00:00:00,368,060012874120220101,KPK0001132758,I,,POINT (145051.58830000088 452255.8134999983)
portalen_wegvak.32,staal (losstaande stalen constructie),0,600128741,2022-01-01T00:00:00,908,060012874120220101,KPK0001132757,I,,POINT (144513.1746999994 452297.17610000074)
portalen_wegvak.33,staal (losstaande stalen constructie),0,600128741,2022-01-01T00:00:00,1344,060012874120220101,KPK0001132744,I,,POINT (144078.44860000163 452330.4780000001)
portalen_wegvak.34,staal (losstaande stalen constructie),0,600128297,2022-01-01T00:00:00,128,060012829720220101,KPK0001132713,I,,POINT (143132.1638999991 452409.438000001)
portalen_wegvak.35,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,4091,038429400320220101,KPK0001180067,I,,POINT (194896.87260000035 444234.1889999993)
portalen_wegvak.36,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,3665,038429400320220101,KPK0001180063,I,,POINT (194533.559799999 444455.20230000094)
portalen_wegvak.37,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,3255,038429400320220101,KPK0001180058,I,,POINT (194233.7263999991 444733.81010000035)
portalen_wegvak.38,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,2838,038429400320220101,KPK0001180057,I,,POINT (193992.98809999973 445073.3746000007)
portalen_wegvak.39,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,2269,038429400320220101,KPK0001180054,I,,POINT (193783.52470000088 445600.8099000007)
portalen_wegvak.40,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,1657,038429400320220101,KPK0001180047,I,,POINT (193608.80950000137 446187.33989999816)
portalen_wegvak.41,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,1345,038429400320220101,KPK0001180046,I,,POINT (193495.6240000017 446477.749499999)
portalen_wegvak.42,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,861,038429400320220101,KPK0001180045,I,,POINT (193234.5240000002 446883.86560000107)
portalen_wegvak.43,staal (losstaande stalen constructie),0,384294003,2022-01-01T00:00:00,269,038429400320220101,KPK0001180042,I,,POINT (192794.66459999979 447276.7721000016)
portalen_wegvak.44,viaduct (aan de zijkant van een viaduct),0,147271028,2022-02-01T00:00:00,242,014727102820220201,KPK0001185250,I,,POINT (74132.66849999875 435562.9199000001)
portalen_wegvak.45,staal (losstaande stalen constructie),0,147271028,2022-02-01T00:00:00,431,014727102820220201,KPK0001135748,I,,POINT (74287.34569999948 435454.71379999816)
