bestemming;brinnummer;school;bestuursnummer;gebouwnummer;postcode;adres;economisch_eigenaar;juridisch_eigenaar;stadsdeel;wijk;bouwaard;bouwjaar;bvo;xcoord;ycoord;ozb;opstal;verzekerd;lesruimte;gymruimte;kadastraal;archief;long;lat
GYM;19LI;De Zonnebloem;41572;103;2565 RE;Hyacinthweg 3 en 5;Gemeente;41572;3;12;Permanent;1926;300;77220;454431;0;0;0;;1;GVH AV 1934;0;4.252700639914168;52.07269337468777
BO;19LI;De Zonnebloem;41572;103;2565 RE;Hyacinthweg 3 en 5;Gemeente;41572;3;12;Permanent;1926;2108;77220;454431;0;0;0;16;;GVH AV 1934;0;4.252700639914168;52.07269337468777
GYM;19LY00;A.M.G. Schmidtschool;41572;107;2517 JM;Jacob de Graefflaan 10;Gemeente;41572;4;10;Permanent;1955;335;79279;455980;0;0;0;;1;GVH N 7711;0;4.282384077832006;52.08689917529989
BO;19LY00;A.M.G. Schmidtschool;41572;107;2517 JM;Jacob de Graefflaan 10;Gemeente;41572;4;10;Permanent;1955;1008;79279;455980;0;0;0;8;;GVH N 7711;0;4.282384077832006;52.08689917529989
BO;19LY00;A.M.G. Schmidtschool;41572;108;2517 JM;Jacob de Graefflaan 14;Gemeente;41572;4;10;Permanent;1954;555;79260;456026;0;0;0;3;;GVH N 7593;0;4.2820966873150645;52.08730996323823
VO;02DQ00;Christelijk Gymnasium Sorghvliet;33944;110;2517 JR;Johan de Wittlaan 22;Gemeente;33944;4;10;Permanent;1965;5284;79433;456130;0;0;0;40;;GVH N 7664;0;4.28459739835342;52.08826822410633
GYM;02DQ00;Christelijk Gymnasium Sorghvliet;33944;110;2517 JR;Johan de Wittlaan 22;Gemeente;33944;4;10;Permanent;1965;401;79433;456130;0;0;0;;1;GVH N 7664;0;4.28459739835342;52.08826822410633
VO;20MD00;Het Maerlant Lyceum;41360;111;2596 ED;Johannes Bildersstraat 11;Gemeente;41360;7;4;Permanent;1926;7762;81970;456508;0;0;0;57;;GVH X 2899;0;4.321527813813386;52.092005758751526
GYM;20MD00;Het Maerlant Lyceum;41360;111;2596 ED;Johannes Bildersstraat 11;Gemeente;41360;7;4;Permanent;2010;930;81970;456508;0;0;0;;2;GVH X 2899;0;4.321527813813386;52.092005758751526
VO;20MA00;Segbroek College;41360;116;2565 BT;Klaverstraat 7-9;Gemeente;41360;3;12;Permanent;1955;10501;77523;454466;0;0;0;68;;GVH AV 3218;0;4.257111446701338;52.073050389109895
GYM;20MA00;Segbroek College;41360;116;2565 BT;Klaverstraat 7-9;Gemeente;41360;3;12;Permanent;1955;1820;77471;454450;0;0;0;;4;GVH AV 3218;0;4.256356741806969;52.072899323842066
GYM;19OQ;De Springbok;41572;117;2571 VD;Pretoriusstraat 156;Gemeente;41572;5;30;Permanent;1990;455;79678;454061;0;0;0;;1;GVH AB 6449;0;4.288628404480331;52.06970810456061
BO;05VW;De Haagsche Schoolvereeniging;95694;119;2595 TG;Koningin Sophiestraat 24A;Gemeente;95694;7;26;Permanent;1930;1291;83059;455223;0;0;0;7;;GVH R 10754;0;4.337687309986626;52.08060029454047
GYM;05VW;De Haagsche Schoolvereeniging;95694;119;2595 TG;Koningin Sophiestraat 24A;Gemeente;95694;7;26;Permanent;1930;284;83059;455223;0;0;0;;2;GVH R 10754;0;4.337687309986626;52.08060029454047
SO/VSO;23GJ13;Pleysier College Westerbeek;30815;120;2573 XJ;Kootwijkstraat 35;Gemeente;CVDH;2;31;Permanent;1931;690;79293;453757;0;0;0;6;;GVH AL 4082;0;4.283081582441318;52.06692364298184
BO;18PQ;Anne Frank;41572;122;2544 RZ;Laagveen 22;Gemeente;41572;2;33;Permanent;1959;1815;77070;450842;0;0;0;8;;GVH AW 1158;0;4.251331990564654;52.04041913276284
BO;19OC;Prins Willem Alexander;41572;123;2521 SG;Laakweg 199;Gemeente;41572;6;38;Permanent;1994;1336;82011;453330;0;0;0;9;;GVH AC 3623;0;4.322805876012737;52.0634511188116
VO;20LU00;Gymnasium Haganum;41360;124;2517 AG;Laan van Meerdervoort 57;Gemeente;41360;4;11;Permanent;1907;5645;79854;455626;0;0;0;46;;GVH N 8639;0;4.29085023372295;52.083796239998875
GYM;20LU00;Gymnasium Haganum;41360;124;2517 AG;Laan van Meerdervoort 57;Gemeente;41360;4;11;Permanent;1907;539;79854;455626;0;0;0;;1;GVH N 8639;0;4.29085023372295;52.083796239998875
GYM;00WO;Instituut voor Individueel Onderwijs;95694;126;2566 EA;Laan van Poot 91;Gemeente;95694;3;13;Permanent;1918;244;77873;455962;0;0;0;;1;GVH AO 108;0;4.261877426194469;52.086543280971455
SO/VSO;00WO;Instituut voor Individueel Onderwijs;95694;126;2566 EA;Laan van Poot 91;Gemeente;95694;3;13;Permanent;1908;820;77873;455962;0;0;0;6;;GVH AO 108;0;4.261877426194469;52.086543280971455
BO;05VX00;Eerste Nederlandse Montessorischool;46879;127;2566 DA;Laan van Poot 353;Gemeente;46879;3;13;Permanent;1925;1662;76598;454967;0;0;0;11;;GVH AO 3011;0;4.243506672625458;52.07742247257709
GYM;05VX00;Eerste Nederlandse Montessorischool;46879;127;2566 DA;Laan van Poot 353;Gemeente;46879;3;13;Permanent;1925;284;76598;454967;0;0;0;;1;GVH AO 3011;0;4.243506672625458;52.07742247257709
GYM;19UJ;Laan van Poot Nutsschool;20281;128;2566 DA;Laan van Poot 355;Gemeente;20281;3;13;Permanent;1932;284;76598;454967;0;0;0;;1;GVH AO 3011;0;4.243506672625458;52.07742247257709
BO;19UJ;Laan van Poot Nutsschool;20281;128;2566 DA;Laan van Poot 355;Gemeente;20281;3;13;Permanent;1930;1566;76598;454967;0;0;0;12;;GVH AO 3011;0;4.243506672625458;52.07742247257709
BO;13ZY;De Regenboog;20281;132;2522 GR;Linnaeusstraat 12;Gemeente;20281;6;38;Permanent;1994;2558;82458;452815;0;0;0;22;;GVH AI 9536;0;4.329432795735529;52.05888160325112
BO;17PB;De Ark Chr. Basisschool;70176;136;2546 SR;Maarsbergenstraat 30-32;Gemeente;70176;2;32;Permanent;1957;1103;78587;452978;0;0;0;8;;LSD_N_2637;1;4.272961370449612;52.059826036855576
BO;04EN;Houtwijk Montessori-basisschool;41324;138;2552 KL;Mari Andriessenerf 15-17;Gemeente;70176;1;17;Permanent;1983;1095;76985;452556;0;0;0;16;;LSD M 6047;0;4.2497020016732625;52.05581034640297
BO;19MZ;Houtwijk;41572;139;2552 KN;Mari Andriessenstraat 40-42;Gemeente;41572;1;17;Permanent;1983;1023;76785;452556;0;0;0;7;;LSD M 6047;0;4.246786441014754;52.055782143930585
GYM;04EN;Houtwijk Montessori-basisschool;41324;139;2552 KN;Mari Andriessenstraat 40-42;Gemeente;41572;1;17;Permanent;1983;455;76912;452332;0;0;0;;2;LSD M 6047;0;4.24868902717382;52.053787047920494
BO;05HD;De Zuidwester;40928;140;2544 ME;Marterrade 312;Gemeente;40928;2;33;Permanent;1959;2812;77523;451366;0;0;0;20;;GVH AW 3033;0;4.2578147175555365;52.045191683576704
GYM;05HD;De Zuidwester;40928;140;2544 ME;Marterrade 312;Gemeente;40928;2;33;Permanent;1962;352;77523;451366;0;0;0;;1;GVH AW 3033;0;4.2578147175555365;52.045191683576704
BO;16FS;De Triangel;20281;143;2515 BZ;Meester de Bruinplein 3;Gemeente;20281;5;29;Permanent;2001;2259;81456;453842;0;0;0;17;;GVH L 12900;0;4.314603385634334;52.06797895792717
GYM;20JM00;Haagse Mytylschool De Piramide (SO/LG/LZ;41572;145;2541 GA;Melis Stokelaan 1185;Gemeente;41572;2;33;Permanent;1993;393;78292;450932;0;0;0;;1;GVH AW 1977;1;4.269119843166904;52.041398423112376
BO;19VA;Bezuidenhout Nutsbasisschool;20281;147;2593 TL;Merkusstraat 19;Gemeente;20281;7;26;Permanent;1929;1581;83366;455987;0;0;0;12;;GVH AU 1377;0;4.342004820357325;52.08750603650118
GYM;19VA;Bezuidenhout Nutsbasisschool;20281;147;2593 TL;Merkusstraat 19;Gemeente;20281;7;26;Permanent;1929;284;83366;455987;0;0;0;;1;GVH AU 1377;0;4.342004820357325;52.08750603650118
BO;05WB;De Vrije school;95785;149;2586 XA;2e Messstraat 31;Gemeente;95785;4;7;Permanent;1923;850;79322;458544;0;0;0;18;;GVH AF 2662;0;4.282441985479296;52.10994686711657
BO;24RU;Wonnebald De Vrije School;61960;152;2555 JK;Mozartlaan 189;Gemeente;61960;1;18;Permanent;1959;1742;76025;453320;0;0;0;14;;LSD H 6674;0;4.235530673554404;52.06254009671578
GYM;24RU;Wonnebald De Vrije School;61960;152;2555 JK;Mozartlaan 189;Gemeente;61960;1;18;Permanent;1969;393;76025;453320;0;0;0;;1;LSD H 6674;0;4.235530673554404;52.06254009671578
BO;19NN;Houtrust;41572;154;2566 JP;Nachtegaalplein 19A;Gemeente;41572;3;13;Permanent;1926;1190;77941;455621;0;0;0;9;;GVH AO 1801;0;4.262946452605088;52.08348830685007
GYM;19NN;Houtrust;41572;154;2566 JP;Nachtegaalplein 19A;Gemeente;41572;3;13;Permanent;1924;284;77941;455621;0;0;0;;1;GVH AO 1801;0;4.262946452605088;52.08348830685007
VO;02US00;Haags Montessori Lyceum;41360;156;2596 AK;Nassau Bredastraat 1-5;Gemeente;41360;7;4;Permanent;1956;6742;81619;456105;0;0;0;62;;GVH P 9313;0;4.31649351061808;52.08833767064068
GYM;02US00;Haags Montessori Lyceum;41360;156;2596 AK;Nassau Bredastraat 1-5;Gemeente;41360;7;4;Permanent;1956;910;81619;456105;0;0;0;;2;GVH P 9313;0;4.31649351061808;52.08833767064068
BO;05VW;De Haagsche Schoolvereeniging;95694;157;2514 JT;Nassaulaan 26;Schoolbestuur;95694;5;23;Permanent;1901;1499;81025;455822;0;0;0;14;;GVH P 9224;0;4.307889258189539;52.08571535886803
GYM;05VW;De Haagsche Schoolvereeniging;95694;157;2514 JT;Nassaulaan 26;Juridisch eigenaar;95694;5;23;Permanent;1901;284;81025;455822;0;0;0;;2;GVH P 9224;0;4.307889258189539;52.08571535886803
VO;20MJ02;Johan de Witt Scholengroep, locatie Nieu;41360;158;2587 AC;Nieuwe Duinweg 6 - 14;Gemeente;41360;4;7;Permanent;1924;5599;79607;458130;0;0;0;40;;GVH V 7464;0;4.286693369166131;52.106265308975935
GYM;20MJ02;Johan de Witt Scholengroep, locatie Nieu;41360;158;2587 AC;Nieuwe Duinweg 6 - 14;Gemeente;41360;4;7;Permanent;1924;455;79607;458130;0;0;0;;1;GVH V 7464;0;4.286693369166131;52.106265308975935
BO;19NQ;De Gelderlandschool;41572;160;2573 BA;Nijkerklaan 9;Gemeente;41572;2;31;Permanent;1930;1567;79228;453495;0;0;0;12;;GVH_AL_4301;0;4.282191933575209;52.064560232346054
GYM;19NQ;De Gelderlandschool;41572;160;2573 BA;Nijkerklaan 9;Gemeente;41572;2;31;Permanent;1933;335;79228;453495;0;0;0;;1;GVH AL 6583;0;4.282191933575209;52.064560232346054
BO;06MV;Rosa-Basisschool;40928;161;2573 BA;Nijkerklaan 7;Gemeente;40928;2;31;Permanent;1933;1953;79308;453451;0;0;0;13;;GVH AL 4302;0;4.283368150809491;52.064175754883316
GYM;06MV;Rosa-Basisschool;40928;161;2573 BA;Nijkerklaan 7;Gemeente;40928;2;31;Permanent;1933;390;79308;453451;0;0;0;;1;GVH AL 4302;0;4.283368150809491;52.064175754883316
VO;21GU09;Esloo College;20281;162;2516 JE;Noordpolderkade 167;Gemeente;20281;6;38;Permanent;2008;2952;82791;453133;0;0;0;47;;GVH AI 9762;0;4.334220394469837;52.061782920924074
GYM;19MP;De Kameleon;41572;162;2516 JE;Noordpolderkade 167;Gemeente;20281;6;38;Permanent;2008;460;82791;453133;0;0;0;;2;GVH AI 7276;0;4.334220394469837;52.061782920924074
VO;02GP06;Europese School Rijnlands Lyceum VO;46879;164;2596 JP;Oostduinlaan 50;Gemeente;46879;7;4;Permanent;1925;8706;81165;457090;0;0;0;63;;GVH X 5786;0;4.309656932582679;52.097129242741104
GYM;04ON01;Tamarschool;33932;165;2545 NA;Dalerveenstraat 5;Gemeente;33932;2;34;Permanent;1962;252;79006;451904;0;0;0;;1;;0;4.279309000219955;52.05023192226
GYM;19NT;De Drentse Hoek;41572;167;2545 SL;Oosterhesselenstraat 586;Gemeente;41572;2;34;Permanent;1962;393;78486;451499;0;0;0;;1;GVH AW 491;0;4.27182012047946;52.04652072673021
BO;19NW;Van Ostadeschool;41572;168;2526 EV;Van Ostadestraat 245;Gemeente;41572;5;29;Permanent;1993;2034;80817;453693;0;0;0;16;;GVH AE 5425;0;4.305317884508548;52.06655471265518
GYM;19NW;Van Ostadeschool;41572;168;2526 EV;Van Ostadestraat 245;Gemeente;41572;5;29;Permanent;1993;361;80817;453693;0;0;0;;1;GVH AE 5425;0;4.305317884508548;52.06655471265518
SO/VSO;18XS;De Springplank;70176;170;2542 XH;Pachtersdreef 3;Gemeente;70176;2;33;Permanent;1963;951;77916;450169;0;0;0;8;;GVH AW 1404;0;4.2638123441466345;52.034489371951736
GYM;18XS;De Springplank;70176;170;2542 XH;Pachtersdreef 3;Gemeente;70176;2;33;Permanent;1978;326;77929;450172;0;0;0;;1;GVH AW 1404;0;4.264001090100484;52.034518139863145
GYM;20KP;De Strandwacht (SO-PI);41572;172;2554 HZ;Paddepad 6;Gemeente;41572;1;15;Permanent;1979;393;76226;454456;0;0;0;;1;LSD H 7893 H 7995;0;4.238199093259752;52.0727775138556
SO/VSO;20KP;De Strandwacht (SO-PI);41572;172;2554 HZ;Paddepad 6;Gemeente;41572;1;15;Permanent;1979;1672;76226;454456;0;0;0;12;;LSD H 7893 H 7995;0;4.238199093259752;52.0727775138556
GYM;20KP;De Strandwacht (SO-PI);41572;173;2554 HZ;Paddepad 8;Gemeente;41572;1;15;Permanent;1979;393;76226;454456;0;0;0;;1;LSD H 7893 H 7995;0;4.238199093259752;52.0727775138556
SO/VSO;20KP;De Strandwacht (SO-PI);41572;173;2554 HZ;Paddepad 8;Gemeente;41572;1;15;Permanent;1979;1594;76226;454456;0;0;0;8;;LSD H 7015;0;4.238199093259752;52.0727775138556
BO;17ZZ;De Horizon Chr. school voor BO;70176;174;2522 DM;Paets van Troostwijkstraat 93;Gemeente;70176;6;38;Permanent;1950;1350;82549;452753;0;0;0;12;;GVH AI 10140;0;4.330772645582838;52.058336324548044
SO/VSO;19HE;Merlijn;20281;175;2522 DM;Paets van Troostwijkstraat 87;Gemeente;20281;6;38;Permanent;1992;1300;82588;452775;0;0;0;11;;GVH AI 10139;0;4.331336558660004;52.058539133405056
BO;17ZZ;De Horizon Chr. school voor BO;70176;177;2522 DM;Paets van Troostwijkstraat 83;Gemeente;70176;6;38;Permanent;1926;1235;82574;452811;0;0;0;8;;GVH AI 9539;0;4.331124818457924;52.05886083043046
BO;06KA;De Parkiet;20281;178;2566 XT;Parkietlaan 1;Gemeente;20281;3;13;Permanent;1925;968;77837;455446;0;0;0;8;;GVH AO 1506;0;4.261469008613204;52.08190115649148
GYM;06KA;De Parkiet;20281;178;2566 XT;Parkietlaan 1;Gemeente;20281;3;13;Permanent;1926;284;77837;455446;0;0;0;;1;GVH AO 1506;0;4.261469008613204;52.08190115649148
BO;17TY;P. Oosterleeschool voor Chr. Basisonderw;70176;179;2533 TG;Pieter Langendijkstraat 81;Gemeente;70176;2;36;Permanent;1953;2645;79932;451851;0;0;0;23;;GVH AL 6455;0;4.29281815525673;52.04988185220131
GYM;17TY;P. Oosterleeschool voor Chr. Basisonderw;70176;179;2533 TG;Pieter Langendijkstraat 85;Gemeente;70176;2;36;Permanent;1963;393;79932;451851;0;0;0;;1;GVH AL 6455;0;4.29281815525673;52.04988185220131
VO;02GJ00;Christelijk College De Populier;20281;180;2565 MK;Populierstraat 109;Schoolbestuur;20281;3;12;Permanent;1923;5432;78482;455288;0;0;0;50;;GVH AN 4988;0;4.2709126729033615;52.08057079561132
BO;19OQ;De Springbok;41572;181;2571 VD;Pretoriusstraat 123;Gemeente;41572;5;30;Permanent;1903;2296;79654;454104;0;0;0;18;;GVH AB 934;0;4.2882689326985135;52.070091269243036
BO;04MG;Duinoordschool;31227;182;2582 LR;Prins Mauritslaan 8;Gemeente;31227;4;9;Permanent;1993;1085;79076;456765;0;0;0;8;;GVH AK 10393;0;4.279247888008341;52.09392590491802
BO;19QD;De Kleine Wereld;41572;187;2531 VP;Rederijkerstraat 120;Gemeente;41572;2;36;Permanent;1980;1235;80647;452449;0;0;0;9;;GVH AC 3625;1;4.303109895561362;52.05535236058075
GYM;19QD;De Kleine Wereld;41572;187;2531 VP;Rederijkerstraat 120;Gemeente;41572;2;36;Permanent;1980;455;8064;452449;0;0;0;;3;GVH AC 3625;1;3.2453562629235164;52.04086246572894
GYM;19SI;De La Reyschool;41572;188;2571 GH;De la Reyweg 212;Gemeente;41572;5;30;Permanent;1955;284;79638;453710;0;0;0;;1;GVH AB 3187;0;4.288122598707459;52.06654831906854
BO;19SI;De La Reyschool;41572;188;2571 GH;De la Reyweg 212;Gemeente;41572;5;30;Permanent;1917;1612;79638;453710;0;0;0;12;;GVH AB 3187;0;4.288122598707459;52.06654831906854
GYM;19YL00;De Voorsprong;41572;194;2525 AA;Ruijsdaelstraat 11;Gemeente;41572;5;29;Permanent;1994;455;80464;454094;0;0;0;;1;GVH L 9160;0;4.300083057148283;52.070111014376614
BO;19YL00;De Voorsprong;41572;194;2525 AA;Ruijsdaelstraat 11;Gemeente;41572;5;29;Permanent;1994;2938;80464;454094;0;0;0;20;;GVH L 9160;0;4.300083057148283;52.070111014376614
SO/VSO;02DE00;Bernardusschool (SO/VSO-ZMLK);20281;195;2597 EE;Ruychrocklaan 340;Gemeente;20281;7;4;Permanent;1983;1315;82400;457802;0;0;0;10;;GVH X 5127;0;4.327525821415614;52.10369121463735
GYM;02DE00;Bernardusschool (SO/VSO-ZMLK);20281;195;2597 EE;Ruychrocklaan 340;Gemeente;20281;7;4;Permanent;1983;244;82400;457802;0;0;0;;1;GVH X 5127;0;4.327525821415614;52.10369121463735
BO;20JC;De Bonte Vlinder;41572;199;2562 TW;De R̩aumurstraat 43;Gemeente;41572;3;20;Permanent;1917;1086;79065;454250;0;0;0;8;;GVH AM 4281;0;4.279647314856553;52.071322878912376
BO;17ZM;Meester Schabergschool;70176;203;2513 XX;Sirtemastraat 400;Gemeente;70176;5;28;Permanent;1992;1231;80346;454672;0;0;0;8;;GVH C 6362;0;4.298235863298786;52.075289461641816
BO;19UK;Jan Ligthart;41572;204;2515 GE;Slicherstraat 5, 7 en 9;Gemeente;41572;5;29;Permanent;1983;1935;81405;454132;0;0;0;15;;GVH AE 4709;0;4.3137971755935975;52.07057835355471
BO;17ZH;Prinses Ireneschool voor Chr. BO;70176;206;2515 GE;Slicherstraat 6;Gemeente;70176;5;29;Permanent;1983;1695;81470;45084;0;0;0;15;;GVH AE 4731 A2;0;4.395230407195351;48.39470355999511
GYM;17SI;Van Hoogstratenschool voor Chr. Basisond;70176;208;2593 RM;Spaarwaterstraat 21;Gemeente;70176;7;26;Permanent;1963;393;83278;456142;0;0;0;;1;GVH AU 4027;0;4.340688434296494;52.088887602176904
BO;17SI;Van Hoogstratenschool voor Chr. Basisond;70176;208;2593 RM;Spaarwaterstraat 21;Gemeente;70176;7;26;Permanent;1954;1045;83278;456142;0;0;0;9;;GVH AU 4027;0;4.340688434296494;52.088887602176904
VO;20KD00;Praktijkschool De Einder;41360;210;2572 NK;Spionkopstraat 9;Gemeente;41360;5;30;Permanent;1988;1533;80132;453135;0;0;0;21;;GVH-AB_6686;0;4.295451934411953;52.061447933155
GYM;20KD00;Praktijkschool De Einder;41360;210;2572 NK;Spionkopstraat 9;Gemeente;41360;5;30;Permanent;1988;469;80132;453135;0;0;0;;2;GVH AB 6686 D2;0;4.295451934411953;52.061447933155
VO;02UT00;Het Vrijzinnig Christelijk Lyceum;79496;547;2585 JN;Van Stolkweg 35;Gemeente;79496;4;6;Permanent;2018;5163;79545;457648;0;0;0;24;;GVH AK 9119;0;4.285895269319048;52.1019252844766
GYM;02UT00;Het Vrijzinnig Christelijk Lyceum;79496;547;2585 JN;Van Stolkweg 35;Gemeente;79496;4;6;Permanent;2018;914;79545;457648;0;0;0;;2;GVH AK 9119;0;4.285895269319048;52.1019252844766
BO;07AK;De Buutplaats;40928;216;2525 SR;Stortenbekerstraat 264;Gemeente;40928;5;29;Permanent;1927;1011;80623;453385;0;0;0;7;;GVH L 9626;0;4.302556174990761;52.063760770676396
GYM;17PJ;Het Startpunt;41572;219;2526 WS;Suze Robertsonstraat 103;Gemeente;41572;5;29;Permanent;1989;455;81231;453553;0;0;0;;1;GVH L 12908;0;4.31138488822192;52.06535185403745
BO;17PJ;Het Startpunt;41572;219;2526 WS;Suze Robertsonstraat 103;Gemeente;41572;5;29;Permanent;1989;1988;81231;453553;0;0;0;15;;GVH L 12908;0;4.31138488822192;52.06535185403745
VO;19ZP06;Maris College Waldeck Loosduinen;41360;228;2551 LW;Toscaninistraat 187;Gemeente;41360;1;18;Permanent;1984;1093;76588;453099;0;0;0;14;;LSD H 7618;0;4.243789953222463;52.060634043673296
GYM;15VU;'t Palet;20281;233;2526 HR;Vaillantlaan 230;Gemeente;20281;5;29;Permanent;1993;423;80723;453803;0;0;0;;1;GVH L 12059 A1;0;4.303923288935068;52.06753066024891
BO;15VU;'t Palet;20281;233;2526 HR;Vaillantlaan 230;Gemeente;20281;5;29;Permanent;1993;2408;80723;453803;0;0;0;18;;GVH L 12059 A1;0;4.303923288935068;52.06753066024891
GYM;04ZT;Basisschool De Drie Linden;20281;236;2563 HJ;2e Braamstraat 5;Schoolbestuur;20281;3;20;Permanent;1923;284;78386;454394;0;0;0;;1;GVH AM 5032;0;4.269713169648336;52.072523431808264
BO;04ZT;Basisschool De Drie Linden;20281;236;2563 HJ;2e Braamstraat 5;Schoolbestuur;20281;3;19;Permanent;1923;1262;78386;454394;0;0;0;9;;GVH AM 5032;0;4.269713169648336;52.072523431808264
BO;17SU;Comenius Chr. Basisschool;70176;238;2572 PD;Viljoenstraat 8;Gemeente;70176;5;30;Permanent;1922;526;80112;453248;0;0;0;4;;GVH AB 3816;0;4.295135555079153;52.0624607333944
GYM;19YS;De Vlierboom;41572;240;2564 JJ;Vlierboomstraat 366;Gemeente;41572;3;19;Permanent;2014;311;77720;453969;0;0;0;;1;GVH-AV-3223 A1;0;4.260096925977939;52.06861154862248
GYM;17VA;De Vliermeent Chr. Basisschool;70176;239;2564 HT;Vlierboomstraat 362;Gemeente;70176;3;19;Permanent;1960;284;77811;454059;0;0;0;;1;GVH AV 3140;1;4.261403537094169;52.06943304060266
BO;19SI;De La Reyschool;41572;241;2573 AH;Voorthuizenstraat 245;Gemeente;41572;2;31;Permanent;1977;1044;79224;453507;0;0;0;8;;GVH AL 6582;0;4.282130947058845;52.06466752581516
GYM;31PG;Yunus Emre;40272;243;2572 HB;Vrijstaathof 50;Gemeente;40272;5;30;Permanent;1963;244;79951;453209;0;0;0;;1;GVH AB 6891;0;4.292796725551638;52.062088459329516
BO;31PG;Yunus Emre;40272;243;2572 HB;Vrijstaathof 50;Gemeente;40272;5;30;Permanent;1987;1580;79951;453209;0;0;0;27;;GVH AB 6891;0;4.292796725551638;52.062088459329516
VO;16TV00;De Vrije school Den Haag;95785;244;2597 JB;Waalsdorperweg 12;Gemeente;95785;7;4;Permanent;1928;4939;81186;457334;0;0;0;49;;GVH_X_4809;0;4.309910506727344;52.09932480763442
GYM;16TV00;De Vrije school Den Haag;95785;244;2597 JB;Waalsdorperweg 12;Gemeente;95785;7;4;Permanent;1928;313;81186;457334;0;0;0;;1;;0;4.309910506727344;52.09932480763442
GYM;19YX;De Leeuwerikhoeve;41572;245;2591 BR;Walenburg 25;Gemeente;41572;7;25;Permanent;1960;323;84740;456416;0;0;0;;1;GVH AS 423;0;4.36196108071863;52.09153747115237
BO;19YX;De Leeuwerikhoeve;41572;245;2591 BR;Walenburg 25;Gemeente;41572;7;25;Permanent;1960;1739;84740;456416;0;0;0;13;;GVH AS 423;0;4.36196108071863;52.09153747115237
BO;09WY;Basisschool Toermalijn;20281;246;2562 HS;Weimarstraat 300;Gemeente;;3;20;Permanent;1922;1485;78928;454502;0;0;0;9;;GVH AM 7609;0;4.277593274824663;52.07356872392639
GYM;09WY;Basisschool Toermalijn;20281;246;2562 HS;Weimarstraat 300;Gemeente;20281;3;20;Permanent;1920;335;78928;454502;0;0;0;;1;GVH AM 7609;0;4.277593274824663;52.07356872392639
GYM;17RI;Oranje Nassauschool voor Chr. Basisonder;70176;247;2596 GD;Weissenbruchstraat 119;Gemeente;70176;7;4;Permanent;1927;284;82050;456370;0;0;0;;1;GVH X 1850;0;4.3227245317490235;52.09077613219194
BO;17RI;Oranje Nassauschool voor Chr. Basisonder;70176;247;2596 GD;Weissenbruchstraat 119;Gemeente;70176;7;4;Permanent;1927;1559;82050;456370;0;0;0;13;;GVH X 1850;0;4.3227245317490235;52.09077613219194
BO;08ZU;Carolusschool;20281;249;2512 GW;Westeinde 107;Schoolbestuur;20281;5;28;Permanent;1957;540;80594;454776;0;0;0;2;;GVH C 6267;0;4.301830101001079;52.07625746330922
GYM;08ZU;Carolusschool;20281;250;2512 GW;Westeinde 103;Gemeente;20281;5;28;Permanent;1933;372;80615;454787;0;0;0;;1;GVH C 6267;0;4.3021339806384695;52.07635913894042
BO;08ZU;Carolusschool;20281;250;2512 GW;Westeinde 103;Gemeente;20281;5;28;Permanent;1892;1859;80615;454787;0;0;0;13;;GVH C 6267;0;4.3021339806384695;52.07635913894042
GYM;05YX18;School 2 Care;62077;255;2531 SX;Willem Dreespark 307;Gemeente;62077;2;36;Permanent;1929;284;80980;452644;0;0;0;;1;GVH AC 1666;0;4.3079220663025435;52.05714937414009
SO/VSO;02EJ04;Het Palmhuis;62077;255;2531 SX;Willem Dreespark 307;Gemeente;62077;2;36;Permanent;1974;2417;80974;452648;0;0;0;36;;GVH AC 1666;0;4.307833728657575;52.05718451971912
GYM;17YA;Paul Krugerschool voor Chr. BO;70176;259;2572 EM;Wolmaransstraat 100;Gemeente;41572;5;30;Permanent;1994;476;80154;453555;0;0;0;;2;GVH AB 6829;0;4.295680621098952;52.065225344770184
BO;17YA;Paul Krugerschool voor Chr. BO;70176;259;2572 EM;Wolmaransstraat 100;Gemeente;41572;5;30;Permanent;1994;2037;80154;453555;0;0;0;34;;GVH AB 6829;0;4.295680621098952;52.065225344770184
VO;07MZ01;Praktijkschool De Poort;70176;260;2551 CT;Landrepad 7000;Gemeente;70176;1;18;Permanent;1976;1089;75495;453028;0;0;0;25;;LSD H 4905;1;4.227871294538235;52.059840181608436
GYM;19VU;Woonstede Nutsbasisschool;20281;262;2543 VR;Woonstede 94;Gemeente;20281;2;33;Permanent;1959;393;77694;450706;0;0;0;;1;GVH AW 788;0;4.260456196901419;52.03928433024883
SO/VSO;20JC;De Bonte Vlinder;41572;272;2565 XD;Aucubastraat 3;Gemeente;41572;3;12;Permanent;1969;1332;78148;454787;0;0;0;10;;GVH AN 2456;0;4.2661538286171785;52.07602221126723
GYM;20JC;De Bonte Vlinder;41572;272;2565 XD;Aucubastraat 3;Gemeente;41572;3;12;Permanent;1969;284;78148;454787;0;0;0;;1;GVH AN 2456;0;4.2661538286171785;52.07602221126723
VO;20MA00;Segbroek College;41360;276;2565 CR;Goudsbloemlaan 131;Gemeente;41360;3;12;Permanent;1956;6049;77670;454955;0;0;0;40;;GVH AN 4835;0;4.259144392183474;52.07746541122933
GYM;20MA00;Segbroek College;41360;276;2565 CR;Goudsbloemlaan 131;Gemeente;41360;3;12;Permanent;1956;910;77670;454955;0;0;0;;2;GVH AN 4835;0;4.259144392183474;52.07746541122933
