FID,rw,l_r,vw,km_van,km_tot,route4,video,verwerkt,se_anno_cad_data,gis_offset,gdb_geomattr_data,shape
videos.1,A27,L, ,95.55,94.7,##027R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27l_9555_947.avi,ja,,-10,,"LINESTRING (142844.27800000086 469157.64499999955, 142846.50600000098 469159.5390000008, 142899.2589999996 469206.3200000003, 142932.9459999986 469239.0159999989, 142985.7250000015 469294.7829999998, 143014.48000000045 469326.51300000027, 143072.2490000017 469397.23000000045, 143097.03299999982 469428.9530000016, 143108.87700000033 469445.7320000008, 143138.74300000072 469488.5390000008, 143182.5450000018 469557.23000000045, 143220.35200000182 469620.9050000012, 143272.12200000137 469717.4750000015, 143287.07200000063 469749.37000000104, 143305.5789999999 469785.9120000005, 143326.41099999845 469827.0379999988, 143330.3209999986 469832.90399999917, 143332.1889999993 469836.9070000015)"
videos.2,A27,L, ,97.3,95.6,##027R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27l_973_956.avi,ja,,-10,,"LINESTRING (143346.50200000033 469855.3220000006, 143378.0159999989 469916.3969999999, 143398.0150000006 469959.39499999955, 143548.13800000027 470251.6330000013, 143573.05600000173 470298.48000000045, 143581.0390000008 470315.4439999983, 143641.12700000033 470430.61199999973, 143670.1950000003 470486.7419999987, 143745.3990000002 470621.1079999991, 143784.57499999925 470683.38699999824, 143797.71499999985 470703.6030000001, 143842.94900000095 470767.93499999866, 143875.16299999878 470809.6429999992, 143904.27199999988 470847.3539999984, 143932.5399999991 470879.66000000015, 143983.8660000004 470936.0179999992, 144018.1099999994 470968.2479999997, 144043.22300000116 470992.3570000008, 144086.42399999872 471030.53400000185, 144115.67399999872 471055.7490000017, 144159.97800000012 471089.9849999994, 144213.12999999896 471129.09600000083, 144227.41200000048 471139.2969999984, 144309.6719999984 471191.4629999995, 144325.85300000012 471201.57499999925, 144345.55799999833 471212.92599999905, 144368.88899999857 471226.2329999991)"
videos.3,A27,L, ,97.3,95.6,##027R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27l_973_956.avi,ja,,-10,,"LINESTRING (143359.87900000066 469881.12999999896, 143378.0159999989 469916.3969999999, 143398.0150000006 469959.39499999955, 143548.13800000027 470251.6330000013, 143573.05600000173 470298.48000000045, 143581.0390000008 470315.4439999983, 143641.12700000033 470430.61199999973, 143670.1950000003 470486.7419999987, 143745.3990000002 470621.1079999991, 143784.57499999925 470683.38699999824, 143797.71499999985 470703.6030000001, 143842.94900000095 470767.93499999866, 143875.16299999878 470809.6429999992, 143904.27199999988 470847.3539999984, 143932.5399999991 470879.66000000015, 143983.8660000004 470936.0179999992, 144018.1099999994 470968.2479999997, 144043.22300000116 470992.3570000008, 144086.42399999872 471030.53400000185, 144115.67399999872 471055.7490000017, 144159.97800000012 471089.9849999994, 144213.12999999896 471129.09600000083, 144227.41200000048 471139.2969999984, 144309.6719999984 471191.4629999995, 144325.85300000012 471201.57499999925, 144345.55799999833 471212.92599999905, 144368.88899999857 471226.2329999991)"
videos.4,A27,R, ,100.2,102.1,##027R#R,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_1002_1021.avi,ja,,10,,"LINESTRING (145520.12700000033 473707.3049999997, 145547.75400000066 473837.7899999991, 145641.6860000007 474226.5089999996, 145668.60399999842 474325.2100000009, 145759.49599999934 474619.8579999991, 145840.37200000137 474848.5069999993, 145898.25299999863 474996.2049999982, 145982.13599999994 475191.9310000017, 146093.0089999996 475431.6579999998, 146128.23000000045 475501.8520000018)"
videos.5,A27,R, ,53.7,53.8,##027R#R,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_537_538.avi,ja,,10,,"LINESTRING (133624.95699999854 441056.45600000024, 133712.1490000002 441103.8429999985)"
videos.6,A12,R,a,77.15,77.6,##012RaR,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a12r_7715_7760a.avi,ja,,10,,"LINESTRING (152402.86899999902 452997.13599999994, 152533.95899999887 452998.8929999992, 152649.09699999914 452996.09600000083, 152680.0949999988 452994.34800000116, 152780.43299999833 452988.87099999934)"
videos.7,A27,R,e,71.7,78.7,##027ReR,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_716_796e.avi,ja,,10,,"LINESTRING (138400.4849999994 452688.2569999993, 138417.62999999896 452788.2710000016, 138444.1640000008 452906.2470000014, 138489.88500000164 453054.2270000018, 138529.48200000077 453172.4059999995, 138596.02199999988 453322.8350000009, 138659.5 453452.0370000005, 138717.8759999983 453558.58199999854, 138784.82400000095 453666.55700000003, 138852.1799999997 453764.938000001, 139020.5709999986 453968.23099999875, 139109.563000001 454066.61199999973, 139181.0009999983 454152.3379999995, 139251.01099999994 454242.9629999995, 139345.30999999866 454379.30900000036, 139394.2960000001 454465.23900000006, 139446.54800000042 454571.78400000185, 139479.00200000033 454650.7749999985, 139516.96599999815 454751.60500000045, 139566.4450000003 454928.2430000007, 139602.91299999878 455137.5240000002, 139621.41899999976 455368.3049999997)"
videos.8,A1,R,a,44.95,45.6,##001RaR,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a1r_4495m_456a.avi,ja,,10,,"LINESTRING (158108.85399999842 464991.48800000176, 158300.56899999827 464840.6070000008, 158381.5469999984 464780.0469999984, 158399.88800000027 464762.3979999982, 158413.3839999996 464745.7879999988, 158421.6889999993 464732.9840000011, 158428.6099999994 464716.02699999884, 158431.7250000015 464693.87900000066, 158428.26399999857 464681.07499999925, 158421.6889999993 464672.76999999955, 158409.92300000042 464662.38800000027, 158397.8110000007 464656.8509999998, 158379.1240000017 464653.3900000006, 158356.28400000185 464659.2729999982, 158332.05999999866 464667.92500000075, 158297.80099999905 464685.2280000001, 158272.5390000008 464702.18499999866)"
videos.9,A27,R, ,65.8,65.9,##027R#R,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_658_659.avi,ja,,10,,"LINESTRING (136681.4849999994 447231.4479999989, 136722.57400000095 447322.8370000012)"
videos.10,A27,R, ,78.71,79.67,##027R#R,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_7871_7967.avi,ja,,10,,"LINESTRING (139399.75 454502.1400000006, 139440.14600000158 454582.93200000003, 139487.33799999952 454703.4210000001, 139496.46700000018 454727.7650000006, 139543.68100000173 454880.45699999854, 139581.85200000182 455056.24599999934, 139600.9210000001 455192.90399999917, 139609.89299999923 455324.0399999991, 139609.01199999824 455439.1810000017)"
videos.11,A27,R,m-a,80.5,81.3,##027RaR,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_805m_813a.avi,ja,,10,,"LINESTRING (139182.05000000075 456758.7019999996, 139178.63599999994 456782.8209999986, 139149.33300000057 456868.8779999986, 139122.14799999818 456984.2710000016)"
videos.12,A2,L, ,73.9,72.3,##002R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a2l_739_723.avi,ja,,-10,,"LINESTRING (134026.96700000018 444807.7270000018, 134080.43299999833 444677.73000000045, 134114.36499999836 444599.23600000143, 134129.19799999893 444567.0879999995, 134165.76700000092 444492.92500000075, 134208.01000000164 444421.6860000007, 134289.53700000048 444315.9059999995, 134333.96400000155 444270.27600000054, 134391.49500000104 444217.6240000017, 134448.39200000092 444168.311999999, 134493.25400000066 444128.7960000001, 134583.52100000158 444049.8139999993, 134627.01300000027 444013.34899999946, 134668.2509999983 443975.91099999845, 134749.2580000013 443906.68200000003, 134898.69900000095 443780.3579999991, 134988.46499999985 443701.54199999943, 135028.7899999991 443665.3830000013, 135060.3740000017 443631.2270000018)"
videos.13,A27,R, ,80.6,81.1,##027R#R,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27r_806_811.avi,ja,,10,,"LINESTRING (139369.77899999917 456335.31700000167, 139324.66099999845 456422.79100000113, 139251.08100000024 456574.19099999964, 139230.23699999973 456621.83399999887, 139184.82400000095 456737.3759999983, 139172.19099999964 456760.40199999884, 139161.4549999982 456789.6279999986)"
videos.14,A2,L,c,80.1,79.4,##002RcL,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a2l_801_794c.avi,ja,,-10,,"LINESTRING (138503.32200000063 439390.9750000015, 138520.68299999833 439374.13500000164, 138548.95800000057 439344.493999999, 138567.4840000011 439315.16800000146, 138616.9210000001 439230.84899999946, 138637.22199999914 439204.4690000005, 138657.89200000092 439181.5469999984, 138698.71200000122 439132.4539999999, 138711.0460000001 439104.1499999985)"
videos.15,A2,L,d,70.9,69.4,##002RdL,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a2l_709d_694.avi,ja,,-10,,"LINESTRING (133136.77299999818 447568.4290000014, 133136.91899999976 447557.311999999, 133139.55200000107 447539.61199999973, 133143.64799999818 447515.4759999998, 133153.30200000107 447486.83399999887, 133166.46799999848 447452.8969999999, 133175.68299999833 447427.4439999983, 133195.13899999857 447375.87999999896, 133236.3900000006 447256.0769999996, 133546.59899999946 446314.95699999854, 133571.1240000017 446236.8280000016, 133576.45600000024 446225.87999999896, 133583.3440000005 446216.92599999905, 133591.37999999896 446211.1860000007, 133602.1710000001 446204.2980000004, 133611.58399999887 446199.4770000018, 133632.936999999 446193.73699999973, 133653.6009999998 446190.9820000008)"
videos.16,A2,L, ,73.9,72.3,##002R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a2l_739_723.avi,ja,,-10,,"LINESTRING (134026.96700000018 444807.7270000018, 134080.43299999833 444677.73000000045, 134114.36499999836 444599.23600000143, 134129.19799999893 444567.0879999995, 134165.76700000092 444492.92500000075, 134208.01000000164 444421.6860000007, 134289.53700000048 444315.9059999995, 134333.96400000155 444270.27600000054, 134391.49500000104 444217.6240000017, 134448.39200000092 444168.311999999, 134493.25400000066 444128.7960000001, 134583.52100000158 444049.8139999993, 134627.01300000027 444013.34899999946, 134668.2509999983 443975.91099999845, 134749.2580000013 443906.68200000003, 134898.69900000095 443780.3579999991, 134988.46499999985 443701.54199999943, 135028.7899999991 443665.3830000013, 135060.3740000017 443631.2270000018)"
videos.17,A27,L, ,106.3,105.1,##027R#L,https://downloads.rijkswaterstaatdata.nl/regios/midden_nederland/geluidwering/geogegevens/video/a27l_1063_1051.avi,ja,,-10,,"LINESTRING (147838.5850000009 477948.7049999982, 147990.78599999845 478081.78400000185, 148177.81500000134 478232.6579999998, 148323.99300000072 478345.83900000155, 148559.45600000024 478517.4699999988, 148794.7650000006 478672.5639999993)"
