FID,name,ogc_fid,gdb_geomattr_data,shape
uitbreidingsgebieden_voetpaden_rws.1,CID Binkhorst,1983266,,"POLYGON ((84099.57699999958 453949.25499999896, 84098.27299999818 453949.99599999934, 84103.07979999855 453958.45969999954, 84104.39589999989 453957.7399000004, 84099.57699999958 453949.25499999896))"
uitbreidingsgebieden_voetpaden_rws.2,CID Binkhorst,1981340,,"POLYGON ((84217.40799999982 453855.7899999991, 84210.90100000054 453851.42229999974, 84206.73999999836 453853.6460000016, 84214.75039999932 453859.02739999816, 84217.40799999982 453855.7899999991))"
uitbreidingsgebieden_voetpaden_rws.3,CID Binkhorst,1981340,,"POLYGON ((84209.22599999979 453855.3229999989, 84214.74500000104 453859.03400000185, 84214.75039999932 453859.02739999816, 84206.73999999836 453853.6460000016, 84206.72269999981 453853.6572000012, 84209.22599999979 453855.3229999989))"
uitbreidingsgebieden_voetpaden_rws.4,CID Binkhorst,1981342,,"POLYGON ((84214.34899999946 453849.7039999999, 84219.49500000104 453853.11100000143, 84221.47899999842 453850.58399999887, 84217.48919999972 453847.90139999986, 84216.621199999 453848.36520000175, 84217.46799999848 453848.9360000007, 84216.87099999934 453850.1099999994, 84215.30260000005 453849.0698999986, 84214.24590000138 453849.6345999986, 84214.34899999946 453849.7039999999))"
uitbreidingsgebieden_voetpaden_rws.5,CID Binkhorst,1976375,,"POLYGON ((84230.67199999839 453843.7190000005, 84230.59600000083 453843.1779999994, 84229.88769999892 453841.27519999817, 84226.80249999836 453842.9241000004, 84228.99500000104 453844.4620000012, 84229.50600000098 453844.65399999917, 84230.04500000179 453844.56799999997, 84230.47100000083 453844.2259999998, 84230.67199999839 453843.7190000005))"
uitbreidingsgebieden_voetpaden_rws.6,CID Binkhorst,1981329,,"POLYGON ((84214.75039999932 453859.02739999816, 84236.04600000009 453873.33399999887, 84240.2153000012 453871.05270000175, 84237.72700000182 453869.4290000014, 84217.40799999982 453855.7899999991, 84214.75039999932 453859.02739999816))"
uitbreidingsgebieden_voetpaden_rws.7,CID Binkhorst,1981329,,"MULTIPOLYGON (((84214.74500000104 453859.03400000185, 84219.82600000128 453862.4510000013, 84221.1959999986 453863.3729999997, 84231.94200000167 453870.6000000015, 84234.91099999845 453872.5780000016, 84236.04600000009 453873.33399999887, 84214.75039999932 453859.02739999816, 84214.74500000104 453859.03400000185)), ((84243.33260000125 453879.93840000033, 84243.45800000057 453880.5179999992, 84243.4860999994 453880.64759999886, 84243.45100000128 453880.39499999955, 84243.33260000125 453879.93840000033)), ((84243.10139999911 453879.2835999988, 84243.16000000015 453879.4479999989, 84243.3264000006 453879.9147000015, 84243.27199999988 453879.7049999982, 84243.10139999911 453879.2835999988)), ((84243.49859999865 453880.7377000004, 84243.56100000069 453881.4609999992, 84243.52800000086 453880.94900000095, 84243.49859999865 453880.7377000004)), ((84242.7184999995 453878.4979000017, 84242.94799999893 453878.9519999996, 84243.04360000044 453879.14090000093, 84243.00200000033 453879.0379999988, 84242.72899999842 453878.51399999857, 84242.7184999995 453878.4979000017)), ((84242.32310000062 453877.91519999877, 84242.69060000032 453878.4550999999, 84242.4059999995 453878.01900000125, 84242.32310000062 453877.91519999877)), ((84241.84760000184 453877.3621000014, 84242.19240000099 453877.751600001, 84242.03700000048 453877.55700000003, 84241.84760000184 453877.3621000014)), ((84241.18340000138 453876.75890000165, 84241.70160000026 453877.21189999953, 84241.625 453877.1330000013, 84241.18340000138 453876.75890000165)), ((84243.4840000011 453882.05799999833, 84243.56100000069 453881.4609999992, 84243.46150000021 453882.1543000005, 84243.4840000011 453882.05799999833)), ((84243.28849999979 453882.81500000134, 84243.34699999914 453882.6429999992, 84243.40069999918 453882.41369999945, 84243.28849999979 453882.81500000134)), ((84243.0421999991 453883.4554999992, 84243.15300000086 453883.2129999995, 84243.18189999834 453883.1281999983, 84243.0421999991 453883.4554999992)), ((84242.18780000135 453884.83249999955, 84242.22100000083 453884.7960000001, 84242.2921999991 453884.6992999986, 84242.18780000135 453884.83249999955)))"
uitbreidingsgebieden_voetpaden_rws.8,CID Binkhorst,1981346,,"POLYGON ((84242.13500000164 453864.4389999993, 84239.10700000077 453862.43299999833, 84221.47949999943 453850.5835000016, 84219.49500000104 453853.11100000143, 84243.70919999853 453869.1409999989, 84247.08080000058 453867.29619999975, 84245.51900000125 453866.5080000013, 84244.65900000185 453866.0219999999, 84243.58460000157 453865.38439999893, 84242.13500000164 453864.4389999993), (84221.07999999821 453852.8999999985, 84221.61400000006 453851.73099999875, 84223.43800000101 453852.9609999992, 84222.87200000137 453854.0879999995, 84221.07999999821 453852.8999999985), (84227.1640000008 453856.93400000036, 84227.58399999887 453855.756000001, 84229.73999999836 453857.20899999887, 84228.6640000008 453857.9290000014, 84227.1640000008 453856.93400000036), (84232.33100000024 453860.3599999994, 84230.24799999967 453858.9780000001, 84231.27400000021 453858.2430000007, 84232.80799999833 453859.27699999884, 84232.33100000024 453860.3599999994), (84236.5399999991 453863.15100000054, 84236.99500000104 453862.1000000015, 84238.86100000143 453863.3579999991, 84238.33199999854 453864.3379999995, 84236.5399999991 453863.15100000054), (84245.07999999821 453867.55000000075, 84244.08300000057 453868.15100000054, 84242.58300000057 453867.1570000015, 84243.00699999928 453866.15300000086, 84245.07999999821 453867.55000000075))"
uitbreidingsgebieden_voetpaden_rws.9,CID Binkhorst,1981656,,"POLYGON ((84243.27600000054 453832.6400000006, 84243.20800000057 453832.91800000146, 84243.2190000005 453833.0240000002, 84243.30000000075 453833.1719999984, 84243.42500000075 453833.2870000005, 84273.20589999855 453853.001600001, 84279.08999999985 453849.7820000015, 84280.50890000165 453849.0042999983, 84250.0289000012 453828.3856999986, 84243.64460000023 453831.87889999896, 84243.27600000054 453832.6400000006), (84244.69299999997 453832.1799999997, 84245.95300000161 453831.4620000012, 84247.56300000101 453832.5450000018, 84246.83700000122 453833.6229999997, 84244.69299999997 453832.1799999997), (84275.22300000116 453851.1229999997, 84273.93800000101 453851.8429999985, 84272.36800000072 453850.7740000002, 84273.1099999994 453849.68400000036, 84275.22300000116 453851.1229999997), (84250.9990000017 453836.4050000012, 84251.72599999979 453835.3269999996, 84253.58199999854 453836.5789999999, 84252.86199999973 453837.66099999845, 84250.9990000017 453836.4050000012), (84260.05999999866 453842.5170000009, 84261.32699999958 453841.80099999905, 84262.90700000152 453842.8570000008, 84262.18400000036 453843.936999999, 84260.05999999866 453842.5170000009), (84257.01900000125 453840.4459999986, 84257.75699999928 453839.3770000003, 84259.84299999848 453840.81599999964, 84258.57699999958 453841.5219999999, 84257.01900000125 453840.4459999986), (84268.93400000036 453846.90399999917, 84268.21200000122 453847.98000000045, 84266.3740000017 453846.7479999997, 84267.09499999881 453845.6719999984, 84268.93400000036 453846.90399999917))"
uitbreidingsgebieden_voetpaden_rws.10,CID Binkhorst,1979964,,"POLYGON ((84414.68279999867 453722.62680000067, 84414.66699999943 453722.63500000164, 84415.34800000116 453723.24599999934, 84414.68279999867 453722.62680000067))"
