Gemeente,CBS Gemeentecode,Besluit,Besluitdatum,Bouwjaar,Status Pand,Status VBO,Gebruiksdoel,Wijknaam,CBS Wijknummer,Buurtnaam,CBS Buurtnummer,Straatnaam,Huisnummer,Huisnummertoevoeging,Extra adresaanduiding,Postcode,(Woon)plaats,X,Y,latitude,longitude,BAG Pand nummer,BAG Verblijfsobject nummer,BAG Adresnummer,GEOMETRIE
Stichtse Vecht,1904,220015,20221212230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,18,,,3621BE,Breukelen,129038.47,464448.07,5.007732,52.167578,1904100000042471,1904010000033743,1904200000034180,"POLYGON ((129021.069 464447.327,129029.064 464434.601,129029.281 464434.259,129027.582 464433.18,129031.547 464426.932,129031.627 464426.806,129029.603 464425.521,129028.077 464427.926,129025.649 464426.385,129031.824 464419.785,129034.656 464416.758,129040.719 464410.725,129051.143 464414.611,129060.744 464417.932,129056.596 464424.55,129048.601 464437.277,129048.253 464437.826,129044.143 464444.171,129036.09 464456.86,129032.56 464454.62,129031.937 464455.603,129030.064 464454.411,129026.875 464459.436,129022.315 464456.543,129026.127 464450.537,129021.069 464447.327))"
Stichtse Vecht,1904,220015,20221212230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,21,,,3621BE,Breukelen,129041.27,464432.16,5.007774,52.167435,1904100000042471,1904010000033746,1904200000034183,"POLYGON ((129021.069 464447.327,129029.064 464434.601,129029.281 464434.259,129027.582 464433.18,129031.547 464426.932,129031.627 464426.806,129029.603 464425.521,129028.077 464427.926,129025.649 464426.385,129031.824 464419.785,129034.656 464416.758,129040.719 464410.725,129051.143 464414.611,129060.744 464417.932,129056.596 464424.55,129048.601 464437.277,129048.253 464437.826,129044.143 464444.171,129036.09 464456.86,129032.56 464454.62,129031.937 464455.603,129030.064 464454.411,129026.875 464459.436,129022.315 464456.543,129026.127 464450.537,129021.069 464447.327))"
Stichtse Vecht,1904,220015,20221212230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,22,,,3621BE,Breukelen,129040.57,464424.45,5.007764,52.167366,1904100000042471,1904010000033747,1904200000034184,"POLYGON ((129021.069 464447.327,129029.064 464434.601,129029.281 464434.259,129027.582 464433.18,129031.547 464426.932,129031.627 464426.806,129029.603 464425.521,129028.077 464427.926,129025.649 464426.385,129031.824 464419.785,129034.656 464416.758,129040.719 464410.725,129051.143 464414.611,129060.744 464417.932,129056.596 464424.55,129048.601 464437.277,129048.253 464437.826,129044.143 464444.171,129036.09 464456.86,129032.56 464454.62,129031.937 464455.603,129030.064 464454.411,129026.875 464459.436,129022.315 464456.543,129026.127 464450.537,129021.069 464447.327))"
Stichtse Vecht,1904,178961,20221130230000,2010,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Scheendijk,BK19040211,Scheendijk,19,,5,3621VC,Breukelen,130030.92,465977.85,5.022125,52.181373,0311100000009662,0311010000007963,0311200000008058,"POLYGON ((130026.966 465975.415,130034.709 465975.235,130034.88 465980.3,130027.12 465980.44,130026.966 465975.415))"
Stichtse Vecht,1904,BAG/AV-2741,20191110230000,2012,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Loenen aan de Vecht,WK190403,Cronenburgh,BK19040311,Chris Schutweg,2,,,3632JK,Loenen aan de Vecht,129596.95,469124.81,5.015544,52.209637,0329100000000278,0329010000000218,0329200000000218,"POLYGON ((129593.802 469126.891,129594.61 469122.26,129600.117 469122.76,129599.265 469127.376,129593.802 469126.891))"
Stichtse Vecht,1904,220015,20221212230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,23,,,3621BE,Breukelen,129037.06,464430.29,5.007713,52.167418,1904100000042471,1904010000033748,1904200000034185,"POLYGON ((129021.069 464447.327,129029.064 464434.601,129029.281 464434.259,129027.582 464433.18,129031.547 464426.932,129031.627 464426.806,129029.603 464425.521,129028.077 464427.926,129025.649 464426.385,129031.824 464419.785,129034.656 464416.758,129040.719 464410.725,129051.143 464414.611,129060.744 464417.932,129056.596 464424.55,129048.601 464437.277,129048.253 464437.826,129044.143 464444.171,129036.09 464456.86,129032.56 464454.62,129031.937 464455.603,129030.064 464454.411,129026.875 464459.436,129022.315 464456.543,129026.127 464450.537,129021.069 464447.327))"
Stichtse Vecht,1904,BAG/AV-3320,20220109230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,24,,,3621BE,Breukelen,129047.12,464456.02,5.007858,52.16765,1904100000042470,1904010000033749,1904200000034186,"POLYGON ((129034.653 464465.589,129040.541 464456.311,129041.808 464457.115,129041.915 464456.946,129044.942 464452.177,129045.191 464452.345,129050.787 464443.526,129056.951 464447.438,129042.336 464470.465,129034.653 464465.589))"
Stichtse Vecht,1904,BAG/AV-3320,20220109230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,25,,,3621BE,Breukelen,129054.14,464460.93,5.00796,52.167694,1904100000042469,1904010000033750,1904200000034187,"POLYGON ((129042.336 464470.465,129056.951 464447.438,129063.114 464451.349,129048.5 464474.377,129042.336 464470.465))"
Stichtse Vecht,1904,BAG/AV-3320,20220109230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,26,,,3621BE,Breukelen,129060.92,464462.57,5.008059,52.16771,1904100000042468,1904010000033751,1904200000034188,"POLYGON ((129048.5 464474.377,129063.114 464451.349,129069.278 464455.261,129054.663 464478.289,129048.5 464474.377))"
Stichtse Vecht,1904,BAG/AV-3320,20220109230000,2021,Bouw gestart,Verblijfsobject gevormd,woonfunctie,Breukelen,WK190402,Breukelen Zuid,BK19040213,Hof van Vreedenoord,27,,,3621BE,Breukelen,129066.3,464467.25,5.008137,52.167752,1904100000042467,1904010000033752,1904200000034189,"POLYGON ((129054.663 464478.289,129069.278 464455.261,129075.441 464459.173,129061.332 464481.405,129056.64 464479.543,129054.663 464478.289))"
