GEMEENTE,CBS_GEMEENTECODE,BETREFT,WIJKNAAM,CBS_WIJKCODE,BUURTNAAM,CBS_BUURTCODE,BAGREFNUMMER,STRAATNAAM,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,POSTCODE,WOONPLAATS,longitude,latitude,X,Y,GEOMETRIE
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000032526,De Plassen Noord,103,a,,3621PN,Breukelen,5.030595,52.181508,130610.27,465990.02,"POLYGON Z ((130606.151 465986.564 0,130612.257 465986.136 0,130612.669 465990.843 0,130606.546 465991.238 0,130606.151 465986.564 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Kockengen,WK190405,Kockengen Dorp,WK19040505,1904010000032532,Wagendijk,65,e,,3628ET,Kockengen,4.941034,52.150941,124464.02,462623.04,"POLYGON ((124453.506 462621.927,124456.067 462615.872,124475.424 462624.057,124472.853 462630.116,124453.506 462621.927))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032599,Scheendijk,23,,4,3621VC,Breukelen,5.020023,52.182803,129887.92,466137.64,"POLYGON Z ((129892.308 466140.158 0,129883.831 466140.624 0,129883.519 466135.135 0,129892.001 466134.661 0,129892.308 466140.158 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032600,Scheendijk,23,,6,3621VC,Breukelen,5.020645,52.182792,129930.46,466136.23,"POLYGON Z ((129935.912 466137.647 0,129927.435 466138.109 0,129927.137 466132.623 0,129935.624 466132.154 0,129935.748 466134.467 0,129935.912 466137.647 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032601,Scheendijk,23,,8,3621VC,Breukelen,5.020902,52.182775,129948.01,466134.22,"POLYGON Z ((129943.743 466134.011 0,129943.626 466131.711 0,129944.69 466131.65 0,129952.091 466131.23 0,129952.396 466136.732 0,129943.921 466137.195 0,129943.743 466134.011 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032602,Scheendijk,23,,10,3621VC,Breukelen,5.021577,52.182719,129994.19,466127.73,"POLYGON Z ((129991.948 466130.477 0,129991.497 466124.979 0,129999.976 466124.265 0,130000.426 466129.763 0,129991.948 466130.477 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032603,Scheendijk,23,,12,3621VC,Breukelen,5.022309,52.18269,130044.19,466124.28,"POLYGON Z ((130048.29 466120.187 0,130048.762 466125.658 0,130040.298 466126.384 0,130039.829 466120.914 0,130048.29 466120.187 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032604,Scheendijk,23,,14,3621VC,Breukelen,5.022986,52.182652,130090.52,466119.83,"POLYGON Z ((130095.845 466116.162 0,130096.308 466121.643 0,130087.843 466122.359 0,130087.377 466116.876 0,130095.845 466116.162 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Tienhoven,WK190407,Molenpolder,WK19040701,1904010000032786,Westbroekse Binnenweg,21,a,,3612AE,Tienhoven,5.096963,52.143009,135132.27,461686.42,"POLYGON Z ((135134.846 461693.387 0,135131.662 461690.097 0,135132.29 461689.47 0,135128.175 461685.262 0,135132.122 461681.173 0,135136.079 461685.244 0,135134.565 461686.745 0,135138.014 461690.327 0,135134.846 461693.387 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Tienhoven,WK190407,Tienhoven-Oud Maarsseveen,WK19040703,1904010000032874,Laan van Niftarlake,69,a,,3612BM,Tienhoven,5.081838,52.167848,134108.56,464454.22,"POLYGON Z ((134103.017 464449.551 0,134111.771 464452.892 0,134109.81 464458.03 0,134106.689 464456.84 0,134107.142 464455.653 0,134101.509 464453.503 0,134103.017 464449.551 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Kockengen,WK190405,Kockengen Dorp,WK19040505,1904010000032875,Wagendijk,51,a,,3628ET,Kockengen,4.946648,52.147639,124845.98,462253.25,"POLYGON ((124840.49 462254.888,124843.801 462248.771,124845.618 462249.755,124851.244 462252.83,124846.605 462261.315,124840.979 462258.239,124842.277 462255.865,124840.49 462254.888))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Kockengen,WK190405,Kockengen Dorp,WK19040505,1904010000032876,Wagendijk,51,b,,3628ET,Kockengen,4.946627,52.14766,124844.56,462255.57,"POLYGON ((124840.49 462254.888,124843.801 462248.771,124845.618 462249.755,124851.244 462252.83,124846.605 462261.315,124840.979 462258.239,124842.277 462255.865,124840.49 462254.888))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000032880,De Plassen Noord,50,,,3621PN,Breukelen,5.025975,52.182863,130295.05,466142.34,"POLYGON Z ((130288.412 466144.634 0,130288.016 466138.909 0,130291.101 466138.696 0,130291.177 466139.79 0,130299.641 466139.205 0,130299.961 466143.836 0,130288.412 466144.634 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nieuwersluis,WK190409,Polder Mijnden,WK19040901,1904010000032900,Zandpad,18,a,,3631NK,Nieuwersluis,5.007125,52.191318,129010.79,467089.58,"POLYGON ((129004.317 467086.84,129014.31 467085.766,129014.957 467091.783,129004.963 467092.857,129004.317 467086.84))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000032929,De Plassen Zuid,352,,,3621PZ,Breukelen,5.033428,52.170857,130798.22,464804.01,"POLYGON Z ((130794.334 464805.699 0,130795.559 464800.455 0,130801.32 464801.82 0,130800.1 464807.04 0,130794.334 464805.699 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nieuwersluis,WK190409,Polder Mijnden,WK19040901,1904010000032936,Zandpad,31,a,,3631NL,Nieuwersluis,5.009705,52.18546,129183.84,466436.9,"POLYGON ((129177.201 466433.342,129188.882 466432.855,129189.174 466439.483,129177.494 466439.998,129177.201 466433.342))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Tienhoven,WK190407,Molenpolder,WK19040701,1904010000032953,Oudedijk,7,a,,3612AD,Tienhoven,5.08402,52.153551,134251.2,462862.88,"POLYGON Z ((134245.828 462863.984 0,134254.836 462853.919 0,134259.094 462857.747 0,134252.635 462864.965 0,134253.511 462865.749 0,134250.128 462869.529 0,134246.858 462866.602 0,134247.701 462865.66 0,134245.828 462863.984 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Maarsseveen,WK19040101,1904010000033282,Gageldijk,71,b,,3602AJ,Maarssen,5.086409,52.136447,134406.76,460959.24,"POLYGON Z ((134413.584 460977.674 0,134397.479 460957.19 0,134403.765 460952.248 0,134419.87 460972.732 0,134413.584 460977.674 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Maarsseveen,WK19040101,1904010000033283,Gageldijk,71,c,,3602AJ,Maarssen,5.086419,52.136479,134407.49,460962.82,"POLYGON Z ((134413.584 460977.674 0,134397.479 460957.19 0,134403.765 460952.248 0,134419.87 460972.732 0,134413.584 460977.674 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Maarsseveen,WK19040101,1904010000033284,Gageldijk,71,d,,3602AJ,Maarssen,5.086457,52.13651,134410.07,460966.2,"POLYGON Z ((134413.584 460977.674 0,134397.479 460957.19 0,134403.765 460952.248 0,134419.87 460972.732 0,134413.584 460977.674 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Maarsseveen,WK19040101,1904010000033285,Gageldijk,71,e,,3602AJ,Maarssen,5.086496,52.136541,134412.79,460969.71,"POLYGON Z ((134413.584 460977.674 0,134397.479 460957.19 0,134403.765 460952.248 0,134419.87 460972.732 0,134413.584 460977.674 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Maarsseveen,WK19040101,1904010000033286,Gageldijk,71,f,,3602AJ,Maarssen,5.086531,52.136571,134415.17,460973.02,"POLYGON Z ((134413.584 460977.674 0,134397.479 460957.19 0,134403.765 460952.248 0,134419.87 460972.732 0,134413.584 460977.674 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033291,De Plassen Noord,214,,,3621PN,Breukelen,5.032883,52.177332,130764.48,465524.58,"POLYGON Z ((130762.749 465526.803 0,130762.887 465522.217 0,130772.891 465522.518 0,130772.753 465527.104 0,130762.749 465526.803 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Loenen aan de Vecht,WK190403,Polder Garsten,WK19040302,1904010000033312,Oostkanaaldijk,11,r,,3632GA,Loenen aan de Vecht,5.013849,52.240781,129498.95,472590.49,"POLYGON ((129456.296 472644.379,129469.945 472600.169,129477.775 472574.625,129504.627 472582.966,129480.858 472657.881,129473.788 472655.686,129475.597 472650.396,129456.296 472644.379))"
