FID,ID,NUMMER,DD_BIJGEWERKT,DD_BRONBESTAND,GEOMETRIE
MOB_AUTOMATEN.464,464,6275,2023-02-02,2022-05-02,POINT (187130.225831292 429031.79953952)
MOB_AUTOMATEN.465,465,6276,2023-02-02,2022-05-02,POINT (188881.7447338 427847.367846506)
MOB_AUTOMATEN.466,466,6277,2023-02-02,2022-05-02,POINT (189013.850882931 428196.626142015)
MOB_AUTOMATEN.467,467,6278,2023-02-02,2022-05-02,POINT (189152.403650007 428165.195143225)
MOB_AUTOMATEN.468,468,6279,2023-02-02,2022-05-02,POINT (189020.381518071 428329.568195363)
MOB_AUTOMATEN.469,469,6280,2023-02-02,2022-05-02,POINT (186968.998318377 428799.463174499)
MOB_AUTOMATEN.470,470,6281,2023-02-02,2022-05-02,POINT (189249.089670772 427975.322819797)
MOB_AUTOMATEN.471,471,6282,2023-02-02,2022-05-02,POINT (187032.145476746 428849.936810159)
MOB_AUTOMATEN.472,472,6283,2023-02-02,2022-05-02,POINT (187105.54428724 428900.559636505)
MOB_AUTOMATEN.473,473,6284,2023-02-02,2022-05-02,POINT (186895.506399247 428862.982251624)
MOB_AUTOMATEN.474,474,6285,2023-02-02,2022-05-02,POINT (188894.423191617 427920.974255947)
MOB_AUTOMATEN.475,475,6286,2023-02-02,2022-05-02,POINT (188899.512397185 428183.442338744)
MOB_AUTOMATEN.476,476,6287,2023-02-02,2022-05-02,POINT (189154.053911187 428056.002127853)
MOB_AUTOMATEN.477,477,6288,2023-02-02,2022-05-02,POINT (187735.34116782 426651.775100731)
MOB_AUTOMATEN.478,478,6289,2023-02-02,2022-05-02,POINT (187560.422297995 426647.288149523)
MOB_AUTOMATEN.479,479,6290,2023-02-02,2022-05-02,POINT (187502.091741305 426715.487439237)
MOB_AUTOMATEN.480,480,6291,2023-02-02,2022-05-02,POINT (183325.229903175 426253.486897901)
MOB_AUTOMATEN.481,481,6292,2023-02-02,2022-05-02,POINT (183388.227768496 426103.984823255)
MOB_AUTOMATEN.482,482,6293,2023-02-02,2022-05-02,POINT (183058.250819118 426168.534183403)
