Referentiecode RDW,Publicatiedatum RDW,Meldende producent/distributeur,Referentiecode producent,Omschrijving defect,Categorie defect,Materiële gevolgen,Beschrijving van het herstel,Meer informatie op internet,Meer informatie via telefoonnummer,Opmerkingen RDW,Datum aankondiging producent,Datum melding bij RDW,Risicobeoordeling RDW,Datum informeren eigenaar,Datum eigenaren geïnformeerd,Totaal aantal voertuigen terugroepactie,Nationaal opgegeven aantal voertuigen terugroepactie,Publicatiedatum RDW_DT,Datum aankondiging producent_DT,Datum melding bij RDW_DT,Datum informeren eigenaar_DT,Datum eigenaren geïnformeerd_DT,API Terugroep_ actie_status,API Terugroep_actie_risico,API Terugroep_voertuig_merk_type,API Terugroep_infomeren_eigenaar
MGP140328,20141217,Stellantis BV,OSB-14-04-064,"In de ABS-unit kan corrosie optreden, waardoor er gelvorming ontstaat in de module. Hierdoor is het mogelijk, dat een klep in de unit niet correct sluit.",Motorrijtuigen en aanhangwagens - reminrichting,Het niet functioneren van het ABS en als gevolg van uitvallen van de rembekrachtiging een verminderde remcapaciteit. Daarbij kan de slag van het  rempedaal langer worden en kan het rempedaal sponzig aanvoelen.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de ABS-unit controleren en indien nodig vervangen. Het remsyssteem zal worden doorgespoeld en gevuld met nieuwe remvloeistof.,Niet bekend,0800 2342345,Geen,20141209,20141212,ERN,20141209,20141224,76342,1556,12/17/2014 12:00:00 AM,12/09/2014 12:00:00 AM,12/12/2014 12:00:00 AM,12/09/2014 12:00:00 AM,12/24/2014 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140329,20150130,Louwman & Parqui B.V.,AGGF0,De schokdemperstang heeft bij fabricage niet de juiste thermische behandeling gehad. Hierdoor is de hardheid van het materiaal niet goed.,Motorrijtuigen en aanhangwagens - ophanging,Breken van de schokdemperstang. Hierdoor verliest de schokdemper zijn werking waardoor het weggedrag van het voertuig verslechtert. Als gevolg hiervan kan de bestuurder de controle over het voertuig verliezen.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal beide voorschokdempers vervangen.,Niet bekend,0800-0369,Geen,20141208,20150129,ERN,20150210,20150217,6557,805,01/30/2015 12:00:00 AM,12/08/2014 12:00:00 AM,01/29/2015 12:00:00 AM,02/10/2015 12:00:00 AM,02/17/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140332,20141218,B.V. Nimag,99-VL,De vergrendeling van de parkeerstand (P-stand) kan afbreken als de schakelpook zonder het rempedaal in te trappen met veel kracht uit de P wordt getrokken.,Motorrijtuigen en aanhangwagens - diversen,"De schakelpook kan zonder intrappen van het rempedaal in een andere positie worden gezet. Het gevolg kan zijn, dat het voetuig onverwacht in beweging komt.",De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd een afspraak te maken met een merkdealer. Het mechanisme van de schakelpook wordt dan vervangen.,Niet bekend,0800-4789854,Geen,20141212,20141216,ERN,20150226,20150226,2662,85,12/18/2014 12:00:00 AM,12/12/2014 12:00:00 AM,12/16/2014 12:00:00 AM,02/26/2015 12:00:00 AM,02/26/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140333,20141217,Stellantis BV,OSB-14-03-053,"Tijdens het rijden van scherpe bochten (met maximale stuuruitslag) kan de aandrijfas los raken. Het is mogelijk, dat de aandrijfas los raakt terwijl het voertuig is geparkeerd.","Motorrijtuigen en aanhangwagens - assen, wielen, velgen, banden","De aandrijving van het voertuig valt weg of het voertuig, als deze zonder parkeerrem op een helling is geparkeerd, komt vanuit stilstand in beweging.",De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de aandrijfas controleren en indien nodig vervangen.,Niet bekend,0800 2342345,Geen,20141208,20141216,ERN,20141216,20141224,25276,143,12/17/2014 12:00:00 AM,12/08/2014 12:00:00 AM,12/16/2014 12:00:00 AM,12/16/2014 12:00:00 AM,12/24/2014 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140334,20141218,Stellantis BV,ZVZ,De slag van het hendel van de handrem is mogelijk niet goed afgesteld.,Motorrijtuigen en aanhangwagens - reminrichting,De handrem werkt dan niet goed werkt als de hendel niet volledig is aangetrokken.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. De afstelling van de handrem wordt dan gecontroleerd en zonodig afgesteld.,Niet bekend,Niet bekend,Geen,20141215,20141217,GEM,20141222,20141223,178619,5910,12/18/2014 12:00:00 AM,12/15/2014 12:00:00 AM,12/17/2014 12:00:00 AM,12/22/2014 12:00:00 AM,12/23/2014 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140335,20141218,B.V. Nimag,99-TM,De rechter bevestigingsbeugel van de brandstoftank kan tijdens productie vervormd zijn. Hierdoor kan de beugel scheuren en uiteindelijk breken.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Als de bevestigingsbeugel breekt dan zakt de tank en is er grote kans op benzinelekkage.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaren worden verzocht een afspraak te maken met de merkdealer. De beugel wordt dan gecontroleerd en zo nodig vervangen.,Niet bekend,0800-4789854,Geen,20141212,20141217,ERN,20141218,20141218,14065,37,12/18/2014 12:00:00 AM,12/12/2014 12:00:00 AM,12/17/2014 12:00:00 AM,12/18/2014 12:00:00 AM,12/18/2014 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140337,20141218,Nissan Nederland,R1410,De software van de omvormer van de elektrische aandrijfmotor bevat een fout. Hierdoor kan er een probleem ontstaan bij de communicatie tussen de omvormer en de transmissiecontrolemodule (TCM).,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Indien de fout zich voordoet en het voertuig op dat moment elektrisch aangedreven wordt zal de stroomvoorziening naar de motor verbroken worden. Hierdoor zal het voertuig stilvallen.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met de merkdealer. De dealer zal de  omvormer van de aandrijfmotor herprogrameren.,Niet bekend,Niet bekend,Geen,20140918,20141217,GEM,20150115,20150115,688,9,12/18/2014 12:00:00 AM,09/18/2014 12:00:00 AM,12/17/2014 12:00:00 AM,01/15/2015 12:00:00 AM,01/15/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140338,20141218,Nissan Nederland,R1411,Bij de fabricage van de transmissiebehuizing is tijdens de productie mogelijk een overmatige kracht uitgevoerd op de voorste  transmissiebehuizing. Hierdoor is mogelijk een breuk in de transmissiebehuizing ontstaan.,Motorrijtuigen - krachtoverbrenging,Bij het langdurig rijden op hoge snelheid is het mogelijk dat deze barsten zich gaan uitbreiden en dat u daardoor trillingen kan waarnemen. In uitzonderlijke gevallen is het mogelijk dat de transmissie loskomt van het voertuig.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt voor het maken van een afspraak verzocht contact op te nemen met de merkdealer. De dealer zal de transmissiebehuizing inspecteren en indien nodig vervangen.,Niet bekend,Niet bekend,Geen,20140918,20141217,GEM,20150115,20150115,180,1,12/18/2014 12:00:00 AM,09/18/2014 12:00:00 AM,12/17/2014 12:00:00 AM,01/15/2015 12:00:00 AM,01/15/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140339,20141218,Nissan Nederland,R1412,De motormanagementmodule bevat een softwarefout. Hierdoor kan de gaspedaalpositiesensor een foutief signaal  versturen naar de motormanagementmodule.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Het motormanagementsysteem kan het voertuig ongewild geleidelijk doen versnellen. Dit versnellen kan gestopt worden door de rem te gebruiken.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt voor het maken van een afspraak verzocht contact op te nemen met de merkdealer. De dealer zal het motormanagementsysteem herprogrammeren.,Niet bekend,Niet bekend,Geen,20140923,20141217,ERN,20150115,20150115,1511,21,12/18/2014 12:00:00 AM,09/23/2014 12:00:00 AM,12/17/2014 12:00:00 AM,01/15/2015 12:00:00 AM,01/15/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP140340,20150105,Mercedes-Benz Nederland B.V. (Vans),0192065,Bij voertuigen met een OM651 motor is het materiaal en/of de afmeting van de afdichtring van de motorkettingspanner niet juist. Hierdoor dicht de afdichtring niet goed af.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Indien de afdichtring niet juist afdicht kan motorolielekkage optreden. Het verlies van motorolie kan leiden tot verontreiniging van het wegdek en daarmee tot een gevaarlijke situatie voor het overige verkeer en milieu. Tevens kan motorschade schade ontstaan.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de afdichtring van de kettingspanner vervangen.,Niet bekend,00800-17777777,Geen,20141219,20141222,GEM,20150112,20150112,47007,1527,01/05/2015 12:00:00 AM,12/19/2014 12:00:00 AM,12/22/2014 12:00:00 AM,01/12/2015 12:00:00 AM,01/12/2015 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
