Referentiecode RDW,Publicatiedatum RDW,Meldende producent/distributeur,Referentiecode producent,Omschrijving defect,Categorie defect,Materiële gevolgen,Beschrijving van het herstel,Meer informatie op internet,Meer informatie via telefoonnummer,Opmerkingen RDW,Datum aankondiging producent,Datum melding bij RDW,Risicobeoordeling RDW,Datum informeren eigenaar,Datum eigenaren geïnformeerd,Totaal aantal voertuigen terugroepactie,Nationaal opgegeven aantal voertuigen terugroepactie,Publicatiedatum RDW_DT,Datum aankondiging producent_DT,Datum melding bij RDW_DT,Datum informeren eigenaar_DT,Datum eigenaren geïnformeerd_DT,API Terugroep_ actie_status,API Terugroep_actie_risico,API Terugroep_voertuig_merk_type,API Terugroep_infomeren_eigenaar
MGP070060,20130328,Louwman Parts & Service B.V.,TSG7-0045,De mogelijkheid bestaat dat de bouten van de stuurkoppeling op de stuuras niet goed zijn vast gedraaid.,Motorrijtuigen en aanhangwagens - stuurinrichting,De kans bestaat dat de verbinding van de stuurkoppeling op de stuuras los gaat zitten. Dit kan worden herkend door optredend geluid tijdens inparkeren en manouvreren bij lage snelheid. Na verloop van tijd kan dit leiden tot losraken van deze koppeling en onbestuurbaar worden van het voertuig.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd een afspraak te maken met een merkdealer. De dealer zal de stuurkoppeling dan vervangen.",(Nog) niet bekend,0162-585217,Deze terugroepactie is door de fabrikant op 15 oktober 2007 aangekondigd.,20071106,20071106,ERN,20071106,20071106,7500,1323,03/28/2013 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP080083,20130418,Pon's Automobielhandel B.V. (Luxury Cars),RE08/02,Het brandstoffilterhuis kan corroderen. Als gevolg daarvan kan het brandstoffilterhuis poreus worden en kan er brandstoflekkage optreden.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Er kan brand ontstaan.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt benaderd voor het maken van een afspraak met de merkdealer. Het brandstoffilterhuis wordt dan vervangen.",Niet bekend,(0)33 49 49 757,De fabrikant is met deze terugroepactie in mei 2008 gestart. De RDW wordt niet geïnformeerd over de teruggeroepen en herstelde voertuigen. Hierdoor is de realisatie van deze terugroepactie niet bekend.,20080501,20080501,LG,20080501,20080501,1613,22,04/18/2013 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP080098,20130618,B.V. Nimag,HU-GQ,De onder de rechter voorstoel aanwezige stekkerverbinding van de zij-airbag kan klem raken tussen de stoelrails en beschadigen.,Motorrijtuigen - carrosserie (beschermingsmiddelen inzittenden),De kans is aanwezig dat de zij-airbag niet meer werkt of dat deze onbedoeld wordt geactiveerd.,De voertuigeigenaar wordt verzocht contact op te nemen met de merkdealer. Deze past de bevestiging van de bedrading aan en monteert een isolatiehuls over de bedrading. Als de bedrading beschadigd is wordt deze vervangen.,www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is over deze terugroepactie geïnformeerd op 25 augustus 2008.,20080901,20080901,GEM,20080901,20080901,69665,6554,06/18/2013 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090029,20130606,B.V. Nimag,HU-GS,De combinatie van vocht en het brandvertragende middel in de zijbekleding van de bagageruimte zorgt ervoor dat er een verhoogde kans op corrosie ontstaat.,Motorrijtuigen en aanhangwagens - diversen,Corroderen van de aansluitingen van de kofferbakverlichtingsunit. Hierdoor kan kortsluiting ontstaan met brand als gevolg.,De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met de dichtstbijzijnde Suzuki-dealer of Suzuki-servicedealer. Deze vervangt de zijbekleding en de verlichtingsunit van de kofferbak.,www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is op 3 maart 2009 door Nimag B.V. over deze terugroepactie geïnformeerd.,20090301,20090301,ERN,20090301,20090304,250000,12272,06/06/2013 12:00:00 AM,03/01/2009 12:00:00 AM,03/01/2009 12:00:00 AM,03/01/2009 12:00:00 AM,03/04/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090077,20130705,FCA Netherlands B.V.,5155,De afdichting van de elektronische ABS-regeleenheid dicht niet voldoende af. Hierdoor kan er water en zout in de ABS-regeleenheid binnendringen.,Motorrijtuigen en aanhangwagens - elektrische installatie,Kortsluiting met kans op brand.,De distributeur roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd om een afspraak te maken met de merkdealer. Deze zal de ABS-regeleenheid vervangen en een extra afdichting en afdekkap monteren.,Niet bekend,00800 34280000,De RDW is op 26 juli 2009 door Fiat Group Automobiles Netherlands B.V. over deze terugroepactie geïnformeerd.,20090706,20090709,GEM,20090706,20090804,901873,24105,07/05/2013 12:00:00 AM,07/06/2009 12:00:00 AM,07/09/2009 12:00:00 AM,07/06/2009 12:00:00 AM,08/04/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090098,20130527,B.V. Nimag,HU-GW,De combinatie van vocht en het brandvertragende middel in de vloermat van de kofferruimte zorgt ervoor dat er verhoogde kans op corrosie ontstaat.,Motorrijtuigen en aanhangwagens - diversen,Doorroesten en afbreken van de bevestigingsbeugels van de achtergordels.,"De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met de dichtstbijzijnde Suzuki-dealer of Suzuki-servicedealer. Deze vervangt de vloermat, reinigt de kofferbakbodem en vervangt, indien van toepassing, de door roest aangetaste veiligheidsgordels.",www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is op 1 oktober 2010 door Nimag B.V. over deze terugroepactie geïnformeerd.,20090922,20090922,ERN,20090922,20091013,250000,12272,05/27/2013 12:00:00 AM,09/22/2009 12:00:00 AM,09/22/2009 12:00:00 AM,09/22/2009 12:00:00 AM,10/13/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090145,20171207,B.V. Nimag,99-RA,De afdichting tussen de brandstoftank en de brandstofpomp dicht mogelijk niet goed af.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Brandstoflekkage tijdens volledig aftanken.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met de merkdealer. Deze zal de pakking van de brandstofpomp vervangen en een extra O-ring monteren.,Niet bekend,0800-4789854,De producent heeft deze terugroepactie reeds in 2009 georganiseerd.,20091125,20091203,GEM,20091214,20091214,15000,5772,12/07/2017 12:00:00 AM,11/25/2009 12:00:00 AM,12/03/2009 12:00:00 AM,12/14/2009 12:00:00 AM,12/14/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090238,20171002,Triumph Motorcycles B.V.,SB403,De trekstang van het linksysteem tussen de achterbrug en achterveer kan vastlopen en als gevolg verbuigen en breken.,Motorrijtuigen en aanhangwagens - ophanging,Verliezen van de controle over het voertuig.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de trekstang vervangen voor een verbeterde trekstang.,Niet bekend,Niet bekend,De producent heeft deze terugroepactie in 2009 georganiseerd. Voertuigeigenaren van mogelijk nog niet herstelde voertuigen worden opnieuw benaderd.,20170901,20170929,ERN,20090902,20090920,2923,24,10/02/2017 12:00:00 AM,09/01/2017 12:00:00 AM,09/29/2017 12:00:00 AM,09/02/2009 12:00:00 AM,09/20/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100018,20140908,Stellantis BV,OSB10-6E-018,De as van de stuurkolom is mogelijk verkeerd in de bevestiging van de tussenas van de stuurinrichting gemonteerd.,Motorrijtuigen en aanhangwagens - stuurinrichting,De bevestiging kan losraken. Hierdoor wordt het voertuig onbestuurbaar.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een door Chevrolet erkend reparatiebedrijf (zie www.chevrolet.nl). Deze zal de bevestiging van de stuurinrichting controleren en zonodig repareren.,Niet bekend,0800-2342345,De RDW is op 20 april 2010 door de meldende producent/distributeur over deze terugroepactie geïnformeerd.,20100423,20100423,ERN,20100323,20100330,66957,816,09/08/2014 12:00:00 AM,04/23/2010 12:00:00 AM,04/23/2010 12:00:00 AM,03/23/2010 12:00:00 AM,03/30/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100044,20130617,B.V. Nimag,HU-GX,Een brandstofslang in de motorruimte kan mogelijk tegen het gasklephuis aanliggen en daardoor beschadigen. Vervolgens kan deze brandstofslang doorslijten en gaan lekken.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Er is een mogelijkheid van het ontstaan van milieuschade en brand.,"De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met een merkdealer om de brandstofslang te laten controleren. Is de brandstofslang beschadigd, dan zal deze worden vervangen.",www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is over deze terugroepactie geïnformeerd op 12 februari 2010.,20100108,20100108,GEM,20100108,20100219,39895,2458,06/17/2013 12:00:00 AM,01/08/2010 12:00:00 AM,01/08/2010 12:00:00 AM,01/08/2010 12:00:00 AM,02/19/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100058,20130403,Louwman Parts & Service B.V.,"TSG9-039, TSG9-046",De mogelijkheid bestaat dat een klepje in de vulhals van de brandstoftank uit kan drogen.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Er kan benzinedamp vrij komen in het voertuig.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Het klepje in de vulhals van de brandstoftank wordt vervangen door een verbeterde versie.",(Nog) niet bekend,0162-585217,De RDW is op 8 maart 2010 over deze terugroepactie geïnformeerd.,20100429,20100429,GEM,20100429,20100429,25000,5931,04/03/2013 12:00:00 AM,04/29/2010 12:00:00 AM,04/29/2010 12:00:00 AM,04/29/2010 12:00:00 AM,04/29/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100088,20180129,Renault Nederland N.V.,OTS 0B7K,De software in de rekeneenheid van de automatische parkeerrem reageert niet goed op mogelijke contactonderbrekingen in het electrische circuit.,Motorrijtuigen en aanhangwagens - reminrichting,De parkeerrem kan tijdens het rijden onbedoeld en onverwacht automatisch aangrijpen.,De voertuigeigenaar wordt verzocht z.s.m. contact op te nemen met de merkdealer. Deze zal de herprogrammering van de rekeneenheid van de automatische parkeerrem uitvoeren.,Niet bekend,0800-0303,Deze actie is door de producent reeds in 2010 georganiseerd. De eigenaren van resterende voertuigen worden door de producent alsnog benaderd.,20100601,20180122,ERN,20100602,20100602,85136,2153,01/29/2018 12:00:00 AM,06/01/2010 12:00:00 AM,01/22/2018 12:00:00 AM,06/02/2010 12:00:00 AM,06/02/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100123,20131217,Louwman & Parqui B.V.,0528F,Het materiaal waar de klepveren van de motor van  gefabriceerd zijn bevatte onreinheden. Hierdoor kan de sterkte van de klepveer verminderd zijn.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem","Breken van de één of meerdere klepveren. Hierdoor kan de motor plotseling uitvallen. Ook is het mogelijk dat de bestuuder een abnormaal geluid, het onregelmatig lopen van de motor en een verminderd motorvermogen waarneemt",De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd een afspraak te maken met de merkdealer. Deze zal de klepveren van de motor vervangen.,Niet bekend,0800-0369,De RDW is over deze terugroepactie op 5 juli 2010 door Louwman & Parqui B.V.  geïnformeerd.,20100801,20100801,ERN,20100801,20100802,275258,425,12/17/2013 12:00:00 AM,08/01/2010 12:00:00 AM,08/01/2010 12:00:00 AM,08/01/2010 12:00:00 AM,08/02/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100135,20130213,Pon's Automobielhandel B.V.,55F7,"De mogelijkheid bestaat, dat het motorkapslot niet met het juiste voorgeschreven aantrekmoment is vastgeschroefd. Bij een niet correct vastgeschroefd motorkapslot kunnen de bouten vanzelf losraken.","Motorrijtuigen en aanhangwagens - carrosserie (deuren, motorkap, laadkleppen)",Bij het losraken van deze bouten kan de motorkap tijdens het rijden plotseling opengaan.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht zo spoedig mogelijk contact op te nemen met de merkdealer. Deze zal het aantrekmoment van de bevestigingsbouten van de motorkap controleren. Zo nodig worden de bevestigingsbouten en het motorkapslot vervangen.",Niet bekend,Niet bekend,De RDW is over deze terugroepactie op 16 juli 2010 geïnformeerd. De RDW wordt niet geïnformeerd over de teruggeroepen en herstelde voertuigen. Hierdoor is de realisatie van deze terugroepactie niet bekend.,20100706,20100706,ERN,20100706,20100707,1608,90,02/13/2013 12:00:00 AM,07/06/2010 12:00:00 AM,07/06/2010 12:00:00 AM,07/06/2010 12:00:00 AM,07/07/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100153,20130411,Louwman & Parqui B.V.,0523G,"De borgring, waarmee de stuurgaffel op de stuuras is geborgd, kan als gevolg van extreme belasting op de voorwielen verschuiven. Vervolgens kan bij herhaaldelijke maximale stuuruitslag de stuurgaffel losraken van de stuuras.",Motorrijtuigen en aanhangwagens - stuurinrichting,Onbestuurbaar raken van het voertuig.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd een afspraak te maken met de merkdealer. De hoofdas van de stuurkolom wordt dan vervangen.",Niet bekend,0800-0369,De RDW is op 29 juli 2010 over deze terugroepactie geïnformeerd.,20100729,20100729,ERN,20100729,20100814,7819,127,04/11/2013 12:00:00 AM,07/29/2010 12:00:00 AM,07/29/2010 12:00:00 AM,07/29/2010 12:00:00 AM,08/14/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100171,20130502,Hyundai Motor Netherlands b.v.,"90B024, 90B036","De draagarmen achter zijn onvoldoende beschermd tegen corrosie. De mogelijkheid bestaat dat deze doorroesten en als gevolg daarvan vervormen, scheuren en/of breken.",Motorrijtuigen en aanhangwagens - ophanging,"Bij vervormen, scheuren en/of breken van een draagarm kan de bestuurder de controle over het voertuig verliezen.","De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met een merkdealer. Deze zal de draagarmen achter controleren. Zijn deze draagarmen in goede staat, dan krijgen ze een corrosiebeschermende behandeling. Zijn deze in slechte staat, dan worden deze vervangen.",Niet bekend,Niet bekend,De RDW is op 27 augustus 2010 over deze terugroepactie geïnformeerd.,20100819,20100819,ERN,20100819,20100819,10637,10637,05/02/2013 12:00:00 AM,08/19/2010 12:00:00 AM,08/19/2010 12:00:00 AM,08/19/2010 12:00:00 AM,08/19/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100245,20130213,Louwman & Parqui B.V.,0829K,Onjuiste software ten behoeve van de electrische stuurbekrachtiging.,Motorrijtuigen en aanhangwagens - stuurinrichting,Uitval van de stuurbekrachtiging.,De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met de merkdealer of erkend reparateur.  Deze zal de ECU sofware vervangen door een verbeterde versie. Indien nodig zal de ECU vervangen worden.,Niet bekend,0800-0369,De RDW is over deze terugroepactie op 04 november 2010 door de distributeur geïnformeerd.,20101215,20101215,GEM,20101215,20101215,135585,2488,02/13/2013 12:00:00 AM,12/15/2010 12:00:00 AM,12/15/2010 12:00:00 AM,12/15/2010 12:00:00 AM,12/15/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100246,20131218,Louwman & Parqui B.V.,0515K,Het materiaal van de ommanteling van de brandstofpompbedrading in de brandstoftank is niet voldoende flexibel. Hierdoor beweegt de elektrische aansluiting op de brandstofpomp teveel.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Slijtage van de elektrische aansluiting. Hierdoor kan de stroomvoorziening van de brandstofpomp uitvallen. Als gevolg hiervan kan de motor uitvallen tijdens het rijden en/of kan het voertuig niet worden gestart.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de inwendige brandstofpompbedrading vervangen. Indien de elektrische aansluiting op de bevestigingsplaat van de aanzuigleiding beschadigd is zal tevens de bevestigingsplaat vervangen worden.,Niet bekend,0800-0369,De RDW is over deze terugroepactie op 12 november 2010 door Louwman en Parqui B.V. geïnformeerd.,20101129,20101129,GEM,20101129,20101130,7611,224,12/18/2013 12:00:00 AM,11/29/2010 12:00:00 AM,11/29/2010 12:00:00 AM,11/29/2010 12:00:00 AM,11/30/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100247,20131218,Louwman & Parqui B.V.,0516K,De gebruikte remvloeistof heeft onvoldoende smeereigenschappen. Hierdoor kan het achterste afsluitrubber van de hoofdremcilinder droog worden.,Motorrijtuigen en aanhangwagens - reminrichting,"Zweten of langzaam lekken van remvloeistof via het afsluitrubber. Hierdoor kan er te weinig remvloeistof in het remsysteem aanwezig zijn, waardoor de remcapaciteit kan verminderen. Wanneer de remvloeistof onder het minimumniveau daalt, zal het waarschuwingslampje van het remsysteem op het dashboard gaan branden.",De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal het afsluitrubber in de hoofdremcilinder vervangen. Indien de remvloeistof in de rembooster gelekt heeft zal tevens de rembooster vervangen worden.,Niet bekend,0800-0369,De RDW is over deze terugroepactie op 12 november 2010 door Louwman en Parqui B.V. geïnformeerd.,20101129,20101129,ERN,20101129,20101130,45118,1084,12/18/2013 12:00:00 AM,11/29/2010 12:00:00 AM,11/29/2010 12:00:00 AM,11/29/2010 12:00:00 AM,11/30/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100287,20130116,Nissan Nederland,"PG0B6, PS0B6",Oxideren van de contacten van het relais van het motormanagement.,Motorrijtuigen en aanhangwagens - elektrische installatie,Uitvallen van de motor.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht zo spoedig mogelijk een afspraak te maken met de merkdealer om een modificatie aan het voertuig te laten uitvoeren. Het betreffende relais wordt vervangen door een gewijzigde uitvoering.",Niet bekend,0800 0231513,Geen,20101216,20101216,GEM,20101216,20101217,373803,9128,01/16/2013 12:00:00 AM,12/16/2010 12:00:00 AM,12/16/2010 12:00:00 AM,12/16/2010 12:00:00 AM,12/17/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP110001,20130524,B.V. Nimag,HU-GY,De bevestiging van de voorste veerpoot aan de fusee is onvoldoende beschermt tegen corrrosie. Hierdoor kan deze bevestiging vroegtijdig doorroesten.,Motorrijtuigen en aanhangwagens - ophanging,Losraken van de veerpoot van het fusee. Hierdoor kan het voertuig onbestuurbaar raken.,"De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met een dichtstbijzijnde Suzuki-dealer of Suzuki-servicedealer. Deze controleert of de gemonteerde veerpoten van het merk zijn dat vervangen moet worden, en zal in dat geval de veerpoten vervangen.",www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is op 3 januari 2011 door Nimag B.V. over deze terugroepactie geïnformeerd.,20101216,20101216,ERN,20101216,20110110,252528,12288,05/24/2013 12:00:00 AM,12/16/2010 12:00:00 AM,12/16/2010 12:00:00 AM,12/16/2010 12:00:00 AM,01/10/2011 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP110024,20131218,Louwman & Parqui B.V.,1523A,Het aanhaalmoment van de brandstofdruksensor op de brandstofaanvoerleiding is bij de montage in de fabriek niet optimaal geweest. Als gevolg hiervan kan de brandstofdruksensor na verloop van tijd losser komen te zitten dan vereist.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Brandstoflekkage.,"De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de brandstofdruksensor controleren en met het juiste aanhaalmoment vastzetten. Indien er lekkage geconstateerd wordt, zal tevens de pakking van de brandstofdruksensor vervangen worden.",Niet bekend,0800-0369,De RDW is over deze terugroepactie op 16 maart 2011 door Louwman en Parqui B.V. geïnformeerd.,20110330,20110330,ERN,20110330,20110331,10290,441,12/18/2013 12:00:00 AM,03/30/2011 12:00:00 AM,03/30/2011 12:00:00 AM,03/30/2011 12:00:00 AM,03/31/2011 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP110056,20130712,FCA Netherlands B.V.,5521,De ABS-bedrading is ter plaatse van de acculade niet voldoende beschermd tegen beschadiging. Hierdoor ontstaat de kans dat de bedrading beschadigd raakt.,Motorrijtuigen en aanhangwagens - elektrische installatie,Doorslijten van de bedrading en uitval van het ABS-systeem en kans op kortsluiting met brand als gevolg.,De distributeur roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd om een afspraak te maken met de merkdealer. Deze zal de de ABS bedrading ter plaatse van de acculade verleggen of voorzien van extra bescherming tegen beschadiging.,Niet bekend,Niet bekend,De RDW is over deze terugroepactie op 21 februari 2011 door Fiat Group Automobiles Netherlands B.V. geïnformeerd.,20110211,20110211,ERN,20110211,20110228,145237,1642,07/12/2013 12:00:00 AM,02/11/2011 12:00:00 AM,02/11/2011 12:00:00 AM,02/11/2011 12:00:00 AM,02/28/2011 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
