OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,Z,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,47086ba3-4c67-418b-afad-a1316eeb7f60,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,530916",3.200981,"3,200981",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195221.407,469154.559,17.215,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20902178,5.97565725,88.530916
2,3c4d2a1c-8834-4822-b396-1d5fe4a0eb6c,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,940606",2.579121,"2,579121",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195628.55799999,469146.07299999,17.23499999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20891567,5.9816127,88.940606
3,a63bb390-12a7-48ab-b6dd-4407d399017e,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,536956",3.258828,"3,258828",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195227.42499999,469154.157,17.265,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20901773,5.97574525,88.536956
4,b29ff25b-b01a-45a5-a068-4db33347e180,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,500860",16.334614,"16,334614",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195190.69099999,469143.15999999,17.901,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20892157,5.97520654,88.50086
5,ff4a8010-cf85-421b-b96b-7575ff9d8b63,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,013755",30.116398,"30,116398",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,194703.377,469158.075,18.05699999,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20909091,5.96807907,88.013755
6,b6daa12c-2240-4d97-bf75-a5e1bc32185a,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,013356",30.092529,"30,092529",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,194702.97899999,469158.118,18.05699999,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20909132,5.96807325,88.013356
7,c0b53c74-e933-4d37-a8e3-2132d79ec5ce,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"87,902061",16.483964,"16,483964",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,194592.323,469175.96799999,18.01599999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.2092597,5.96645648,87.902061
8,4a576582-b6c7-4eba-a5af-64fe018b7ad2,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,365816",26.846491,"26,846491",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195054.793,469140.95699999,17.93,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20891165,5.97321814,88.365816
9,b923d567-8706-4725-8722-6ca177a8a32e,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,366238",26.793684,"26,793684",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195055.21799999,469140.981,17.93,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20891184,5.97322436,88.366238
10,1cf3527c-996e-49ce-969b-c281108a5296,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,500442",16.331403,"16,331403",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195190.27499999,469143.18699999,17.901,Apeldoorn,APD,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20892184,5.97520046,88.500442
11,d7903bfe-c33f-4239-8ad0-72591fee85d4,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,940169",2.555223,"2,555223",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195628.143,469146.117,17.26699999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.2089161,5.98160664,88.940169
12,947b61fd-1f6e-48d7-ae62-1c15ee8c4c54,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"87,901681",16.475039,"16,475039",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,194591.942,469175.99099999,18.01599999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Oost,52.20925993,5.96645091,87.901681
13,26f158b4-9319-4e52-ada5-0e99552485b4,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,261754",15.370537,"15,370537",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,194951.73499999,469159.36499999,17.94699999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20908457,5.97171262,88.261754
14,2add7e00-3816-49c6-a0cc-9d48d09f5967,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,337348",10.707022,"10,707022",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195027.45,469158.995,17.92,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20907575,5.97282026,88.337348
15,496a723b-f569-489a-925b-2925711dd141,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,869878",-8.683248,"-8,683248",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195559.405,469159.097,17.47899999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20903781,5.98060258,88.869878
16,d639aa1a-dbe6-422f-9d1b-bf2555948dd5,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,869406",-8.632696,"-8,632696",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195558.93299999,469159.03499999,17.48999999,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20903729,5.98059567,88.869406
17,85ade6fe-f972-4ebb-902e-5c7e1e4bab8d,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,794687",-7.799178,"-7,799178",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195484.382,469156.62599999,17.899,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20902112,5.97950473,88.794687
18,839bd93b-bb7f-4fad-9726-228c828b22b4,,60,Bestaand,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,"88,794327",-7.782615,"-7,782615",ProRail,Noord-Oost,NO,Baan,Veluwe,430,IJsselstreek,31,Strukton Rail,195484.026,469156.617,17.899,Apeldoorn,APD,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Oost,52.20902106,5.97949952,88.794327
19,f3c8ffa3-feeb-4136-beb4-50b771d060ae,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,"1,053385",-31.739913,"-31,739913",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,201742.742,501388.09299999,2.749,Zwolle Rangeerterrein,ZLR,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.49819269,6.07554212,1.053385
20,04b04ea5-43fb-4964-80b8-49b8e4145618,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,410640",-10.819012,"-10,819012",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202458.05499999,502361.99699999,2.661,,,,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50688329,6.08621358,2.41064
21,eaba9a06-604d-465a-a19f-fcb2b6e6a20a,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"2,070747",18.746475,"18,746475",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,202131.51,502303.183,2.761,Zwolle,ZL,PPLG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.506383,6.08139596,2.070747
22,1b71406f-60bd-4cc0-9cb5-983713771aeb,,60,Bestaand,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,"3,476599",4.444131,"4,444131",ProRail,Noord-Oost,NO,Baan,Drenthe,440,Overijssel,34,ASSET Rail,203364.54199999,501809.44699999,2.684,Zwolle,ZL_NEDTRAIN,NCBG,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Noord,52.50183822,6.09948405,3.476599
