ID,VOLGNUMMER,BEPERKINGTYPE,ORGAAN,KENMERK,REGISTERNUMMER,OMSCHRIJVING,DATUM_BESLUIT,AARD,STATUS,inside_x,inside_y,inside_lat,inside_lon
1410,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1457,Monument - Westmolenstraat 25 : woning met bedrijfsruimte,19950516,Opleggen,Geregistreerd,86742.21150000002,436915.65555138414,51.916537102936005,4.395059579700897
197,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,199,Beschermd monument - Korte Haven 0 : spuisluis,19940809,Opleggen,Geregistreerd,86603.8940566796,436997.2501475,51.91725341995517,4.393033171050628
1638,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1597,Monument - Nassaulaan 40 : herenhuis,20030325,Opleggen,Geregistreerd,87061.3285,436168.115859094,51.90985789117249,4.399844947460156
1641,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1600,Monument - Nassaulaan 45 : woonhuis,20030325,Opleggen,Geregistreerd,86998.72220905822,436178.684,51.9099452220821,4.3989331268247405
1643,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1602,Monument - Nassaulaan 49 (b) : woonhuis,20030325,Opleggen,Geregistreerd,86985.74213507547,436192.0085,51.91006338542769,4.398741879751678
900,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,910,wet monumenten bescherming - Dorpsstraat 8 : pand,20040907,Opleggen,Geregistreerd,85672.21835389498,439257.0235,51.93744694367161,4.379037216900805
1595,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1554,Monument - Warande 171 : woning,20011218,Opleggen,Geregistreerd,86839.29247588785,436418.7535,51.91208326288242,4.396568902276675
1651,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1609,Monument - Nieuwe Haven 133 : woning,20011218,Opleggen,Geregistreerd,86896.21116972271,436500.4425,51.9128243851196,4.397379862569011
1594,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1553,Monument - Warande 169 : woning,20011218,Opleggen,Geregistreerd,86844.95563438095,436413.026,51.91203248253172,4.396652332023636
1648,8,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1606,Monument - Nieuwe Haven 153 : woonhuis,20030325,Opleggen,Geregistreerd,86771.7577888852,436625.86700000253,51.9139363498094,4.39554644315849
1458,8,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1629,Monument - Westvest 44 : v.m. branderspakhuis,19950224,Opleggen,Geregistreerd,86911.5545884788,436633.4656876263,51.91402176490221,4.397576511692977
1655,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1612,Monument - Nieuwe Haven 111 : herenhuis,20011218,Opleggen,Geregistreerd,87025.53020441692,436370.00800000003,51.91166796006706,4.39928488661434
896,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,906,wet monumenten bescherming - Dam 12 (a & b) : winkel/woonhuis,19950224,Opleggen,Geregistreerd,86799.66900000002,437068.39732442994,51.91791686409838,4.39586434048932
1733,5,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1896,Monument - Zijlstraat 10 : v.m. brandershuis,20040907,Opleggen,Geregistreerd,86735.7897326489,437196.75329599995,51.919062585287655,4.3949104751373875
1572,8,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1537,Monument - Lange Nieuwstraat 173 : woning,19970429,Opleggen,Geregistreerd,87185.12494380536,436420.856,51.912144412884416,4.4015940340402215
1144,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1296,Aanwijzing gemeentelijk monument - Vlaardingerstraat 5 (a & b) : cafe met bovenwoning,19950224,Opleggen,Geregistreerd,86674.8345,437061.8467197543,51.917842676010984,4.394051346973648
1413,9,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1459,Monument - Elzensteeg 2 / Westmolenstraat 12 : branderij annex branderspakhuis,19940809,Opleggen,Geregistreerd,86773.40842356006,436941.26967978955,51.9167711277109,4.395507890154425
1009,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1016,wet monumentenbescherming - Korte Haven 125 : v.m. kerkgebouw,19940215,Opleggen,Geregistreerd,86687.8930000001,436979.70883629227,51.9171060933972,4.394257442793372
1532,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1630,Monument - Lange Haven 75 (a en b) : v.m. pakhuis,19940809,Opleggen,Geregistreerd,86860.34150000001,436729.534546626,51.91487888255853,4.396813241126346
1647,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1605,Monument - Nieuwe Haven 151 : woonhuis,20030325,Opleggen,Geregistreerd,86783.60009082119,436617.01399999997,51.913858238413574,4.395720294284064
1650,7,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1608,Monument - Nieuwe Haven 147 : woonhuis,20030325,Opleggen,Geregistreerd,86804.1048363916,436596.15749999497,51.91367331105512,4.3960224086274495
993,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1001,wet monumentenbescherming - Hoogstraat 76 (a) : winkelpand,19940809,Opleggen,Geregistreerd,87002.2685,436755.87159142894,51.91513294103368,4.398870609189133
910,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,920,wet monumenten bescherming - Grote Markt 3 : winkel/woonhuis,19940809,Opleggen,Geregistreerd,86978.2735,437076.25728463015,51.91800936834345,4.398458554943873
1142,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1146,Aanwijzing gemeentelijk monument - Tuinlaan 2 (a & b) : woning,20011218,Opleggen,Geregistreerd,87540.97418856414,436099.7095,51.90930146103577,4.406828102894759
1016,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1023,wet monumentenbescherming - Lange Haven 102 : woning,19940809,Opleggen,Geregistreerd,86877.00588597698,436890.2205,51.916325034550006,4.397023604301555
1380,6,"GG - Beschermd monument, Gemeentewet",College Burgemeester en Wethouders,onbekend,1429,"Monument - Noordvest 42 : v.m. stoomkorenmolen (""de draak"")",19950224,Opleggen,Geregistreerd,86594.1025,437173.9548502958,51.918840288621055,4.392855731289901
