FID,diepte_org,diepte_cm,typering,opmerking,se_anno_cad_data,gdb_geomattr_data,shape
dieptepunten_1935.1,21,-210,dieptepunt, ,,,POINT (151274.87970000133 524080.7831999995)
dieptepunten_1935.2,91,-910,dieptepunt, ,,,POINT (152132.6895999983 527305.436999999)
dieptepunten_1935.3,88,-880,dieptepunt, ,,,POINT (151437.98440000042 528495.4970999993)
dieptepunten_1935.4,98,-980,dieptepunt, ,,,POINT (150537.8883999996 528912.3203000017)
dieptepunten_1935.5,66,-660,dieptepunt, ,,,POINT (152029.99419999868 528906.2793000005)
dieptepunten_1935.6,32,-320,dieptepunt, ,,,POINT (151706.2012999989 525252.1583000012)
dieptepunten_1935.7,14,-140,dieptepunt, ,,,POINT (151792.4728000015 524382.2553999983)
dieptepunten_1935.8,68,-680,dieptepunt, ,,,POINT (145296.67760000005 529765.9180000015)
dieptepunten_1935.9,71,-710,dieptepunt, ,,,POINT (145870.56450000033 530255.2322999984)
dieptepunten_1935.10,76,-760,dieptepunt, ,,,POINT (147284.13870000094 530508.9508999996)
dieptepunten_1935.11,78,-780,dieptepunt, ,,,POINT (147610.34820000082 530158.5775000006)
dieptepunten_1935.12,78,-780,dieptepunt, ,,,POINT (148123.82580000162 530055.882100001)
dieptepunten_1935.13,96,-960,dieptepunt, ,,,POINT (148758.12159999833 530454.5826000012)
dieptepunten_1935.14,96,-960,dieptepunt, ,,,POINT (149700.50420000032 529759.8775000013)
dieptepunten_1935.15,76,-760,dieptepunt, ,,,POINT (148957.47190000117 529125.5810999982)
dieptepunten_1935.16,73,-730,dieptepunt, ,,,POINT (149325.9675000012 528877.9037000015)
dieptepunten_1935.17,71,-710,dieptepunt, ,,,POINT (150026.71379999816 528412.753800001)
dieptepunten_1935.18,76,-760,dieptepunt, ,,,POINT (149664.25869999826 528080.5031000003)
dieptepunten_1935.19,99,-990,dieptepunt, ,,,POINT (148317.13500000164 528630.2263000011)
dieptepunten_1935.20,96,-960,dieptepunt, ,,,POINT (147398.91580000147 529210.1543000005)
dieptepunten_1935.21,81,-810,dieptepunt, ,,,POINT (145496.0278000012 530587.4825000018)
dieptepunten_1935.22,,,dieptepunt,"Waarde discutabel, niet toegekend",,,POINT (146039.71040000021 529463.872299999)
dieptepunten_1935.23,66,-660,dieptepunt, ,,,POINT (150437.49599999934 530508.9508999996)
dieptepunten_1935.24,8,-80,dieptepunt, ,,,POINT (148190.27580000088 527065.6295000017)
dieptepunten_1935.25,91,-910,dieptepunt, ,,,POINT (150747.9989 530853.2826999985)
dieptepunten_1935.26,66,-660,dieptepunt, ,,,POINT (150772.16270000115 529941.1050000004)
dieptepunten_1935.27,71,-710,dieptepunt, ,,,POINT (151321.88589999825 529560.5271999985)
dieptepunten_1935.28,96,-960,dieptepunt, ,,,POINT (151714.54529999942 529856.5318000019)
dieptepunten_1935.29,81,-810,dieptepunt, ,,,POINT (152439.45490000024 530569.3597000018)
dieptepunten_1935.30,73,-730,dieptepunt, ,,,POINT (153375.7963999994 530158.5775000006)
dieptepunten_1935.31,91,-910,dieptepunt, ,,,POINT (153834.90579999983 529004.7630000003)
dieptepunten_1935.32,88,-880,dieptepunt, ,,,POINT (150983.59470000118 531052.0450999998)
dieptepunten_1935.33,101,-1010,dieptepunt, ,,,POINT (151364.1719999984 531420.5412999988)
dieptepunten_1935.34,91,-910,dieptepunt, ,,,POINT (152717.33680000156 530894.9814999998)
dieptepunten_1935.35,103,-1030,dieptepunt,Waarde afgelezen van originele kaart,,,POINT (152228.02299999818 530242.5628999993)
dieptepunten_1935.36,49,-490,dieptepunt, ,,,POINT (155183.2382999994 528549.8986000009)
dieptepunten_1935.37,68,-680,dieptepunt, ,,,POINT (154234.8145999983 529371.4629999995)
dieptepunten_1935.38,81,-810,dieptepunt, ,,,POINT (154524.77820000052 529770.1634999998)
dieptepunten_1935.39,32,-320,dieptepunt, ,,,POINT (155273.85159999877 530410.5003999993)
dieptepunten_1935.40,73,-730,dieptepunt, ,,,POINT (155527.57009999827 529190.2355000004)
dieptepunten_1935.41,41,-410,dieptepunt, ,,,POINT (155086.58350000158 531866.3607000001)
dieptepunten_1935.42,28,-280,dieptepunt, ,,,POINT (153830.07349999994 531969.0560999997)
dieptepunten_1935.43,38,-380,dieptepunt, ,,,POINT (156010.84329999983 531425.3740000017)
dieptepunten_1935.44,42,-420,dieptepunt, ,,,POINT (157013.63529999927 530519.2364000008)
dieptepunten_1935.45,50,-500,dieptepunt, ,,,POINT (158028.50890000165 530229.2729000002)
dieptepunten_1935.46,63,-630,dieptepunt, ,,,POINT (158378.88170000166 528773.4127000012)
dieptepunten_1935.47,53,-530,dieptepunt, ,,,POINT (158258.0634999983 531878.4422999993)
dieptepunten_1935.48,58,-580,dieptepunt, ,,,POINT (156808.24390000105 532047.5881999992)
dieptepunten_1935.49,36,-360,dieptepunt, ,,,POINT (156131.66149999946 532863.1114999987)
dieptepunten_1935.50,34,-340,dieptepunt, ,,,POINT (156620.97580000013 532718.1295000017)
dieptepunten_1935.51,41,-410,dieptepunt, ,,,POINT (157611.68560000136 532796.6611000001)
dieptepunten_1935.52,17,-170,dieptepunt, ,,,POINT (170291.41110000014 521222.1755999997)
dieptepunten_1935.53,20,-200,dieptepunt, ,,,POINT (170768.4477000013 521043.2868999988)
dieptepunten_1935.54,14,-140,dieptepunt, ,,,POINT (171195.7925999984 520914.0898000002)
dieptepunten_1935.55,24,-240,dieptepunt, ,,,POINT (171792.08830000088 521063.16369999945)
dieptepunten_1935.56,43,-430,dieptepunt, ,,,POINT (172895.23479999974 521500.4464999996)
dieptepunten_1935.57,45,-450,dieptepunt, ,,,POINT (173789.6777999997 521619.7056999989)
dieptepunten_1935.58,42,-420,dieptepunt, ,,,POINT (173640.60379999876 523259.5183000006)
