Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
&Morgen;;1;;;;;1
&Samhoud Nederland B.V.;;1;;;;;1
21AT;;5;;;;;5
2BGlobal B.V.;;2;;;;;2
2Solve Investigations;;2;;;;;2
4C Offshore Limited;;1;;;;;1
4e Implementing Agreement Pty Ltd.;;2;;;;;2
5plus1;;2;;;;;2
7Senses;;1;;;;;1
A Million Faces B.V.;;1;;;;;1
A.M.P.C. Assoc. Medic. Proj. Consultants B.V.;;2;;;;;2
Aaaaha! The Actor Factory B.V.;;1;;;;;1
AAMANGO S.L.;;2;;;;;2
Aannemingsmaatschappij Friso B.V.;;1;;;;;1
Abalona;;1;;;;;1
ABCD About Brands Concepts Design;;4;;;;;4
Abd Allied Business Development B.V.;;1;;;;;1
ABF Group B.V.;;2;;;;;2
Acacia Water B.V.;;3;;;;;3
Access Latin America;;2;;;;;2
ACE B.V.;;1;;;;;1
ACE Designs & More;;2;;;;;2
A-Consulting B.V.;;1;;;;;1
Action Now;;1;;;;;1
ACTM Netherlands B.V.;;2;;;;;2
Actuac B.V.;;1;;;;;1
Advies water en klimaat;;1;;;;;1
Adviesbureau Beleef & Weet;;1;;;;;1
Adviesbureau Sam B.V.;;2;;;;;2
Adviesburo Constructies van der Laan;;1;;;;;1
Advise & Action SPRL;;2;;;;;2
AECOM Ltd;;1;;;;;1
AECOM Netherlands B.V.;;2;;;;;2
AEVES B.V.;3;;;;;;3
Affact;;1;;;;;1
Afvalzorg Deponie B.V.;;3;;;;;3
Agonus Fisheries Consultancy;;1;;;;;1
Agpro Onions B.V.;;;;1;;;1
Agrifirm Exlan B.V.;;1;;;;;1
Agriprom;;2;;;;;2
Agrix Consulting;;2;;;;;2
Agro Adviesburo BM Holding B.V.;;1;;;;;1
Agro Dynamics;;2;;;;;2
Agroder SC;;1;;;;;1
Aided-Trade Limited;;3;;;;;3
Aidenvironment Asia;;2;;;;;2
AimAtArt;;1;;;;;1
Airbus Defence and Space Netherlands;;4;;;;;4
Albizu, Vidal, Uría y Asociados SL (AVU SL);;2;;;;;2
Algemeen Groninger Persbureau Tammeling B.V.;;1;;;;;1
Algemene Vereniging Inlands Hout;;1;;;;;1
Allen & Overy LLP;;2;;;;;2
Allen & Overy Stg. Derdengelden Advocaten;;;;2;;;2
AllSolutions B.V.;1;;;;;;1
Alquimia;;1;;;;;1
Altares - Dun & Bradstreet;;2;;;;;2
Altenburg & Wymenga Ecologisch Onderzoek B.V.;;1;;;;;1
Alter Ego Development;;2;;;;;2
Amazing Bread Company B.V.;;1;;;;;1
Ambor Creatie;;2;;;;;2
Amigos International B.V.;;2;;;;;2
Amilcar Aristides Pereira De Sousa Monteiro;;1;;;;;1
Amsterdam Arena Advisory B.V.;;2;;;;;2
Amsterdam Center for Integrity and Leadership;;1;;;;;1
Anantis;;2;;;;;2
Anchor Business Recovery;;2;;;;;2
Andersson Elffers Felix;;4;;;;;4
Angle of View B.V.;;1;;;;;1
Animal Behaviour Clinic;;2;;;;;2
anp management consulting GmbH;;1;;;;;1
Antea Group;;2;;;;;2
Antea Nederland B.V.;;6;;;;;6
Antea Realisatie B.V.;;2;;;;;2
Antenna Men;;1;;;;;1
ANWB B.V.;;2;;;;;2
Apparel Tech Corporation;;2;;;;;2
APPM Management Consultants B.V.;;3;;;;;3
Aqua Empowerment Solutions (Pty) Ltd;;2;;;;;2
Arboribus Silva B.V.;;2;;;;;2
ARCADIS Nederland;;7;;;;2;7
Arcrole Advisory B.V.;;3;;;;;3
Ardis Opleidingen B.V.;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;;;1
Aristo Amsterdam B.V.;;1;;;;;1
ARN Sustainability B.V.;;2;;;;;2
AS I-search, onderzoek;;2;;;;;2
AS-Vastgoed B.V.;;2;;;;;2
At Osborne B.V.;;2;;;;;2
Atelier O2;;1;;;;;1
ATG Europe B.V.;;5;;;;;5
Atlantico Business Development;;1;;;;;1
Atlas Services Group Dredging B.V.;;2;;;;;2
Atos Nederland B.V.;9;5;;;;;9
Atriensis B.V.;;1;;;;;1
AtrivÃƒÂ© B.V.;;2;;;;;2
Aurika Ltd.;;3;;;;;3
Automotive Publishing B.V.;;2;;;;;2
Ava Partner SARL;;2;;;;;2
AVDD B.V.;;2;;;;;2
Aventuras;;2;;;;;2
AWVN (Algemene Werkg.ver. Nederland);;2;;;;;2
Axolution;;2;;;;;2
Azienda Alberto B.V.;;1;;;;;1
B.P.R.C.;;1;;;;;1
B.V. Kwaliteitskeuring Dierlijke Sector;;9;;;;;9
B.V. Princeville Exploitatie;;1;;;;;1
B3partners B.V.;;1;;;;;1
BÃƒÂ¼gelHajema Adviseurs B.V.;;1;;;;;1
Baker Tilly Berk Corporate Finance;;2;;;;;2
Baker Tilly Berk Den Haag;;;;;;1;1
Bakker Consultor I.E.;;2;;;;;2
Bakker ICT Services;;1;;;;;1
Bakkerij Schuurmans;;1;;;;;1
Banning N.V.;;;;1;;;1
Bar-Beton;;1;;;;;1
BaseClear B.V.;;1;;;;;1
Basis & Beleid Organisatie-Adviseurs B.V.;;1;;;;;1
BBA Binnenmilieu B.V.;;1;;;;;1
BBK/Door Vriendschap Sterker B.V.;;3;;;;;3
bbn adviseurs;;2;;;;;2
BDO Audit & Assurance B.V.;;1;;;;;1
Beagle Sustainable Solutions;;3;;;;;3
Beatex;;3;;;;;3
Before Boarding;;2;;;;;2
Beijer Tuin- en Landschapsinrichting;;1;;;;;1
Beleidstheater;;2;;;;;2
belevenisonderwijs;;1;;;;;1
Bellekens IT;;2;;;;;2
Berenschot B.V.;;4;;;;;4
Berenschot Groep B.V.;2;7;;;;;7
Berg en Ideeën;;1;;;;;1
Bernhard Rothfos Intercafé AG - Neumann Kaffee Gruppe;;2;;;;;2
Beroepsorganisatie Nederlandse Ontwerpers;;1;;;;;1
Between B.V.;7;;;;;;7
Bewonersvereniging De Brekken Sneek;;;;1;;;1
Bex*communicatie;;1;;;;;1
bf-c energy consulting;;1;;;;;1
Bij Robbert;;1;;;;;1
Bilderberg Grand Hotel Wientjes;;1;;;;;1
Bilderberg Hotel De Keizerskroon;;1;;;;;1
Bilfinger Tebodin Netherlands B.V.;;3;;;;;3
Bink B.V.;;1;;;;;1
Bionext;;3;;;;;3
Birch Consultants B.V.;;3;;;;;3
BK Bouw- en Milieuadvies B.V.;;3;;;;;3
BKFF bas kijzers fotografie en film;;1;;;;;1
Blaauw Space Affairs;;2;;;;;2
Blaauwendraad Advies;;2;;;;;2
Blackwood Advies;;2;;;;;2
Blauw Research B.V.;;4;;;;;4
BlinkLane Consulting B.V.;;3;;;;;3
BLIX Consultancy B.V.;;5;;;;;5
Bloemenboetiek Panhuis;;1;;;;;1
Blok;;2;;;;;2
Blonk Milieu Advies B.V.;;2;;;;;2
Bloomberg Finance L.P.;;3;;;;;3
Blue Skies Consultancy Group;;4;;;;;4
Bluemark Holding B.V.;2;;;;;;2
BMC Implementatie;;2;;;;;2
BodemenergieNL;;3;;;;;3
Boekhandel Van der Velde B.V.;;1;;;;;1
Boer & Croon Corporate Finance B.V.;;3;;;;;3
Bons Negocios!;;1;;;;;1
Bont Consult;;2;;;;;2
BOOM-Stofberg;;1;;;;;1
Boot 10 Amsterdam B.V.;;1;;;;;1
Bosch & Van Rijn B.V.;;2;;;;;2
Bout Advocaten B.V.;;;;1;;;1
Bouwdynamica;;2;;;;;2
BOUWscoop;;1;;;;;1
Bovenkamers;;1;;;;;1
Brabantse Populieren Vereniging;;1;;;;;1
Brainstorm & Concept;;1;;;;;1
Branche Vereniging Organische Reststoffen;;2;;;;;2
Brandhof Natuur & Platteland B.V.;;1;;;;;1
Brandwise B.V.;;4;;;;;4
Bre-Ad B.V.;;2;;;;;2
Breijer Contractonderhoud B.V.;2;;;;;;2
Brightface Enterprises;;1;;;;;1
Brink Management/Advies;;1;;;;;1
Brinks Management Advice/Techne B.V.;;4;;;;;4
BRO;;4;;;;;4
Bruggink & vd Velden Advocaten. Bel.adv. B.V.;;1;;;;;1
Brunel Nederland B.V.;5;;;4;;;6
BSBA (Bur. voor Strategische Beleidsanalyse);;2;;;;;2
BSD Consulting;;2;;;;;2
BT Professional Services Nederland B.V.;7;;;;;;7
BTC Mediatest B.V.;;2;;;;;2
Buck Consultants International B.V.;;2;;;;;2
BuildDesk Benelux B.V.;;1;;;;;1
Building Vision B.V.;;3;;;;;3
Buildsight B.V.;;3;;;;;3
Buiten, bureau voor Economie & Omgeving B.V.;;1;;;;;1
Bur. Binnenwerk Communicatie-Adv. & -Uitv.;;1;;;;;1
Bureau Bartels B.V.;;2;;;;;2
Bureau BlauwGeel B.V.;;1;;;;;1
Bureau Buitenkans;;2;;;;;2
Bureau De Heer;;3;;;;;3
Bureau Leeters;;3;;;;;3
Bureau Molenaar;;3;;;;;3
Bureau Mozaiek;;3;;;;;3
Bureau Mulder-Natuurlijk;;2;;;;;2
Bureau Onderweg;;1;;;;;1
Bureau voor Beeldzaken;;1;;;;;1
Bureau voor Overheidscommunicatie B.V.;4;;;;;;4
Bureau Waardenburg B.V.;;4;;;;;4
Bureau ZET;;3;;;;;3
Buro Beeld B.V.;;1;;;;;1
Buro del Rey;;2;;;;;2
Buro Duif;;1;;;;;1
Buro PAST;;1;;;;;1
Burosa;;2;;;;;2
Business Development Holland B.V.;;3;;;;;3
Business Management Concepts;;2;;;;;2
Business Nieuws Holding B.V.;;1;;;;;1
Business Openers B.V.;;3;;;;;3
BViT Noordwijk;;2;;;;;2
Byte B.V.;;1;;;;;1
C.N. Min Beheer B.V.;;2;;;;;2
C.V. Het Schaap;;1;;;;;1
Cabolqui;;2;;;;;2
CADEX - Cámara de Exportadores Santa Cruz;;1;;;;;1
CAH Vilentum Dronten;;1;;;;;1
Campden BRI;;2;;;;;2
Canal Digitaal;;;1;;;;1
Capgemini Nederland B.V.;7;3;;;1;;7
Capricorn Projekt B.V.;;1;;;;;1
CARMABI Foundation;;1;;;;;1
CARRASQUILLA SOSSA;;3;;;;;3
Carver;;2;;;;;2
Carver Dienstverlening;;2;;;;;2
Carwei Communications;;2;;;;;2
cc:K;;2;;;;;2
CE Delft;;4;;;;;4
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;2;;;;;2
Cefas;;3;;;;;3
CEM Benchmarking;;2;;;;;2
CENER Centro national de Energia renovables;;1;;;;;1
Century Aluminum Vlissingen B.V.;;;;1;;;1
Certifield International B.V.;;5;;;;;5
Certios;;1;;;;;1
