OBJECTID,PUIC,REF_WISSEL_KRUISING_PUIC,NAAM,HOEKVERHOUDING,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,REF_WISSEL_KRUISING_NAAM,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,f1e3b1f8-b249-4b5a-86ee-02d7ed5f1870,b9a84d8b-b2f9-435a-86d6-9512c93842e3,57A/917,01:09:00,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,446021",13.958984,"13,958984",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195135.965,469148.76699999,16.925,57A/917,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20897595,5.97440658,88.446021
2,b99fd1f3-0975-43af-a3a1-ed88426a86ac,c3a03875-7c3f-4ddf-a8ea-e39cab8171e7,59B/61A,01:09:00,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,559327",4.727079,"4,727079",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195249.64499999,469151.416,17.021,59B/61A,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20899147,5.97606999,88.559327
3,da533728-7808-435b-af4b-995f2e4b2e8e,ffa1b3e6-c6d6-4747-ba6f-9701bc7d52d7,37B/903,01:09:00,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,034634",27.199844,"27,199844",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194724.396,469159.98599999,17.042,37B/903,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20910657,5.96838679,88.034634
4,9c21ca01-0c44-4366-afbb-4bf26b687c5d,b24f72e1-dcf5-49d9-aab1-44fef6fb5556,4393/4395,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,344124",-6.789492,"-6,789492",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203256.99799999,501888.625,1.91999999,4393/4395,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50255927,6.0979118,3.344124
5,0cde6aa8-2837-4ce9-865b-6e13867ed3bd,c94280bf-2456-449a-87a4-fc31b9af255c,4065/4067,01:09:00,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,814016",2.051039,"2,051039",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201701.817,501147.00099999,1.619,4065/4067,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.49602954,6.07490576,0.814016
6,ee4ba684-6766-40b4-9915-e2adfb1d0c36,47d6ed34-ac57-4c43-a212-bbf868527456,904A/904B,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,734720",16.966928,"16,966928",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203580.428,501666.386,1.863,904A/904B,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50053342,6.10264239,3.73472
7,a046557e-e4d0-454e-81e6-3fe2b00c7856,78b41044-8f22-43b6-bfa5-37d696448009,4397/4399,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,384850",-2.809077,"-2,809077",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203289.948,501863.261,1.913,4397/4399,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50232843,6.09839336,3.38485
8,75e086b5-1805-424e-a2e7-92e4aed4001e,5ebf4420-b26a-4524-bced-53a6eb753779,4061/4063,01:09:00,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,813415",-2.404566,"-2,404566",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle Rangeerterrein,ZLR,NCBG,201697.44099999,501148.048,1.619,4061/4063,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.49603932,6.07484148,0.813415
9,0fe23a53-a207-451b-8f35-c1e5ad966990,05dd6a16-84e1-4271-8f73-f884ce23076f,4247/4249,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,471298",-2.786255,"-2,786255",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202509.984,502329.232,1.815,4247/4249,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50658433,6.08697371,2.471298
10,f25da25f-f7c0-43e2-a30a-4740723a444f,8c61d166-1490-4816-863c-2cb464b4fb05,4267/4269,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,645872",12.542033,"12,542033",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202650.95,502229.99099999,1.90799999,4267/4269,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50568021,6.08903565,2.645872
11,3d06f079-12d3-438c-ae2d-df49b6e8bbe7,41471c44-9a5b-44c9-a93f-158ddf1b2807,903A/903B,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,779332",22.258718,"22,258718",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL_NEDTRAIN,NCBG,203616.303,501638.77899999,1.816,903A/903B,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50028214,6.10316665,3.779332
12,609c30f7-abec-4136-95ba-5413add34b5c,40cc7faa-18cb-4fde-8de9-8f3b52de9127,4401/4403,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,425391",1.623024,"1,623024",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203322.32,501838.234,1.871,4401/4403,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50210065,6.09886646,3.425391
13,e71e10c8-b5ef-46d9-840a-f6dd5e1c2b7f,5e61b88c-bbbe-48c7-b196-eb350ed9eb81,4251/4253,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,507472",0.148962,"0,148962",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202541.038,502310.74599999,1.815,4251/4253,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.5064155,6.08742843,2.507472
14,6533920a-5f3c-4d0e-b5f2-36e2ee53bc9e,1ddfe359-96ad-4b83-a9aa-ac060535cfec,4239/4241,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"2,492887",14.813354,"14,813354",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,202522.299,502304.18199999,1.88999999,4239/4241,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50635814,6.08715152,2.492887
15,f8e39a2e-46d1-4b4d-b367-198238bf428b,b8e2f43e-6549-4e25-8a44-20b1764d743d,4385/4387,01:09:00,60,Bestaand,603,a,603,603_a,Zwolle,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"3,304201",-10.513285,"-10,513285",Noord-Oost,NO,Overijssel,34,Baan,Drenthe,ProRail,Zwolle,ZL,PPLG,203224.603,501913.33799999,1.91999999,4385/4387,440,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Noord,52.50278422,6.09743831,3.304201
16,ed3aae45-1690-4df9-bf8e-73838e4ce86a,f6afd130-27a4-4a0a-8d2e-46cc6b0a0cb4,107A/109B,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"51,251628",-28.305893,"-28,305893",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,161755.02299999,383811.884,18.731,107A/109B,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44336024,5.48436214,51.251628
17,a7337929-c9ee-4f0f-9143-a6f767c70c3d,1e282bce-2383-496c-9900-393b62f6b669,233/235,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,526408",-64.422707,"-64,422707",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV_OOSTZIJDE,NCBG,162470.48,383925.522,17.916,233/235,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44437265,5.49465551,50.526408
18,9c14e86d-10df-4d35-842b-33f0aae4abe0,d64bf125-c188-4e6b-9b37-d13226596a83,187B/195A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,862378",-22.580122,"-22,580122",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,162137.416,383896.27799999,18.058,187B/195A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44411411,5.4898641,50.862378
19,e4d86e3c-ec97-4a54-85d9-f69cd181db99,be43fe5d-17f6-402d-b04e-99e8912b9621,241/245,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"50,484565",-73.092971,"-73,092971",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV_OOSTZIJDE,NCBG,162510.956,383924.253,17.86499999,241/245,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.4443607,5.49523769,50.484565
20,9cbbefb8-b470-4bba-bd36-1795071d63c3,b4b260e2-33ff-40a7-ab6e-fdcd28cbe3f1,113/115A,01:09:00,60,Bestaand,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,"51,076725",1.625117,"1,625117",Zuid,Z,Eindhoven,24,Baan,De Peel,ProRail,Eindhoven,EHV,PPLG,161919.945,383873.085,18.26899999,113/115A,300,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,ASSET Rail,Ja,Zuid-Oost,51.44390835,5.48673554,51.076725
