FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2010_100.1,400360,4,360,700,623,-77,4.805,-,1 - - - - -,2,,,"POLYGON ((141010.69099999964 599886.5909999982, 140648.05299999937 600201.8280000016, 140779.2650000006 600352.7699999996, 141141.90300000086 600037.5329999998, 141010.69099999964 599886.5909999982))"
trend_2010_100.2,400380,4,380,730,670,-60,3.636,-,1 - - - - -,2,,,"POLYGON ((141141.69099999964 600036.5920000002, 140867.27899999917 600275.1350000016, 140998.48999999836 600426.0769999996, 141272.90300000086 600187.5340000018, 141141.69099999964 600036.5920000002))"
trend_2010_100.3,400400,4,400,720,707,-13,3.167,-,1 - - - - -,2,,,"POLYGON ((141273.69099999964 600187.5920000002, 141034.67399999872 600395.3660000004, 141165.88599999994 600546.3079999983, 141404.90300000086 600338.5340000018, 141273.69099999964 600187.5920000002))"
trend_2010_100.4,400420,4,420,685,743,58,1.884,-,- - - - - -,1,,,"POLYGON ((141404.69099999964 600338.5920000002, 141262.50400000066 600462.193, 141393.71599999815 600613.1350000016, 141535.90300000086 600489.5340000018, 141404.69099999964 600338.5920000002))"
trend_2010_100.5,400440,4,440,650,751,101,-0.687,>2020,- - - - - -,3,,,"POLYGON ((141667.90300000086 600640.5340000018, 141719.7509999983 600595.4629999995, 141588.5390000008 600444.5210000016, 141536.69099999964 600489.5920000002, 141667.90300000086 600640.5340000018))"
trend_2010_100.6,400460,4,460,615,735,120,-6.973,>2020,- - - - - -,3,,,"POLYGON ((141798.90300000086 600791.5329999998, 142325.16200000048 600334.063000001, 142193.94999999925 600183.1209999993, 141667.69099999964 600640.5909999982, 141798.90300000086 600791.5329999998))"
trend_2010_100.7,400480,4,480,575,688,113,-13.96,2018,- - - - - -,3,,,"POLYGON ((141930.90300000086 600942.5329999998, 142984.47700000182 600026.6750000007, 142853.2650000006 599875.7329999991, 141799.69099999964 600791.5909999982, 141930.90300000086 600942.5329999998))"
trend_2010_100.8,400500,4,500,520,634,114,-16.125,2017,- - - - - -,3,,,"POLYGON ((142061.90300000086 601092.5340000018, 143278.87200000137 600034.6380000003, 143147.66000000015 599883.6959999986, 141930.69099999964 600941.5920000002, 142061.90300000086 601092.5340000018))"
trend_2010_100.9,400501,4,501,520,614,94,-19.266,2014,- - - - - -,3,,,"POLYGON ((142170.40900000185 601181.2930000015, 143434.37200000137 599727.2699999996, 143283.4299999997 599596.0579999983, 142019.46700000018 601050.0819999985, 142170.40900000185 601181.2930000015))"
trend_2010_100.10,400502,4,502,520,602,82,-20.6,2013,- - - - - -,3,,,"POLYGON ((142274.71599999815 601245.9820000008, 143426.65399999917 599538.1649999991, 143260.84600000083 599426.3260000013, 142108.90900000185 601134.1429999992, 142274.71599999815 601245.9820000008))"
trend_2010_100.11,400503,4,503,520,599,79,-21.443,2013,- - - - - -,3,,,"POLYGON ((142386.1160000004 601297.3990000002, 143359.60799999908 599386.8139999993, 143181.40700000152 599296.0159999989, 142207.9149999991 601206.6009999998, 142386.1160000004 601297.3990000002))"
trend_2010_100.12,400504,4,504,520,608,88,-20.471,2014,- - - - - -,3,,,"POLYGON ((142502.9539999999 601334.8900000006, 143203.10300000012 599411.245000001, 143015.1649999991 599342.8409999982, 142315.0150000006 601266.4860000014, 142502.9539999999 601334.8900000006))"
trend_2010_100.13,400520,4,520,550,695,145,-21.923,2016,- - - - - -,3,,,"POLYGON ((142691.9539999999 601401.8889999986, 143441.76399999857 599341.800999999, 143253.82600000128 599273.3969999999, 142504.0150000006 601333.4849999994, 142691.9539999999 601401.8889999986))"
trend_2010_100.14,400540,4,540,570,686,116,-22.397,2015,- - - - - -,3,,,"POLYGON ((142879.9539999999 601467.8900000006, 143645.9759999998 599363.2600000016, 143458.03799999878 599294.8559999987, 142692.0150000006 601399.4860000014, 142879.9539999999 601467.8900000006))"
trend_2010_100.15,703325,7,3325,44,90,46,7.849,-,- - - 4 5 6,1,,,"POLYGON ((102525.2659999989 519528.62000000104, 101746.21700000018 519624.27600000054, 101770.58999999985 519822.78500000015, 102549.6400000006 519727.12999999896, 102525.2659999989 519528.62000000104))"
