ID;GUID;NAAM;OPMERKINGEN;ZONE_NAAM;WABO;SGH;BEHEER_DERDEN;TYPE_ECOLOGISCHE_VERBINDINGSZO;BUURT_CODE;BUURT_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;WIJK_CODE;WIJK_OMSC;BEHEERGEBIEDEN_OMSC;COUNTER
4632192;{8F104DC6-61C1-46CC-859D-2E3921BC6EA9};Laakzone, deelgebied F;Uitvoering 2015 - 2016 gepland, eventueel mee met herinrichting Station Moerwijk;Laakzone;Ja;Ja;Nee;Ecologische verbindingszone;23;Spoorwijk;6;Laak;38;Laakkwartier en Spoorwijk;;179
4632193;{56AD6F43-4342-4AEA-8DB2-126105ACF2D2};Zone Guntersteinweg;;Erasmuszone;Ja;Ja;Nee;Ecologische verbindingszone;39;Moerwijk-zuid;2;Escamp;36;Moerwijk;Guntersteinweg;180
4632194;{46F04800-0CCA-4C17-BC4E-86FF769280BD};Zone Moezel - Taag;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;117;De Rivieren;8;Leidschenveen-Ypenburg;43;Forepark;;181
4632195;{68870972-D43B-4CA9-9A9B-64ABD640313F};Zone Leidschenveen, deelgebied H;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;119;De Velden;8;Leidschenveen-Ypenburg;44;Leidschenveen;;182
4632196;{AB64888A-8342-40D5-BA9B-C7778FBB1BF4};Zone Leidschenveen, deelgebied O;Struweel op helling verder ontwikkelen;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;183
4632202;{E5A400C2-CB39-4FE3-AF9D-E0D73F01F54F};Zone Ypenburg;;Ypenburgzone;Ja;Ja;Nee;Ecologische verbindingszone;112;Morgenweide;8;Leidschenveen-Ypenburg;42;Ypenburg;;184
4632203;{5E6E5B59-873E-43BD-AC0C-ED330FF0CDBB};Zone Laan van Hoornwijck;;Ypenburgzone;Ja;Ja;Nee;Ecologische verbindingszone;108;Bosweide;8;Leidschenveen-Ypenburg;42;Ypenburg;;185
4632204;{C4A58905-DF8C-4B45-9D09-34467FD58FEC};Groene Assen;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;96;Zijden, Steden en Zichten;2;Escamp;33;Bouwlust;;186
4632205;{6DB0B8C4-FA39-4785-8ABF-927B6292FE0D};Houtzone, deelgebied A;Ecologische oever aanleggen (oever verlagen).gras ecologisch beheren. struweel aanleggen;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;79;Van Hoytemastraat e.o.;7;Haagse Hout;4;Benoordenhout;;187
4632206;{FEF4B8D7-CB8F-4C7A-9D22-A2B18C51F3D4};Houtzone, deelgebied A;Ecologische oever aanleggen (oever verlagen).gras ecologisch beheren. struweel aanleggen;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;79;Van Hoytemastraat e.o.;7;Haagse Hout;4;Benoordenhout;;188
4632207;{785EA3D1-87DB-448A-B2B3-CBD42CACC38E};Zone Oude Middenweg;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;119;De Velden;8;Leidschenveen-Ypenburg;44;Leidschenveen;;189
4632208;{E594E940-543A-4248-8524-5BB5365801A0};Zone Leidschenveen, deelgebied X;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;190
4632209;{8C2E14A0-BDD0-4157-A46A-0107AD68665D};Zone Leidschenveen, deelgebied X;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;191
4632197;{3864C4E8-B184-42F0-BE8B-1335E813C1F1};Zone Leidschenveen, deelgebied V;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;192
4632198;{733E32F4-E6C3-4057-A35F-148B5F0C5111};Zone Leidschenveen, deelgebied V;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;193
4632222;{6481D223-77E7-4E60-828C-41823876634E};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Zevenwoudenlaan;244
4632223;{166CD234-38B9-4064-9D21-8A7FC259BBDB};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Tomatenlaan;245
4632224;{1B2AD268-A544-4526-8524-F7B7380BD5E6};Zone Tomatenlaan;;Wateringse Veldzone;Ja;Ja;Nee;Ecologische verbindingszone;102;Hoge Veld;2;Escamp;40;Wateringse Veld;Tomatenlaan;246
4632225;{EF4C4214-7B1C-4A86-B1EE-16EF538510F1};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;96;Zijden, Steden en Zichten;2;Escamp;33;Bouwlust;;247
4632226;{4D5AAF1F-E334-45DF-8328-D2E5BA26D508};Zone Lozerlaan;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;97;Kraayenstein;1;Loosduinen;16;Kraayenstein en Vroondaal;;248
4632227;{1247643E-6A53-4B7D-9A6B-8FAFBDD841F4};Lozerlaan-Middenberm;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;97;Kraayenstein;1;Loosduinen;16;Kraayenstein en Vroondaal;;249
4632228;{372E476A-AA05-4914-ABB7-40CF0F9418BF};Lozerlaan-Middenberm;;Groene Assen Zuidwestzone;Ja;Ja;Nee;Ecologische verbindingszone;85;Kerketuinen en Zichtenburg;1;Loosduinen;17;Loosduinen;;250
