FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
1e_herziening_serie4_5_index.1,01 lanaye_1893,,,"POLYGON ((173506.8900000006 305282.8299999982, 173506.8900000006 312292.43499999866, 178457.27800000086 312292.43499999866, 178457.27800000086 305282.8299999982, 173506.8900000006 305282.8299999982))"
1e_herziening_serie4_5_index.2,03 itteren_1894,,,"POLYGON ((174557.6409999989 320261.5150000006, 174557.6409999989 325297.5150000006, 182576.6409999989 325297.5150000006, 182576.6409999989 320261.5150000006, 174557.6409999989 320261.5150000006))"
1e_herziening_serie4_5_index.3,04 stein_1895,,,"POLYGON ((176633.53299999982 325266.1229999997, 176633.53299999982 333287.1229999997, 182094.53299999982 333287.1229999997, 182094.53299999982 325266.1229999997, 176633.53299999982 325266.1229999997))"
1e_herziening_serie4_5_index.4,05 berg_1896,,,"POLYGON ((178700.65399999917 333252.87000000104, 178700.65399999917 341764.34600000083, 184693.8209999986 341764.34600000083, 184693.8209999986 333252.87000000104, 178700.65399999917 333252.87000000104))"
1e_herziening_serie4_5_index.5,09 horn_1903,,,"POLYGON ((192801.6950000003 356896.1030000001, 192801.6950000003 362002.0399999991, 200831.06599999964 362002.0399999991, 200831.06599999964 356896.1030000001, 192801.6950000003 356896.1030000001))"
1e_herziening_serie4_5_index.6,10 neer_1903,,,"POLYGON ((195809.70600000024 361915.2329999991, 195809.70600000024 366951.5229999982, 203881.99300000072 366951.5229999982, 203881.99300000072 361915.2329999991, 195809.70600000024 361915.2329999991))"
1e_herziening_serie4_5_index.7,11 kessel_1903,,,"POLYGON ((199869.21599999815 366899.4910000004, 199869.21599999815 372108.4910000004, 207914.21599999815 372108.4910000004, 207914.21599999815 366899.4910000004, 199869.21599999815 366899.4910000004))"
1e_herziening_serie4_5_index.8,16 vierlingsbeek_1900,,,"POLYGON ((196086.28500000015 398105.4239999987, 196086.28500000015 403157.37900000066, 204093.05900000036 403157.37900000066, 204093.05900000036 398105.4239999987, 196086.28500000015 398105.4239999987))"
1e_herziening_serie4_5_index.9,17 sambeek_1900,,,"POLYGON ((193101.84600000083 403112.4910000004, 193101.84600000083 408190.3200000003, 201134.28400000185 408190.3200000003, 201134.28400000185 403112.4910000004, 193101.84600000083 403112.4910000004))"
1e_herziening_serie4_5_index.10,20 linden_1898,,,"POLYGON ((181670.59800000116 412319.2820000015, 181670.59800000116 420179.33199999854, 186738.22700000182 420179.33199999854, 186738.22700000182 412319.2820000015, 181670.59800000116 412319.2820000015))"
1e_herziening_serie4_5_index.11,21 grave_1898,,,"POLYGON ((173194.38599999994 416258.7419999987, 173194.38599999994 421799.4299999997, 181761.48900000006 421799.4299999997, 181761.48900000006 416258.7419999987, 173194.38599999994 416258.7419999987))"
1e_herziening_serie4_5_index.12,22 ravenstein_1897,,,"POLYGON ((168754.32400000095 421775.5780000016, 168754.32400000095 427838.4360000007, 177297.73600000143 427838.4360000007, 177297.73600000143 421775.5780000016, 168754.32400000095 421775.5780000016))"
1e_herziening_serie4_5_index.13,23 megen_1898,,,"POLYGON ((160239.7650000006 422571.2419999987, 160239.7650000006 428587.48699999973, 168802.73200000077 428587.48699999973, 168802.73200000077 422571.2419999987, 160239.7650000006 422571.2419999987))"
1e_herziening_serie4_5_index.14,30 zaltbommel_1875,,,"POLYGON ((144255.46200000122 421955.76199999824, 144255.46200000122 428021.17599999905, 152281.3999999985 428021.17599999905, 152281.3999999985 421955.76199999824, 144255.46200000122 421955.76199999824))"
1e_herziening_serie4_5_index.15,31 driel_1883,,,"POLYGON ((149184.07299999893 413918.8969999999, 149184.07299999893 421992.8969999999, 154219.07299999893 421992.8969999999, 154219.07299999893 413918.8969999999, 149184.07299999893 413918.8969999999))"
1e_herziening_serie4_5_index.16,32 hedel_1883,,,"POLYGON ((144195.1169999987 413967.1160000004, 144195.1169999987 422022.35500000045, 149253.3289999999 422022.35500000045, 149253.3289999999 413967.1160000004, 144195.1169999987 413967.1160000004))"
1e_herziening_serie4_5_index.17,33 heusden_1885,,,"POLYGON ((136165.22100000083 413020.1030000001, 136165.22100000083 418062.1030000001, 144237.22100000083 418062.1030000001, 144237.22100000083 413020.1030000001, 136165.22100000083 413020.1030000001))"
1e_herziening_serie4_5_index.18,34 wijk_1884,,,"POLYGON ((136204.78500000015 418013.9539999999, 136204.78500000015 423059.23099999875, 144251.04300000146 423059.23099999875, 144251.04300000146 418013.9539999999, 136204.78500000015 418013.9539999999))"
1e_herziening_serie4_5_index.19,35 brakel_1873,,,"POLYGON ((131244.5249999985 420061.4750000015, 131244.5249999985 428105.4750000015, 136282.5249999985 428105.4750000015, 136282.5249999985 420061.4750000015, 131244.5249999985 420061.4750000015))"
1e_herziening_serie4_5_index.20,36 gorinchem_1884,,,"POLYGON ((123265.12799999863 422096.5020000003, 123265.12799999863 428145.8200000003, 131285.28299999982 428145.8200000003, 131285.28299999982 422096.5020000003, 123265.12799999863 422096.5020000003))"
1e_herziening_serie4_5_index.21,01 lanaye_1893,,,"POLYGON ((173506.8900000006 305282.8299999982, 173506.8900000006 312292.43499999866, 178457.27800000086 312292.43499999866, 178457.27800000086 305282.8299999982, 173506.8900000006 305282.8299999982))"
1e_herziening_serie4_5_index.22,03 itteren_1894,,,"POLYGON ((174557.6409999989 320261.5150000006, 174557.6409999989 325297.5150000006, 182576.6409999989 325297.5150000006, 182576.6409999989 320261.5150000006, 174557.6409999989 320261.5150000006))"
1e_herziening_serie4_5_index.23,04 stein_1895,,,"POLYGON ((176633.53299999982 325266.1229999997, 176633.53299999982 333287.1229999997, 182094.53299999982 333287.1229999997, 182094.53299999982 325266.1229999997, 176633.53299999982 325266.1229999997))"
1e_herziening_serie4_5_index.24,05 berg_1896,,,"POLYGON ((178700.65399999917 333252.87000000104, 178700.65399999917 341764.34600000083, 184693.8209999986 341764.34600000083, 184693.8209999986 333252.87000000104, 178700.65399999917 333252.87000000104))"
1e_herziening_serie4_5_index.25,09 horn_1903,,,"POLYGON ((192801.6950000003 356896.1030000001, 192801.6950000003 362002.0399999991, 200831.06599999964 362002.0399999991, 200831.06599999964 356896.1030000001, 192801.6950000003 356896.1030000001))"
1e_herziening_serie4_5_index.26,10 neer_1903,,,"POLYGON ((195809.70600000024 361915.2329999991, 195809.70600000024 366951.5229999982, 203881.99300000072 366951.5229999982, 203881.99300000072 361915.2329999991, 195809.70600000024 361915.2329999991))"
1e_herziening_serie4_5_index.27,11 kessel_1903,,,"POLYGON ((199869.21599999815 366899.4910000004, 199869.21599999815 372108.4910000004, 207914.21599999815 372108.4910000004, 207914.21599999815 366899.4910000004, 199869.21599999815 366899.4910000004))"
1e_herziening_serie4_5_index.28,16 vierlingsbeek_1900,,,"POLYGON ((196086.28500000015 398105.4239999987, 196086.28500000015 403157.37900000066, 204093.05900000036 403157.37900000066, 204093.05900000036 398105.4239999987, 196086.28500000015 398105.4239999987))"
1e_herziening_serie4_5_index.29,17 sambeek_1900,,,"POLYGON ((193101.84600000083 403112.4910000004, 193101.84600000083 408190.3200000003, 201134.28400000185 408190.3200000003, 201134.28400000185 403112.4910000004, 193101.84600000083 403112.4910000004))"
1e_herziening_serie4_5_index.30,20 linden_1898,,,"POLYGON ((181670.59800000116 412319.2820000015, 181670.59800000116 420179.33199999854, 186738.22700000182 420179.33199999854, 186738.22700000182 412319.2820000015, 181670.59800000116 412319.2820000015))"
1e_herziening_serie4_5_index.31,21 grave_1898,,,"POLYGON ((173194.38599999994 416258.7419999987, 173194.38599999994 421799.4299999997, 181761.48900000006 421799.4299999997, 181761.48900000006 416258.7419999987, 173194.38599999994 416258.7419999987))"
1e_herziening_serie4_5_index.32,22 ravenstein_1897,,,"POLYGON ((168754.32400000095 421775.5780000016, 168754.32400000095 427838.4360000007, 177297.73600000143 427838.4360000007, 177297.73600000143 421775.5780000016, 168754.32400000095 421775.5780000016))"
1e_herziening_serie4_5_index.33,23 megen_1898,,,"POLYGON ((160239.7650000006 422571.2419999987, 160239.7650000006 428587.48699999973, 168802.73200000077 428587.48699999973, 168802.73200000077 422571.2419999987, 160239.7650000006 422571.2419999987))"
1e_herziening_serie4_5_index.34,30 zaltbommel_1875,,,"POLYGON ((144255.46200000122 421955.76199999824, 144255.46200000122 428021.17599999905, 152281.3999999985 428021.17599999905, 152281.3999999985 421955.76199999824, 144255.46200000122 421955.76199999824))"
1e_herziening_serie4_5_index.35,31 driel_1883,,,"POLYGON ((149184.07299999893 413918.8969999999, 149184.07299999893 421992.8969999999, 154219.07299999893 421992.8969999999, 154219.07299999893 413918.8969999999, 149184.07299999893 413918.8969999999))"
1e_herziening_serie4_5_index.36,32 hedel_1883,,,"POLYGON ((144195.1169999987 413967.1160000004, 144195.1169999987 422022.35500000045, 149253.3289999999 422022.35500000045, 149253.3289999999 413967.1160000004, 144195.1169999987 413967.1160000004))"
1e_herziening_serie4_5_index.37,33 heusden_1885,,,"POLYGON ((136165.22100000083 413020.1030000001, 136165.22100000083 418062.1030000001, 144237.22100000083 418062.1030000001, 144237.22100000083 413020.1030000001, 136165.22100000083 413020.1030000001))"
1e_herziening_serie4_5_index.38,34 wijk_1884,,,"POLYGON ((136204.78500000015 418013.9539999999, 136204.78500000015 423059.23099999875, 144251.04300000146 423059.23099999875, 144251.04300000146 418013.9539999999, 136204.78500000015 418013.9539999999))"
