Volgnummer,Erkenning
9285,APK Lichte voertuigen
9285,Bedrijfsvoorraad
9285,Handelaarskenteken
9285,Tenaamstellen
9895,APK Lichte voertuigen
9895,Bedrijfsvoorraad
9895,Handelaarskenteken
9895,Tenaamstellen
12559,Fotograaf bemand
12611,APK Lichte voertuigen
12611,APK Zware voertuigen
12611,Bedrijfsvoorraad
12611,Controleapparaten
12611,Handelaarskenteken
12611,Tenaamstellen
12714,APK Zware voertuigen
12714,Bedrijfsvoorraad
12714,Handelaarskenteken
12905,Bedrijfsvoorraad
12905,Tenaamstellen
12905,Uitvoer
13079,APK Lichte voertuigen
13079,APK Zware voertuigen
13079,Bedrijfsvoorraad
13079,Handelaarskenteken
13079,Tenaamstellen
13355,APK Lichte voertuigen
13355,APK Zware voertuigen
13355,Bedrijfsvoorraad
13355,Controleapparaten
13355,Handelaarskenteken
13424,Bedrijfsvoorraad
13424,Handelaarskenteken
13486,Bedrijfsvoorraad
13486,Handelaarskenteken
13486,Tenaamstellen
13486,Uitvoer
13486,Versnelde inschrijving
13716,Bedrijfsvoorraad
13716,Handelaarskenteken
13716,Tenaamstellen
13716,Versnelde inschrijving
13745,Bedrijfsvoorraad
13745,Tenaamstellen
13750,Fotograaf bemand
13751,Bedrijfsvoorraad
13751,Handelaarskenteken
13815,Bedrijfsvoorraad
13815,Handelaarskenteken
13815,Tenaamstellen
13815,Uitvoer
13860,APK Lichte voertuigen
13860,Bedrijfsvoorraad
13860,Handelaarskenteken
13860,Tenaamstellen
13991,APK Lichte voertuigen
13991,Bedrijfsvoorraad
13991,Handelaarskenteken
13991,Tenaamstellen
14141,APK Lichte voertuigen
14141,Bedrijfsvoorraad
14141,Handelaarskenteken
14141,Tenaamstellen
14142,APK Lichte voertuigen
14142,Bedrijfsvoorraad
14142,Handelaarskenteken
14142,Tenaamstellen
14143,APK Lichte voertuigen
14143,Handelaarskenteken
14261,Bedrijfsvoorraad
14261,Handelaarskenteken
14427,APK Lichte voertuigen
14427,Bedrijfsvoorraad
14427,Handelaarskenteken
14427,Tenaamstellen
14502,APK Lichte voertuigen
14508,Fotograaf bemand
14511,Bedrijfsvoorraad
14511,Handelaarskenteken
14511,Ombouwmelding Snorfiets
14511,Tenaamstellen
14530,Bedrijfsvoorraad
14530,Handelaarskenteken
14530,Tenaamstellen
14559,Bedrijfsvoorraad
14559,Handelaarskenteken
14559,Tenaamstellen
14559,Uitvoer
14807,Bedrijfsvoorraad
14807,Handelaarskenteken
14871,Bedrijfsvoorraad
14871,Handelaarskenteken
14871,Tenaamstellen
15009,APK Lichte voertuigen
15009,Bedrijfsvoorraad
15009,Handelaarskenteken
15009,Tenaamstellen
15407,Bedrijfsvoorraad
15407,Handelaarskenteken
15411,APK Lichte voertuigen
15411,Bedrijfsvoorraad
15411,Handelaarskenteken
15411,Tenaamstellen
15453,APK Lichte voertuigen
15453,Bedrijfsvoorraad
15453,Handelaarskenteken
15453,Tenaamstellen
15502,APK Lichte voertuigen
15502,Bedrijfsvoorraad
15502,Handelaarskenteken
15572,APK Lichte voertuigen
15572,Bedrijfsvoorraad
15572,Handelaarskenteken
15572,Tenaamstellen
15572,Uitvoer
15603,APK Lichte voertuigen
15603,Bedrijfsvoorraad
15824,APK Lichte voertuigen
15824,Bedrijfsvoorraad
15824,Handelaarskenteken
15824,Tenaamstellen
15936,APK Lichte voertuigen
15936,Bedrijfsvoorraad
15936,Handelaarskenteken
15936,Tenaamstellen
16072,APK Lichte voertuigen
16072,Bedrijfsvoorraad
16072,Handelaarskenteken
16072,Tenaamstellen
16358,APK Lichte voertuigen
16358,Bedrijfsvoorraad
16358,Handelaarskenteken
16358,Tenaamstellen
16358,Uitvoer
16402,Bedrijfsvoorraad
16402,Handelaarskenteken
16402,Tenaamstellen
16402,Versnelde inschrijving
16403,Bedrijfsvoorraad
16403,Handelaarskenteken
16403,Tenaamstellen
16407,APK Lichte voertuigen
16407,Bedrijfsvoorraad
16407,Export dienstverlening
16407,Handelaarskenteken
16407,Tenaamstellen
16407,Uitvoer
16418,APK Lichte voertuigen
16418,Bedrijfsvoorraad
16418,Handelaarskenteken
16418,Tenaamstellen
16418,Uitvoer
16423,APK Lichte voertuigen
16423,Bedrijfsvoorraad
16423,Handelaarskenteken
16423,Tenaamstellen
16429,APK Zware voertuigen
16429,Bedrijfsvoorraad
16429,Handelaarskenteken
16429,Tenaamstellen
16451,Bedrijfsvoorraad
16451,Handelaarskenteken
16451,Tenaamstellen
16500,Bedrijfsvoorraad
16500,Handelaarskenteken
16500,Tenaamstellen
16500,Uitvoer
16552,APK Lichte voertuigen
16648,APK Lichte voertuigen
16648,Bedrijfsvoorraad
16648,Handelaarskenteken
16648,Tenaamstellen
16698,APK Lichte voertuigen
16698,Bedrijfsvoorraad
16698,Export dienstverlening
16698,Handelaarskenteken
16698,Tenaamstellen
16698,Uitvoer
16756,Bedrijfsvoorraad
16756,Handelaarskenteken
16821,Bedrijfsvoorraad
16821,Handelaarskenteken
16821,Tenaamstellen
16833,Bedrijfsvoorraad
16833,Handelaarskenteken
16837,APK Lichte voertuigen
16837,Bedrijfsvoorraad
16837,Handelaarskenteken
16837,Tenaamstellen
16854,Bedrijfsvoorraad
16854,Handelaarskenteken
16884,APK Zware voertuigen
16904,Handelaarskenteken
16948,APK Lichte voertuigen
16948,Bedrijfsvoorraad
16948,Handelaarskenteken
16948,Tenaamstellen
16992,APK Lichte voertuigen
16992,Bedrijfsvoorraad
16992,Handelaarskenteken
16994,Bedrijfsvoorraad
16994,Handelaarskenteken
17026,Handelaarskenteken
17090,Bedrijfsvoorraad
17090,Handelaarskenteken
17090,Tenaamstellen
17090,Uitvoer
17090,Versnelde inschrijving
17164,APK Lichte voertuigen
17164,Bedrijfsvoorraad
17164,Handelaarskenteken
17280,APK Lichte voertuigen
17281,APK Lichte voertuigen
17282,APK Lichte voertuigen
17283,APK Lichte voertuigen
17356,Bedrijfsvoorraad
17356,Handelaarskenteken
17356,Tenaamstellen
17392,APK Lichte voertuigen
17392,Bedrijfsvoorraad
17392,Handelaarskenteken
17392,Tenaamstellen
17410,Bedrijfsvoorraad
17410,Handelaarskenteken
17546,APK Lichte voertuigen
17546,Bedrijfsvoorraad
17546,Handelaarskenteken
17546,Tenaamstellen
17718,Bedrijfsvoorraad
17718,Handelaarskenteken
17750,Bedrijfsvoorraad
17750,Demontage
17750,Handelaarskenteken
18244,APK Lichte voertuigen
