WKM_ZAAK,WKM_DATUMCREATIE,WKM_HOOFDCAT,WKM_SUBCAT,WKM_SUBSUBCAT,ZK_DATUMAFGEHANDELD,STRAATNAAM,POSTCODE,WOONPLAATS,X_RD,Y_RD,longitude,latitude
"698092","20111128","Groenvoorziening ","Anders, mijn keuze staat er niet bij","","20111205","Nieuweweg","3314JS","Dordrecht","105902.701","423618.198","4.67542885057185","51.799043868473234"
"698104","20111128","Straten, Stoepen, Wegen en Meubilair","Hoge of Lage Hekken","Er is schade aan een hek anders dan hierboven","20111221","Bilderdijkstraat","3314RB","Dordrecht","104965.351","423967.285","4.661790537334266","51.8020981619016"
"698124","20111128","Straatverlichting en Verkeerslichten","Anders, mijn keuze staat er niet bij ","","20111129","S.M. Hugo van Gijnweg","3317JJ","Dordrecht","105397.483","423019.481","4.668190932225083","51.79361805600189"
"698342","20111128","Vuil en Containers","Zwerfvuil","Er ligt zwerfvuil op straat","20111128","Volkerakweg","3313BN","Dordrecht","108577.125","425413.79","4.713956904966551","51.81541114845514"
"698391","20111128","Vuil en Containers","Zwerfvuil","Er ligt zwerfvuil op straat","20111128","Hermann Hesse-erf","3315BJ","Dordrecht","109533.125","423393.604","4.728085647375386","51.79733268562445"
"698424","20111128","Vuil en Containers","Grofvuil","Ik wil graag dat (illegaal) gedumpt vuil wordt opgeruimd","","Balsa","3315NM","Dordrecht","108548.169","424928.606","4.713602132490684","51.81104798790028"
"698443","20111128","Straten, Stoepen, Wegen en Meubilair","Tegels en Klinkers","Er is een gevaarlijk gat ","20111128","Voorstraat","3311ET","Dordrecht","105222.486","425290.43","4.665327956594275","51.81401326688593"
"698513","20111128","Putten en Huisaansluiting Riool","Anders, mijn keuze staat er niet bij ","","20111206","Johanna Naber-erf","3315HE","Dordrecht","110114.271","423779.514","4.736459720320826","51.8008482216971"
"698790","20111129","Dieren","Hondenuitlaatplaats","Anders, mijn keuze staat er niet bij ","","Pearl Buck-erf","3315BD","Dordrecht","109327.495","423574.742","4.725081017003458","51.79894395203312"
"698882","20111129","Groenvoorziening ","Anders, mijn keuze staat er niet bij","","20111215","Palissander","3315MP","Dordrecht","108230.116","424198.987","4.709088949420196","51.80446372805964"
"699088","20111129","Groenvoorziening ","Plantsoenen","Anders, mijn keuze staat er niet bij ","20111205","Nijhofflaan","3319BP","Dordrecht","107481.443","423517.149","4.698328361344179","51.79827225690355"
"699125","20111129","Dieren","We hebben overlast van ratten","","20111129","Amazone","3315WV","Dordrecht","107948.695","424705.183","4.704940133521307","51.808989686135824"
"699188","20111129","Vuil en Containers","Anders, mijn keuze staat er niet bij ","","20111129","Loevestein","3328JK","Dordrecht","105272.324","421015.091","4.666664498014612","51.775591811758154"
"699397","20111129","Putten en Huisaansluiting Riool","Putten op straat","Anders, mijn keuze staat er niet bij ","20111205","Singel","3311PE","Dordrecht","105959.938","425047.257","4.676056122320201","51.81189298079237"
"699546","20111129","Straatverlichting en Verkeerslichten","Straatverlichting","De lamp brandt niet ","20111213","Merbau","3315RV","Dordrecht","108558.852","424123.805","4.713865017955897","51.80381544778066"
"699582","20111130","Straten, Stoepen, Wegen en Meubilair","Tegels en Klinkers","Er is een gevaarlijk gat ","20111201","Fuutstraat","3312RJ","Dordrecht","107039.371","424559.296","4.69177577673532","51.807601087208525"
"699628","20111130","Borden (verkeers-, omleidings- straatnaamborden e.d.)","Anders, mijn keuze staat er niet bij ","","20111201","Rijksstraatweg","3316EH","Dordrecht","103930.387","420938.669","4.647233119901678","51.77478385539709"
"699638","20111130","Groenvoorziening ","Anders, mijn keuze staat er niet bij","","20111215","Bankastraat","3312GC","Dordrecht","106611.562","424610.991","4.685565811783633","51.808028788554864"
"699646","20111130","Vuil en Containers","Zwerfvuil","Er ligt zwerfvuil in het plantsoen","20111201","Toulonselaan","3311LT","Dordrecht","106042.015","424745.527","4.677288938493354","51.80918830312842"
"699668","20111130","Borden (verkeers-, omleidings- straatnaamborden e.d.)","Anders, mijn keuze staat er niet bij ","","20111201","Bosstraat","3317KM","Dordrecht","105414.038","422734.465","4.6684716865355655","51.791057856250234"
"699830","20111130","Straten, Stoepen, Wegen en Meubilair","Tegels en Klinkers","De tegels liggen los of ongelijk","20111207","Nagtegaalplaats","3312AC","Dordrecht","106615.362","425226.871","4.6855348053829164","51.81356452015318"
"699848","20111130","Straten, Stoepen, Wegen en Meubilair","Tegels en Klinkers","De tegels liggen los of ongelijk","20111202","Thorbeckeweg","3317EA","Dordrecht","105043.911","423071.463","4.6630586533326746","51.79405373776192"
"699918","20111130","Vuil en Containers","Glasbakken","Er ligt glas naast / onder de container","20111130","Boomstraat","3311TC","Dordrecht","105585.954","425900.188","4.670511478205065","51.819525922217174"
"700399","20111201","Straatverlichting en Verkeerslichten","Straatverlichting","De lamp brandt niet ","20111207","Kilwijkstraat","3311WN","Dordrecht","104984.398","424774.464","4.661950043035492","51.80935460535445"
"700420","20111201","Vuil en Containers","Anders, mijn keuze staat er niet bij ","","20111202","Voorstraat","3311ER","Dordrecht","105684.516","425820.155","4.671952296518391","51.818815326363826"
"700427","20111201","Groenvoorziening ","Bomen","Anders, mijn keuze staat er niet bij","20111207","Boris Pasternak-erf","3315BV","Dordrecht","109553.116","423562.462","4.7283532680181315","51.79885199031911"
"700472","20111201","Vuil en Containers","Grofvuil","Er slingert een winkelwagentje(s) rond op straat","20111202","Eisingahof","3318AM","Dordrecht","106039.196","422648.749","4.677544540631768","51.79034262071157"
