NUMMER,PLAATS,AFWIJKING,AFLEZING,MAAIVELD,STIJGBUIS,OPMERKINGEN,JAARNR,WEEKNR,DDMUTATIE,STATUS
"1,045",Veerplein 134a,,1,0,0,tegenover 134a,"2,017",52,28/12/2017,v
"1,046",Veerplein hema,,1,,,ingang hema,"2,017",52,28/12/2017,v
"1,051",Waalstraat,,1,0,,Stadhuis,"2,017",52,28/12/2017,v
"1,052",Waalstraat 63,,1,0,0,op de hoek,"2,017",52,28/12/2017,v
"1,010",Struyckstraat 2,,0,-1,-1,,"2,017",52,28/12/2017,v
"1,006",Jacob v.d. Wintstraat 2,,0,-2,-2,achterzijde,"2,017",52,28/12/2017,v
"1,003",Groeneweg (terr. gemaal),,1,-2,-2,,"2,017",52,28/12/2017,v
"1,024",Markgraaflaan 6,,0,-2,-2,,"2,017",52,28/12/2017,v
"1,025",Groeneweg  32,,1,-2,-2,trottoir overzijde,"2,017",52,28/12/2017,v
"1,026",Burg Pruissingel 56,,0,-2,-2,,"2,017",52,28/12/2017,v
"1,023",HR Holststraat 19,,1,-1,-1,,"2,017",52,28/12/2017,v
"1,022",Vondelstraat/Brederostraat 25,,0,-1,-1,,"2,017",52,28/12/2017,v
"1,021",Vondelstraat/Huijgenstraat,,1,-1,-1,trottoir overzijde,"2,017",52,28/12/2017,v
"1,013",Billitonlaan,,1,-1,-1,,"2,017",52,28/12/2017,v
"1,040",Riouwlaan 74,,1,-1,-1,,"2,017",52,28/12/2017,v
"1,001",Floreslaan/Broekweg 154,,1,-1,-1,,"2,017",52,28/12/2017,v
"1,035",Van Heutzpark 22,,0,-1,-1,rijbaan,"2,017",52,28/12/2017,v
"1,034",Van Heutzpark 29,,0,-1,-1,trottoir,"2,017",52,28/12/2017,v
"1,038",Van Heutzpark 44,,0,-1,-1,,"2,017",52,28/12/2017,v
"1,027",Havenstraat 14a,,1,2,2,,"2,017",52,28/12/2017,v
"1,028",Havenstraat 46,,0,2,2,,"2,017",52,28/12/2017,v
"3,006",Pr. Hendrikstraat 124,,1,1,1,,"2,017",52,28/12/2017,v
"3,007",Pr. Hendrikstraat 34,,1,1,1,,"2,017",52,28/12/2017,v
"3,008",Pr. Hendrikstraat 2,,1,1,1,,"2,017",52,28/12/2017,v
"3,001",Galgkade,,1,3,3,gemaal,"2,017",52,28/12/2017,v
"3,012",Mercuriusstraat 15c,,1,0,0,,"2,017",52,28/12/2017,v
"3,013",Edisonstraat 7,,0,-1,-1,in trottoir,"2,017",52,28/12/2017,v
"3,017",James Wattweg (zuid),,0,0,-1,,"2,017",52,28/12/2017,v
"3,009",Maassluissedijk PB1,,2,4,4,,"2,017",52,28/12/2017,v
"3,010",Maassluissedijk PB2,,3,4,4,,"2,017",52,28/12/2017,v
"3,011",Maassluissedijk PB Oud,,5,4,5,,"2,017",52,28/12/2017,v
"3,002",Hoekerstraat 11,,0,4,4,,"2,017",52,28/12/2017,v
"2,010",Sam. Esmeijerstraat 89b,,1,-2,-2,in bosjes,"2,017",52,28/12/2017,v
"2,012",Mr. Verschuurstraat,,1,-2,-1,fietspad naar Marathonweg,"2,017",52,28/12/2017,v
"2,022",Drs. Stijkelstraat 60, ,1,-2,-1,,"2,017",52,28/12/2017,v
"2,007",Prof. Rutgersstraat,,0,-1,-2,,"2,017",52,28/12/2017,v
"2,005",Coornhertstraat,,0,-2,-1,,"2,017",52,28/12/2017,v
"2,019",vossiusstraat,,0,-2,-2,garage to 190,"2,017",52,28/12/2017,v
"2,020",vossiusstraat naast 20,,0,-2,-2,,"2,017",52,28/12/2017,v
"2,021",van baerlestraat,,1,-2,-2,garage to 172,"2,017",52,28/12/2017,v
"2,030",van baerlestraat,,0,,,Parkeerplaats achter Albert Hein,"2,017",52,28/12/2017,v
"2,031",dr. Wiardi Beckmansingel 10,,,,,ingang Albert Hein,"2,017",52,28/12/2017,v
"2,032",Erasmusplein,,,,,"links naast school, in gras","2,017",52,28/12/2017,v
"2,033",Tussenpad,,,,,padje links ondr boom,"2,017",52,28/12/2017,v
"2,034",Marnixlaan,,1,,,Voor school in pad,"2,017",52,28/12/2017,v
"2,004",Roemer Visscherstraat,,1,-2,-2,,"2,017",52,28/12/2017,v
"2,016",Frank v Borsselenstraat,,0,-1,-1,voor trap,"2,017",52,28/12/2017,v
"2,013",Boerhaavestraat.,,,-2,-1,TNO,"2,017",52,28/12/2017,v
"2,003",s-Gravensandestraat 12,,1,-2,-2,,"2,017",52,28/12/2017,v
"2,001",Musschenbroekstraat 12,,1,-2,-2,,"2,017",52,28/12/2017,v
"2,002",Meijerstraat 16,,1,-1,-1,,"2,017",52,28/12/2017,v
"2,014",Van Boisotstraat,,1,-2,-2,,"2,017",52,28/12/2017,v
"2,015",Claudius Civiluslaan 33,,0,-1,-1,trottoir overzijde,"2,017",52,28/12/2017,v
"2,006",Rondom West,,1,-1,-1,,"2,017",52,28/12/2017,v
"5,001",Hargapad Noord,werk,,-1,-1,,"2,017",52,28/12/2017,v
"5,013",vd Duijnstraat 15,,0,-1,-1,,"2,017",52,28/12/2017,v
"5,003",Narcisplein 10,,1,-1,-1,overzijde in plantsoen,"2,017",52,28/12/2017,v
"4,033",Schiedamseweg 96,,1,0,0,trottoir zuidzijde,"2,017",52,28/12/2017,v
"4,034",Schiedamseweg 120,,1,0,0,trottoir zuidzijde,"2,017",52,28/12/2017,v
"4,002",Boslaan 1,,0,0,0,Spoorsingel 107,"2,017",52,28/12/2017,v
"4,003",Binnensingel 205,,1,1,1,groenstook,"2,017",52,28/12/2017,v
"4,013",Spoorsingel,,2,0,1,TNO,"2,017",52,28/12/2017,v
"4,004",1e Van Leijden Gaelstraat 19,,1,0,1,zijkant pand,"2,017",52,28/12/2017,v
"4,012",Merwedehof 13,,1,0,0,,"2,017",52,28/12/2017,v
"1,018",Rembrandtstraat 15,,1,-1,-1,trottoir overzijde,"2,017",52,28/12/2017,v
"1,017",Groen v Prinstererstraat 78,,1,0,-1,trottoir overzijde,"2,017",52,28/12/2017,v
"1,016",Broekweg 29,,1,-1,-1,,"2,017",52,28/12/2017,v
"1,053",Broekweg 140,,1,-1,1,tegenover 140 en 97,"2,017",52,28/12/2017,v
"1,054",Broekweg midden,,1,-1,-1,midden op plein,"2,017",52,28/12/2017,v
"1,055",Broekweg cafe,,1,-1,-1,naast Cafe,"2,017",52,28/12/2017,v
"1,056",Broekweg 74,,1,-1,-1,tegenover 74 en 76,"2,017",52,28/12/2017,v
"1,019",van der Driftstraat 47,,1,-1,-1,zijkant pand,"2,017",52,28/12/2017,v
"1,060",Schoutplein 3,,0,,,,"2,017",52,28/12/2017,v
"1,061",JozefIsraelstraat 24,,1,,,naast 24,"2,017",52,28/12/2017,v
"1,062",Mesdagstraat 16,,1,,,,"2,017",52,28/12/2017,v
"1,063",Gedemptebiersloot 37,,1,,,,"2,017",52,28/12/2017,v
"1,064",Veerplein (V&D pand),,1,,,Hoek croenjestraat,"2,017",52,28/12/2017,v
"1,032",Schoutplein (midden),,1,0,0,ondiep,"2,017",52,28/12/2017,v
"1,012",Schoutplein 11,loopt over,0,-1,-1,diep (verlengd),"2,017",52,28/12/2017,v
"1,031",Baljuwstraat 1,,1,0,-1,trottoir overzijde,"2,017",52,28/12/2017,v
"1,011",Schoolstraat 41,,0,0,-1,,"2,017",52,28/12/2017,v
