Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ specifiek;Eindtotaal
100% Thijs!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
100%leuk maakt je blij;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2 Meter;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2KNOWHOW, art of change B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
5hart-IT Opleidingen B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
A.G.F. Kerkdriel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
A.S. Watson B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
A5tien B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aad Termorshuizen Consultancy;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aartsen Venlo B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
AB Midden Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AB Vakwerk Agri B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
AB Werkt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AB Zuid-Holland Detachering B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ABBEoptics;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Abbott Informatics Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Abeos Zakelijke Dienstverlening B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Abiom Fleet Systems B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABN AMRO Bank N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
About Ships and Maritime Connections;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Absoluta B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Abtronix B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Abus Kraansystemen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Acacia Water B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Acacia-Robinia Nederland B.V.;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Academie voor Organisatiecultuur B.V.;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy Payroll Professionals;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Adesys B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
