OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,X,Y,Z,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,LATITUDE,LONGITUDE,KM_GEOCODE
1,a06c183c-68eb-4edb-97d4-94eddbaa152a,ES_911R,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,553029",47.936485,"47,936485",195240.89999999,469108.636,17.038,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20860763,5.97593697,88.553029
2,17a92407-5d61-4cd7-8548-17e09791d1d3,ES_909L,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,554868",30.960012,"30,960012",195243.70199999,469125.47999999,16.908,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20875881,5.97597997,88.554868
3,f0c1bb3d-f121-43d9-a341-dbd281f7e698,ES_59AR,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,627727",14.586721,"14,586721",195317.812,469138.405,16.916,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20886956,5.9770657,88.627727
4,b8291f4f-4703-4752-8687-390cdb6a1df5,ES_37BQ,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,954360",26.195524,"26,195524",194644.36799999,469164.32799999,17.068,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20915135,5.96721652,87.95436
5,213d2a44-0152-49a7-b43f-6a20507fd02b,ES_61AP,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,628392",5.310614,"5,310614",195318.75599999,469147.657,17.01399999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.20895264,5.97708061,88.628392
6,8f3f6b0b-eab4-4db0-919b-953b8de6ce76,ES_4123R,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,886219",12.858458,"12,858458",201739.451,501213.174,1.875,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49662101,6.07546916,0.886219
7,7db0ba35-9874-4034-96ea-21cff5d6e3b7,ES_4059R,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,344990",45.939812,"45,939812",201455.72399999,500704.13699999,1.619,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49207057,6.07122059,0.34499
8,98146d9a-9950-42ff-92de-84f4c2cd907d,ES_4065Q,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,345800",57.305259,"57,305259",201464.50399999,500696.86499999,1.619,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49200447,6.07134885,0.3458
9,9140a527-adb9-4023-ae32-ec010c862ab5,ES_4053R,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,348280",27.599133,"27,599133",201445.084,500719.51,1.619,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49220963,6.07106608,0.34828
10,1ddbd64a-efa0-469c-aac6-b39650c36429,ES_4051R,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,367105",-12.450697,"-12,450697",201430.787,500762.29399999,1.874,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49259533,6.07086153,0.367105
11,8de31b54-92a6-491b-8696-f9007a8df908,ES_4045R,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,364238",-2.672617,"-2,672617",201435.605,500753.217,1.874,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49251335,6.07093121,0.364238
12,75568d7f-03c5-4283-a92f-282ef15471af,ES_4123L,60,Bestaand,926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,"0,886704",19.43831,"19,438310",201745.76,501211.238,1.875,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,52.49660307,6.07556179,0.886704
