FID,datummutatie,naammuteerder,status,genormeerd,rwsdienst,profielnaam,objectcode,profielurl,kanaalbreedte,vaarwegbreedte,hoofdvaargeulbreedte,hoofdvaargeulnormhoogte,bodemmin,bodemmax,waterlichaam,opmerkingen,profieltype,normtype,bron,stakeholders,afwijking,gdb_geomattr_data,shape
dwarsprofiel_over_genormeerde_bodem_legger.1,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_1a,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_1a.html,76.9,76.9,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (125659.64759999886 486680.92870000005, 125735.76269999892 486691.563000001)"
dwarsprofiel_over_genormeerde_bodem_legger.2,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_7,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_7.html,131.6,131.6,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129667.07979999855 482465.2804999985, 129793.91580000147 482500.4976999983)"
dwarsprofiel_over_genormeerde_bodem_legger.3,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_8,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_8.html,97.1,97.1,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129785.99799999967 481486.4406000003, 129882.5987999998 481496.00780000165)"
dwarsprofiel_over_genormeerde_bodem_legger.4,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_9,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_9.html,96,96,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129888.63399999961 480491.53339999914, 129984.17880000174 480501.3612000011)"
dwarsprofiel_over_genormeerde_bodem_legger.5,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_11,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_11.html,96,96,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (130105.8889000006 478502.8328000009, 130009.8583999984 478502.3493000008)"
dwarsprofiel_over_genormeerde_bodem_legger.6,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_12,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_12.html,96.2,96.2,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (130111.0502000004 477502.8260000013, 130014.8350000009 477502.3889000006)"
dwarsprofiel_over_genormeerde_bodem_legger.7,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_13,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_13.html,129.8,129.8,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129907.91279999912 476518.6229000017, 130036.05710000172 476498.1970999986)"
dwarsprofiel_over_genormeerde_bodem_legger.8,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_14,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_14.html,93.9,93.9,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129738.58170000091 475533.6385000013, 129831.0987999998 475517.67969999835)"
dwarsprofiel_over_genormeerde_bodem_legger.9,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_15,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_15.html,94.1,94.1,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129568.36630000174 474548.2278999984, 129661.0736999996 474532.24610000104)"
dwarsprofiel_over_genormeerde_bodem_legger.10,2014-10-13T00:00:00,Fugro,Vastgesteld,1,MN,MN_ARKA_16,,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_ARKA_16.html,93.8,93.8,0,,-6.4,-4,Amsterdam-Rijnkanaal,,5,1,ICR: handmatig o.b.v. DVS: vaarwegprofielen,,,,"LINESTRING (129398.74309999868 473562.72410000116, 129491.15819999948 473546.7831999995)"
