OBJECTID;ADRESID;ADRESNR;ADRVOLGNR;RUIMTENAAM;RUIMTENAAM_ZD;HUISNR;HUISLT;TOEVOEGING;POSTCODE;BESTEMMING_OMS;GEBRUIKSDOELEN;INDONDERZOEK;SOORTADRES;GEMEENTENAAM;STADSDEEL;SD_STADSDEELCODE;WIJK;WK_WIJKCODE;BUURT;BU_BUURTCODE;XCOORD;YCOORD;LONG;LAT
22045;0518200000780854;22045;1;Hooghalenstraat;Hooghalenstraat;20;;;2545WJ;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Escamp;2;Morgenstond;34;Morgenstond-West;88;78506.458;452080.495;4.271988120711868;52.05174929288265
154528;0518200000780856;154528;1;Borgerstraat;Borgerstraat;5;;;2545WG;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Escamp;2;Morgenstond;34;Morgenstond-West;88;78455.166;452093.898;4.2712374564511215;52.05186265786698
137757;0518200000780892;137757;1;Anna Blamanplein;Anna Blamanplein;65;;;2525ZV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80481.31;452938.736;4.300587642361473;52.05973125366974
279192;0518200000780894;279192;1;Anna Blamanplein;Anna Blamanplein;66;;;2525ZV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80477.878;452941.017;4.3005371085812625;52.05975129087202
137758;0518200000780896;137758;1;Anna Blamanplein;Anna Blamanplein;80;;;2525ZW;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80488.815;452957.489;4.300692968116346;52.059900792252115
186033;0518200000780904;186033;1;Kazernestraat;Kazernestraat;100;;;2514CW;;industriefunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Centrum;28;Voorhout;12;81336.71;455644.934;4.31247466069395;52.08416567380091
137759;0518200000780930;137759;1;Anna Blamanplein;Anna Blamanplein;51;;;2525ZV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80492.243;452955.191;4.300743447388253;52.05988060167036
324070;0518200000780934;324070;1;Vaillantlaan;Vaillantlaan;279;;;2526HH;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-West;15;80713.805;453712.467;4.303808910459231;52.066715827677626
157972;0518200000780956;157972;1;Cartesiusstraat;Cartesiusstraat;55;;;2562SC;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Segbroek;3;Regentessekwartier;21;Rond de Energiecentrale;10;79302.558;454508.29;4.283054327063507;52.07367658186623
229720;0518200000780996;229720;1;Vaillantlaan;Vaillantlaan;717;;;2526ME;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-Oost;17;81236.899;453365.217;4.31151147343759;52.06366507253442
229721;0518200000780998;229721;1;Vaillantlaan;Vaillantlaan;354;;;2526HV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-Noord;16;80807.789;453636.785;4.305195791496825;52.06604828732198
103958;0518200000781023;103958;1;Gabriël Metsustraat;Gabriel Metsustraat;51;;;2525XN;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-Oost;17;81031.134;453403.492;4.308503008870047;52.063981603856334
245532;0518200000781025;245532;1;Gabriël Metsustraat;Gabriel Metsustraat;53;;;2525XN;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-Oost;17;81027.736;453394.791;4.308455348879893;52.06390295606326
90577;0518200000781027;90577;1;Anna Blamanplein;Anna Blamanplein;56;;;2525ZV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80488.815;452957.489;4.300692968116346;52.059900792252115
198390;0518200000781029;198390;1;Groenewegje;Groenewegje;178;;;2515NZ;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Stationsbuurt;27;Huygenspark;18;81786.946;454551.77;4.319276990521157;52.07440136530551
233232;0518200000781033;233232;1;Hector Berliozplantsoen;Hector Berliozplantsoen;32;;;2551XS;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Loosduinen;1;Waldeck;18;Nieuw Waldeck;40;76510.061;452731.421;4.2427381306589735;52.057319702975306
325240;0518200000781043;325240;1;Wateringsestraat;Wateringsestraat;209;;;2512PL;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-West;15;80181.479;454123.755;4.295956632643986;52.070340317938474
278005;0518200000781045;278005;1;Wateringsestraat;Wateringsestraat;183;;;2512PL;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-West;15;80186.174;454126.316;4.296024537119882;52.070363967297254
230956;0518200000781047;230956;1;Wateringsestraat;Wateringsestraat;185;;;2512PL;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-West;15;80181.479;454123.755;4.295956632643986;52.070340317938474
56648;0518200000781049;56648;1;Gabriël Metsustraat;Gabriel Metsustraat;88;;;2525XT;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-Oost;17;81055.714;453412.995;4.308859343831023;52.0640702870051
274454;0518200000781059;274454;1;d'Aumeriestraat;d'Aumeriestraat;42;;;2586XP;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Scheveningen;4;Scheveningen;7;Rijslag;72;79496.415;458291.099;4.285043739163514;52.10769796836189
232127;0518200000781092;232127;1;Anna Blamanplein;Anna Blamanplein;63;;;2525ZV;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Groente- en Fruitmarkt;37;Groente- en Fruitmarkt;21;80492.243;452955.191;4.300743447388253;52.05988060167036
226228;0518200000781132;226228;1;Rijswijkseplein;Rijswijkseplein;299;;;2516LJ;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Stationsbuurt;27;Huygenspark;18;82165.467;454270.884;4.3248573372447625;52.071927003993125
45418;0518200000781140;45418;1;Groenesteinstraat;Groenesteinstraat;81;;;2512SJ;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Schildersbuurt;29;Schildersbuurt-West;15;80042.724;454255.41;4.293904294586546;52.07150470386479
82053;0518200000781146;82053;1;Torenstraat;Torenstraat;23;B;;2513BN;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Centrum;28;Kortenbos;11;80935.106;454962.517;4.306764530551722;52.07797937634965
298302;0518200000781160;298302;1;Van Maanenkade;Van Maanenkade;129;;;2516LN;;woonfunctie;N;Hoofdadres;'s-Gravenhage;Centrum;5;Stationsbuurt;27;Huygenspark;18;82174.308;454255.247;4.3249896051102095;52.07178763966784
