objectid;projectnummer;naamdeelgebied;bouwplan;woningtype;opleverjaardeelgebied;prijsklasse;projectfase;nieuw_verbouw;aantalwoningendeelgebied;project_id
37144;1;Loostraat 20;06/0994;Eengezins;2010;Koop(betaalbaar);Gereed;Nieuwbouw;1;onbekend
37149;5;Steenoven 16;99/0962;Eengezins;2003;Koop(duur);Gereed;Nieuwbouw;1;
37151;5;Maasstraat 22 en 24;Div.;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;2;
37443;5;Dinkelstraat 8;98/1790;Eengezins;2002;Koop(duur);Gereed;Nieuwbouw;1;
37446;5;Alblasstraat;;Eengezins;2002;Koop(middelduur);Gereed;Nieuwbouw;4;
37447;5;Alblasstraat 47;95/0208;Eengezins;2000;Koop(duur);Gereed;Nieuwbouw;1;
37451;5;Swalmstraat ongenummerd (achter perceel Amstelstraat 10);;Eengezins;2024;Koop(duur);Vastgesteld plan/besluit;Nieuwbouw;1;
37452;6;Amandelpark;97/0309;Meergezins;2000;Huur(betaalbaar);Gereed;Nieuwbouw;114;
37454;7;Animali 2 fase;V15/23051;Eengezins;2017;Koop(duur);Gereed;Nieuwbouw;8;
37458;8;Barrier/H.de Keyzerln/H.Staetsln;03/0744;Meergezins;2008;Huur(betaalbaar);Gereed;Nieuwbouw;34;
37459;8;Barrier;02/1860;Eengezins;2005;Huur(betaalbaar);Gereed;Nieuwbouw;14;
37461;8;Barrier;02/1860;Eengezins;2006;Koop(middelduur);Gereed;Nieuwbouw;30;
37462;8;Barrier;02/1860;Eengezins;2007;Huur(betaalbaar);Gereed;Nieuwbouw;26;
37463;8;Barrier;02/1860;Eengezins;2006;Koop(middelduur);Gereed;Nieuwbouw;12;
37464;8;Barrier;02/1860;Eengezins;2007;Koop(middelduur);Gereed;Nieuwbouw;12;
37465;8;Barrier;02/1860;Eengezins;2007;Koop(middelduur);Gereed;Nieuwbouw;32;
37471;8;Barrier/Willem van Noortlaan fase 4;12/1578;Meergezins;2014;Huur(goedkoop);Gereed;Nieuwbouw;36;
37473;8;Barrier/Pieter Poststraat / fase 4;08/0863;Eengezins;2011;Huur(betaalbaar);Gereed;Nieuwbouw;24;
37474;8;Barrier/Pieter Poststraat / fase 4;08/0863;Meergezins;2011;Huur(goedkoop);Gereed;Nieuwbouw;12;
37475;9;Barth.Diazlaan etc;98/0112;Eengezins;2000;Koop(duur);Gereed;Nieuwbouw;36;
37476;12;Leenderweg 90;01/0540;Meergezins;2006;Huur(goedkoop);Gereed;Verbouw transformatie;7;
