FID,omschr,doorrijhgt,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kunstoverweg_wegvak.545,Viaduct,0,VIAD.I/D ROTONDE'KP.KLEINPOLDERPLEIN',179276033,2021-10-01T00:00:00,248,017927603320211001,PKK0000084751,I,,POINT (89831.28959999979 438533.83989999816)
kunstoverweg_wegvak.546,Viaduct,0,VIAD.I/D ROTONDE'KP.KLEINPOLDERPLEIN',600261099,2021-10-01T00:00:00,798,060026109920211001,PKK0000084751,I,,POINT (89815.03159999847 438538.6623999998)
kunstoverweg_wegvak.547,Viaduct,0,FIETS-VOETG.VIAD.,179276033,2021-10-01T00:00:00,260,017927603320211001,PKK0000084752,I,,POINT (89841.9085999988 438539.42880000174)
kunstoverweg_wegvak.548,Viaduct,0,FIETS-VOETG.VIAD.,600261099,2021-10-01T00:00:00,786,060026109920211001,PKK0000084752,I,,POINT (89825.6614000015 438544.2309000008)
kunstoverweg_wegvak.549,Viaduct,0,VIAD.I/H SCHIEPLEIN,182278105,2021-10-01T00:00:00,372,018227810520211001,PKK0000084756,I,,POINT (91278.84439999983 439261.319600001)
kunstoverweg_wegvak.550,Viaduct,0,VIAD.I/H SCHIEPLEIN,600111721,2021-10-01T00:00:00,385,060011172120211001,PKK0000084756,I,,POINT (91271.47019999847 439272.7049999982)
kunstoverweg_wegvak.551,Viaduct,0,VIAD.I/D TRAMBAAN,182278105,2021-10-01T00:00:00,438,018227810520211001,PKK0000084757,I,,POINT (91335.74769999832 439294.7564000003)
kunstoverweg_wegvak.552,Viaduct,0,VIAD.I/D TRAMBAAN,600111721,2021-10-01T00:00:00,318,060011172120211001,PKK0000084757,I,,POINT (91329.2296999991 439306.6585999988)
kunstoverweg_wegvak.553,Viaduct,0,VIAD.I/H SCHIEPLEIN,182278105,2021-10-01T00:00:00,488,018227810520211001,PKK0000084758,I,,POINT (91378.91259999946 439319.9908000007)
kunstoverweg_wegvak.554,Viaduct,0,VIAD.I/H SCHIEPLEIN,600111721,2021-10-01T00:00:00,272,060011172120211001,PKK0000084758,I,,POINT (91368.91010000184 439329.92770000175)
kunstoverweg_wegvak.555,Viaduct,0,VIADUCT ROZENLAAN,183278102,2021-10-01T00:00:00,360,018327810220211001,PKK0000084759,I,,POINT (91922.17419999838 439495.3685000017)
kunstoverweg_wegvak.556,Viaduct,0,VIADUCT ROZENLAAN,600111777,2021-10-01T00:00:00,695,060011177720211001,PKK0000084759,I,,POINT (91918.97470000014 439508.3892999999)
kunstoverweg_wegvak.557,Viaduct,0,VIAD I/D WEG,600112491,2021-10-01T00:00:00,91,060011249120211001,PKK0000084762,I,,POINT (100348.89440000057 442498.57930000126)
kunstoverweg_wegvak.558,Viaduct,0,VIAD I/D WEG,199284036,2021-10-01T00:00:00,575,019928403620211001,PKK0000084762,I,,POINT (100356.86279999837 442482.49599999934)
kunstoverweg_wegvak.559,Viaduct,0,VIAD.OVER HR LINKS RW.4='KP.KETHELPLEIN',169275048,2021-10-01T00:00:00,82,016927504820211001,PKK0000084772,I,,POINT (84742.85029999912 437929.820700001)
kunstoverweg_wegvak.560,Viaduct,0,VIAD.I/D SPOORBAAN,600106519,2021-10-01T00:00:00,350,060010651920211001,PKK0000084773,I,,POINT (87034.04769999906 438122.9754000008)
kunstoverweg_wegvak.561,Viaduct,0,VIAD.I/D RW O13 (VBW),600107050,2021-10-01T00:00:00,41,060010705020211001,PKK0000084774,I,,POINT (89715.74740000069 438453.8621000014)
kunstoverweg_wegvak.562,Viaduct,0,VIAD.I/D RW 013 (R.RIJB.),600107050,2021-10-01T00:00:00,127,060010705020211001,PKK0000084775,I,,POINT (89799.20380000025 438470.08769999817)
kunstoverweg_wegvak.563,Viaduct,0,VIAD.I/D RW 013 (L.RIJB),600107050,2021-10-01T00:00:00,142,060010705020211001,PKK0000084776,I,,POINT (89810.62090000138 438479.76520000026)
kunstoverweg_wegvak.564,Viaduct,0,VIAD. I/D RW 013 VBW.g,600107050,2021-10-01T00:00:00,192,060010705020211001,PKK0000084777,I,,POINT (89827.48220000044 438525.48039999977)
kunstoverweg_wegvak.565,Viaduct,0,VIAD. I/D RW 020 VBW.s,600107050,2021-10-01T00:00:00,243,060010705020211001,PKK0000084778,I,,POINT (89806.48189999908 438570.45490000024)
kunstoverweg_wegvak.566,Viaduct,0,VIAD.I/D SCHIELANDWEG,204287095,2021-10-01T00:00:00,119,020428709520211001,PKK0000084782,I,,POINT (102167.75050000101 443794.250599999)
kunstoverweg_wegvak.567,Viaduct,0,VIAD.,208292010,2021-10-01T00:00:00,268,020829201020211001,PKK0000084783,I,,POINT (104583.72049999982 446345.87959999964)
kunstoverweg_wegvak.568,Viaduct,0,VIAD.I/D VELSERTRAVERSE N197,600120852,2021-10-01T00:00:00,265,060012085220211001,PKK0000084786,I,,POINT (105143.74590000138 498692.7457999997)
kunstoverweg_wegvak.569,Viaduct,0,VIAD.I/D VELSERTRAVERSE N197,210396019,2021-10-01T00:00:00,188,021039601920211001,PKK0000084786,I,,POINT (105154.53200000152 498687.31060000136)
kunstoverweg_wegvak.570,Viaduct,0,VIAD.I/D VELSERTRAVERSE N197,600120852,2021-10-01T00:00:00,248,060012085220211001,PKK0000084787,I,,POINT (105152.49500000104 498707.3216000013)
kunstoverweg_wegvak.571,Viaduct,0,VIAD.I/D VELSERTRAVERSE N197,210396019,2021-10-01T00:00:00,205,021039601920211001,PKK0000084787,I,,POINT (105163.28460000083 498701.8841999993)
kunstoverweg_wegvak.572,Viaduct,0,VIAD.IN AANLEG,600120845,2022-01-01T00:00:00,669,060012084520220101,PKK0000084788,I,,POINT (107329.73640000075 499837.85880000144)
kunstoverweg_wegvak.573,Viaduct,0,VIAD.IN AANLEG,210398149,2022-01-01T00:00:00,2184,021039814920220101,PKK0000084788,I,,POINT (107286.4448999986 499821.22949999943)
kunstoverweg_wegvak.574,Viaduct,0,VIAD. I/D VELSERTRAVERSE N197,210397092,2021-10-01T00:00:00,48,021039709220211001,PKK0000084790,I,,POINT (105164.12070000172 498681.0199000016)
