FID,DD_BIJGEWERKT,ID,INVASIEVE_SOORT,EIGENDOM,OPPERVLAKTE_2021,GEOMETRIE
GRN_INV_SOORTEN.491,2023-02-02,491,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (181501.338753 428035.13020704)
GRN_INV_SOORTEN.229,2023-02-02,229,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (181958.53778654 425577.09428681)
GRN_INV_SOORTEN.20,2023-02-02,20,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,80,POINT (181773.58956794 426190.32385841)
GRN_INV_SOORTEN.19,2023-02-02,19,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,5,POINT (181856.75688414 426195.70371661)
GRN_INV_SOORTEN.18,2023-02-02,18,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,30,POINT (181817.21701825 426191.23181076)
GRN_INV_SOORTEN.25,2023-02-02,25,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,90,POINT (181724.37497329 426181.89063643)
GRN_INV_SOORTEN.113,2023-02-02,113,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,600,POINT (181719.0468071 426190.67179832)
GRN_INV_SOORTEN.37,2023-02-02,37,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,1,POINT (181921.56547807 426283.64037517)
GRN_INV_SOORTEN.548,2023-02-02,548,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (181914.20286713 426509.13848633)
GRN_INV_SOORTEN.61,2023-02-02,61,Reuzenberenklauw_Heracleum mantegazzianum,Gemeente Nijmegen,,POINT (181688.46730748 426756.66135722)
GRN_INV_SOORTEN.516,2023-02-02,516,Japanse duizendknoop_Fallopia japonica,Particulier,,POINT (182010.6225 427701.015)
GRN_INV_SOORTEN.22,2023-02-02,22,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,2,POINT (181849.25247436 427666.07539568)
GRN_INV_SOORTEN.375,2023-02-02,375,Japanse duizendknoop_Fallopia japonica,Gemeente Nijmegen,2,POINT (181932.41498914 427713.74821701)
