FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
1e_druk_serie2_index.1,01 schenkenschans_1830,,,"POLYGON ((200304.70600000024 427280.9210000001, 200304.70600000024 432325.9789999984, 208979.0080000013 432325.9789999984, 208979.0080000013 427280.9210000001, 200304.70600000024 427280.9210000001))"
1e_druk_serie2_index.2,02 kekerdom_1830,,,"POLYGON ((192275.5850000009 428516.24599999934, 192275.5850000009 433582.1770000011, 200294.2969999984 433582.1770000011, 200294.2969999984 428516.24599999934, 192275.5850000009 428516.24599999934))"
1e_druk_serie2_index.3,02a supplement 02 kekerdom_1830,,,"POLYGON ((193242.5780000016 426029.39400000125, 193242.5780000016 428574.2589999996, 197288.94999999925 428574.2589999996, 197288.94999999925 426029.39400000125, 193242.5780000016 426029.39400000125))"
1e_druk_serie2_index.4,03 angeren_1834,,,"POLYGON ((192326.5249999985 433543.3729999997, 192326.5249999985 438577.67599999905, 200333.12799999863 438577.67599999905, 200333.12799999863 433543.3729999997, 192326.5249999985 433543.3729999997))"
1e_druk_serie2_index.5,04 westervoort_1833,,,"POLYGON ((192077.69099999964 438518.07499999925, 192077.69099999964 443584.6099999994, 200071.5009999983 443584.6099999994, 200071.5009999983 438518.07499999925, 192077.69099999964 438518.07499999925))"
1e_druk_serie2_index.6,05 arnhem_1838,,,"POLYGON ((184408.47800000012 439693.63599999994, 184408.47800000012 444745.6719999984, 192071.82699999958 444745.6719999984, 192071.82699999958 439693.63599999994, 184408.47800000012 439693.63599999994))"
1e_druk_serie2_index.7,06 heteren_1838,,,"POLYGON ((176354.9600000009 439716.31599999964, 176354.9600000009 444821.85500000045, 184404.82499999925 444821.85500000045, 184404.82499999925 439716.31599999964, 176354.9600000009 439716.31599999964))"
1e_druk_serie2_index.8,07 opheusden_1838,,,"POLYGON ((168378.19200000167 437807.22300000116, 168378.19200000167 442821.8040000014, 176385.18200000003 442821.8040000014, 176385.18200000003 437807.22300000116, 168378.19200000167 437807.22300000116))"
1e_druk_serie2_index.9,08 rheenen_1838,,,"POLYGON ((160353.063000001 439859.18499999866, 160353.063000001 445898.1959999986, 168396.8660000004 445898.1959999986, 168396.8660000004 439859.18499999866, 160353.063000001 439859.18499999866))"
1e_druk_serie2_index.10,08a supplement 08 rheenen_1838,,,"POLYGON ((164371.0540000014 437822.8220000006, 164371.0540000014 439878.0769999996, 168372.9539999999 439878.0769999996, 168372.9539999999 437822.8220000006, 164371.0540000014 437822.8220000006))"
1e_druk_serie2_index.11,09 maurik_1839,,,"POLYGON ((152377.9600000009 440923.7329999991, 152377.9600000009 445930.9219999984, 160376.89799999818 445930.9219999984, 160376.89799999818 440923.7329999991, 152377.9600000009 440923.7329999991))"
1e_druk_serie2_index.12,10 beusichem_1839,,,"POLYGON ((144353.3669999987 439260.2719999999, 144353.3669999987 444308.6429999992, 152411.34800000116 444308.6429999992, 152411.34800000116 439260.2719999999, 144353.3669999987 439260.2719999999))"
1e_druk_serie2_index.13,11 everdingen_1839-1842,,,"POLYGON ((136366.8599999994 440695.84899999946, 136366.8599999994 446475.8370000012, 144416.7100000009 446475.8370000012, 144416.7100000009 440695.84899999946, 136366.8599999994 440695.84899999946))"
1e_druk_serie2_index.14,12 vianen_1837,,,"POLYGON ((128390.24500000104 441548.66699999943, 128390.24500000104 446633.36300000176, 136409.97899999842 446633.36300000176, 136409.97899999842 441548.66699999943, 128390.24500000104 441548.66699999943))"
1e_druk_serie2_index.15,13 ameiden_1837,,,"POLYGON ((120365.39600000158 438525.0780000016, 120365.39600000158 443899.87099999934, 128399.875 443899.87099999934, 128399.875 438525.0780000016, 120365.39600000158 438525.0780000016))"
1e_druk_serie2_index.16,14 schoonhoven_1836,,,"POLYGON ((112358.85700000077 435766.88699999824, 112358.85700000077 440816.9549999982, 120378.20100000128 440816.9549999982, 120378.20100000128 435766.88699999824, 112358.85700000077 435766.88699999824))"
1e_druk_serie2_index.17,15 lekkerkerk_1836,,,"POLYGON ((104302.69099999964 432246.8900000006, 104302.69099999964 437278.5, 112370.85399999842 437278.5, 112370.85399999842 432246.8900000006, 104302.69099999964 432246.8900000006))"
1e_druk_serie2_index.18,16 krimpen aan de lek_1833,,,"POLYGON ((96306.14400000125 432289.08300000057, 96306.14400000125 437346.2120000012, 104364.41099999845 437346.2120000012, 104364.41099999845 432289.08300000057, 96306.14400000125 432289.08300000057))"
1e_druk_serie2_index.19,17 rotterdam_1834,,,"POLYGON ((88314.53799999878 433347.14400000125, 88314.53799999878 438399.1799999997, 96347.69000000134 438399.1799999997, 96347.69000000134 433347.14400000125, 88314.53799999878 433347.14400000125))"
1e_druk_serie2_index.20,18 vlaardingen_1834,,,"POLYGON ((80235.8900000006 431088.68299999833, 80235.8900000006 437139.938000001, 88354.21700000018 437139.938000001, 88354.21700000018 431088.68299999833, 80235.8900000006 431088.68299999833))"
1e_druk_serie2_index.21,19 maassluis_1835,,,"POLYGON ((75330.42399999872 430685.0549999997, 75330.42399999872 438670.48099999875, 80344.11400000006 438670.48099999875, 80344.11400000006 430685.0549999997, 75330.42399999872 430685.0549999997))"
1e_druk_serie2_index.22,20 brielle_1835,,,"POLYGON ((70302.41299999878 432989.5320000015, 70302.41299999878 440997.80900000036, 75420.67799999937 440997.80900000036, 75420.67799999937 432989.5320000015, 70302.41299999878 432989.5320000015))"
1e_druk_serie2_index.23,s1 aardt_1834,,,"POLYGON ((200318.69999999925 432340.53500000015, 200318.69999999925 437252.938000001, 208360.72800000012 437252.938000001, 208360.72800000012 432340.53500000015, 200318.69999999925 432340.53500000015))"
1e_druk_serie2_index.24,01 schenkenschans_1830,,,"POLYGON ((200304.70600000024 427280.9210000001, 200304.70600000024 432325.9789999984, 208979.0080000013 432325.9789999984, 208979.0080000013 427280.9210000001, 200304.70600000024 427280.9210000001))"
1e_druk_serie2_index.25,02 kekerdom_1830,,,"POLYGON ((192275.5850000009 428516.24599999934, 192275.5850000009 433582.1770000011, 200294.2969999984 433582.1770000011, 200294.2969999984 428516.24599999934, 192275.5850000009 428516.24599999934))"
1e_druk_serie2_index.26,02a supplement 02 kekerdom_1830,,,"POLYGON ((193242.5780000016 426029.39400000125, 193242.5780000016 428574.2589999996, 197288.94999999925 428574.2589999996, 197288.94999999925 426029.39400000125, 193242.5780000016 426029.39400000125))"
1e_druk_serie2_index.27,03 angeren_1834,,,"POLYGON ((192326.5249999985 433543.3729999997, 192326.5249999985 438577.67599999905, 200333.12799999863 438577.67599999905, 200333.12799999863 433543.3729999997, 192326.5249999985 433543.3729999997))"
1e_druk_serie2_index.28,04 westervoort_1833,,,"POLYGON ((192077.69099999964 438518.07499999925, 192077.69099999964 443584.6099999994, 200071.5009999983 443584.6099999994, 200071.5009999983 438518.07499999925, 192077.69099999964 438518.07499999925))"
1e_druk_serie2_index.29,05 arnhem_1838,,,"POLYGON ((184408.47800000012 439693.63599999994, 184408.47800000012 444745.6719999984, 192071.82699999958 444745.6719999984, 192071.82699999958 439693.63599999994, 184408.47800000012 439693.63599999994))"
1e_druk_serie2_index.30,06 heteren_1838,,,"POLYGON ((176354.9600000009 439716.31599999964, 176354.9600000009 444821.85500000045, 184404.82499999925 444821.85500000045, 184404.82499999925 439716.31599999964, 176354.9600000009 439716.31599999964))"
