OBJECTID,BEHEERCODE,BEHEERTYPE,HOOFDSOORT,BEHEERDER,PARKNAAM_LANDGOED,OPPERVLAKTE,OMTREK,MAAIFREQUENTIE,BEHEERKLASSE,MATERIAAL_ONDERGROND,GEBIEDSNAAM,SHAPESTArea,SHAPESTLength
1,05.18.G.1913,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 5,,21.65,36.406,,,,Malburgen,21.649958,36.4063497439322
2,04.05.G.0173,Gazon,,Stadsdeel 4,,184.454,111.663,16 x per jaar | Machinaal,,,Presikhaaf,184.454323,111.662691790726
3,03.11.G.1118,Heesters laag,Lonicera nitida ''Maigrün'',Stadsdeel 3,,52.558,46.979,,Onkruid beheersen,,Noord-Oost,52.5580145,46.9792961981892
4,02.12.G.2898,Gras/kruiden,,Stadsdeel 2,,23.631,31.826,3 x per jaar | Machinaal,,,Noord-West,23.6309835,31.8260639630097
5,05.23.G.0262,Gazon,,Stadsdeel 5,,45.562,30.338,16 x per jaar | Handmatig,,,VKR,45.5621855,30.3382477005337
6,06.22.G.2337,Gazon,,Stadsdeel 6,,38.91,25.512,16 x per jaar | Machinaal,,,Elden en De Laar,38.9098765,25.5115984594397
7,05.18.G.0477,Gazon,,Stadsdeel 5,,188.908,74.979,16 x per jaar | Machinaal,,,Malburgen,188.908182,74.9785944686317
8,03.07.G.1282,Haag,Fagus sylvatica,Stadsdeel 3,,3.056,11.035,,,,Noord-West,3.055619,11.0348836615121
9,05.17.G.0976,Gazon,,Stadsdeel 5,,18.475,17.32,16 x per jaar | Machinaal,,,Malburgen,18.45805737,17.313997076957
10,03.10.G.0537,Vlak onderhoud derden,,Derden,,7.181,10.741,,,,Noord-Oost,7.180843,10.74136963414
11,06.22.G.1637,Heesters hoog,Euonymus fortunei 'Dart's Blanket',Stadsdeel 6,,15.102,61.367,,Onkruid beheersen,,Elden en De Laar,15.1015605,61.3673935851021
12,02.12.G.3222,Gras/kruiden,,Afdeling Bossen & Parken,Park Sonsbeek,325.946,74.189,1 x per jaar | Machinaal,,,Noord-West,325.9456325,74.188732251507
13,06.21.G.2956,Gazon,,Stadsdeel 6,,93.898,124.219,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",93.33792,124.211849592999
14,03.09.G.2257,Gras/kruiden,,Afdeling Bossen & Parken,Begraafpark Moscowa,8.664,16.015,3 x per jaar | Handmatig,,,Noord-Oost,8.663868,16.0148204027821
15,06.22.G.3555,Heesters hoog,Gemengde soorten zie doc.,Stadsdeel 6,,101.153,85.527,,Onkruid beheersen,,Elden en De Laar,101.152568,85.5265369195825
16,06.21.G.1492,Blokhaag,Symphoricarpos chenaultii 'Hancock',Stadsdeel 6,,34.066,40.99,,,,"Schuytgraaf, Elderveld",34.065705,40.9897310158922
17,05.23.G.0627,Gazon,,Stadsdeel 5,,217.356,379.434,16 x per jaar | Machinaal,,,VKR,217.35384571,379.421481771525
18,03.09.G.2939,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,96.857,94.618,,Graven 3 x maaien handmatig,,Noord-Oost,96.856807,94.6179844127527
19,06.22.G.2505,Heesters laag,Cotoneaster suecicus 'Coral Beauty',Stadsdeel 6,,18.019,17.007,,Onkruid beheersen,,Elden en De Laar,18.018971,17.0071365195899
20,06.21.G.0435,Gazon,,Stadsdeel 6,,722.336,238.762,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",722.26493792,238.756060857379
21,05.16.G.0618,Gras/kruiden,,Stadsdeel 5,,184.754,152.803,6 x per jaar | Machinaal,,,Malburgen,184.7541285,152.803396021894
22,05.16.G.0353,Gras/kruiden,,Stadsdeel 5,,181.84,302.37,2 x per jaar | Machinaal,,,Malburgen,181.8398015,302.36999075807
23,06.21.G.1583,Heesters laag,Prunus laurocerasus 'Otto Luyken',Stadsdeel 6,,8.644,15.997,,Onkruid beheersen,,"Schuytgraaf, Elderveld",8.644077,15.9968174676849
24,06.22.G.1382,Gras/kruiden,,Stadsdeel 6,,452.272,160.416,2 x per jaar | Machinaal,,,Elden en De Laar,452.2720915,160.416348825848
25,05.18.G.0695,Gazon,,Stadsdeel 5,,46.961,30.124,16 x per jaar | Machinaal,,,Malburgen,46.955208,30.1207000328904
26,06.20.G.0782,Blokhaag,,Stadsdeel 6,,4.731,8.734,,,,Elden en De Laar,4.730697,8.73422775013785
27,05.19.G.0914,Gazon,,Stadsdeel 5,,580.024,187.878,16 x per jaar | Machinaal,,,VKR,579.87838275,187.876669987419
28,02.12.G.2000,Vaste planten,,Afdeling Bossen & Parken,Park Sonsbeek,295.563,79.37,,,,Noord-West,295.749366865,79.3570738146673
29,05.18.G.2154,Gazon,,Stadsdeel 5,,245.6,492.844,16 x per jaar | Machinaal,,,Malburgen,245.59109007,492.841853470445
30,05.23.G.0951,Blokhaag,Symphoricarpos chenaultii 'Hancock',Stadsdeel 5,,45.298,34.239,,,,VKR,45.285697375,34.2359946406717
31,05.16.G.0447,Blokhaag,Cotoneaster suecicus 'Coral Beauty',Stadsdeel 5,,18.286,17.513,,,,Malburgen,18.285195665,17.5104883741944
32,03.09.G.2611,Gras/kruiden,,Afdeling Bossen & Parken,Begraafpark Moscowa,4093.415,788.788,3 x per jaar | Handmatig,,,Noord-Oost,4092.763557075,788.759692615272
33,06.22.G.2323,Haag,Hedera sp.,Stadsdeel 6,,19.756,80.572,,,,Elden en De Laar,19.756217,80.5719729154194
34,03.07.G.0760,Haag,Taxus sp.,Stadsdeel 3,,5.277,46.288,,,,Noord-West,5.276902,46.2877299981334
35,06.21.G.2667,Blokhaag,Pyracantha 'Dart's Red',Stadsdeel 6,,11.494,13.934,,,,"Schuytgraaf, Elderveld",11.49104175,13.9308753423516
36,02.12.G.1943,Heesters hoog,Rhododendron sp.,Afdeling Bossen & Parken,Park Gulden Bodem,289.193,77.773,,Rhododendron,,Noord-West,289.192697,77.7731282041143
37,06.21.G.0289,Gazon,,Stadsdeel 6,,517.763,174.056,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",517.765956035,174.053684426932
38,06.21.G.0675,Gazon,,Stadsdeel 6,,2476.984,298.527,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",2476.9836945,298.527451850409
39,02.12.G.1596,Gras/kruiden,,Stadsdeel 2,,65.679,40.357,3 x per jaar | Machinaal,,,Noord-West,65.678806,40.3572252525078
40,03.11.G.1773,Gazon,,Stadsdeel 3,,68.459,98.535,16 x per jaar | Machinaal,,,Noord-Oost,68.459083,98.534501679794
41,05.19.G.2269,Heesters laag,Mahonia aquifolium 'Marijke',Stadsdeel 5,,5.298,10.222,,Onkruid beheersen,,VKR,5.298088,10.2216475418173
42,04.03.G.1193,Gazon,,Stadsdeel 4,,2.545,6.399,16 x per jaar | Machinaal,,,CSA,2.531315305,6.39547836476253
43,03.09.G.2954,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,109.282,60.441,,Graven 3 x maaien handmatig,,Noord-Oost,109.282254,60.4406707075335
44,04.03.G.1624,Vaste planten,Prairiemengsel Tourmaline,Stadsdeel 4,,5.065,10.529,,Prairiegarden,,CSA,5.0646795,10.5287227598541
45,06.24.G.0422,Gazon,,Stadsdeel 6,,127.252,72.522,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",127.2519825,72.5219846799761
46,04.03.G.1681,Gazon,,Stadsdeel 4,,40.401,41.959,16 x per jaar | Machinaal,,,CSA,40.401164,41.9586817544993
47,05.18.G.2134,Blokhaag,,Stadsdeel 5,,282.748,194.437,,,,Malburgen,282.7480865,194.436922686375
