Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Studio2 Communications B.V.;;;;1;;;;1
Suprieur B.V.;;;;;;;2;2
SURFnet B.V.;;;;;2;2;;3
Swisscap B.V.;1;;;;;;;1
Systemec B.V.;;;;;;;2;2
't Heutink-Huis B.V.;;1;;;;;;1
T&T Compet&t.b.v.;;;1;3;;2;3;4
Talk & Vision B.V.;1;5;;1;;1;;5
Tangram Onderzoek B.V.;;1;;;1;;;1
Tappan Communicatie B.V.;;;;;1;;;1
Tapwacht Service B.V.;;1;;;;;;1
TCA Telecom;;;;;1;1;;1
Technische Handelsonderneming P. van Leeuwen;;1;;;;;;1
Technische Unie B.V.;;1;1;;;;;1
Tele2 Nederland B.V.;;1;7;2;6;8;1;8
Teleena Nederland B.V.;;;;;;;2;2
Telegrootgebruik B.V.;;2;1;;4;7;;7
Telesur;;;;;;;2;2
Telfort Zakelijk;;;;;;1;;1
Telio Nederland B.V.;;;;3;;;;3
Tentoo Partners B.V.;;;;;1;;;1
Termeer Infra Service;;;;;;;2;2
TES Install.techn. Service & Onderhoud B.V.;;1;;;1;;;1
Th. Engering B.V.;;1;;;;;;1
The Telecom Company Business B.V.;;;2;;;1;;2
Thomashuis;1;;;;;;;1
Tijssens Electrotechniek B.V.;;1;;;;;;1
Top Informatie Systemen B.V.;;;;3;1;;;3
TOPdesk Nederland B.V.;;;;1;;;;1
Topicus Zorg 1e lijn B.V.;;;;;2;;;2
Topicus Zorg 2e lijn B.V.;;;;4;;;;4
Total Identity;;;1;1;;;;1
Tradaware B.V.;;1;;;;1;;1
Transformation Technologies B.V.;;;;3;;;;3
Transport en Logistiek Nederland;;;;;1;;;1
Transquest Tag & Tracing Solutions B.V.;;;;2;;;;2
Trendcall Nederland;;;;;;;2;2
TrendCall Nederland B.V.;;;;;;;2;2
Trilogic Technologies B.V.;;;;;;1;;1
TriNed;;;;;;;2;2
Triptic B.V.;;;;2;;;;2
Trust Alliance Compliance Solutions B.V.;;;;;;3;;3
Tulip 2;5;;;;4;4;;6
Turnaround Communicatie B.V.;;;;;1;;;1
TWS Networkconcepts;;;;;;;2;2
Tyco Fire and Security Nederland B.V.;;;;;2;;;2
Unet B.V.;;;;;;;2;2
Unilogic Networks B.V.;;;;;;;2;2
Unipas B.V.;;;1;;;;;1
Unisys Nederland N.V.;;1;;5;2;;;5
Uticon Engineering Consultancy B.V.;2;;;;;;;2
V.O.F. Zeefdrukkerij Bieling;;;1;;;;;1
Valori Interim B.V.;;;;1;;;;1
Van Dam Technisch Beheer B.V.;;1;;;;;;1
Van Dorp installatiebedrijven B.V.;;;;1;;;;1
Van Gompel Grafische Machines B.V.;;1;;;;;;1
Van Randwijk Paperflow Solutions B.V.;;1;;;;;;1
Van Rossum IJzerhandel B.V.;;;1;;;;;1
VECOZO B.V.;;;;2;;;;2
Veld Service B.V.;;1;;;;;;1
Vellance B.V.;;;;;1;;;1
Velzart;;;;;;;2;2
Verdonck, Klooster & Associates B.V.;;;;;2;;;2
Vereniging Coin;;;;;;;1;1
Verizon Nederland B.V.;;;;;;2;;2
Vertimart Consultants B.V.;;;;1;;;;1
Viadesk;;;;2;2;2;;3
VMV cad adviseurs;;;1;;;;;1
VNSG Diensten B.V.;;;;;;1;;1
Vodafone;;2;3;;5;7;;7
Vodafone Libertel B.V.;;;;;;2;;2
Vodafone Test Center;;1;1;;;1;;2
VoiceData;;;;;;;2;2
Voiceworks B.V.;;;;;;;2;2
Voipro Nederland B.V.;;;;;;;2;2
Voizz Nederland B.V.;;;;;;;2;2
Voorhout Data Connection B.V.;;;;1;;;;1
Voornenet B.V.;;;;;;;2;2
Voskamp Bouw en Industrie B.V.;;;1;;;;;1
VRH Informatisering B.V.;;2;;;;;;2
Vrieservice B.V.;;;;;;4;;4
VrijdagOnline.nl;;;;1;;;;1
VX Company Forensic Analytics B.V.;;;;2;;;;2
W.Th. Pot en Zoons B.V.;;;;;1;;;1
Wardenburg Beveiliging B.V.;;;;;1;;;1
WCC Consulting EMEA B.V.;;;;3;;;;3
WCC Services;;;;5;;;;5
Webelect;;;;1;;;;1
Webstekker B.V.;;;;;;1;;1
WELLdotCOM;;;;;1;;;1
Wentzo B.V.;;;;;;1;;1
WEWO EUROPE B.V.;;1;;;;;;1
WiFly Wireless Solutions;;;;;;;2;2
WinITu Communications B.V.;;;;;;;2;2
WVS Webder Visual Systems;;1;;;;;;1
X Pact B.V.;;;2;;1;1;;2
X2Com B.V.;;;;;;;2;2
XA Document Solutions;;;1;;;;;1
Xbase Software Ontwikkeling B.V.;;;;1;;;;1
Xenosite B.V.;;;;;;;2;2
Xentech B.V.;;;;;;;2;2
Xerox (Nederland) B.V.;6;2;2;2;2;;;6
Xerox Services B.V.;;;;3;;;;3
Xolphin B.V.;;;;1;;;;1
XRC®services B.V.;;;;;;;2;2
XS4ALL Internet B.V.;;;2;;1;2;;3
XTAC Analytical BV;;1;;;;;;1
Youfone;;;;;;;1;1
Your Hosting B.V.;;;;;1;;;1
YourRequest B.V.;;;2;;;;;2
YPOS Internettoepassingen B.V.;;;;1;1;;;1
Zeelandnet B.V.;;;;;;1;2;2
Zet Solutions B.V.;;1;1;;1;;;1
Zetacom B.V.;;1;;;;;;1
Ziggo B.V.;;1;2;;1;2;;3
Ziggo Services B.V.;;;1;;;2;;2
Zomerdijk & Groenheijde Telecommunicatie;;1;;;1;2;;2
Zoranet Connectivity Services B.V.;;;;;;;2;2
Zylab Benelux B.V.;;;;1;1;;;1
Eindtotaal;8;9;8;11;8;9;7;12
