FUNCTIEKLA,DEELGEB,ZONES_BG,ONTG_BG,TOEP_BG,ZONES_OG,ONTG_OG,TOEP_OG,OBJECTID,Shape__Area,Shape__Length,GlobalID
Water,Water,Water,Water,Water,Water,Water,Water,1,57555.731552124,2707.47896353081,05dc15a4-a513-4dcc-9b69-89361708b79c
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,2,600.662467956543,256.708148561782,b8da0b43-7079-4bdd-8a87-2bd68e6196ee
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,3,2997.92684936523,240.679685015712,ec45c0c6-eca6-47b3-acfe-8d01ce185394
Water,Water,Water,Water,Water,Water,Water,Water,4,75.4766616821289,61.2777890111638,04691917-1759-4ec6-96f5-8989c68032f8
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,5,25097.8156356812,862.712108919475,08f670e4-7634-4916-b164-4149fb7c5755
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,6,12212.0600738525,773.702719260038,eec5fc29-f3b9-443d-b73a-111332ced67d
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,7,17829.4645080566,828.557936459388,c5b3214b-6837-440a-bcdc-37eb4faf35d8
Water,Water,Water,Water,Water,Water,Water,Water,8,1246718.09871674,8030.90575749065,352d82a7-9537-4b52-b48a-ac00efd3883d
Water,Water,Water,Water,Water,Water,Water,Water,9,29585.8642578125,1987.160124909,8a5b4288-d788-4ab1-8f24-c27e0b4af412
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,10,21208.2914047241,1257.48684859385,eecfbb41-ffdb-4196-a8e7-d86eccfd121b
Water,Water,Water,Water,Water,Water,Water,Water,11,16600.2996673584,618.582212126097,c2cc336f-5fb9-4392-bb0a-c3e4d57041ff
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,12,63354.5053329468,1312.59207115924,7b5904da-18ae-452a-b0dd-662d6548e21c
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,13,2407.26509094238,696.026178688716,60574a61-080e-4aa9-8223-081ffaf161e8
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,14,16154.6707000732,779.819728531989,653c496a-a5e9-444f-882b-21429e9280ed
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,15,10422.5423049927,885.556236766284,61f0ece6-3353-4e6e-9d65-c1d75bd4d27e
Water,Water,Water,Water,Water,Water,Water,Water,16,2695.8501663208,250.01797509096,9b301624-7e8d-4b0d-a979-d02de8d0d1a4
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,17,88734.1478805542,1249.82009538109,6ccd2b57-d575-4dc2-aad7-ff974a39a233
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,18,255408.496307373,2213.57487187567,7f73a535-d0e8-4f4e-8df2-e68d18fca51d
Water,Water,Water,Water,Water,Water,Water,Water,19,6611.26776885986,1453.9270738267,afe981c8-a9d9-4dc1-9f04-32d3b0467cac
Industrie,Industrie,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,20,5580.24935913086,340.37420904755,8d171307-ba8a-4498-a483-e9beed371dc6
Water,Water,Water,Water,Water,Water,Water,Water,21,961.106986999512,434.867261324695,61a8e639-2415-47fb-95a4-cb02978e63e7
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,22,69394.1112060547,1726.83796690196,56048a29-375c-4b12-b9d5-ca23e554adda
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,23,33908.9094085693,1030.12578845706,c71c4529-fdde-4531-8ad0-2cf762194de3
Water,Water,Water,Water,Water,Water,Water,Water,24,8872.39002227783,376.400518138407,18c20d40-9a38-4d87-a46d-beff6c28a84b
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,25,7381.84786987305,471.530685802293,980715bb-541c-4ef1-8d14-fd8841a3312a
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,26,120957.289398193,1596.00469866631,e602333f-57d7-4025-afc9-8032c66d174a
Water,Water,Water,Water,Water,Water,Water,Water,27,21977.2617111206,761.836725291731,2a9480ea-7e4c-47d6-a4ac-9f974da1b9fa
Water,Water,Water,Water,Water,Water,Water,Water,28,2010.53150177002,213.977057815236,ba40e075-5e4e-4df2-8915-41d0077bdb12
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,29,0.730873107910156,122.731819958818,3fa24735-cba7-4e9d-80ed-b5b908eb5433
