PROJECTID;PROJECTCODE;PROJECTNAME;BOORNUMMER;BOORNRALT;NAP;GRONDWATER;BORINGSEGMENTID;TOPLAAG;BOTTOMLAAG;NEN_NAAM;OMSCHRIJVING;KLEUR1;KLEUR2;TINT;VLEKKLEUR;MUNSELNR;SUBLAYER;STRATIGRAFIE;STRAT_CODE;OPMERKING;HK;AW;HL;BT;FE;FF;HU;WT;HT;SC;OPM;X;Y
1;UHL03b;Uithofslaan;13;;-0.3;;125;2.62;2.75;Veen mineraalarm;veen;bruin;;;;;;Hollandveenlaag1;hll;;0;0;0;0;0;0;0;0;0;0;;76457;449916
1;UHL03b;Uithofslaan;13;;-0.3;;126;2.6;2.62;Detritus, schelp;Detritus schelp;bruin;;;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76457;449916
1;UHL03b;Uithofslaan;13;;-0.3;;127;1.5;2.6;Klei uiterst siltig;zandige klei;bruin;;;;;1;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76457;449916
1;UHL03b;Uithofslaan;13;;-0.3;;128;0.9;1.5;Klei sterk siltig;licht zandige klei;blauw;grijs;licht;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76457;449916
1;UHL03b;Uithofslaan;13;;-0.3;;129;0.4;0.9;Klei sterk siltig;licht zandige klei;grijs;;licht;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76457;449916
1;UHL03b;Uithofslaan;13;;-0.3;;130;0;0.4;Klei uiterst siltig;zandige klei;bruin;;donker;;;;antropogeen;aaa;;0;0;0;0;0;0;0;0;0;0;bouwvoor;76457;449916
1;UHL03b;Uithofslaan;14;;-0.15;;131;3.1;3.4;Zand zwak siltig;zand;grijs;;;;;;Laag van Rijswijk;rwk;;0;0;0;0;0;0;0;0;0;0;;76529;449839
1;UHL03b;Uithofslaan;14;;-0.15;;132;2.4;3.1;Veen mineraalarm;veen;bruin;;;;;;Hollandveenlaag1;hll;;0;0;0;0;0;0;0;0;0;0;;76529;449839
1;UHL03b;Uithofslaan;14;;-0.15;;133;2.36;2.4;Klei matig siltig;"klei; echt slappe inconsistente klei";grijs;;;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76529;449839
1;UHL03b;Uithofslaan;14;;-0.15;;134;2.35;2.36;Detritus, schelp;Detritus schelp;grijs;;;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76529;449839
1;UHL03b;Uithofslaan;14;;-0.15;;135;1.7;2.35;Klei sterk siltig;licht zandige klei;grijs;;;;;1;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;0;0;0;0;0;;76529;449839
1;UHL03b;Uithofslaan;14;;-0.15;;136;1;1.7;Klei matig siltig;"klei; echt slappe inconsistente klei";grijs;groen;zeer donker;;;;Gantellaag;gtl;Gantel ongedifferentieert;0;0;0;0;0;1;1;0;0;0;;76529;449839
