FID,length,id,filenaam,vliegdatum,links,rechts,se_anno_cad_data,gdb_geomattr_data,shape
vliegln_krib_waal_2010.1,2466.37988281,1,grd090052,2010-10-17T00:00:00,262.1,-193.4,,,"LINESTRING (199757.4530000016 432211.125, 197545.313000001 433301.75)"
vliegln_krib_waal_2010.2,456.94100952,2,grd090517,2010-10-17T00:00:00,270.6,-108,,,"LINESTRING (199887.813000001 431904.688000001, 199478.7809999995 431701)"
vliegln_krib_waal_2010.3,2671.34008789,3,grd090554,2010-10-17T00:00:00,276.4,-345.3,,,"LINESTRING (199583.2969999984 432013.6559999995, 197097.686999999 432992.3440000005)"
vliegln_krib_waal_2010.4,3663.76000977,4,grd090941,2010-10-17T00:00:00,324.4,-236.6,,,"LINESTRING (200209.9840000011 431327.625, 196881.7340000011 432859.25)"
vliegln_krib_waal_2010.5,1366.23999023,5,grd091414,2010-10-17T00:00:00,404.3,-104.1,,,"LINESTRING (200313.188000001 431490.0940000005, 199235.5159999989 432329.875)"
vliegln_krib_waal_2010.6,797.06896973,6,grd091617,2010-10-17T00:00:00,299.9,-293.3,,,"LINESTRING (197113.2340000011 431846.4059999995, 196564.4840000011 432424.5)"
vliegln_krib_waal_2010.7,4275.54980469,7,grd092313,2010-10-17T00:00:00,282.7,-221.7,,,"LINESTRING (194903.5780000016 429378.6559999995, 197071.8280000016 433063.625)"
vliegln_krib_waal_2010.8,4443.81982422,8,grd093025,2010-10-17T00:00:00,326.5,-262,,,"LINESTRING (195299.4059999995 429428.875, 197567.7969999984 433250.125)"
vliegln_krib_waal_2010.9,4543.91015625,9,grd093734,2010-10-17T00:00:00,291.4,-237.1,,,"LINESTRING (197910.2190000005 433238, 195539.8440000005 429361.3440000005)"
vliegln_krib_waal_2010.10,2581.79003906,10,grd094257,2010-10-17T00:00:00,268.6,-311.8,,,"LINESTRING (196207.5309999995 430003.875, 193626.0940000005 429961.2190000005)"
vliegln_krib_waal_2010.11,2384.86010742,11,grd094713,2010-10-17T00:00:00,260.6,-294.9,,,"LINESTRING (196056.4690000005 429597.561999999, 193672.0780000016 429644.75)"
vliegln_krib_waal_2010.12,1559.36999512,12,grd095122,2010-10-17T00:00:00,214,-216.2,,,"LINESTRING (195655.1559999995 429308.875, 194097.2340000011 429375.9690000005)"
vliegln_krib_waal_2010.13,3853.63989258,13,grd095457,2010-10-17T00:00:00,383.4,-238.6,,,"LINESTRING (194700.2659999989 429038.625, 192121.188000001 431902)"
vliegln_krib_waal_2010.14,2637.36010742,14,grd095827,2010-10-17T00:00:00,243.5,-194.9,,,"LINESTRING (194556.8280000016 429843.875, 192965.8440000005 431947.313000001)"
vliegln_krib_waal_2010.15,5925.99023438,15,grd100200,2010-10-17T00:00:00,1244.1,-753.5,,,"LINESTRING (193273.7030000016 432326.125, 187741.7030000016 430201.438000001)"
vliegln_krib_waal_2010.16,6227.85009766,16,grd100839,2010-10-17T00:00:00,1235.4,-717.7,,,"LINESTRING (193277.2809999995 432095.8440000005, 187680.188000001 429364.7809999995)"
vliegln_krib_waal_2010.17,4654.00976563,17,grd101435,2010-10-17T00:00:00,745.1,-528.7,,,"LINESTRING (193699.5 431637.0309999995, 189051.061999999 431409.2809999995)"
vliegln_krib_waal_2010.18,2089.39990234,18,grd101809,2010-10-17T00:00:00,354.9,-275.7,,,"LINESTRING (189142.6559999995 429539.625, 187055.5469999984 429637.5)"
vliegln_krib_waal_2010.19,2553.82006836,19,grd102050,2010-10-17T00:00:00,269.1,-378.4,,,"LINESTRING (189102.3280000016 429115, 186550.561999999 429217.438000001)"
vliegln_krib_waal_2010.20,12996.40039063,20,grd102420,2010-10-17T00:00:00,625.6,-596.3,,,"LINESTRING (188116.9530000016 429357.2809999995, 176018.8440000005 434105.25)"
vliegln_krib_waal_2010.21,4033.68994141,21,grd103449,2010-10-17T00:00:00,150.2,-186.8,,,"LINESTRING (180617.0780000016 432192.0309999995, 176815.0309999995 433539.2809999995)"
vliegln_krib_waal_2010.22,10653.29980469,22,grd104020,2010-10-17T00:00:00,386.8,-265.6,,,"LINESTRING (177529.75 433675, 166916.3909999989 434596.2809999995)"
vliegln_krib_waal_2010.23,911.20202637,1,grd121726,2010-10-17T00:00:00,114.4,-154.9,,,"LINESTRING (156011.1559999995 427391.7190000005, 155332.4059999995 426783.7809999995)"
vliegln_krib_waal_2010.24,2157.16992188,2,grd121757,2010-10-17T00:00:00,188.4,-168.8,,,"LINESTRING (154241.9690000005 424946.75, 155300.5159999989 426826.3440000005)"
vliegln_krib_waal_2010.25,34832.5,3,grd122212,2010-10-17T00:00:00,6204.1,-3195,,,"LINESTRING (186039.2340000011 434731.625, 151567.688000001 429730.2809999995)"
vliegln_krib_waal_2010.26,3036.06005859,4,grd125020,2010-10-17T00:00:00,257.3,-219.2,,,"LINESTRING (188191.9530000016 429023.25, 185724.0309999995 430791.5940000005)"
vliegln_krib_waal_2010.27,9416.28027344,5,grd130251,2010-10-17T00:00:00,518.6,-452,,,"LINESTRING (159335.9840000011 432705.6559999995, 168547.2969999984 434659.625)"
vliegln_krib_waal_2010.28,11815.79980469,6,grd131106,2010-10-17T00:00:00,727.3,-446,,,"LINESTRING (159840.2969999984 433569.063000001, 153414.7659999989 423653.186999999)"
