OBJECTID,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,DROOGVALLEND,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
210,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,388.287,283,,2020/09/02 15:00:25+00,388.2871165,780.165167074992
211,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,113.307,283,,2016/02/08 12:54:11+00,113.3074645,158.826167149375
212,G0163,Hellendoorn,bestaand,0,"oever, slootkant",,2072.643,283,,2016/02/08 12:54:11+00,2072.621286125,447.334341371994
213,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,282.936,283,,2016/02/08 12:54:11+00,282.9363845,253.256285041105
214,G0163,Hellendoorn,bestaand,0,"oever, slootkant",,129.438,283,,2016/02/08 12:54:11+00,129.34576082,323.476088819753
215,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,890.148,283,,2016/02/08 12:54:11+00,890.1483265,749.032715349024
216,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,612.388,283,,2016/01/31 21:45:00+00,612.3881315,1855.33328310632
217,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,567.422,283,,2019/11/18 11:39:33+00,567.4219305,1087.1299828097
218,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,75.365,283,,2016/01/31 21:45:00+00,75.364855,173.598213925326
219,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,170.819,283,,2018/06/06 20:50:35+00,170.81912,568.300790262208
220,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,242.345,283,,2016/01/31 21:44:00+00,242.344577,444.065987266511
221,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,226.951,283,,2016/01/31 21:45:00+00,226.9514665,683.19068461375
222,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,68.086,283,,2018/06/06 20:50:35+00,68.0861585,167.083370254476
223,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,123.752,283,,2016/01/31 21:45:00+00,123.751728,407.567079283944
224,W0636,Hoogheemraadschap De Stichtse Rijnlanden,bestaand,0,"oever, slootkant",,7.556,283,,2021/10/19 10:53:10+00,7.5561355,11.1682802700971
225,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,67.124,283,,2020/02/25 04:48:59+00,67.1242945,44.1435080876392
226,W0663,Waterschap Vechtstromen,bestaand,0,"oever, slootkant",,833.035,283,,2022/04/15 12:44:45+00,833.034988,862.472815413655
227,G0163,Hellendoorn,bestaand,0,"oever, slootkant",,437.107,283,,2020/12/15 19:20:50+00,437.10462707,957.625755749477
228,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,494.433,283,,2016/03/02 10:34:54+00,494.4334115,582.88667637067
229,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,446.543,283,,2016/03/02 10:34:54+00,446.542811,609.516990441009
230,G0363,Amsterdam,bestaand,0,"oever, slootkant",,716.927,283,,2017/11/03 09:13:10+00,715.65845343,568.819224061245
231,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,105.79,283,,2016/03/02 10:34:54+00,105.789913,149.160242510672
232,G0363,Amsterdam,bestaand,0,"oever, slootkant",,633.758,283,,2019/03/29 11:53:13+00,633.74054878,661.1259211208
233,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,150.789,283,,2016/03/02 10:34:54+00,150.7889975,140.239952937332
234,G0363,Amsterdam,bestaand,0,"oever, slootkant",,1011.709,283,,2020/04/06 10:39:58+00,1011.7090095,882.957276985595
235,G0363,Amsterdam,bestaand,0,"oever, slootkant",,677.47,283,,2022/11/17 15:16:17+00,677.45980357,855.402663326588
236,L0002,Ministerie van Infrastructuur en Waterstaat (IenW),bestaand,0,"oever, slootkant",,7.158,283,,2022/11/17 13:15:47+00,7.157694,15.9502812272606
237,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,862.645,283,,2017/01/10 11:32:18+00,862.65571817,1262.35872154936
238,W0651,Hoogheemraadschap Hollands Noorderkwartier,bestaand,0,"oever, slootkant",,363.603,283,,2017/01/10 11:32:18+00,363.57810092,992.794094331909
239,G0363,Amsterdam,bestaand,0,"oever, slootkant",,1059.853,283,,2022/11/17 15:16:17+00,1057.880144645,1148.78142012722
240,G0363,Amsterdam,bestaand,0,"oever, slootkant",,4457.898,283,,2023/01/18 10:31:16+00,4457.88067613,3311.28197006959
241,W0616,Hoogheemraadschap van Rijnland,bestaand,0,"oever, slootkant",,34.822,283,,2020/06/11 13:26:18+00,34.821786,39.6094454006179
242,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,222.43,283,,2020/06/10 11:02:17+00,222.4303775,451.831920389737
243,W0155,"Waterschap Amstel, Gooi en Vecht",bestaand,0,"oever, slootkant",,324.816,283,,2021/04/23 10:18:56+00,324.815979,673.988567646173
244,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,429.471,283,,2016/04/05 11:47:32+00,429.450422705,640.451241727156
245,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,42.16,283,,2016/04/05 11:47:32+00,42.1599585,62.2205276916512
246,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,287.649,283,,2016/03/31 11:28:57+00,287.6490565,532.464522975781
247,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,55.599,283,,2016/03/31 11:28:57+00,55.598873,45.5584349643787
248,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,29.549,283,,2016/03/31 11:28:57+00,29.548763,25.910688562894
249,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,74.91,283,,2016/03/31 11:28:57+00,74.9095075,50.5429179557058
250,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,57.692,283,,2016/03/31 11:28:57+00,57.6917815,45.7683908094981
251,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,156.638,283,,2016/03/31 11:28:57+00,156.6381195,70.3753346564079
252,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,20.412,283,,2016/03/31 11:28:57+00,20.412427,20.7952101526137
253,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,24.742,283,,2016/03/31 11:28:57+00,24.7418355,24.9534358492477
254,W0372,Hoogheemraadschap van Delfland,bestaand,0,"oever, slootkant",,86.244,283,,2016/03/31 11:28:57+00,86.20405589,44.0362645090235
255,G1969,Westerkwartier,bestaand,0,"oever, slootkant",,801.847,283,,2019/01/14 09:09:33+00,801.846795,1387.68687472573
256,G1969,Westerkwartier,bestaand,0,"oever, slootkant",,192.229,283,,2019/01/14 09:09:33+00,192.240386025,246.093631697555
257,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,290.2,283,,2023/01/26 11:46:42+00,290.200108,506.267855895218
258,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,52.681,283,,2016/03/30 16:31:07+00,52.6809115,172.028974583843
259,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,32.844,283,,2016/03/30 16:31:20+00,32.843924,101.478582407803
260,G0180,Staphorst,bestaand,0,"oever, slootkant",,21.177,283,,2018/05/01 14:41:54+00,21.1774285,51.6680855741795
261,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,35.717,283,,2019/11/04 17:29:47+00,35.7166925,66.2390170841677
262,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,163.689,283,,2016/03/30 16:35:19+00,163.6893005,418.552964864269
263,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,60.239,283,,2016/03/30 16:31:11+00,60.2391635,175.406400785813
264,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,93.623,283,,2019/11/07 11:13:54+00,93.6230575,189.48781250122
265,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,288.598,283,,2016/03/30 16:31:07+00,288.5984015,835.053735912915
266,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,31.159,283,,2016/03/30 16:34:27+00,31.1594395,120.60256203074
267,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,131.402,283,,2016/03/30 16:31:14+00,131.4018365,218.402381943231
268,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,118.267,283,,2016/03/30 16:35:19+00,118.266556,304.703883251957
269,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,1305.051,283,,2021/10/14 13:16:24+00,1304.914090205,2283.36191749625
270,W0621,Waterschap Rivierenland,bestaand,0,"oever, slootkant",,170.716,283,,2022/04/08 11:32:02+00,170.71331514,386.496312646238
271,G0202,Arnhem,bestaand,0,"oever, slootkant",,1059.584,283,,2016/02/04 13:28:32+00,1059.5840945,348.572109905291
272,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,252.495,283,,2016/01/31 23:42:00+00,252.495234,618.537045955816
273,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,3361.931,283,,2021/02/12 16:56:28+00,3361.931257,5483.81623623205
274,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,47.894,283,,2016/01/04 19:43:00+00,47.8939105,243.12054891901
275,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,8506.277,283,,2022/03/07 11:11:27+00,8506.2770785,8051.7273716954
276,W0636,Hoogheemraadschap De Stichtse Rijnlanden,bestaand,0,"oever, slootkant",,83.418,283,,2017/08/29 12:50:59+00,83.418363,167.245478772995
277,W0636,Hoogheemraadschap De Stichtse Rijnlanden,bestaand,0,"oever, slootkant",,39.826,283,,2017/08/29 12:50:59+00,39.826434,70.705418992332
278,W0636,Hoogheemraadschap De Stichtse Rijnlanden,bestaand,0,"oever, slootkant",,723.115,283,,2017/08/29 12:50:59+00,723.115369,1503.90607365411
279,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,129.958,283,,2016/01/04 19:43:00+00,129.957545,395.699816833856
280,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,2.697,283,,2016/01/04 19:43:00+00,2.6966825,10.2155740002863
281,G0193,Zwolle,bestaand,0,"oever, slootkant",,312.551,283,,2022/03/16 15:09:28+00,312.550819,437.469602215605
282,W0664,Waterschap Drents Overijsselse Delta,bestaand,0,"oever, slootkant",,600.226,283,,2020/12/18 14:09:59+00,600.226273,424.789747423495
283,W0152,Waterschap Rijn en IJssel,bestaand,0,"oever, slootkant",,786.172,283,,2016/02/10 09:57:53+00,786.172362,1575.24542228642
284,W0152,Waterschap Rijn en IJssel,bestaand,0,"oever, slootkant",,326.635,283,,2016/02/10 09:59:37+00,326.6354455,655.274673871747
285,W0152,Waterschap Rijn en IJssel,bestaand,0,"oever, slootkant",,327.313,283,,2016/02/10 09:59:37+00,327.3128895,656.590915454581
