OBJECTID_1,OBJECTID,Gemeentena,Kruispuntn,KPX,KPY,Nomenclatu,Nomencla_1,Omschrijvi,Onderhouds,Onderhou_1,Onderhou_2,Ordernumme,Provincie,Wegbeheerd,Wegbehee_1,Wegbehee_2,Wegnummer,Wegwijzern,WWX,WWY,F21
1,1,AA EN HUNZE,1348,239674,556293, grote handwijzer, VEM, N376-Hoofdstraat-Gieterstraat, Gemeente Aa en Hunze,10652, GEM, S02546, Drenthe, Gemeente Aa en Hunze,10652, GEM, N376,2, , , 
2,2,AA EN HUNZE,2925,240650,561818, kleine handwijzer, VHM, OUDE MOLENWEG/DE HOEK O.EINDE, Gemeente Aa en Hunze,10652, GEM, S00936, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
3,3,AA EN HUNZE,2926,240462,561239, kleine handwijzer, VHM, OOSTEINDE-ANDEREN, Gemeente Aa en Hunze,10652, GEM, S00936, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
4,4,AA EN HUNZE,2931,236713,552654, kleine handwijzer, VHM, HOOFDSTRAAT HEMMENWEG, Gemeente Aa en Hunze,10652, GEM, S00182, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
5,5,AA EN HUNZE,3128,237067,551263, kleine handwijzer, OHM, EKEHAAR/HOOGHALEN GROLLOO, Gemeente Aa en Hunze,10652, GEM, S00652, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
6,6,AA EN HUNZE,3128,237067,551263, wijk-/objectbord, VWF, EKEHAAR/HOOGHALEN GROLLOO,15038, , GEM,3407, Drenthe, Gemeente Aa en Hunze,10652, O, ,2, , , 
7,7,AA EN HUNZE,3426,239411,556478, lichtwegwijzer, TLM, N376-STATIONSSTRAAT, Gemeente Aa en Hunze,10652, GEM, S00182, Drenthe, Gemeente Aa en Hunze,10652, GEM, N376,1, , , 
8,8,AA EN HUNZE,10915,239708,556051, grote handwijzer, VEM, GROLLOERSTR/SCHOOLSTR, Gemeente Aa en Hunze,10652, GEM, , Drenthe, Gemeente Aa en Hunze,10652, GEM, ,1, , , 
9,9,AA EN HUNZE,10915,239708,556051, kleine handwijzer, VHM, GROLLOERSTR/SCHOOLSTR, Gemeente Aa en Hunze,10652, GEM, S01345, Drenthe, Gemeente Aa en Hunze,10652, GEM, ,2, , , 
10,10,AA EN HUNZE,10919,237127,556487, fietswegwijzer, NFM, N376-DEURZE, Gemeente Aa en Hunze,10652, GEM, S00652, Drenthe, Gemeente Aa en Hunze,10652, GEM, N376,2, , , 
11,11,AA EN HUNZE,10919,237127,556487, grote handwijzer, VEM, N376-DEURZE, Gemeente Aa en Hunze,10652, GEM,10432, Drenthe, Gemeente Aa en Hunze,10652, GEM, N376,1, , , 
12,12,AA EN HUNZE,10919,237127,556487, wijk-/objectbord, VWF, N376-DEURZE,15038, , GEM,21832, Drenthe, Gemeente Aa en Hunze,10652, O, N376,3, , , 
13,13,AA EN HUNZE,10919,237127,556487, wijk-/objectbord, VWF, N376-DEURZE,15038, , GEM,21832, Drenthe, Gemeente Aa en Hunze,10652, O, N376,4, , , 
14,14,AA EN HUNZE,10944,239959,555011, aftakkingsbord, VAS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,5,240553,555343, 
15,15,AA EN HUNZE,10944,239959,555011, aftakkingsbord, VAS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,5,240553,555343, 
16,16,AA EN HUNZE,10944,239959,555011, aftakkingsbord, VAS, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,5,240553,555343, 
17,17,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857,15664, , PROV, S04600, Drenthe, Provincie Drenthe,11233, RWS, N033,34,240088,554620, 
18,18,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857,15664, , PROV, S04600, Drenthe, Provincie Drenthe,11233, RWS, N376,34,240088,554620, 
19,19,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857,15664, , PROV, S04600, Drenthe, Provincie Drenthe,11233, RWS, N857,34,240088,554620, 
20,20,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N033,22, , , 
21,21,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N033,23, , , 
22,22,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N376,22, , , 
23,23,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N376,23, , , 
24,24,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N857,22, , , 
25,25,AA EN HUNZE,10944,239959,555011, fietswegwijzer, NFM, N33-N376-N857, Provincie Drenthe,11233, PROV, S02554, Drenthe, Provincie Drenthe,11233, PROV, N857,23, , , 
26,26,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLC, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N033,28, , , 
27,27,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLC, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N376,28, , , 
28,28,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLC, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N857,28, , , 
29,29,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N033,21, , , 
30,30,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N033,27, , , 
31,31,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N033,29, , , 
32,32,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N376,21, , , 
33,33,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N376,27, , , 
34,34,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N376,29, , , 
35,35,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N857,21, , , 
36,36,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N857,27, , , 
37,37,AA EN HUNZE,10944,239959,555011, lichtwegwijzer, TLM, N33-N376-N857, Provincie Drenthe,11233, PROV, S04600, Drenthe, Provincie Drenthe,11233, PROV, N857,29, , , 
38,38,AA EN HUNZE,10944,239959,555011, stapelbord, VSF, N33-N376-N857,15038, , PROV,10296, Drenthe, Provincie Drenthe,11233, O, N033,39, , , 
39,39,AA EN HUNZE,10944,239959,555011, stapelbord, VSF, N33-N376-N857,15038, , PROV,10296, Drenthe, Provincie Drenthe,11233, O, N376,39, , , 
40,40,AA EN HUNZE,10944,239959,555011, stapelbord, VSF, N33-N376-N857,15038, , PROV,10296, Drenthe, Provincie Drenthe,11233, O, N857,39, , , 
41,41,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,17, , , 
42,42,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N033,18, , , 
43,43,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,17, , , 
44,44,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N376,18, , , 
45,45,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,17, , , 
46,46,AA EN HUNZE,10944,239959,555011, uitbord, VUF, N33-N376-N857, RWS Directie Noord-Nederland,11432, RWS,0, Drenthe, RWS Directie Noord-Nederland,11432, RWS, N857,18, , , 
47,47,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N033,8, , , 
48,48,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N033,15, , , 
49,49,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N033,25, , , 
50,50,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N033,26, , , 
51,51,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N376,8, , , 
52,52,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N376,15, , , 
53,53,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N376,25, , , 
54,54,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N376,26, , , 
55,55,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N857,8, , , 
56,56,AA EN HUNZE,10944,239959,555011, voorwegwijzer, VVS, N33-N376-N857, Provincie Drenthe,11233, PROV,16349, Drenthe, Provincie Drenthe,11233, PROV, N857,15, , , 
