FID,length,id,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2009.1,29097.80078125,1,2009-05-11T00:00:00,,,"LINESTRING (79257.07800000161 377907.4059999995, 52476.1090000011 389285.4059999995)"
vlieglijnen_wschelde_2009.2,29325.59960938,2,2009-05-11T00:00:00,,,"LINESTRING (79419.60200000182 377271.75, 52421.14799999818 388720.625)"
vlieglijnen_wschelde_2009.3,29115,3,2009-05-11T00:00:00,,,"LINESTRING (78844.75 376892.875, 52044.879000000656 388270.5)"
vlieglijnen_wschelde_2009.4,29641.69921875,4,2009-05-11T00:00:00,,,"LINESTRING (79221.04699999839 376105.375, 51959.26199999824 387742.6559999995)"
vlieglijnen_wschelde_2009.5,29441.30078125,5,2009-05-10T00:00:00,,,"LINESTRING (78711.88300000131 375694.311999999, 51620.17199999839 387219.5)"
vlieglijnen_wschelde_2009.6,29568.40039063,6,2009-05-10T00:00:00,,,"LINESTRING (78790.85200000182 375069.5309999995, 51577.98800000176 386634.625)"
vlieglijnen_wschelde_2009.7,29329.90039063,7,2009-05-10T00:00:00,,,"LINESTRING (78242.93800000101 374646.5309999995, 51256.370999999344 386134.25)"
vlieglijnen_wschelde_2009.8,29565.69921875,8,2009-05-10T00:00:00,,,"LINESTRING (78326.2109999992 374054.2809999995, 51116.879000000656 385620.8440000005)"
vlieglijnen_wschelde_2009.9,29721.30078125,9,2009-05-10T00:00:00,,,"LINESTRING (78110.4690000005 373515.3440000005, 50734.289000000805 385086.9690000005)"
vlieglijnen_wschelde_2009.10,29816.09960938,10,2009-05-09T00:00:00,,,"LINESTRING (78160.13300000131 372876.5, 50722.28099999949 384545.311999999)"
vlieglijnen_wschelde_2009.11,30002.30078125,11,2009-05-09T00:00:00,,,"LINESTRING (77917.99199999869 372298, 50316.03099999949 384056.8440000005)"
vlieglijnen_wschelde_2009.12,30468.90039063,12,2009-05-09T00:00:00,,,"LINESTRING (78267.7109999992 371586.375, 50220.42199999839 383490.4059999995)"
vlieglijnen_wschelde_2009.13,46989.80078125,13,2009-05-10T00:00:00,,,"LINESTRING (77799.02299999818 371215.875, 34543.92199999839 389574.436999999)"
vlieglijnen_wschelde_2009.14,45294.5,14,2009-05-10T00:00:00,,,"LINESTRING (75564.70300000161 371482.311999999, 33880.8200000003 389203.6559999995)"
