Type;Locatie;Code;Naam;Aanduiding;Straat;Wijk;Plaatsnaam;Objectgroep;Typenummer;Bouwjaar;Ondergrond;Oppervlakte;Aantal;RDX;RDY;LON;LAT
Speelplek   ;101 010 - Aurumcollege School                       ;101 010      ;Aurumcollege School                       ;School. Bovenwijkse voorziening                       ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;                       ;                       ;               ;                       ;     ;1;160981;504068;5,4753325002;52,5242443239
Overig      ;101 010 - Aurumcollege School                       ;58           ;Ballenvanger dubbelstaafmat               ;150m, hoogte 1,10m.                                   ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Hekwerk                ;                       ;               ;                       ;     ;1;160997;504089;5,4755751161;52,5244333252
Overig      ;101 010 - Aurumcollege School                       ;57           ;Ballenvanger dubbelstaafmat               ;50m, hoogte 2,00m.                                    ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Hekwerk                ;                       ;               ;                       ;     ;1;161001;504048;5,4756210763;52,5240602291
Speeltoestel;101 010 - Aurumcollege School                       ;101 010.03   ;Doel                                      ;Voetballen                                            ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;1204 - IJslander BV    ;2005           ;Asfalt                 ;150,0;1;160965;504076;5,4751035211;52,5243164821
Speeltoestel;101 010 - Aurumcollege School                       ;101 010.04   ;Doel                                      ;Voetballen                                            ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;1204 - IJslander BV    ;2005           ;Asfalt                 ;150,0;1;160999;504061;5,4755925888;52,5241822976
Speeltoestel;101 010 - Aurumcollege School                       ;101 010.01   ;Basketbalpaal                             ;Basketballen                                          ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;710390,0               ;1985           ;Asfalt                 ;75,0 ;1;160998;504085;5,4755893361;52,5243970959
Speeltoestel;101 010 - Aurumcollege School                       ;101 010.02   ;Basketbalpaal                             ;                                                      ;Kofschip           ;Zuiderzeewijk     ;Lelystad ;Sporttoestel           ;710390,0               ;1985           ;Asfalt                 ;150,0;1;160966;504078;5,475105758;52,5243298715
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.06   ;Schommel T for 2                          ;                                                      ;De Veste 15        ;de Veste          ;Lelystad ;Schommel               ;765940 (KF06)          ;2018           ;Valdempendzand         ;75,0 ;1;161000;503329;5,4755998726;52,5176037814
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.07   ;Narcis                                    ;                                                      ;De Veste 15        ;de Veste          ;Lelystad ;Combinatietoestel      ;AK.711                 ;2018           ;Valdempendzand         ;180,0;1;161006;503334;5,4756823135;52,5176470385
Speeltoestel;102 020 - De Veste 15-32                            ;102 020.08   ;Houd je vast                              ;                                                      ;De Veste 15        ;de Veste          ;Lelystad ;Veerelement            ;AK.746                 ;2018           ;Valdempendzand         ;16,0 ;1;161014;503336;5,4758100826;52,5176665353
