categorie;overtreding;oms_feitgroep;mate_overschrijding;aantal
VM;bord A1;Snelheid autosnelwegen;8;40.127
VA;gedrag;Snelheid binnen bebouwde kom;4;186.860
VG;bord A1;Snelheid buiten bebouwde kom;6;35.136
VM;bord A1;Snelheid autosnelwegen;22;4.701
VF;gedrag;Snelheid buiten bebouwde kom;14;6.477
VL;gedrag;Snelheid autosnelwegen;21;399
VF;gedrag;Snelheid buiten bebouwde kom;24;1.192
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;7;358
VB;bord A1;Snelheid binnen bebouwde kom;25;292
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;7;162
VC;bord A3;Snelheid binnen bebouwde kom;25;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;22;1
VA;gedrag;Snelheid binnen bebouwde kom;16;9.013
VM;bord A1;Snelheid autosnelwegen;14;14.730
VM;bord A1;Snelheid autosnelwegen;23;3.993
VL;gedrag;Snelheid autosnelwegen;10;2.373
VF;gedrag;Snelheid buiten bebouwde kom;19;2.456
VN;bord A3;Snelheid autosnelwegen;18;1
VM;bord A1;Snelheid autosnelwegen;20;6.047
VA;gedrag;Snelheid binnen bebouwde kom;26;1.516
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;5;584
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;15;36
VL;gedrag;Snelheid autosnelwegen;33;110
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;6;73
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;21;10
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;21;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;11;1
VM;bord A1;Snelheid autosnelwegen;16;10.921
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;28;2
VF;gedrag;Snelheid buiten bebouwde kom;21;1.856
VN;bord A3;Snelheid autosnelwegen;29;6
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;19;48
VN;bord A3;Snelheid autosnelwegen;35;7
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom;23;1
VG;bord A1;Snelheid buiten bebouwde kom;9;18.321
VB;bord A1;Snelheid binnen bebouwde kom;10;4.181
VF;gedrag;Snelheid buiten bebouwde kom;28;757
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;18;69
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;15;36
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;16;42
